time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,,
10.015,155.2,0.428,46.5,0,0.428,182.2,46.5,,,,,156.1365855,,16.26323627,149.14608,,,165.4093163,,155.2,155.4093163,,,155.2,0,0.134868733,,1.81896E-06,,0.008329284
10.034,155.2,0.428,46.6,0.019,0.428,182.2,46.6,,,,,156.1418866,,16.28927349,149.14608,,,165.4353535,,155.2,155.4353535,,,155.2,0.019,0.151645291,,2.29963E-06,,
10.059,155.2,0.432,46.6,0.044,0.432,182.2,46.6,,,,,156.0638883,,16.25573537,148.99952,,,165.2552554,,155.2,155.2552554,,,155.2,0.044,0.035602689,,1.26755E-07,,
10.079,155.1,0.433,46.9,0.064,0.433,182.1,46.9,,,,,156.0604142,,16.32498923,148.96288,,,165.2878692,,155.1,155.2878692,,,155.1,0.064,0.121127807,,1.46719E-06,,
10.099,155.1,0.435,47.5,0.084,0.435,182.1,47.5,,,,,156.0534973,,16.46261771,148.8896,,,165.3522177,,155.1,155.3522177,,,155.1,0.084,0.162616189,,2.6444E-06,,
10.116,155.1,0.438,48.1,0.101,0.438,182.1,48.1,,,,,156.0266562,,16.59050889,148.77968,,,165.3701889,,155.1,155.3701889,,,155.1,0.101,0.174203025,,3.03467E-06,,
10.137,155.1,0.44,48.6,0.122,0.44,182.1,48.6,,,,,156.0142094,,16.70038273,148.7064,,,165.4067827,,155.1,155.4067827,,,155.1,0.122,0.197796733,,3.91235E-06,,
10.146,155,0.443,49.2,0.131,0.443,182,49.2,,,,,155.9870849,,16.82588626,148.59648,,,165.4223663,,155,155.4223663,,,155,0.131,0.272494362,,7.42532E-06,,
10.176,154.8,0.445,49.6,0.161,0.445,181.8,49.6,,,,,155.9688877,,16.90883399,148.5232,,,165.432034,,154.8,155.432034,,,154.8,0.161,0.408290689,,1.66701E-05,,
10.193,154.6,0.449,49.7,0.178,0.449,181.6,49.7,,,,,155.8918787,,16.8990168,148.37664,,,165.2756568,,154.6,155.2756568,,,154.6,0.178,0.437035449,,1.91E-05,,
