time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,,
10.015,155.2,0.428,46.5,0,0.428,182.2,46.5,,,,,156.1365855,,14.63559029,149.14608,,,163.7816703,,155.2,153.7816703,,,155.2,0,-0.913872233,,8.35E-05,,0.005021603
10.034,155.2,0.428,46.6,0.019,0.428,182.2,46.6,,,,,156.1418866,,14.66058241,149.14608,,,163.8066624,,155.2,153.8066624,,,155.2,0.019,-0.897769063,,8.06E-05,,
10.059,155.2,0.432,46.6,0.044,0.432,182.2,46.6,,,,,156.0638883,,14.63934997,148.99952,,,163.63887,,155.2,153.63887,,,155.2,0.044,-1.005882754,,0.00010118,,
10.079,155.1,0.433,46.9,0.064,0.433,182.1,46.9,,,,,156.0604142,,14.70861854,148.96288,,,163.6714985,,155.1,153.6714985,,,155.1,0.064,-0.92101964,,8.48E-05,,
10.099,155.1,0.435,47.5,0.084,0.435,182.1,47.5,,,,,156.0534973,,14.84644676,148.8896,,,163.7360468,,155.1,153.7360468,,,155.1,0.084,-0.879402473,,7.73E-05,,
10.116,155.1,0.438,48.1,0.101,0.438,182.1,48.1,,,,,156.0266562,,14.9778361,148.77968,,,163.7575161,,155.1,153.7575161,,,155.1,0.101,-0.865560221,,7.49E-05,,
10.137,155.1,0.44,48.6,0.122,0.44,182.1,48.6,,,,,156.0142094,,15.08925901,148.7064,,,163.795659,,155.1,153.795659,,,155.1,0.122,-0.840967758,,7.07E-05,,
10.146,155,0.443,49.2,0.131,0.443,182,49.2,,,,,155.9870849,,15.21866372,148.59648,,,163.8151437,,155,153.8151437,,,155,0.131,-0.764423408,,5.84E-05,,
10.176,154.8,0.445,49.6,0.161,0.445,181.8,49.6,,,,,155.9688877,,15.3043286,148.5232,,,163.8275286,,154.8,153.8275286,,,154.8,0.161,-0.628211497,,3.95E-05,,
10.193,154.6,0.449,49.7,0.178,0.449,181.6,49.7,,,,,155.8918787,,15.30589901,148.37664,,,163.682539,,154.6,153.682539,,,154.6,0.178,-0.593441781,,3.52E-05,,
10.218,154.4,0.45,49.8,0.203,0.45,181.4,49.8,,,,,155.8767032,,15.3243656,148.34,,,163.6643656,,154.4,153.6643656,,,154.4,0.203,-0.476447153,,2.27E-05,,
10.232,154.2,0.456,49.5,0.217,0.456,181.2,49.5,,,,,155.730203,,15.21952078,148.12016,,,163.3396808,,154.2,153.3396808,,,154.2,0.217,-0.55792427,,3.11E-05,,
10.257,153.9,0.46,49.2,0.242,0.46,180.9,49.2,,,,,155.6230368,,15.12673567,147.9736,,,163.1003357,,153.9,153.1003357,,,153.9,0.242,-0.519599954,,2.70E-05,,
10.277,153.7,0.461,49.6,0.262,0.461,180.7,49.6,,,,,155.6252242,,15.21684136,147.93696,,,163.1538014,,153.7,153.1538014,,,153.7,0.262,-0.355366714,,1.26E-05,,
10.297,153.4,0.465,49.5,0.282,0.465,180.4,49.5,,,,,155.5276906,,15.17232159,147.7904,,,162.9627216,,153.4,152.9627216,,,153.4,0.282,-0.285057632,,8.13E-06,,
10.317,153.2,0.468,48.9,0.302,0.468,180.2,48.9,,,,,155.4190473,,15.0150057,147.68048,,,162.6954857,,153.2,152.6954857,,,153.2,0.302,-0.329317425,,1.08E-05,,
10.338,152.9,0.473,49.1,0.323,0.473,179.9,49.1,,,,,155.3119654,,15.03792462,147.49728,,,162.5352046,,152.9,152.5352046,,,152.9,0.323,-0.238584291,,5.69E-06,,
10.357,152.7,0.475,49.5,0.342,0.475,179.7,49.5,,,,,155.2897496,,15.12229727,147.424,,,162.5462973,,152.7,152.5462973,,,152.7,0.342,-0.100656665,,1.01E-06,,
10.378,152.5,0.478,49.3,0.363,0.478,179.5,49.3,,,,,155.2020686,,15.06093902,147.31408,,,162.375019,,152.5,152.375019,,,152.5,0.363,-0.081954742,,6.72E-07,,
10.394,152.3,0.483,49.1,0.379,0.483,179.3,49.1,,,,,155.0613937,,14.99078791,147.13088,,,162.1216679,,152.3,152.1216679,,,152.3,0.379,-0.117092638,,1.37E-06,,
10.407,152,0.489,49.3,0.392,0.489,179,49.3,,,,,154.918581,,15.01002547,146.91104,,,161.9210655,,152,151.9210655,,,152,0.392,-0.051930615,,2.70E-07,,
10.434,151.8,0.493,49.5,0.419,0.493,178.8,49.5,,,,,154.8258238,,15.03837221,146.76448,,,161.8028522,,151.8,151.8028522,,,151.8,0.419,0.001878929,,3.53E-10,,
10.443,151.6,0.495,49.7,0.428,0.495,178.6,49.7,,,,,154.7861771,,15.07553937,146.6912,,,161.7667394,,151.6,151.7667394,,,151.6,0.428,0.109986389,,1.21E-06,,
10.476,151.3,0.5,49.5,0.461,0.5,178.3,49.5,,,,,154.6325957,,15.00776806,146.508,,,161.5157681,,151.3,151.5157681,,,151.3,0.461,0.142609426,,2.03E-06,,
10.498,151.1,0.506,49.5,0.483,0.506,178.1,49.5,,,,,154.4610871,,14.98240856,146.28816,,,161.2705686,,151.1,151.2705686,,,151.1,0.483,0.112884552,,1.27E-06,,
10.518,150.8,0.508,49.8,0.503,0.508,177.8,49.8,,,,,154.4264249,,15.04231855,146.21488,,,161.2571985,,150.8,151.2571985,,,150.8,0.503,0.30318206,,9.19E-06,,
10.539,150.6,0.511,49.6,0.524,0.511,177.6,49.6,,,,,154.3219826,,14.98455744,146.10496,,,161.0895174,,150.6,151.0895174,,,150.6,0.524,0.32504478,,1.06E-05,,
10.554,150.3,0.517,49.2,0.539,0.517,177.3,49.2,,,,,154.1073153,,14.87020206,145.88512,,,160.7553221,,150.3,150.7553221,,,150.3,0.539,0.302942154,,9.18E-06,,
