time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed
10.015,155.2,0.428,46.5,0.0,0.428,182.2,46.5,,,,,156.13658553343143,,13.895712147536953,149.14608,,,163.04179214753697,,155.2,153.04179214753697,,,155.2,0.0
10.034,155.2,0.428,46.6,0.0190000000000001,0.428,182.2,46.6,,,,,156.14188661523403,,13.921982771856714,149.14608,,,163.06806277185672,,155.2,153.06806277185672,,,155.2,0.0190000000000001
10.059,155.2,0.432,46.6,0.0439999999999987,0.432,182.2,46.6,,,,,156.0638883089535,,13.910584391046418,148.99952,,,162.91010439104642,,155.2,152.91010439104642,,,155.2,0.0439999999999987
10.079,155.1,0.433,46.9,0.064,0.433,182.1,46.9,,,,,156.06041423153547,,13.98618040307511,148.96288,,,162.94906040307512,,155.1,152.94906040307512,,,155.1,0.064
10.099,155.1,0.435,47.5,0.0839999999999996,0.435,182.1,47.5,,,,,156.05349731589737,,14.136760466037554,148.8896,,,163.02636046603754,,155.1,153.02636046603754,,,155.1,0.0839999999999996
10.116,155.1,0.438,48.1,0.100999999999999,0.438,182.1,48.1,,,,,156.02665619753762,,14.283435903537228,148.77968,,,163.06311590353724,,155.1,153.06311590353724,,,155.1,0.100999999999999
10.137,155.1,0.44,48.6,0.1219999999999998,0.44,182.1,48.6,,,,,156.01420937224003,,14.406462928717403,148.7064,,,163.1128629287174,,155.1,153.1128629287174,,,155.1,0.1219999999999998
10.146,155.0,0.443,49.2,0.1310000000000002,0.443,182.0,49.2,,,,,155.9870849215977,,14.551302391408676,148.59648,,,163.1477823914087,,155.0,153.1477823914087,,,155.0,0.1310000000000002
10.176,154.8,0.445,49.6,0.1609999999999996,0.445,181.8,49.6,,,,,155.96888765549377,,14.647289362116835,148.5232,,,163.17048936211683,,154.8,153.17048936211683,,,154.8,0.1609999999999996
10.193,154.6,0.449,49.7,0.177999999999999,0.449,181.6,49.7,,,,,155.89187870110456,,14.659619517227938,148.37664,,,163.03625951722796,,154.6,153.03625951722796,,,154.6,0.177999999999999
10.218,154.4,0.45,49.8,0.2029999999999994,0.45,181.4,49.8,,,,,155.87670316932198,,14.681812989219026,148.34,,,163.02181298921903,,154.4,153.02181298921903,,,154.4,0.2029999999999994
10.232,154.2,0.456,49.5,0.2169999999999987,0.456,181.2,49.5,,,,,155.7302029775552,,14.586395847594824,148.12016,,,162.7065558475948,,154.2,152.7065558475948,,,154.2,0.2169999999999987
10.257,153.9,0.46,49.2,0.2419999999999991,0.46,180.9,49.2,,,,,155.62303680249286,,14.498310663328505,147.9736,,,162.47191066332852,,153.9,152.47191066332852,,,153.9,0.2419999999999991
10.277,153.7,0.461,49.6,0.2619999999999987,0.461,180.7,49.6,,,,,155.6252242158224,,14.59627503704906,147.93696,,,162.53323503704905,,153.7,152.53323503704905,,,153.7,0.2619999999999987
10.297,153.4,0.465,49.5,0.282,0.465,180.4,49.5,,,,,155.52769062576235,,14.559110569007203,147.7904,,,162.3495105690072,,153.4,152.3495105690072,,,153.4,0.282
