time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed
10.033,112.4,0.443,45.3,0.0,0.443,145.4,45.3,,,,,113.15489952987416,,12.117915819665882,117.22836,,,129.3462758196659,,112.4,112.34627581966589,,,112.4,0.0
10.041,112.4,0.443,45.4,0.0080000000000008,0.443,145.4,45.4,,,,,113.15925329494074,,12.139832058302694,117.22836,,,129.3681920583027,,112.4,112.3681920583027,,,112.4,0.0080000000000008
10.073,112.4,0.443,45.4,0.0400000000000009,0.443,145.4,45.4,,,,,113.15925329494074,,12.139832058302694,117.22836,,,129.3681920583027,,112.4,112.3681920583027,,,112.4,0.0400000000000009
10.091,112.4,0.443,45.4,0.0579999999999998,0.443,145.4,45.4,,,,,113.15925329494074,,12.139832058302694,117.22836,,,129.3681920583027,,112.4,112.3681920583027,,,112.4,0.0579999999999998
10.111,112.4,0.443,45.4,0.0780000000000011,0.443,145.4,45.4,,,,,113.15925329494074,,12.139832058302694,117.22836,,,129.3681920583027,,112.4,112.3681920583027,,,112.4,0.0780000000000011
10.13,112.4,0.444,45.5,0.0970000000000013,0.444,145.4,45.5,,,,,113.14986323794676,,12.155622422696151,117.20288,,,129.35850242269615,,112.4,112.35850242269615,,,112.4,0.0970000000000013
10.138,112.4,0.444,45.5,0.1050000000000004,0.444,145.4,45.5,,,,,113.14986323794676,,12.155622422696151,117.20288,,,129.35850242269615,,112.4,112.35850242269615,,,112.4,0.1050000000000004
10.172,112.4,0.445,45.7,0.1390000000000011,0.445,145.4,45.7,,,,,113.14481656121896,,12.193182530639273,117.17739999999999,,,129.37058253063927,,112.4,112.37058253063927,,,112.4,0.1390000000000011
10.186,112.4,0.446,45.8,0.1530000000000004,0.446,145.4,45.8,,,,,113.13536055706876,,12.208825663780253,117.15191999999999,,,129.36074566378025,,112.4,112.36074566378025,,,112.4,0.1530000000000004
10.21,112.4,0.45,46.1,0.1770000000000013,0.45,145.4,46.1,,,,,113.09261886617251,,12.24923789372106,117.05,,,129.29923789372106,,112.4,112.29923789372106,,,112.4,0.1770000000000013
10.225,112.4,0.453,46.6,0.1920000000000001,0.453,145.4,46.6,,,,,113.07249760030356,,12.338329149521769,116.97355999999999,,,129.31188914952176,,112.4,112.31188914952176,,,112.4,0.1920000000000001
10.251,112.4,0.455,47.3,0.2179999999999999,0.455,145.4,47.3,,,,,113.0756792842656,,12.47551742753769,116.92259999999999,,,129.39811742753767,,112.4,112.39811742753767,,,112.4,0.2179999999999999
10.271,112.4,0.456,47.9,0.2380000000000013,0.456,145.4,47.9,,,,,113.08862228631185,,12.596757917902355,116.89712,,,129.49387791790235,,112.4,112.49387791790235,,,112.4,0.2380000000000013
10.291,112.3,0.461,48.4,0.2580000000000009,0.461,145.3,48.4,,,,,113.03962874195004,,12.669394424855872,116.76971999999999,,,129.43911442485586,,112.30000000000001,112.43911442485586,,,112.30000000000001,0.2580000000000009
10.312,112.3,0.465,49.1,0.2789999999999999,0.465,145.3,49.1,,,,,113.01373457568116,,12.789195764940883,116.6678,,,129.45699576494087,,112.30000000000001,112.45699576494087,,,112.30000000000001,0.2789999999999999
10.333,112.1,0.468,49.7,0.3000000000000007,0.468,145.1,49.7,,,,,112.99767811849875,,12.89336009743424,116.59136,,,129.48472009743423,,112.1,112.48472009743423,,,112.1,0.3000000000000007
10.352,112.0,0.471,49.8,0.3190000000000008,0.471,145.0,49.8,,,,,112.95760131114474,,12.89338498452634,116.51491999999999,,,129.40830498452632,,112.0,112.40830498452632,,,112.0,0.3190000000000008
10.368,111.8,0.475,49.8,0.3350000000000008,0.475,144.8,49.8,,,,,112.89655512173144,,12.866036637841916,116.413,,,129.2790366378419,,111.80000000000001,112.2790366378419,,,111.80000000000001,0.3350000000000008
