time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,,
10.008,195.7,0.422,94.8,0,0.422,229.7,94.8,,,,,190.5124115,,24.50306926,190.62572,,,215.1287893,,194.7,196.1287893,,,194.7,0,0.733841448,,5.39E-05,,0.009885471
10.02,195.7,0.422,95.1,0.012,0.422,229.7,95.1,,,,,190.519274,,24.55483298,190.62572,,,215.180553,,194.7,196.180553,,,194.7,0.012,0.760427838,,5.78E-05,,
10.034,195.7,0.422,95.2,0.026,0.422,229.7,95.2,,,,,190.5215608,,24.57207499,190.62572,,,215.197795,,194.7,196.197795,,,194.7,0.026,0.769283513,,5.92E-05,,
10.046,195.7,0.422,95.4,0.038,0.422,229.7,95.4,,,,,190.5261333,,24.60654022,190.62572,,,215.2322602,,194.7,196.2322602,,,194.7,0.038,0.786985208,,6.19E-05,,
10.058,195.6,0.423,95.6,0.05,0.423,229.6,95.6,,,,,190.5167406,,24.61511724,190.58598,,,215.2010972,,194.6,196.2010972,,,194.6,0.05,0.822763207,,6.77E-05,,
10.07,195.6,0.424,95.8,0.062,0.424,229.6,95.8,,,,,190.5073006,,24.62366023,190.54624,,,215.1699002,,194.6,196.1699002,,,194.6,0.062,0.80673186,,6.51E-05,,
10.073,195.6,0.427,96.1,0.065,0.427,229.6,96.1,,,,,190.4716711,,24.59798493,190.42702,,,215.0250049,,194.6,196.0250049,,,194.6,0.065,0.732273844,,5.36E-05,,
10.096,195.6,0.429,96.5,0.088,0.429,229.6,96.5,,,,,190.4522953,,24.6150084,190.34754,,,214.9625484,,194.6,195.9625484,,,194.6,0.088,0.700179034,,4.90E-05,,
10.104,195.6,0.428,97.4,0.096,0.428,229.6,97.4,,,,,190.4878703,,24.79318157,190.38728,,,215.1804616,,194.6,196.1804616,,,194.6,0.096,0.812159096,,6.60E-05,,
10.115,195.6,0.433,98.4,0.107,0.433,229.6,98.4,,,,,190.4394402,,24.83317042,190.18858,,,215.0217504,,194.6,196.0217504,,,194.6,0.107,0.730601439,,5.34E-05,,
10.126,195.6,0.434,99.1,0.118,0.434,229.6,99.1,,,,,190.4416893,,24.92451301,190.14884,,,215.073353,,194.6,196.073353,,,194.6,0.118,0.757118705,,5.73E-05,,
10.138,195.6,0.437,100.3,0.13,0.437,229.6,100.3,,,,,190.4267676,,25.04671923,190.02962,,,215.0763392,,194.6,196.0763392,,,194.6,0.13,0.758653237,,5.76E-05,,
10.151,195.5,0.439,101.2,0.143,0.439,229.5,101.2,,,,,190.4192716,,25.14359821,189.95014,,,215.0937382,,194.5,196.0937382,,,194.5,0.143,0.819402674,,6.71E-05,,
10.163,195.4,0.44,102.6,0.155,0.44,229.4,102.6,,,,,190.4391248,,25.3469018,189.9104,,,215.2573018,,194.4,196.2573018,,,194.4,0.155,0.95540216,,9.13E-05,,
10.179,195.3,0.444,103.4,0.171,0.444,229.3,103.4,,,,,190.3994093,,25.37337975,189.75144,,,215.1248197,,194.3,196.1248197,,,194.3,0.171,0.939176377,,8.82E-05,,
10.2,195.1,0.448,103.8,0.192,0.448,229.1,103.8,,,,,190.348615,,25.33533788,189.59248,,,214.9278179,,194.1,195.9278179,,,194.1,0.192,0.941688769,,8.87E-05,,
10.221,194.9,0.451,104.9,0.213,0.451,228.9,104.9,,,,,190.3306297,,25.43471199,189.47326,,,214.907972,,193.9,195.907972,,,193.9,0.213,1.035570913,,1.07E-04,,
10.24,194.6,0.451,105.2,0.232,0.451,228.6,105.2,,,,,190.3384583,,25.4824206,189.47326,,,214.9556806,,193.6,195.9556806,,,193.6,0.232,1.216777169,,1.48E-04,,
10.258,194.2,0.455,104.9,0.25,0.455,228.2,104.9,,,,,190.2675527,,25.33367839,189.3143,,,214.6479784,,193.2,195.6479784,,,193.2,0.25,1.267069565,,1.61E-04,,
10.275,193.9,0.459,103.6,0.267,0.459,227.9,103.6,,,,,190.1677868,,25.02935006,189.15534,,,214.1846901,,192.9,195.1846901,,,192.9,0.267,1.184390928,,1.40E-04,,
10.298,193.5,0.465,102.5,0.29,0.465,227.5,102.5,,,,,190.0362287,,24.71213065,188.9169,,,213.6290307,,192.5,194.6290307,,,192.5,0.29,1.105989974,,1.22E-04,,
10.318,193.2,0.467,102.8,0.31,0.467,227.2,102.8,,,,,190.009922,,24.71206489,188.83742,,,213.5494849,,192.2,194.5494849,,,192.2,0.31,1.222416701,,1.49E-04,,
10.339,192.9,0.467,103.2,0.331,0.467,226.9,103.2,,,,,190.0211795,,24.77461757,188.83742,,,213.6120376,,191.9,194.6120376,,,191.9,0.331,1.413255654,,2.00E-04,,
10.359,192.6,0.475,103,0.351,0.475,226.6,103,,,,,189.8728251,,24.55765793,188.5195,,,213.0771579,,191.6,194.0771579,,,191.6,0.351,1.292879906,,1.67E-04,,
10.379,192.3,0.478,103.4,0.371,0.478,226.3,103.4,,,,,189.8294025,,24.5509122,188.40028,,,212.9511922,,191.3,193.9511922,,,191.3,0.371,1.385881965,,1.92E-04,,
10.4,192,0.481,103.4,0.392,0.481,226,103.4,,,,,189.7732811,,24.48309252,188.28106,,,212.7641525,,191,193.7641525,,,191,0.392,1.447200262,,2.09E-04,,
10.416,191.8,0.486,102.8,0.408,0.486,225.8,102.8,,,,,189.6589158,,24.28030969,188.08236,,,212.3626697,,190.8,193.3626697,,,190.8,0.408,1.343118291,,1.80E-04,,
10.437,191.5,0.49,102.9,0.429,0.49,225.5,102.9,,,,,189.5830195,,24.20816365,187.9234,,,212.1315637,,190.5,193.1315637,,,190.5,0.429,1.381398268,,1.91E-04,,
10.457,191.3,0.493,103.9,0.449,0.493,225.3,103.9,,,,,189.5546365,,24.29400652,187.80418,,,212.0981865,,190.3,193.0981865,,,190.3,0.449,1.47040804,,2.16E-04,,
10.478,191,0.498,103.9,0.47,0.498,225,103.9,,,,,189.452338,,24.18653759,187.60548,,,211.7920176,,190,192.7920176,,,190,0.47,1.469482947,,2.16E-04,,
10.498,190.7,0.503,104,0.49,0.503,224.7,104,,,,,189.3504247,,24.09569328,187.40678,,,211.5024733,,189.7,192.5024733,,,189.7,0.49,1.477318556,,2.18E-04,,
10.509,190.4,0.509,104,0.501,0.509,224.4,104,,,,,189.2201622,,23.97106331,187.16834,,,211.1394033,,189.4,192.1394033,,,189.4,0.501,1.446358659,,2.09E-04,,
10.54,190.1,0.512,104.1,0.532,0.512,224.1,104.1,,,,,189.1568881,,23.92431964,187.04912,,,210.9734396,,189.1,191.9734396,,,189.1,0.532,1.519534426,,2.31E-04,,
10.559,189.7,0.516,104.3,0.551,0.516,223.7,104.3,,,,,189.0733314,,23.872454,186.89016,,,210.762614,,188.7,191.762614,,,188.7,0.551,1.623006889,,2.63E-04,,
10.58,189.4,0.521,104.2,0.572,0.521,223.4,104.2,,,,,188.9534688,,23.75798751,186.69146,,,210.4494475,,188.4,191.4494475,,,188.4,0.572,1.618602707,,2.62E-04,,
10.597,189,0.523,103.8,0.589,0.523,223,103.8,,,,,188.8910437,,23.66064519,186.61198,,,210.2726252,,188,191.2726252,,,188,0.589,1.740758085,,3.03E-04,,
10.617,188.7,0.531,103.4,0.609,0.531,222.7,103.4,,,,,188.6796909,,23.44828104,186.29406,,,209.742341,,187.7,190.742341,,,187.7,0.609,1.620852957,,2.63E-04,,
10.637,188.4,0.537,103.3,0.629,0.537,222.4,103.3,,,,,188.5226789,,23.32070414,186.05562,,,209.3763241,,187.4,190.3763241,,,187.4,0.629,1.588219904,,2.52E-04,,
10.658,188.1,0.539,103.8,0.65,0.539,222.1,103.8,,,,,188.4911012,,23.35445174,185.97614,,,209.3305917,,187.1,190.3305917,,,187.1,0.65,1.726665794,,2.98E-04,,
10.679,187.8,0.543,103.8,0.671,0.543,221.8,103.8,,,,,188.3855954,,23.28024537,185.81718,,,209.0974254,,186.8,190.0974254,,,186.8,0.671,1.765217024,,3.12E-04,,
10.699,187.5,0.55,103.5,0.691,0.55,221.5,103.5,,,,,188.1823872,,23.11047963,185.539,,,208.6494796,,186.5,189.6494796,,,186.5,0.691,1.688729008,,2.85E-04,,
10.719,187.2,0.554,103.4,0.711,0.554,221.2,103.4,,,,,188.0658006,,23.02492769,185.38004,,,208.4049677,,186.2,189.4049677,,,186.2,0.711,1.721250107,,2.96E-04,,
10.74,187,0.558,103.8,0.732,0.558,221,103.8,,,,,187.9694553,,23.00982915,185.22108,,,208.2309091,,186,189.2309091,,,186,0.732,1.737047903,,3.02E-04,,
10.757,186.7,0.564,103.8,0.749,0.564,220.7,103.8,,,,,187.7936777,,22.90499449,184.98264,,,207.8876345,,185.7,188.8876345,,,185.7,0.749,1.716550619,,2.95E-04,,
10.777,186.4,0.569,103.9,0.769,0.569,220.4,103.9,,,,,187.6478365,,22.83273762,184.78394,,,207.6166776,,185.4,188.6166776,,,185.4,0.769,1.734993312,,3.01E-04,,
10.797,186.2,0.574,104.1,0.789,0.574,220.2,104.1,,,,,187.5033304,,22.77518723,184.58524,,,207.3604272,,185.2,188.3604272,,,185.2,0.789,1.706494168,,2.91E-04,,
10.818,185.9,0.578,104.3,0.81,0.578,219.9,104.3,,,,,187.387287,,22.73521233,184.42628,,,207.1614923,,184.9,188.1614923,,,184.9,0.81,1.763922282,,3.11E-04,,
10.838,185.6,0.585,104.5,0.83,0.585,219.6,104.5,,,,,187.1712432,,22.64630982,184.1481,,,206.7944098,,184.6,187.7944098,,,184.6,0.83,1.730449512,,2.99E-04,,
10.858,185.3,0.588,104.2,0.85,0.588,219.3,104.2,,,,,187.055963,,22.55706508,184.02888,,,206.5859451,,184.3,187.5859451,,,184.3,0.85,1.782932773,,3.18E-04,,
10.875,185,0.594,104.1,0.867,0.594,219,104.1,,,,,186.8468608,,22.44716528,183.79044,,,206.2376053,,184,187.2376053,,,184,0.867,1.759568098,,3.10E-04,,
10.892,184.8,0.598,104,0.884,0.598,218.8,104,,,,,186.7020541,,22.37044284,183.63148,,,206.0019228,,183.8,187.0019228,,,183.8,0.884,1.742068988,,3.03E-04,,
10.917,184.5,0.603,103.9,0.909,0.603,218.5,103.9,,,,,186.5183403,,22.2789632,183.43278,,,205.7117432,,183.5,186.7117432,,,183.5,0.909,1.750268774,,3.06E-04,,
10.924,184.3,0.609,104,0.916,0.609,218.3,104,,,,,186.3049315,,22.19967155,183.19434,,,205.3940115,,183.3,186.3940115,,,183.3,0.916,1.687949536,,2.85E-04,,
10.959,184,0.615,103.9,0.951,0.615,218,103.9,,,,,186.0733053,,22.09557224,182.9559,,,205.0514722,,183,186.0514722,,,183,0.951,1.667471148,,2.78E-04,,
10.976,183.8,0.622,104.2,0.968,0.622,217.8,104.2,,,,,185.8210501,,22.03018787,182.67772,,,204.7079079,,182.8,185.7079079,,,182.8,0.968,1.590759245,,2.53E-04,,
10.999,183.5,0.625,104.8,0.991,0.625,217.5,104.8,,,,,185.7409506,,22.06341832,182.5585,,,204.6219183,,182.5,185.6219183,,,182.5,0.991,1.710640164,,2.93E-04,,
11.018,183.2,0.629,104.3,1.01,0.629,217.2,104.3,,,,,185.5480855,,21.94040449,182.39954,,,204.3399445,,182.2,185.3399445,,,182.2,1.01,1.723350439,,2.97E-04,,
11.038,183,0.632,104.2,1.03,0.632,217,104.2,,,,,185.4189375,,21.88410672,182.28032,,,204.1644267,,182,185.1644267,,,182,1.03,1.738695989,,3.02E-04,,
11.059,182.7,0.64,103.9,1.051,0.64,216.7,103.9,,,,,185.0629654,,21.73168961,181.9624,,,203.6940896,,181.7,184.6940896,,,181.7,1.051,1.647820363,,2.72E-04,,
11.075,182.5,0.646,104.2,1.067,0.646,216.5,104.2,,,,,184.8246556,,21.68582967,181.72396,,,203.4097897,,181.5,184.4097897,,,181.5,1.067,1.603189917,,2.57E-04,,
11.096,182.3,0.648,103.9,1.088,0.648,216.3,103.9,,,,,184.71493,,21.62011384,181.64448,,,203.2645938,,181.3,184.2645938,,,181.3,1.088,1.635186873,,2.67E-04,,
11.116,182,0.653,103.9,1.108,0.653,216,103.9,,,,,184.4911151,,21.55151517,181.44578,,,202.9972952,,181,183.9972952,,,181,1.108,1.655964199,,2.74E-04,,
11.137,181.9,0.657,103.6,1.129,0.657,215.9,103.6,,,,,184.2856914,,21.45955298,181.28682,,,202.746373,,180.9,183.746373,,,180.9,1.129,1.573451078,,2.48E-04,,
11.157,181.7,0.662,103.4,1.149,0.662,215.7,103.4,,,,,184.0367821,,21.36760215,181.08812,,,202.4557221,,180.7,183.4557221,,,180.7,1.149,1.525026065,,2.33E-04,,
11.178,181.5,0.666,103.5,1.17,0.666,215.5,103.5,,,,,183.8542186,,21.32723818,180.92916,,,202.2563982,,180.5,183.2563982,,,180.5,1.17,1.527090416,,2.33E-04,,
11.199,181.4,0.671,104.1,1.191,0.671,215.4,104.1,,,,,183.6604737,,21.33629351,180.73046,,,202.0667535,,180.4,183.0667535,,,180.4,1.191,1.478244734,,2.19E-04,,
