time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension
10.008,195.7,0.422,94.8,0.0,0.422,229.7,94.8,,,,,190.5124115329045,,24.16170714343131,190.62572000000003,,,214.78742714343133,,195.7,195.78742714343133,,,195.7,0.0,0.04467406409368493,
10.02,195.7,0.422,95.1,0.0120000000000004,0.422,229.7,95.1,,,,,190.5192740384697,,24.218689225231422,190.62572000000003,,,214.84440922523143,,195.7,195.84440922523143,,,195.7,0.0120000000000004,0.07379112173298005,
10.034,195.7,0.422,95.2,0.0260000000000015,0.422,229.7,95.2,,,,,190.5215607854614,,24.23766529487265,190.62572000000003,,,214.86338529487267,,195.7,195.86338529487267,,,195.7,0.0260000000000015,0.08348763151388994,
10.046,195.7,0.422,95.4,0.0380000000000002,0.422,229.7,95.4,,,,,190.52613325820195,,24.275590537225,190.62572000000003,,,214.90131053722504,,195.7,195.90131053722504,,,195.7,0.0380000000000002,0.10286690711551098,
10.058,195.6,0.423,95.6,0.0500000000000007,0.423,229.6,95.6,,,,,190.51674062303871,,24.293765664616227,190.58598,,,214.87974566461625,,195.6,195.87974566461625,,,195.6,0.0500000000000007,0.14301925593878184,
10.07,195.6,0.424,95.8,0.0620000000000011,0.424,229.6,95.8,,,,,190.5073006210031,,24.3118309487642,190.54624,,,214.8580709487642,,195.6,195.8580709487642,,,195.6,0.0620000000000011,0.13193811286514,
10.073,195.6,0.427,96.1,0.0650000000000012,0.427,229.6,96.1,,,,,190.47167113769288,,24.309107896796696,190.42702000000003,,,214.73612789679672,,195.6,195.73612789679672,,,195.6,0.0650000000000012,0.06959503926212797,
10.096,195.6,0.429,96.5,0.0880000000000009,0.429,229.6,96.5,,,,,190.45229533501728,,24.34451500815413,190.34754,,,214.6920550081541,,195.6,195.6920550081541,,,195.6,0.0880000000000009,0.04706288760435551,
10.104,195.6,0.428,97.4,0.096,0.428,229.6,97.4,,,,,190.4878703090412,,24.53232138674729,190.38728000000003,,,214.91960138674733,,195.6,195.91960138674733,,,195.6,0.096,0.16339539199761596,
10.115,195.6,0.433,98.4,0.1070000000000011,0.433,229.6,98.4,,,,,190.4394401649112,,24.61721174931633,190.18858000000003,,,214.8057917493164,,195.6,195.8057917493164,,,195.6,0.1070000000000011,0.10521050578548266,
10.126,195.6,0.434,99.1,0.1180000000000003,0.434,229.6,99.1,,,,,190.4416893082631,,24.72567415387347,190.14884,,,214.87451415387343,,195.6,195.87451415387343,,,195.6,0.1180000000000003,0.14034465944449903,
10.138,195.6,0.437,100.3,0.1300000000000007,0.437,229.6,100.3,,,,,190.42676762245893,,24.88357768548036,190.02962,,,214.9131976854804,,195.6,195.9131976854804,,,195.6,0.1300000000000007,0.1601215160942832,
10.151,195.5,0.439,101.2,0.1430000000000006,0.439,229.5,101.2,,,,,190.4192716129444,,25.00540922622012,189.95014000000003,,,214.9555492262201,,195.5,195.9555492262201,,,195.5,0.1430000000000006,0.2330175070179612,
10.163,195.4,0.44,102.6,0.1550000000000011,0.44,229.4,102.6,,,,,190.43912476276023,,25.236256636724825,189.9104,,,215.14665663672483,,195.4,196.14665663672483,,,195.4,0.1550000000000011,0.38211700958281575,
10.179,195.3,0.444,103.4,0.1710000000000011,0.444,229.3,103.4,,,,,190.39940931947285,,25.29498945908764,189.75144,,,215.04642945908765,,195.3,196.04642945908765,,,195.3,0.1710000000000011,0.3821963436188614,
10.2,195.1,0.448,103.8,0.1920000000000001,0.448,229.1,103.8,,,,,190.3486149571748,,25.281769258542383,189.59248,,,214.8742492585424,,195.1,195.8742492585424,,,195.1,0.1920000000000001,0.39684739033439137,
10.221,194.9,0.451,104.9,0.2130000000000009,0.451,228.9,104.9,,,,,190.33062972712736,,25.41157708829355,189.47326,,,214.88483708829355,,194.9,195.88483708829355,,,194.9,0.2130000000000009,0.5053037908124913,
10.24,194.6,0.451,105.2,0.2320000000000011,0.451,228.6,105.2,,,,,190.338458279516,,25.463938265432464,189.47326,,,214.93719826543247,,194.6,195.93719826543247,,,194.6,0.2320000000000011,0.6871522432849316,
10.258,194.2,0.455,104.9,0.25,0.455,228.2,104.9,,,,,190.26755270431656,,25.327277857251445,189.3143,,,214.64157785725143,,194.2,195.64157785725143,,,194.2,0.25,0.7423160953920935,
10.275,193.9,0.459,103.6,0.2670000000000012,0.459,227.9,103.6,,,,,190.1677867974398,,25.018148464117218,189.15534,,,214.17348846411724,,193.9,195.17348846411724,,,193.9,0.2670000000000012,0.6567758969145104,
10.298,193.5,0.465,102.5,0.2900000000000009,0.465,227.5,102.5,,,,,190.03622869259323,,24.705023304204275,188.9169,,,213.62192330420427,,193.5,194.62192330420427,,,193.5,0.2900000000000009,0.579805325170167,
10.318,193.2,0.467,102.8,0.3100000000000005,0.467,227.2,102.8,,,,,190.00992197272345,,24.716628811090423,188.83742,,,213.55404881109044,,193.2,194.55404881109044,,,193.2,0.3100000000000005,0.7008534218894672,
10.339,192.9,0.467,103.2,0.3310000000000013,0.467,226.9,103.2,,,,,190.02117948633665,,24.78561621682323,188.83742,,,213.62303621682324,,192.9,194.62303621682324,,,192.9,0.3310000000000013,0.8932276914583888,
10.359,192.6,0.475,103.0,0.3510000000000008,0.475,226.6,103.0,,,,,189.87282514815388,,24.59068174878773,188.5195,,,213.11018174878777,,192.6,194.11018174878777,,,192.6,0.3510000000000008,0.7841026733062162,
10.379,192.3,0.478,103.4,0.3710000000000004,0.478,226.3,103.4,,,,,189.82940253021977,,24.59898942371301,188.40028,,,212.99926942371303,,192.3,193.99926942371303,,,192.3,0.3710000000000004,0.8836554465486319,
10.4,192.0,0.481,103.4,0.3920000000000012,0.481,226.0,103.4,,,,,189.77328105554489,,24.53941232930657,188.28106,,,212.8204723293066,,192.0,193.8204723293066,,,192.0,0.3920000000000012,0.9481626715138525,
10.416,191.8,0.486,102.8,0.4080000000000012,0.486,225.8,102.8,,,,,189.65891576804603,,24.33997273344764,188.08236,,,212.42233273344763,,191.8,193.42233273344763,,,191.8,0.4080000000000012,0.8458460549779044,
10.437,191.5,0.49,102.9,0.4290000000000002,0.49,225.5,102.9,,,,,189.5830194885056,,24.27900300160648,187.9234,,,212.20240300160648,,191.5,193.20240300160648,,,191.5,0.4290000000000002,0.8889832906561275,
10.457,191.3,0.493,103.9,0.4490000000000016,0.493,225.3,103.9,,,,,189.5546365079215,,24.38730235208129,187.80418,,,212.1914823520813,,191.3,193.1914823520813,,,191.3,0.4490000000000016,0.9887518829489196,
10.478,191.0,0.498,103.9,0.4700000000000006,0.498,225.0,103.9,,,,,189.45233801275603,,24.290280899741845,187.60548,,,211.89576089974184,,191.0,192.89576089974184,,,191.0,0.4700000000000006,0.9925449736868297,
10.498,190.7,0.503,104.0,0.4900000000000002,0.503,224.7,104.0,,,,,189.35042472225905,,24.210535342826407,187.40678,,,211.6173153428264,,190.7,192.6173153428264,,,190.7,0.4900000000000002,1.0054091991748364,
10.509,190.4,0.509,104.0,0.5010000000000012,0.509,224.4,104.0,,,,,189.2201621966284,,24.09628582516786,187.16834,,,211.26462582516783,,190.4,192.26462582516783,,,190.4,0.5010000000000012,0.9793202863276368,
