time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,,
10.008,195.7,0.422,94.8,0,0.422,229.7,94.8,,,,,190.5124115,,22.12489973,190.62572,,,212.7506197,,195.7,193.7506197,,,195.7,0,-0.996106425,,9.92228E-05,,0.004886688
10.02,195.7,0.422,95.1,0.012,0.422,229.7,95.1,,,,,190.519274,,22.1768151,190.62572,,,212.8025351,,195.7,193.8025351,,,195.7,0.012,-0.969578387,,9.40082E-05,,
10.034,195.7,0.422,95.2,0.026,0.422,229.7,95.2,,,,,190.5215608,,22.19410984,190.62572,,,212.8198298,,195.7,193.8198298,,,195.7,0.026,-0.96074101,,9.23023E-05,,
10.046,195.7,0.422,95.4,0.038,0.422,229.7,95.4,,,,,190.5261333,,22.22868383,190.62572,,,212.8544038,,195.7,193.8544038,,,195.7,0.038,-0.943074181,,8.89389E-05,,
10.058,195.6,0.423,95.6,0.05,0.423,229.6,95.6,,,,,190.5167406,,22.24340992,190.58598,,,212.8293899,,195.6,193.8293899,,,195.6,0.05,-0.90521988,,8.19423E-05,,
10.07,195.6,0.424,95.8,0.062,0.424,229.6,95.8,,,,,190.5073006,,22.25808078,190.54624,,,212.8043208,,195.6,193.8043208,,,195.6,0.062,-0.918036412,,8.42791E-05,,
10.073,195.6,0.427,96.1,0.065,0.427,229.6,96.1,,,,,190.4716711,,22.25042908,190.42702,,,212.6774491,,195.6,193.6774491,,,195.6,0.065,-0.982899244,,9.66091E-05,,
10.096,195.6,0.429,96.5,0.088,0.429,229.6,96.5,,,,,190.4522953,,22.27949161,190.34754,,,212.6270316,,195.6,193.6270316,,,195.6,0.088,-1.008675048,,0.000101743,,
10.104,195.6,0.428,97.4,0.096,0.428,229.6,97.4,,,,,190.4878703,,22.45260891,190.38728,,,212.8398889,,195.6,193.8398889,,,195.6,0.096,-0.899852296,,8.09734E-05,,
10.115,195.6,0.433,98.4,0.107,0.433,229.6,98.4,,,,,190.4394402,,22.52268362,190.18858,,,212.7112636,,195.6,193.7112636,,,195.6,0.107,-0.965611646,,9.32406E-05,,
10.126,195.6,0.434,99.1,0.118,0.434,229.6,99.1,,,,,190.4416893,,22.6205864,190.14884,,,212.7694264,,195.6,193.7694264,,,195.6,0.118,-0.935876075,,8.75864E-05,,
10.138,195.6,0.437,100.3,0.13,0.437,229.6,100.3,,,,,190.4267676,,22.76142664,190.02962,,,212.7910466,,195.6,193.7910466,,,195.6,0.13,-0.92482278,,8.55297E-05,,
