time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed
10.008,195.7,0.422,94.8,0.0,0.422,229.7,94.8,,,,,190.5124115329045,,21.43271410127102,190.62572,,,212.05843410127102,,195.7,193.05843410127102,,,195.7,0.0
10.02,195.7,0.422,95.1,0.0120000000000004,0.422,229.7,95.1,,,,,190.5192740384697,,21.48873451609984,190.62572,,,212.11445451609984,,195.7,193.11445451609984,,,195.7,0.0120000000000004
10.034,195.7,0.422,95.2,0.0260000000000015,0.422,229.7,95.2,,,,,190.5215607854614,,21.507396314396505,190.62572,,,212.13311631439652,,195.7,193.13311631439652,,,195.7,0.0260000000000015
10.046,195.7,0.422,95.4,0.0380000000000002,0.422,229.7,95.4,,,,,190.52613325820195,,21.54470242164158,190.62572,,,212.17042242164158,,195.7,193.17042242164158,,,195.7,0.0380000000000002
10.058,195.6,0.423,95.6,0.0500000000000007,0.423,229.6,95.6,,,,,190.51674062303871,,21.56837867619357,190.58597999999998,,,212.15435867619354,,195.6,193.15435867619354,,,195.6,0.0500000000000007
10.07,195.6,0.424,95.8,0.0620000000000011,0.424,229.6,95.8,,,,,190.5073006210031,,21.591954442889612,190.54623999999998,,,212.13819444288958,,195.6,193.13819444288958,,,195.6,0.0620000000000011
10.073,195.6,0.427,96.1,0.0650000000000012,0.427,229.6,96.1,,,,,190.47167113769288,,21.606622743050345,190.42701999999997,,,212.0336427430503,,195.6,193.0336427430503,,,195.6,0.0650000000000012
10.096,195.6,0.429,96.5,0.0880000000000009,0.429,229.6,96.5,,,,,190.45229533501728,,21.653079420279685,190.34753999999998,,,212.00061942027966,,195.6,193.00061942027966,,,195.6,0.0880000000000009
10.104,195.6,0.428,97.4,0.096,0.428,229.6,97.4,,,,,190.4878703090412,,21.832622763676433,190.38727999999998,,,212.2199027636764,,195.6,193.2199027636764,,,195.6,0.096
10.115,195.6,0.433,98.4,0.1070000000000011,0.433,229.6,98.4,,,,,190.4394401649112,,21.945674105795888,190.18858,,,212.1342541057959,,195.6,193.1342541057959,,,195.6,0.1070000000000011
10.126,195.6,0.434,99.1,0.1180000000000003,0.434,229.6,99.1,,,,,190.4416893082631,,22.05889745134663,190.14883999999998,,,212.20773745134662,,195.6,193.20773745134662,,,195.6,0.1180000000000003
