time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed
10.003,155.2,0.424,45.3,0.0,0.424,182.2,45.3,,,,,156.15014570452902,,15.212951013333578,149.29264,,,164.50559101333357,,155.2,154.50559101333357,,,155.2,0.0
10.015,155.2,0.424,45.3,0.0120000000000004,0.424,182.2,45.3,,,,,156.15014570452902,,15.212951013333578,149.29264,,,164.50559101333357,,155.2,154.50559101333357,,,155.2,0.0120000000000004
10.03,155.2,0.423,45.3,0.0269999999999992,0.423,182.2,45.3,,,,,156.16924454585808,,15.218106547969562,149.32928,,,164.54738654796958,,155.2,154.54738654796958,,,155.2,0.0269999999999992
10.038,155.2,0.424,45.3,0.0350000000000001,0.424,182.2,45.3,,,,,156.15014570452902,,15.212951013333578,149.29264,,,164.50559101333357,,155.2,154.50559101333357,,,155.2,0.0350000000000001
10.055,155.2,0.424,45.3,0.0519999999999996,0.424,182.2,45.3,,,,,156.15014570452902,,15.212951013333578,149.29264,,,164.50559101333357,,155.2,154.50559101333357,,,155.2,0.0519999999999996
10.067,155.2,0.424,45.4,0.064,0.424,182.2,45.4,,,,,156.15539314471303,,15.241397141081917,149.29264,,,164.5340371410819,,155.2,154.5340371410819,,,155.2,0.064
10.078,155.2,0.426,45.4,0.0749999999999992,0.426,182.2,45.4,,,,,156.11688647447886,,15.231076326240007,149.21936,,,164.45043632624,,155.2,154.45043632624,,,155.2,0.0749999999999992
10.091,155.2,0.426,45.5,0.0879999999999991,0.426,182.2,45.5,,,,,156.12219044928017,,15.259446905207186,149.21936,,,164.4788069052072,,155.2,154.4788069052072,,,155.2,0.0879999999999991
10.103,155.2,0.427,45.7,0.0999999999999996,0.427,182.2,45.7,,,,,156.11343463522584,,15.310920075280649,149.18272,,,164.49364007528064,,155.2,154.49364007528064,,,155.2,0.0999999999999996
10.115,155.2,0.431,46.1,0.1120000000000001,0.431,182.2,46.1,,,,,156.05654049158338,,15.402806446924885,149.03616,,,164.4389664469249,,155.2,154.4389664469249,,,155.2,0.1120000000000001
10.128,155.2,0.433,46.6,0.125,0.433,182.2,46.6,,,,,156.04407609484034,,15.532454954792048,148.96288,,,164.49533495479207,,155.2,154.49533495479207,,,155.2,0.125
10.141,155.2,0.435,47.3,0.1379999999999999,0.435,182.2,47.3,,,,,156.0425559228525,,15.716921886104291,148.8896,,,164.6065218861043,,155.2,154.6065218861043,,,155.2,0.1379999999999999
10.15,155.1,0.437,47.9,0.1470000000000002,0.437,182.1,47.9,,,,,156.03562619012484,,15.872239531450798,148.81632,,,164.68855953145078,,155.1,154.68855953145078,,,155.1,0.1470000000000002
10.166,155.1,0.44,48.4,0.1630000000000002,0.44,182.1,48.4,,,,,156.00307966179452,,15.993009619409003,148.7064,,,164.699409619409,,155.1,154.699409619409,,,155.1,0.1630000000000002
10.176,155.0,0.442,48.9,0.173,0.442,182.0,48.9,,,,,155.99054681151574,,16.118608127166453,148.63312,,,164.75172812716644,,155.0,154.75172812716644,,,155.0,0.173
10.186,154.9,0.445,49.3,0.1829999999999998,0.445,181.9,49.3,,,,,155.95187985811634,,16.210026317117272,148.5232,,,164.73322631711727,,154.9,154.73322631711727,,,154.9,0.1829999999999998
10.199,154.8,0.448,49.4,0.1959999999999997,0.448,181.8,49.4,,,,,155.8954595852336,,16.219260587116814,148.41328,,,164.6325405871168,,154.8,154.6325405871168,,,154.8,0.1959999999999997
10.216,154.6,0.45,49.6,0.2129999999999992,0.45,181.6,49.6,,,,,155.86507321680003,,16.26150125226837,148.34,,,164.60150125226838,,154.6,154.60150125226838,,,154.6,0.2129999999999992
10.24,154.3,0.454,50.0,0.2370000000000001,0.454,181.3,50.0,,,,,155.80345264860765,,16.345316312314704,148.19344,,,164.53875631231472,,154.3,154.53875631231472,,,154.3,0.2370000000000001
10.248,154.0,0.456,49.9,0.2449999999999992,0.456,181.0,49.9,,,,,155.7542467758369,,16.30644609734459,148.12016,,,164.42660609734457,,154.0,154.42660609734457,,,154.0,0.2449999999999992
10.276,153.7,0.46,49.2,0.2729999999999997,0.46,180.7,49.2,,,,,155.62303680249286,,16.095440879803544,147.9736,,,164.06904087980354,,153.7,154.06904087980354,,,153.7,0.2729999999999997
10.29,153.5,0.465,49.0,0.286999999999999,0.465,180.5,49.0,,,,,155.4959713987219,,16.01405362537209,147.7904,,,163.8044536253721,,153.5,153.8044536253721,,,153.5,0.286999999999999
10.319,153.2,0.468,49.1,0.3160000000000007,0.468,180.2,49.1,,,,,155.4319778320647,,16.024235890577557,147.68048,,,163.70471589057755,,153.2,153.70471589057755,,,153.2,0.3160000000000007
10.337,153.0,0.471,49.2,0.3339999999999996,0.471,180.0,49.2,,,,,155.36694714884817,,16.034414789975678,147.57056,,,163.60497478997567,,153.0,153.60497478997567,,,153.0,0.3339999999999996
10.357,152.8,0.476,49.0,0.3539999999999992,0.476,179.8,49.0,,,,,155.2315369080116,,15.954905430578505,147.38736,,,163.3422654305785,,152.8,153.3422654305785,,,152.8,0.3539999999999992
10.378,152.6,0.481,49.1,0.375,0.481,179.6,49.1,,,,,155.11264800379982,,15.955082892719219,147.20416,,,163.15924289271922,,152.6,153.15924289271922,,,152.6,0.375
10.398,152.4,0.483,49.6,0.3949999999999996,0.483,179.4,49.6,,,,,155.09628198444102,,16.0751462716531,147.13088,,,163.2060262716531,,152.4,153.2060262716531,,,152.4,0.3949999999999996
10.409,152.2,0.488,49.5,0.4060000000000006,0.488,179.2,49.5,,,,,154.95939489517104,,16.02313393567897,146.94768,,,162.97081393567896,,152.2,152.97081393567896,,,152.2,0.4060000000000006
10.435,152.0,0.493,49.6,0.4320000000000004,0.493,179.0,49.6,,,,,154.83315913025385,,16.02348848772539,146.76448,,,162.78796848772538,,152.0,152.78796848772538,,,152.0,0.4320000000000004
10.459,151.7,0.495,49.9,0.4559999999999995,0.495,178.7,49.9,,,,,154.80095911789536,,16.09039366083279,146.6912,,,162.7815936608328,,151.7,152.7815936608328,,,151.7,0.4559999999999995
10.475,151.4,0.498,49.7,0.4719999999999995,0.498,178.4,49.7,,,,,154.70359758456237,,16.0241142119514,146.58128,,,162.6053942119514,,151.4,152.6053942119514,,,151.4,0.4719999999999995
10.493,151.1,0.503,49.2,0.4900000000000002,0.503,178.1,49.2,,,,,154.52430988767296,,15.87235071267165,146.39808,,,162.27043071267164,,151.1,152.27043071267164,,,151.1,0.4900000000000002
10.517,150.9,0.509,49.1,0.5139999999999993,0.509,177.9,49.1,,,,,154.34133626541612,,15.81932887065671,146.17824,,,161.9975688706567,,150.9,151.9975688706567,,,150.9,0.5139999999999993
10.535,150.7,0.512,49.3,0.532,0.512,177.7,49.3,,,,,154.26786028952432,,15.856327070892153,146.06832,,,161.92464707089215,,150.7,151.92464707089215,,,150.7,0.532
10.558,150.4,0.516,49.4,0.5549999999999997,0.516,177.4,49.4,,,,,154.1546516786289,,15.863592215621711,145.92176,,,161.7853522156217,,150.4,151.7853522156217,,,150.4,0.5549999999999997
10.579,150.2,0.522,49.2,0.5760000000000005,0.522,177.2,49.2,,,,,153.95090934902987,,15.787622295453998,145.70192,,,161.489542295454,,150.2,151.489542295454,,,150.2,0.5760000000000005
10.599,150.0,0.527,49.4,0.5960000000000001,0.527,177.0,49.4,,,,,153.8079337957049,,15.816324325047221,145.51872,,,161.33504432504722,,150.0,151.33504432504722,,,150.0,0.5960000000000001
10.619,149.7,0.533,49.7,0.6159999999999997,0.533,176.7,49.7,,,,,153.63742337603344,,15.865464361366731,145.29888,,,161.16434436136672,,149.7,151.16434436136672,,,149.7,0.6159999999999997
10.638,149.5,0.536,49.7,0.6349999999999998,0.536,176.5,49.7,,,,,153.53689419853148,,15.853291095298829,145.18896,,,161.04225109529884,,149.5,151.04225109529884,,,149.5,0.6349999999999998
10.647,149.2,0.539,49.2,0.6440000000000001,0.539,176.2,49.2,,,,,153.388716508019,,15.719405241623589,145.07904,,,160.79844524162357,,149.2,150.79844524162357,,,149.2,0.6440000000000001
10.674,149.0,0.547,49.0,0.6709999999999994,0.547,176.0,49.0,,,,,153.08820909293894,,15.641420688175172,144.78592,,,160.42734068817518,,149.0,150.42734068817518,,,149.0,0.6709999999999994
