time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,,
10.007,113,0.435,44.9,0,0.435,146,44.9,,,,,112.3943082,,12.1935216,117.4322,,,129.6257216,,113,112.6257216,,,113,0,-0.331219824,,1.10E-05,,0.00895902
10.019,113,0.437,44.9,0.012,0.437,146,44.9,,,,,112.3693851,,12.17779227,117.38124,,,129.5590323,,113,112.5590323,,,113,0.012,-0.390236926,,1.52E-05,,
10.031,113,0.435,44.9,0.024,0.435,146,44.9,,,,,112.3943082,,12.1935216,117.4322,,,129.6257216,,113,112.6257216,,,113,0.024,-0.331219824,,1.10E-05,,
10.044,113,0.435,44.9,0.037,0.435,146,44.9,,,,,112.3943082,,12.1935216,117.4322,,,129.6257216,,113,112.6257216,,,113,0.037,-0.331219824,,1.10E-05,,
10.056,113,0.435,44.8,0.049,0.435,146,44.8,,,,,112.3906201,,12.17347565,117.4322,,,129.6056756,,113,112.6056756,,,113,0.049,-0.348959606,,1.22E-05,,
10.068,113.1,0.435,44.8,0.061,0.435,146.1,44.8,,,,,112.3906201,,12.17347565,117.4322,,,129.6056756,,113.1,112.6056756,,,113.1,0.061,-0.437068395,,1.91E-05,,
10.08,113.1,0.435,44.9,0.073,0.435,146.1,44.9,,,,,112.3943082,,12.1935216,117.4322,,,129.6257216,,113.1,112.6257216,,,113.1,0.073,-0.419344298,,1.76E-05,,
10.092,113.1,0.434,44.9,0.085,0.434,146.1,44.9,,,,,112.4066483,,12.20142909,117.45768,,,129.6591091,,113.1,112.6591091,,,113.1,0.085,-0.389823966,,1.52E-05,,
10.105,113.1,0.434,44.9,0.098,0.434,146.1,44.9,,,,,112.4066483,,12.20142909,117.45768,,,129.6591091,,113.1,112.6591091,,,113.1,0.098,-0.389823966,,1.52E-05,,
10.117,113.1,0.434,44.9,0.11,0.434,146.1,44.9,,,,,112.4066483,,12.20142909,117.45768,,,129.6591091,,113.1,112.6591091,,,113.1,0.11,-0.389823966,,1.52E-05,,
10.125,113.1,0.435,45,0.118,0.435,146.1,45,,,,,112.3979903,,12.21355427,117.4322,,,129.6457543,,113.1,112.6457543,,,113.1,0.118,-0.401631942,,1.61E-05,,
10.138,113.1,0.435,45.1,0.131,0.435,146.1,45.1,,,,,112.4016662,,12.23357372,117.4322,,,129.6657737,,113.1,112.6657737,,,113.1,0.131,-0.383931284,,1.47E-05,,
10.15,113.1,0.437,45.2,0.143,0.437,146.1,45.2,,,,,112.3805527,,12.23769879,117.38124,,,129.6189388,,113.1,112.6189388,,,113.1,0.143,-0.425341475,,1.81E-05,,
10.162,113.1,0.439,45.3,0.155,0.439,146.1,45.3,,,,,112.3592015,,12.24182426,117.33028,,,129.5721043,,113.1,112.5721043,,,113.1,0.155,-0.466751315,,2.18E-05,,
10.174,113.1,0.442,45.7,0.167,0.442,146.1,45.7,,,,,112.3362452,,12.2974503,117.25384,,,129.5512903,,113.1,112.5512903,,,113.1,0.167,-0.485154464,,2.35E-05,,
10.187,113.1,0.443,46.2,0.18,0.443,146.1,46.2,,,,,112.3424805,,12.38807696,117.22836,,,129.616437,,113.1,112.616437,,,113.1,0.18,-0.427553524,,1.83E-05,,
10.2,113.1,0.446,46.7,0.193,0.446,146.1,46.7,,,,,112.3231669,,12.46205362,117.15192,,,129.6139736,,113.1,112.6139736,,,113.1,0.193,-0.429731543,,1.85E-05,,
10.221,113.1,0.45,47.3,0.214,0.45,146.1,47.3,,,,,112.2945334,,12.54655538,117.05,,,129.5965554,,113.1,112.5965554,,,113.1,0.214,-0.445132286,,1.98E-05,,
10.237,113.1,0.453,48,0.23,0.453,146.1,48,,,,,112.2826115,,12.65721579,116.97356,,,129.6307758,,113.1,112.6307758,,,113.1,0.23,-0.414875516,,1.72E-05,,
10.258,113,0.454,48.7,0.251,0.454,146,48.7,,,,,112.2969112,,12.7830291,116.94808,,,129.7311091,,113,112.7311091,,,113,0.251,-0.237956546,,5.66E-06,,
10.278,112.9,0.457,49,0.271,0.457,145.9,49,,,,,112.2692879,,12.81533513,116.87164,,,129.6869751,,112.9,112.6869751,,,112.9,0.271,-0.188684561,,3.56E-06,,
10.299,112.8,0.461,49.2,0.292,0.461,145.8,49.2,,,,,112.2238011,,12.82028183,116.76972,,,129.5900018,,112.8,112.5900018,,,112.8,0.292,-0.186168587,,3.47E-06,,
10.319,112.7,0.464,49.5,0.312,0.464,145.7,49.5,,,,,112.1951873,,12.85217577,116.69328,,,129.5454558,,112.7,112.5454558,,,112.7,0.312,-0.137128861,,1.88E-06,,
10.339,112.6,0.467,49.6,0.332,0.467,145.6,49.6,,,,,112.1578815,,12.84646873,116.61684,,,129.4633087,,112.6,112.4633087,,,112.6,0.332,-0.121395445,,1.47E-06,,
10.359,112.4,0.47,49.7,0.352,0.47,145.4,49.7,,,,,112.1199473,,12.8408692,116.5404,,,129.3812692,,112.4,112.3812692,,,112.4,0.352,-0.016664413,,2.78E-08,,
10.38,112.2,0.475,49.5,0.373,0.475,145.2,49.5,,,,,112.0393577,,12.76397048,116.413,,,129.1769705,,112.2,112.1769705,,,112.2,0.373,-0.020525416,,4.21E-08,,
10.397,112,0.479,49.5,0.39,0.479,145,49.5,,,,,111.98008,,12.73272396,116.31108,,,129.043804,,112,112.043804,,,112,0.39,0.039110679,,1.53E-07,,
10.418,111.8,0.482,49.6,0.411,0.482,144.8,49.6,,,,,111.9392259,,12.72792439,116.23464,,,128.9625644,,111.8,111.9625644,,,111.8,0.411,0.145406431,,2.11E-06,,
10.438,111.6,0.486,49.6,0.431,0.486,144.6,49.6,,,,,111.8775462,,12.69733579,116.13272,,,128.8300558,,111.6,111.8300558,,,111.6,0.431,0.206143183,,4.25E-06,,
10.458,111.4,0.489,49.2,0.451,0.489,144.4,49.2,,,,,111.811396,,12.60177456,116.05628,,,128.6580546,,111.4,111.6580546,,,111.4,0.451,0.231646824,,5.37E-06,,
10.479,111.2,0.494,49,0.472,0.494,144.2,49,,,,,111.7205287,,12.52860759,115.92888,,,128.4574876,,111.2,111.4574876,,,111.2,0.472,0.231553585,,5.36E-06,,
10.499,111.1,0.498,49.2,0.492,0.498,144.1,49.2,,,,,111.663758,,12.53587826,115.82696,,,128.3628383,,111.1,111.3628383,,,111.1,0.492,0.236578092,,5.60E-06,,
10.519,110.9,0.501,49.4,0.512,0.501,143.9,49.4,,,,,111.6229867,,12.55033042,115.75052,,,128.3008504,,110.9,111.3008504,,,110.9,0.512,0.36145214,,1.31E-05,,
10.537,110.8,0.506,49.5,0.53,0.506,143.8,49.5,,,,,111.5416849,,12.53260226,115.62312,,,128.1557223,,110.8,111.1557223,,,110.8,0.53,0.321048971,,1.03E-05,,
10.557,110.6,0.511,49.6,0.55,0.511,143.6,49.6,,,,,111.4582264,,12.51525296,115.49572,,,128.010973,,110.6,111.010973,,,110.6,0.55,0.371584953,,1.38E-05,,
10.577,110.4,0.516,49.8,0.57,0.516,143.4,49.8,,,,,111.378052,,12.5159157,115.36832,,,127.8842357,,110.4,110.8842357,,,110.4,0.57,0.438619292,,1.92E-05,,
10.598,110.3,0.52,49.7,0.591,0.52,143.3,49.7,,,,,111.2979932,,12.47089962,115.2664,,,127.7372996,,110.3,110.7372996,,,110.3,0.591,0.39646384,,1.57E-05,,
10.618,110.1,0.523,49.6,0.611,0.523,143.1,49.6,,,,,111.2352934,,12.4330804,115.18996,,,127.6230404,,110.1,110.6230404,,,110.1,0.611,0.475059397,,2.26E-05,,
10.639,109.9,0.53,49.6,0.632,0.53,142.9,49.6,,,,,111.0984567,,12.38661074,115.0116,,,127.3982107,,109.9,110.3982107,,,109.9,0.632,0.453330974,,2.06E-05,,
10.659,109.7,0.534,49.6,0.652,0.534,142.7,49.6,,,,,111.0179646,,12.36052494,114.90968,,,127.2702049,,109.7,110.2702049,,,109.7,0.652,0.519785725,,2.70E-05,,
10.679,109.5,0.538,49.5,0.672,0.538,142.5,49.5,,,,,110.9295941,,12.31751024,114.80776,,,127.1252702,,109.5,110.1252702,,,109.5,0.672,0.571023048,,3.26E-05,,
