time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,
10.007,113,0.435,44.9,0,0.435,146,44.9,,,,,112.3943082,,11.70237473,117.4322,,,129.1345747,,113,112.1345747,,,113,0,-0.765863072,,5.86546E-05,0.010265225
10.019,113,0.437,44.9,0.012,0.437,146,44.9,,,,,112.3693851,,11.69148095,117.38124,,,129.0727209,,113,112.0727209,,,113,0.012,-0.820600929,,6.73386E-05,
10.031,113,0.435,44.9,0.024,0.435,146,44.9,,,,,112.3943082,,11.70237473,117.4322,,,129.1345747,,113,112.1345747,,,113,0.024,-0.765863072,,5.86546E-05,
10.044,113,0.435,44.9,0.037,0.435,146,44.9,,,,,112.3943082,,11.70237473,117.4322,,,129.1345747,,113,112.1345747,,,113,0.037,-0.765863072,,5.86546E-05,
10.056,113,0.435,44.8,0.049,0.435,146,44.8,,,,,112.3906201,,11.68058429,117.4322,,,129.1127843,,113,112.1127843,,,113,0.049,-0.785146647,,6.16455E-05,
10.068,113.1,0.435,44.8,0.061,0.435,146.1,44.8,,,,,112.3906201,,11.68058429,117.4322,,,129.1127843,,113.1,112.1127843,,,113.1,0.061,-0.872869771,,7.61902E-05,
10.08,113.1,0.435,44.9,0.073,0.435,146.1,44.9,,,,,112.3943082,,11.70237473,117.4322,,,129.1345747,,113.1,112.1345747,,,113.1,0.073,-0.853603246,,7.28639E-05,
10.092,113.1,0.434,44.9,0.085,0.434,146.1,44.9,,,,,112.4066483,,11.70783839,117.45768,,,129.1655184,,113.1,112.1655184,,,113.1,0.085,-0.82624369,,6.82679E-05,
10.105,113.1,0.434,44.9,0.098,0.434,146.1,44.9,,,,,112.4066483,,11.70783839,117.45768,,,129.1655184,,113.1,112.1655184,,,113.1,0.098,-0.82624369,,6.82679E-05,
10.117,113.1,0.434,44.9,0.11,0.434,146.1,44.9,,,,,112.4066483,,11.70783839,117.45768,,,129.1655184,,113.1,112.1655184,,,113.1,0.11,-0.82624369,,6.82679E-05,
10.125,113.1,0.435,45,0.118,0.435,146.1,45,,,,,112.3979903,,11.72415341,117.4322,,,129.1563534,,113.1,112.1563534,,,113.1,0.118,-0.834347113,,6.96135E-05,
10.138,113.1,0.435,45.1,0.131,0.435,146.1,45.1,,,,,112.4016662,,11.74592036,117.4322,,,129.1781204,,113.1,112.1781204,,,113.1,0.131,-0.815101361,,6.6439E-05,
10.15,113.1,0.437,45.2,0.143,0.437,146.1,45.2,,,,,112.3805527,,11.75662827,117.38124,,,129.1378683,,113.1,112.1378683,,,113.1,0.143,-0.850691183,,7.23675E-05,
10.162,113.1,0.439,45.3,0.155,0.439,146.1,45.3,,,,,112.3592015,,11.76726745,117.33028,,,129.0975474,,113.1,112.0975474,,,113.1,0.155,-0.886341779,,7.85602E-05,
10.174,113.1,0.442,45.7,0.167,0.442,146.1,45.7,,,,,112.3362452,,11.83691485,117.25384,,,129.0907549,,113.1,112.0907549,,,113.1,0.167,-0.892347611,,7.96284E-05,
10.187,113.1,0.443,46.2,0.18,0.443,146.1,46.2,,,,,112.3424805,,11.93862356,117.22836,,,129.1669836,,113.1,112.1669836,,,113.1,0.18,-0.824948226,,6.8054E-05,
10.2,113.1,0.446,46.7,0.193,0.446,146.1,46.7,,,,,112.3231669,,12.02819317,117.15192,,,129.1801132,,113.1,112.1801132,,,113.1,0.193,-0.813339372,,6.61521E-05,
10.221,113.1,0.45,47.3,0.214,0.45,146.1,47.3,,,,,112.2945334,,12.13206932,117.05,,,129.1820693,,113.1,112.1820693,,,113.1,0.214,-0.811609796,,6.5871E-05,
10.237,113.1,0.453,48,0.23,0.453,146.1,48,,,,,112.2826115,,12.26148093,116.97356,,,129.2350409,,113.1,112.2350409,,,113.1,0.23,-0.764773718,,5.84879E-05,
10.258,113,0.454,48.7,0.251,0.454,146,48.7,,,,,112.2969112,,12.40175349,116.94808,,,129.3498335,,113,112.3498335,,,113,0.251,-0.575368594,,3.31049E-05,
10.278,112.9,0.457,49,0.271,0.457,145.9,49,,,,,112.2692879,,12.44551161,116.87164,,,129.3171516,,112.9,112.3171516,,,112.9,0.271,-0.516251896,,2.66516E-05,
10.299,112.8,0.461,49.2,0.292,0.461,145.8,49.2,,,,,112.2238011,,12.46194197,116.76972,,,129.231662,,112.8,112.231662,,,112.8,0.292,-0.50384577,,2.53861E-05,
10.319,112.7,0.464,49.5,0.312,0.464,145.7,49.5,,,,,112.1951873,,12.5048974,116.69328,,,129.1981774,,112.7,112.1981774,,,112.7,0.312,-0.445272936,,1.98268E-05,
10.339,112.6,0.467,49.6,0.332,0.467,145.6,49.6,,,,,112.1578815,,12.50658527,116.61684,,,129.1234253,,112.6,112.1234253,,,112.6,0.332,-0.423245767,,1.79137E-05,
10.359,112.4,0.47,49.7,0.352,0.47,145.4,49.7,,,,,112.1199473,,12.50823722,116.5404,,,129.0486372,,112.4,112.0486372,,,112.4,0.352,-0.312600335,,9.7719E-06,
10.38,112.2,0.475,49.5,0.373,0.475,145.2,49.5,,,,,112.0393577,,12.43678988,116.413,,,128.8497899,,112.2,111.8497899,,,112.2,0.373,-0.312130234,,9.74253E-06,
