time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed
10.008,195.9,0.421,95.3,0.0,0.421,229.9,95.3,,,,,190.53775351036464,,24.38555570684191,190.66546000000002,,,215.05101570684192,,195.9,196.05101570684192,,,195.9,0.0
10.02,195.9,0.422,95.4,0.0120000000000004,0.422,229.9,95.4,,,,,190.52613325820195,,24.38466527659074,190.62572000000003,,,215.01038527659077,,195.9,196.01038527659077,,,195.9,0.0120000000000004
10.032,195.9,0.423,95.8,0.0240000000000009,0.423,229.9,95.8,,,,,190.5213337025306,,24.440463226645623,190.58598,,,215.02644322664563,,195.9,196.02644322664563,,,195.9,0.0240000000000009
10.044,195.9,0.426,96.3,0.0360000000000013,0.426,229.9,96.3,,,,,190.4906076677818,,24.47473479514173,190.46676000000002,,,214.94149479514175,,195.9,195.94149479514175,,,195.9,0.0360000000000013
10.055,195.8,0.428,97.1,0.0470000000000006,0.428,229.8,97.1,,,,,190.48082012442592,,24.584345042912013,190.38728000000003,,,214.97162504291205,,195.8,195.97162504291205,,,195.8,0.0470000000000006
10.068,195.8,0.429,98.3,0.0600000000000005,0.429,229.8,98.3,,,,,190.4948019151662,,24.787192514687476,190.34754,,,215.13473251468747,,195.8,196.13473251468747,,,195.8,0.0600000000000005
10.085,195.8,0.432,98.9,0.0770000000000017,0.432,229.8,98.9,,,,,190.4659768024377,,24.836682795266302,190.22832000000002,,,215.06500279526634,,195.8,196.06500279526634,,,195.8,0.0770000000000017
10.105,195.8,0.435,99.9,0.0970000000000013,0.435,229.8,99.9,,,,,190.44642465173467,,24.95828550453236,190.1091,,,215.06738550453238,,195.8,196.06738550453238,,,195.8,0.0970000000000013
10.12,195.7,0.437,100.9,0.1120000000000001,0.437,229.7,100.9,,,,,190.44145901538957,,25.098657218169084,190.02962000000002,,,215.1282772181691,,195.7,196.1282772181691,,,195.7,0.1120000000000001
10.138,195.7,0.439,102.1,0.1300000000000007,0.439,229.7,102.1,,,,,190.44151484148213,,25.273302997161828,189.95014000000003,,,215.22344299716187,,195.7,196.22344299716187,,,195.7,0.1300000000000007
10.153,195.5,0.443,103.4,0.1450000000000013,0.443,229.5,103.4,,,,,190.41444728734533,,25.42105085468802,189.79118000000003,,,215.21223085468804,,195.5,196.21223085468804,,,195.5,0.1450000000000013
10.18,195.3,0.449,103.6,0.1720000000000006,0.449,229.3,103.6,,,,,190.32798121394376,,25.3292985338146,189.55274000000003,,,214.88203853381464,,195.3,195.88203853381464,,,195.3,0.1720000000000006
10.204,195.1,0.451,104.1,0.1960000000000015,0.451,229.1,104.1,,,,,190.3097616492045,,25.374855333576473,189.47326,,,214.8481153335765,,195.1,195.8481153335765,,,195.1,0.1960000000000015
10.221,194.8,0.451,104.3,0.2130000000000009,0.451,228.8,104.3,,,,,190.31497790250808,,25.409921720802362,189.47326,,,214.88318172080238,,194.8,195.88318172080238,,,194.8,0.2130000000000009
10.244,194.5,0.45,104.3,0.2360000000000006,0.45,228.5,104.3,,,,,190.33057565166,,25.43118616579429,189.513,,,214.9441861657943,,194.5,195.9441861657943,,,194.5,0.2360000000000006
10.265,194.2,0.455,104.0,0.2570000000000014,0.455,228.2,104.0,,,,,190.2436621966385,,25.272723212622132,189.3143,,,214.58702321262214,,194.2,195.58702321262214,,,194.2,0.2570000000000014
10.285,193.9,0.46,103.7,0.277000000000001,0.46,227.9,103.7,,,,,190.15394061414585,,25.115389857786262,189.11560000000003,,,214.23098985778628,,193.9,195.23098985778628,,,193.9,0.277000000000001
10.296,193.6,0.466,103.3,0.2880000000000002,0.466,227.6,103.3,,,,,190.0413131694978,,24.921225065779872,188.87716,,,213.79838506577988,,193.6,194.79838506577988,,,193.6,0.2880000000000002
10.322,193.3,0.472,102.7,0.314,0.472,227.3,102.7,,,,,189.91849230817624,,24.69448985788478,188.63872,,,213.33320985788478,,193.3,194.33320985788478,,,193.3,0.314
10.344,193.0,0.472,102.6,0.3360000000000003,0.472,227.0,102.6,,,,,189.91560337792097,,24.677275545002832,188.63872,,,213.31599554500283,,193.0,194.31599554500283,,,193.0,0.3360000000000003
10.361,192.7,0.476,102.7,0.3530000000000015,0.476,226.7,102.7,,,,,189.84566058754584,,24.61314183379943,188.47976,,,213.09290183379943,,192.7,194.09290183379943,,,192.7,0.3530000000000015
10.377,192.4,0.481,103.8,0.3690000000000015,0.481,226.4,103.8,,,,,189.7853304859065,,24.69879495190097,188.28106000000002,,,212.979854951901,,192.4,193.979854951901,,,192.4,0.3690000000000015
10.396,192.1,0.484,104.0,0.3880000000000017,0.484,226.1,104.0,,,,,189.73450001946551,,24.671524755801467,188.16184,,,212.83336475580148,,192.1,193.83336475580148,,,192.1,0.3880000000000017
10.425,191.8,0.49,103.6,0.4170000000000016,0.49,225.8,103.6,,,,,189.6051493427634,,24.483172415231873,187.92340000000002,,,212.4065724152319,,191.8,193.4065724152319,,,191.8,0.4170000000000016
10.427,191.6,0.493,103.4,0.4190000000000005,0.493,225.6,103.4,,,,,189.5386147090656,,24.389756811707862,187.80418,,,212.19393681170786,,191.6,193.19393681170786,,,191.6,0.4190000000000005
10.461,191.3,0.495,103.1,0.4530000000000012,0.495,225.3,103.1,,,,,189.4881428535861,,24.29997318548182,187.7247,,,212.02467318548184,,191.3,193.02467318548184,,,191.3,0.4530000000000012
10.483,191.0,0.499,103.5,0.4750000000000014,0.499,225.0,103.5,,,,,189.4182966241311,,24.287394057240128,187.56574,,,211.85313405724014,,191.0,192.85313405724014,,,191.0,0.4750000000000014
10.5,190.7,0.501,103.8,0.4920000000000009,0.501,224.7,103.8,,,,,189.3861908994994,,24.297500550703766,187.48626000000002,,,211.7837605507038,,190.7,192.7837605507038,,,190.7,0.4920000000000009
10.516,190.4,0.508,103.8,0.5080000000000009,0.508,224.4,103.8,,,,,189.23525351415628,,24.16011079620774,187.20808,,,211.36819079620773,,190.4,192.36819079620773,,,190.4,0.5080000000000009
10.53,190.1,0.516,104.1,0.5220000000000002,0.516,224.1,104.1,,,,,189.0661148252528,,24.053651823406927,186.89016,,,210.94381182340695,,190.1,191.94381182340695,,,190.1,0.5220000000000002
10.564,189.8,0.519,104.1,0.5560000000000009,0.519,223.8,104.1,,,,,188.99669076964943,,23.99592831694692,186.77094,,,210.76686831694693,,189.8,191.76686831694693,,,189.8,0.5560000000000009
10.58,189.4,0.521,104.4,0.572000000000001,0.521,223.4,104.4,,,,,188.96087675190117,,24.005742162358523,186.69146,,,210.69720216235854,,189.4,191.69720216235854,,,189.4,0.572000000000001
10.602,189.1,0.525,103.8,0.5940000000000012,0.525,223.1,103.8,,,,,188.8429411550829,,23.83352205623694,186.5325,,,210.36602205623694,,189.1,191.36602205623694,,,189.1,0.5940000000000012
10.621,188.8,0.531,103.3,0.6130000000000013,0.531,222.8,103.3,,,,,188.6757487616169,,23.641354033540434,186.29406,,,209.93541403354044,,188.8,190.93541403354044,,,188.8,0.6130000000000013
10.643,188.5,0.536,103.5,0.6350000000000016,0.536,222.5,103.5,,,,,188.55663653933988,,23.58047002852117,186.09536,,,209.67583002852118,,188.5,190.67583002852118,,,188.5,0.6350000000000016
10.662,188.2,0.541,103.9,0.6540000000000017,0.541,222.2,103.9,,,,,188.442775519449,,23.5513633060509,185.89666,,,209.44802330605089,,188.2,190.44802330605089,,,188.2,0.6540000000000017
10.682,187.9,0.545,103.8,0.6740000000000013,0.545,221.9,103.8,,,,,188.3319925520661,,23.462768058475284,185.7377,,,209.20046805847528,,187.9,190.20046805847528,,,187.9,0.6740000000000013
10.703,187.6,0.552,103.4,0.6950000000000003,0.552,221.6,103.4,,,,,188.12220239695543,,23.274852407449483,185.45952,,,208.73437240744948,,187.6,189.73437240744948,,,187.6,0.6950000000000003
10.723,187.3,0.555,103.6,0.7150000000000016,0.555,221.3,103.6,,,,,188.04635779873823,,23.25234480733857,185.34029999999998,,,208.59264480733856,,187.3,189.59264480733856,,,187.3,0.7150000000000016
10.741,187.1,0.561,103.9,0.7330000000000005,0.561,221.1,103.9,,,,,187.8868685163678,,23.192328462747042,185.10186,,,208.29418846274703,,187.1,189.29418846274703,,,187.1,0.7330000000000005
10.761,186.8,0.565,104.1,0.7530000000000001,0.565,220.8,104.1,,,,,187.778009004452,,23.15265205187145,184.9429,,,208.09555205187146,,186.8,189.09555205187146,,,186.8,0.7530000000000001
10.778,186.5,0.57,104.5,0.7700000000000014,0.57,220.5,104.5,,,,,187.6462837765369,,23.12594984056979,184.7442,,,207.8701498405698,,186.5,188.8701498405698,,,186.5,0.7700000000000014
10.798,186.2,0.575,104.3,0.7900000000000009,0.575,220.2,104.3,,,,,187.48196826013472,,23.009967111662053,184.5455,,,207.55546711166207,,186.2,188.55546711166207,,,186.2,0.7900000000000009
10.812,185.9,0.58,104.2,0.8040000000000003,0.58,219.9,104.2,,,,,187.3182724799325,,22.910175945724113,184.3468,,,207.25697594572412,,185.9,188.25697594572412,,,185.9,0.8040000000000003
10.844,185.6,0.586,104.0,0.8360000000000003,0.586,219.6,104.0,,,,,187.111963845562,,22.78023248810858,184.10836,,,206.8885924881086,,185.6,187.8885924881086,,,185.6,0.8360000000000003
10.864,185.3,0.589,104.1,0.8560000000000016,0.589,219.3,104.1,,,,,187.01708514958452,,22.745266768767706,183.98914,,,206.7344067687677,,185.3,187.7344067687677,,,185.3,0.8560000000000016
10.872,185.1,0.594,104.1,0.8640000000000008,0.594,219.1,104.1,,,,,186.84686077683,,22.66328016526489,183.79044,,,206.45372016526488,,185.1,187.45372016526488,,,185.1,0.8640000000000008
10.9,184.8,0.602,103.8,0.8920000000000012,0.602,218.8,103.8,,,,,186.54854219219487,,22.49099631905607,183.47251999999997,,,205.96351631905605,,184.8,186.96351631905605,,,184.8,0.8920000000000012
10.92,184.5,0.607,104.2,0.9120000000000008,0.607,218.5,104.2,,,,,186.39047201991636,,22.469077814138704,183.27382,,,205.7428978141387,,184.5,186.7428978141387,,,184.5,0.9120000000000008
10.941,184.3,0.609,104.0,0.9330000000000016,0.609,218.3,104.0,,,,,186.30493153285343,,22.40906568461339,183.19433999999998,,,205.60340568461336,,184.3,186.60340568461336,,,184.3,0.9330000000000016
10.955,184.0,0.616,104.0,0.947000000000001,0.616,218.0,104.0,,,,,186.04125979439652,,22.300297091734876,182.91616,,,205.21645709173487,,184.0,186.21645709173487,,,184.0,0.947000000000001
10.981,183.8,0.621,104.1,0.9730000000000008,0.621,217.8,104.1,,,,,185.8539281960756,,22.23782379503491,182.71746,,,204.9552837950349,,183.8,185.9552837950349,,,183.8,0.9730000000000008
11.002,183.6,0.627,104.5,0.9940000000000015,0.627,217.6,104.5,,,,,185.6418219037645,,22.20280343652222,182.47902,,,204.68182343652222,,183.6,185.68182343652222,,,183.6,0.9940000000000015
11.02,183.3,0.631,104.6,1.0120000000000005,0.631,217.3,104.6,,,,,185.4865435226155,,22.156706219433293,182.32005999999998,,,204.47676621943327,,183.3,185.47676621943327,,,183.3,1.0120000000000005
11.043,183.1,0.636,104.0,1.035,0.636,217.1,104.0,,,,,185.2392496859377,,22.00028182872325,182.12135999999998,,,204.12164182872323,,183.1,185.12164182872323,,,183.1,1.035
11.055,182.9,0.641,104.1,1.0470000000000006,0.641,216.9,104.1,,,,,185.0341621243701,,21.94140196015219,181.92265999999998,,,203.86406196015218,,182.9,184.86406196015218,,,182.9,1.0470000000000006
11.081,182.6,0.646,104.5,1.0730000000000004,0.646,216.6,104.5,,,,,184.8461436464642,,21.923931908524995,181.72395999999998,,,203.64789190852497,,182.6,184.64789190852497,,,182.6,1.0730000000000004
11.101,182.4,0.649,104.4,1.0930000000000015,0.649,216.4,104.4,,,,,184.706987919142,,21.86772690270395,181.60474,,,203.47246690270396,,182.4,184.47246690270396,,,182.4,1.0930000000000015
11.121,182.2,0.654,104.3,1.113000000000001,0.654,216.2,104.3,,,,,184.47564926347283,,21.78399802302549,181.40603999999996,,,203.19003802302547,,182.2,184.19003802302547,,,182.2,1.113000000000001
