time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed
10.006,160.2,0.203,44.8,0.0,0.203,193.2,44.8,,,,,157.80877125440756,,14.952602413590295,161.9647,,,176.91730241359028,,153.7,151.91730241359028,,,153.7,0.0
10.014,160.2,0.203,44.9,0.0079999999999991,0.203,193.2,44.9,,,,,157.80945883751187,,14.983600999586171,161.9647,,,176.94830099958617,,153.7,151.94830099958617,,,153.7,0.0079999999999991
10.03,160.2,0.203,45.0,0.0239999999999991,0.203,193.2,45.0,,,,,157.81014720941482,,15.014592129639851,161.9647,,,176.97929212963984,,153.7,151.97929212963984,,,153.7,0.0239999999999991
10.042,160.2,0.205,45.1,0.0359999999999995,0.205,193.2,45.1,,,,,157.80653126967948,,15.025248586849193,161.9145,,,176.9397485868492,,153.7,151.9397485868492,,,153.7,0.0359999999999995
10.053,160.2,0.206,45.3,0.0470000000000006,0.206,193.2,45.3,,,,,157.8057412094823,,15.076751915196128,161.8894,,,176.96615191519612,,153.7,151.96615191519612,,,153.7,0.0470000000000006
10.067,160.2,0.206,45.4,0.0609999999999999,0.206,193.2,45.4,,,,,157.8064479977268,,15.107580052142115,161.8894,,,176.9969800521421,,153.7,151.9969800521421,,,153.7,0.0609999999999999
10.08,160.2,0.206,45.5,0.0739999999999998,0.206,193.2,45.5,,,,,157.80715555940603,,15.138400532858652,161.8894,,,177.02780053285863,,153.7,152.02780053285863,,,153.7,0.0739999999999998
10.089,160.2,0.206,45.7,0.0830000000000001,0.206,193.2,45.7,,,,,157.80857306915624,,15.200018679540307,161.8894,,,177.0894186795403,,153.7,152.0894186795403,,,153.7,0.0830000000000001
10.104,160.2,0.207,45.8,0.0979999999999989,0.207,193.2,45.8,,,,,157.80708497497076,,15.220321394303609,161.86430000000001,,,177.0846213943036,,153.7,152.0846213943036,,,153.7,0.0979999999999989
10.117,160.2,0.208,45.9,0.1110000000000006,0.208,193.2,45.9,,,,,157.80557520272114,,15.240519506356137,161.8392,,,177.07971950635613,,153.7,152.07971950635613,,,153.7,0.1110000000000006
10.129,160.1,0.211,46.2,0.1229999999999993,0.211,193.1,46.2,,,,,157.80091418546445,,15.300486356395817,161.7639,,,177.06438635639583,,153.6,152.06438635639583,,,153.6,0.1229999999999993
10.139,160.1,0.212,46.7,0.1329999999999991,0.212,193.1,46.7,,,,,157.80230506408157,,15.442147411389325,161.7388,,,177.18094741138933,,153.6,152.18094741138933,,,153.6,0.1329999999999991
10.149,160.1,0.214,47.2,0.1429999999999989,0.214,193.1,47.2,,,,,157.801377536068,,15.571977748746242,161.6886,,,177.26057774874624,,153.6,152.26057774874624,,,153.6,0.1429999999999989
10.162,160.1,0.218,47.7,0.1560000000000005,0.218,193.1,47.7,,,,,157.79554022449364,,15.677831291862555,161.5882,,,177.26603129186256,,153.6,152.26603129186256,,,153.6,0.1560000000000005
10.174,160.0,0.223,48.4,0.1679999999999992,0.223,193.0,48.4,,,,,157.7884124794895,,15.829541310784021,161.4627,,,177.29224131078402,,153.5,152.29224131078402,,,153.5,0.1679999999999992
10.186,159.9,0.224,48.9,0.1799999999999997,0.224,192.9,48.9,,,,,157.7899238537884,,15.966505949929742,161.4376,,,177.40410594992974,,153.4,152.40410594992974,,,153.4,0.1799999999999997
10.199,159.8,0.224,49.2,0.1929999999999996,0.224,192.8,49.2,,,,,157.79242458851803,,16.055645631475578,161.4376,,,177.4932456314756,,153.3,152.4932456314756,,,153.3,0.1929999999999996
10.211,159.6,0.227,49.2,0.205,0.227,192.6,49.2,,,,,157.78442201172848,,16.019203459972758,161.3623,,,177.38150345997275,,153.1,152.38150345997275,,,153.1,0.205
10.221,159.4,0.229,49.3,0.2149999999999998,0.229,192.4,49.3,,,,,157.77976773946688,,16.02435690696174,161.31210000000002,,,177.33645690696176,,152.9,152.33645690696176,,,152.9,0.2149999999999998
10.235,159.2,0.233,49.3,0.2289999999999992,0.233,192.2,49.3,,,,,157.76830050996162,,15.9755010916296,161.2117,,,177.18720109162962,,152.7,152.18720109162962,,,152.7,0.2289999999999992
10.245,158.9,0.236,49.3,0.238999999999999,0.236,191.9,49.3,,,,,157.75929149276735,,15.938815778670916,161.1364,,,177.07521577867092,,152.4,152.07521577867092,,,152.4,0.238999999999999
