time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension
10.005,160.4,0.209,44.9,0.0,0.209,192.4,44.9,,,,,156.6409491057762,,8.461299605755581,172.23626000000004,,,180.69755960575563,,158.4,155.69755960575563,,,158.4,0.0,-1.7060861074775107,
10.013,160.4,0.209,45.0,0.0079999999999991,0.209,192.4,45.0,,,,,156.64179031332722,,8.479799579009017,172.23626000000004,,,180.71605957900903,,158.4,155.71605957900906,,,158.4,0.0079999999999991,-1.6944068314336806,
10.023,160.4,0.212,45.1,0.0179999999999989,0.212,192.4,45.1,,,,,156.63640108968545,,8.498724320205254,172.13768000000005,,,180.6364043202053,,158.4,155.6364043202053,,,158.4,0.0179999999999989,-1.7446942422946456,
10.041,160.4,0.212,45.3,0.0359999999999995,0.212,192.4,45.3,,,,,156.6381275839885,,8.535693305137471,172.13768000000005,,,180.67337330513752,,158.4,155.67337330513752,,,158.4,0.0359999999999995,-1.7213552366556115,
10.056,160.4,0.213,45.4,0.0509999999999983,0.213,192.4,45.4,,,,,156.63686620322972,,8.55432851844701,172.10482000000005,,,180.65914851844707,,158.4,155.65914851844707,,,158.4,0.0509999999999983,-1.7303355312834199,
10.066,160.4,0.214,45.5,0.0609999999999999,0.214,192.4,45.5,,,,,156.63558433467685,,8.572965809939241,172.07196000000005,,,180.64492580993928,,158.4,155.64492580993928,,,158.4,0.0609999999999999,-1.7393145139272252,
10.082,160.4,0.216,45.8,0.0769999999999999,0.216,192.4,45.8,,,,,156.6338530087428,,8.628708432300405,172.00624000000005,,,180.6349484323005,,158.4,155.63494843230046,,,158.4,0.0769999999999999,-1.7456133634466817,
10.093,160.4,0.217,46.2,0.0879999999999991,0.217,192.4,46.2,,,,,156.6352262555693,,8.702709741044028,171.97338000000005,,,180.67608974104408,,158.4,155.67608974104408,,,158.4,0.0879999999999991,-1.7196403149974275,
10.105,160.4,0.218,46.7,0.0999999999999996,0.218,192.4,46.7,,,,,156.63754362980956,,8.795116380040534,171.94052000000005,,,180.73563638004055,,158.4,155.73563638004055,,,158.4,0.0999999999999996,-1.6820477398733962,
10.117,160.3,0.222,47.2,0.1120000000000001,0.222,192.3,47.2,,,,,156.63306507982136,,8.887965120931312,171.80908000000005,,,180.69704512093136,,158.3,155.69704512093136,,,158.3,0.1120000000000001,-1.6443176747117167,
10.129,160.3,0.224,47.7,0.1239999999999987,0.224,192.3,47.7,,,,,156.63312840257618,,8.98040286486069,171.74336000000002,,,180.7237628648607,,158.3,155.7237628648607,,,158.3,0.1239999999999987,-1.627439756878906,
10.134,160.3,0.229,48.5,0.1289999999999995,0.229,192.3,48.5,,,,,156.62881994347595,,9.128521524676907,171.57906000000003,,,180.70758152467693,,158.3,155.70758152467693,,,158.3,0.1289999999999995,-1.637661702667774,
10.159,160.2,0.231,49.0,0.1539999999999999,0.231,192.2,49.0,,,,,156.62885304119993,,9.220778836681564,171.51334000000003,,,180.7341188366816,,158.2,155.7341188366816,,,158.2,0.1539999999999999,-1.5587112283934172,
10.179,160.0,0.233,49.6,0.1739999999999995,0.233,192.0,49.6,,,,,156.62994256201537,,9.331304988125243,171.44762000000003,,,180.77892498812528,,158.0,155.77892498812528,,,158.0,0.1739999999999995,-1.4057436784017197,
10.199,159.8,0.235,49.9,0.193999999999999,0.235,191.8,49.9,,,,,156.6279030550017,,9.386746439444195,171.38190000000003,,,180.76864643944424,,157.8,155.76864643944424,,,157.8,0.193999999999999,-1.287296299465001,
10.216,159.6,0.239,50.0,0.2109999999999985,0.239,191.6,50.0,,,,,156.61818777693628,,9.406070254023538,171.25046000000003,,,180.6565302540236,,157.6,155.65653025402358,,,157.6,0.2109999999999985,-1.2331660824723447,
10.237,159.3,0.244,49.9,0.2319999999999993,0.244,191.3,49.9,,,,,156.60268056432264,,9.389372001483402,171.08616000000004,,,180.47553200148343,,157.3,155.47553200148343,,,157.3,0.2319999999999993,-1.1598652247403571,
10.258,159.0,0.245,49.8,0.2529999999999983,0.245,191.0,49.8,,,,,156.59853172381088,,9.37146425772936,171.05330000000004,,,180.4247642577294,,157.0,155.4247642577294,,,157.0,0.2529999999999983,-1.0033348676882756,
10.273,158.7,0.249,49.5,0.2679999999999989,0.249,190.7,49.5,,,,,156.58251186622877,,9.31833954742758,170.92186000000004,,,180.2401995474276,,156.7,155.2401995474276,,,156.7,0.2679999999999989,-0.9315893124265353,
10.298,158.5,0.252,49.2,0.2929999999999992,0.252,190.5,49.2,,,,,156.56899318850824,,9.2650499524396,170.82328000000004,,,180.08832995243964,,156.5,155.08832995243964,,,156.5,0.2929999999999992,-0.90202558949544,
10.319,158.3,0.256,48.9,0.314,0.256,190.3,48.9,,,,,156.55131059515966,,9.212576084676469,170.69184000000004,,,179.9044160846765,,156.3,154.9044160846765,,,156.3,0.314,-0.8928879816529104,
10.339,158.1,0.258,49.1,0.3339999999999996,0.258,190.1,49.1,,,,,156.5465153703464,,9.250251975317836,170.62612000000004,,,179.87637197531788,,156.1,154.87637197531788,,,156.1,0.3339999999999996,-0.7838744552736155,
10.356,157.9,0.262,49.3,0.3509999999999991,0.262,189.9,49.3,,,,,156.53398981971063,,9.289277457234707,170.49468000000005,,,179.78395745723475,,155.9,154.78395745723475,,,155.9,0.3509999999999991,-0.7158707779122879,
10.377,157.7,0.267,49.4,0.3719999999999999,0.267,189.7,49.4,,,,,156.51543609151716,,9.31107049364063,170.33038000000005,,,179.6414504936407,,155.7,154.6414504936407,,,155.7,0.3719999999999999,-0.6798648081947969,
10.396,157.5,0.271,49.7,0.391,0.271,189.5,49.7,,,,,156.50283512350472,,9.368703012474851,170.19894000000005,,,179.5676430124749,,155.5,154.5676430124749,,,155.5,0.391,-0.5995864871544122,
10.416,157.3,0.274,49.9,0.4109999999999996,0.274,189.3,49.9,,,,,156.49265762881484,,9.407495059039038,170.10036000000002,,,179.50785505903906,,155.3,154.50785505903906,,,155.3,0.4109999999999996,-0.5100740122092415,
10.437,157.0,0.28,50.1,0.4319999999999986,0.28,189.0,50.1,,,,,156.46829200871673,,9.449194801924328,169.90320000000003,,,179.35239480192436,,155.0,154.35239480192436,,,155.0,0.4319999999999986,-0.41780980521008915,
10.452,156.7,0.284,50.1,0.4469999999999992,0.284,188.7,50.1,,,,,156.44906620233004,,9.453207593573367,169.77176000000003,,,179.2249675935734,,154.7,154.2249675935734,,,154.7,0.4469999999999992,-0.30706684319752964,
10.478,156.4,0.286,50.0,0.472999999999999,0.286,188.4,50.0,,,,,156.43755575376247,,9.437267132320777,169.70604000000003,,,179.1433071323208,,154.4,154.1433071323208,,,154.4,0.472999999999999,-0.166251857305176,
10.494,156.2,0.29,49.6,0.488999999999999,0.29,188.2,49.6,,,,,156.41047356264667,,9.369570518791935,169.57460000000003,,,178.94417051879196,,154.2,153.94417051879196,,,154.2,0.488999999999999,-0.16590757536188383,
10.512,155.9,0.295,49.1,0.5069999999999997,0.295,187.9,49.1,,,,,156.37472724885993,,9.285555318664873,169.41030000000003,,,178.6958553186649,,153.9,153.6958553186649,,,153.9,0.5069999999999997,-0.13264761620214063,
10.528,155.7,0.301,49.0,0.5229999999999997,0.301,187.7,49.0,,,,,156.33779190995023,,9.275743599394689,169.21314000000004,,,178.48888359939474,,153.7,153.48888359939474,,,153.7,0.5229999999999997,-0.1373561487347099,
10.555,155.6,0.304,49.3,0.5499999999999989,0.304,187.6,49.3,,,,,156.32474966581884,,9.334140606335543,169.11456000000004,,,178.4487006063356,,153.6,153.4487006063356,,,153.6,0.5499999999999989,-0.09850220941692855,
10.571,155.4,0.308,49.7,0.565999999999999,0.308,187.4,49.7,,,,,156.30684409586777,,9.412136912267714,168.98312000000004,,,178.39525691226777,,153.4,153.39525691226777,,,153.4,0.565999999999999,-0.003091973749828535,
10.596,155.3,0.313,49.9,0.5909999999999993,0.313,187.3,49.9,,,,,156.27785268520782,,9.456048273022798,168.81882000000004,,,178.27486827302283,,153.3,153.27486827302283,,,153.3,0.5909999999999993,-0.016393820598290223,
10.616,155.1,0.317,50.0,0.6109999999999989,0.317,187.1,50.0,,,,,156.25249203862003,,9.480751397876164,168.68738000000005,,,178.1681313978762,,153.1,153.1681313978762,,,153.1,0.6109999999999989,0.04450123963175363,
10.638,154.8,0.322,50.1,0.6329999999999991,0.322,186.8,50.1,,,,,156.21892967251074,,9.507610582637282,168.52308000000005,,,178.03069058263733,,152.8,153.03069058263733,,,152.8,0.6329999999999991,0.15097551219720054,
10.654,154.6,0.327,50.1,0.6489999999999991,0.327,186.6,50.1,,,,,156.18166863003665,,9.51712880051484,168.35878000000002,,,177.87590880051488,,152.6,152.87590880051488,,,152.6,0.6489999999999991,0.18080524280136565,
10.674,154.4,0.332,50.1,0.6689999999999987,0.332,186.4,50.1,,,,,156.14264605681686,,9.527235762530308,168.19448000000003,,,177.72171576253032,,152.4,152.72171576253032,,,152.4,0.6689999999999987,0.21109958171280663,
