time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,
10.033,159.5,0.22,46.3,0,0.22,189.5,46.3,,,,,157.1742398,,15.43111872,161.538,,,176.9691187,,153.5,151.9691187,,,153.5,0,-0.997316792,,9.95E-05,0.006474622
10.054,159.5,0.223,46.6,0.021,0.223,189.5,46.6,,,,,157.1690441,,15.47158474,161.4627,,,176.9342847,,153.5,151.9342847,,,153.5,0.021,-1.020009942,,0.000104042,
10.077,159.5,0.224,47,0.044,0.224,189.5,47,,,,,157.1702618,,15.56870377,161.4376,,,177.0063038,,153.5,152.0063038,,,153.5,0.044,-0.973092006,,9.47E-05,
10.097,159.5,0.227,47.4,0.064,0.227,189.5,47.4,,,,,157.165867,,15.63592459,161.3623,,,176.9982246,,153.5,151.9982246,,,153.5,0.064,-0.978355314,,9.57E-05,
10.117,159.5,0.229,48,0.084,0.229,189.5,48,,,,,157.1663213,,15.77202949,161.3121,,,177.0841295,,153.5,152.0841295,,,153.5,0.084,-0.922391214,,8.51E-05,
10.134,159.5,0.234,48.7,0.101,0.234,189.5,48.7,,,,,157.1589094,,15.88985496,161.1866,,,177.076455,,153.5,152.076455,,,153.5,0.101,-0.927390903,,8.60E-05,
10.155,159.5,0.235,49.3,0.122,0.235,189.5,49.3,,,,,157.1624315,,16.03745133,161.1615,,,177.1989513,,153.5,152.1989513,,,153.5,0.122,-0.847588707,,7.18E-05,
10.173,159.4,0.238,49.9,0.14,0.238,189.4,49.9,,,,,157.1598547,,16.15421081,161.0862,,,177.2404108,,153.4,152.2404108,,,153.4,0.14,-0.755925159,,5.71E-05,
10.191,159.3,0.24,50.5,0.158,0.24,189.3,50.5,,,,,157.1603926,,16.28445991,161.036,,,177.3204599,,153.3,152.3204599,,,153.3,0.158,-0.6389694,,4.08E-05,
10.216,159.1,0.242,50.9,0.183,0.242,189.1,50.9,,,,,157.1586387,,16.36055792,160.9858,,,177.3463579,,153.1,152.3463579,,,153.1,0.183,-0.492254785,,2.42E-05,
