time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,,
10.033,159.5,0.22,46.3,0,0.22,189.5,46.3,,,,,157.1742398,,14.58149604,161.538,,,176.119496,,153.5,151.119496,,,153.5,0,-1.550816909,,0.000240503,,0.008454934
10.054,159.5,0.223,46.6,0.021,0.223,189.5,46.6,,,,,157.1690441,,14.64830446,161.4627,,,176.1110045,,153.5,151.1110045,,,153.5,0.021,-1.556348887,,0.000242222,,
10.077,159.5,0.224,47,0.044,0.224,189.5,47,,,,,157.1702618,,14.7559296,161.4376,,,176.1935296,,153.5,151.1935296,,,153.5,0.044,-1.502586579,,0.000225777,,
10.097,159.5,0.227,47.4,0.064,0.227,189.5,47.4,,,,,157.165867,,14.84993359,161.3623,,,176.2122336,,153.5,151.2122336,,,153.5,0.064,-1.490401571,,0.00022213,,
10.117,159.5,0.229,48,0.084,0.229,189.5,48,,,,,157.1663213,,15.00618166,161.3121,,,176.3182817,,153.5,151.3182817,,,153.5,0.084,-1.421314877,,0.000202014,,
10.134,159.5,0.234,48.7,0.101,0.234,189.5,48.7,,,,,157.1589094,,15.16856894,161.1866,,,176.3551689,,153.5,151.3551689,,,153.5,0.101,-1.397284076,,0.00019524,,
10.155,159.5,0.235,49.3,0.122,0.235,189.5,49.3,,,,,157.1624315,,15.3289272,161.1615,,,176.4904272,,153.5,151.4904272,,,153.5,0.122,-1.30916795,,0.000171392,,
10.173,159.4,0.238,49.9,0.14,0.238,189.4,49.9,,,,,157.1598547,,15.47397865,161.0862,,,176.5601786,,153.4,151.5601786,,,153.4,0.14,-1.199362029,,0.000143847,,
10.191,159.3,0.24,50.5,0.158,0.24,189.3,50.5,,,,,157.1603926,,15.62494913,161.036,,,176.6609491,,153.3,151.6609491,,,153.3,0.158,-1.069178652,,0.000114314,,
10.216,159.1,0.242,50.9,0.183,0.242,189.1,50.9,,,,,157.1586387,,15.71992815,160.9858,,,176.7057281,,153.1,151.7057281,,,153.1,0.183,-0.910693569,,8.29363E-05,,
10.237,158.9,0.246,51.1,0.204,0.246,188.9,51.1,,,,,157.1477952,,15.74464112,160.8854,,,176.6300411,,152.9,151.6300411,,,152.9,0.204,-0.830581349,,6.89865E-05,,
10.257,158.6,0.25,51,0.224,0.25,188.6,51,,,,,157.1326184,,15.68808664,160.785,,,176.4730866,,152.6,151.4730866,,,152.6,0.224,-0.738475335,,5.45346E-05,,
10.272,158.3,0.253,50.8,0.239,0.253,188.3,50.8,,,,,157.1190834,,15.61259911,160.7097,,,176.3222991,,152.3,151.3222991,,,152.3,0.239,-0.64195725,,4.12109E-05,,
10.294,158,0.258,50.6,0.261,0.258,188,50.6,,,,,157.0970158,,15.52429306,160.5842,,,176.1084931,,152,151.1084931,,,152,0.261,-0.586517722,,3.44003E-05,,
10.314,157.7,0.261,50.4,0.281,0.261,187.7,50.4,,,,,157.0819672,,15.45080242,160.5089,,,175.9597024,,151.7,150.9597024,,,151.7,0.281,-0.488001041,,2.38145E-05,,
10.33,157.5,0.263,50.2,0.297,0.263,187.5,50.2,,,,,157.0706761,,15.38449831,160.4587,,,175.8431983,,151.5,150.8431983,,,151.5,0.297,-0.433532466,,1.8795E-05,,
10.356,157.3,0.268,49.9,0.323,0.268,187.3,49.9,,,,,157.0439702,,15.27351732,160.3332,,,175.6067173,,151.3,150.6067173,,,151.3,0.323,-0.458217238,,2.09963E-05,,
10.376,157.1,0.273,50.1,0.343,0.273,187.1,50.1,,,,,157.0229919,,15.29589332,160.2077,,,175.5035933,,151.1,150.5035933,,,151.1,0.343,-0.394709916,,1.55796E-05,,
10.394,157,0.275,50.5,0.361,0.275,187,50.5,,,,,157.0191238,,15.38854382,160.1575,,,175.5460438,,151,150.5460438,,,151,0.361,-0.300633232,,9.03803E-06,,
10.417,156.8,0.279,50.8,0.384,0.279,186.8,50.8,,,,,157.0034205,,15.44238907,160.0571,,,175.4994891,,150.8,150.4994891,,,150.8,0.384,-0.199277804,,3.97116E-06,,
10.434,156.6,0.284,50.9,0.401,0.284,186.6,50.9,,,,,156.9783843,,15.43840798,159.9316,,,175.370008,,150.6,150.370008,,,150.6,0.401,-0.152717143,,2.33225E-06,,
10.452,156.4,0.289,51.1,0.419,0.289,186.4,51.1,,,,,156.9536304,,15.46056025,159.8061,,,175.2666603,,150.4,150.2666603,,,150.4,0.419,-0.088656747,,7.86002E-07,,
10.47,156.2,0.293,51.3,0.437,0.293,186.2,51.3,,,,,156.9335769,,15.4885744,159.7057,,,175.1942744,,150.2,150.1942744,,,150.2,0.437,-0.003811985,,1.45312E-09,,
10.491,155.9,0.297,51.5,0.458,0.297,185.9,51.5,,,,,156.9127042,,15.51659249,159.6053,,,175.1218925,,149.9,150.1218925,,,149.9,0.458,0.148027009,,2.1912E-06,,
10.515,155.6,0.301,51.2,0.482,0.301,185.6,51.2,,,,,156.8817404,,15.41930123,159.5049,,,174.9242012,,149.6,149.9242012,,,149.6,0.482,0.21671205,,4.69641E-06,,
10.535,155.3,0.305,50.7,0.502,0.305,185.3,50.7,,,,,156.8455138,,15.27333323,159.4045,,,174.6778332,,149.3,149.6778332,,,149.3,0.502,0.253069815,,6.40443E-06,,
10.556,155.1,0.308,50.3,0.523,0.308,185.1,50.3,,,,,156.8167207,,15.15869422,159.3292,,,174.4878942,,149.1,149.4878942,,,149.1,0.523,0.26015709,,6.76817E-06,,
10.576,155,0.313,50.3,0.543,0.313,185,50.3,,,,,156.7801085,,15.13540612,159.2037,,,174.3391061,,149,149.3391061,,,149,0.543,0.227587998,,5.17963E-06,,
10.597,154.8,0.321,50.7,0.564,0.321,184.8,50.7,,,,,156.726391,,15.19821995,159.0029,,,174.2011199,,148.8,149.2011199,,,148.8,0.564,0.269569859,,7.26679E-06,,
10.614,154.7,0.324,50.8,0.581,0.324,184.7,50.8,,,,,156.7041633,,15.20962515,158.9276,,,174.1372251,,148.7,149.1372251,,,148.7,0.581,0.294031706,,8.64546E-06,,
10.632,154.5,0.327,51.1,0.599,0.327,184.5,51.1,,,,,156.6858551,,15.26968667,158.8523,,,174.1219867,,148.5,149.1219867,,,148.5,0.599,0.418846243,,1.75432E-05,,
10.651,154.3,0.333,51.2,0.618,0.333,184.3,51.2,,,,,156.6362511,,15.26874045,158.7017,,,173.9704405,,148.3,148.9704405,,,148.3,0.618,0.45208392,,2.0438E-05,,
10.674,154.1,0.338,51.2,0.641,0.338,184.1,51.2,,,,,156.5908557,,15.24882926,158.5762,,,173.8250293,,148.1,148.8250293,,,148.1,0.641,0.489553852,,2.39663E-05,,
10.696,153.9,0.341,51.4,0.663,0.341,183.9,51.4,,,,,156.5676241,,15.28490085,158.5009,,,173.7858008,,147.9,148.7858008,,,147.9,0.663,0.598918761,,3.58704E-05,,
10.716,153.8,0.348,51.4,0.683,0.348,183.8,51.4,,,,,156.4991504,,15.25905935,158.3252,,,173.5842593,,147.8,148.5842593,,,147.8,0.683,0.530622022,,2.8156E-05,,
10.729,153.6,0.352,51.4,0.696,0.352,183.6,51.4,,,,,156.458164,,15.24515532,158.2248,,,173.4699553,,147.6,148.4699553,,,147.6,0.696,0.58940062,,3.47393E-05,,
10.753,153.3,0.357,51.4,0.72,0.357,183.3,51.4,,,,,156.4049853,,15.22865722,158.0993,,,173.3279572,,147.3,148.3279572,,,147.3,0.72,0.697866407,,4.87018E-05,,
10.769,153.1,0.362,51.3,0.736,0.362,183.1,51.3,,,,,156.3467235,,15.18999677,157.9738,,,173.1637968,,147.1,148.1637968,,,147.1,0.736,0.723179314,,5.22988E-05,,
10.794,152.9,0.366,51,0.761,0.366,182.9,51,,,,,156.2918331,,15.10922214,157.8734,,,172.9826221,,146.9,147.9826221,,,146.9,0.761,0.736978995,,5.43138E-05,,
10.811,152.7,0.372,50.8,0.778,0.372,182.7,50.8,,,,,156.213527,,15.04764775,157.7228,,,172.7704477,,146.7,147.7704477,,,146.7,0.778,0.729684901,,5.3244E-05,,
