time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,,
10.033,159.5,0.22,46.3,0,0.22,189.5,46.3,,,,,157.1742398,,14.78434943,161.538,,,176.3223494,,153.5,151.3223494,,,153.5,0,-1.418664867,,0.000201261,,0.00475951
10.054,159.5,0.223,46.6,0.021,0.223,189.5,46.6,,,,,157.1690441,,14.82839693,161.4627,,,176.2910969,,153.5,151.2910969,,,153.5,0.021,-1.439024802,,0.000207079,,
10.077,159.5,0.224,47,0.044,0.224,189.5,47,,,,,157.1702618,,14.92480742,161.4376,,,176.3624074,,153.5,151.3624074,,,153.5,0.044,-1.392568459,,0.000193925,,
10.097,159.5,0.227,47.4,0.064,0.227,189.5,47.4,,,,,157.165867,,14.99497559,161.3623,,,176.3572756,,153.5,151.3572756,,,153.5,0.064,-1.395911669,,0.000194857,,
10.117,159.5,0.229,48,0.084,0.229,189.5,48,,,,,157.1663213,,15.13110045,161.3121,,,176.4432004,,153.5,151.4432004,,,153.5,0.084,-1.339934561,,0.000179542,,
10.134,159.5,0.234,48.7,0.101,0.234,189.5,48.7,,,,,157.1589094,,15.25368845,161.1866,,,176.4402884,,153.5,151.4402884,,,153.5,0.101,-1.341831629,,0.000180051,,
10.155,159.5,0.235,49.3,0.122,0.235,189.5,49.3,,,,,157.1624315,,15.39983579,161.1615,,,176.5613358,,153.5,151.5613358,,,153.5,0.122,-1.262973429,,0.00015951,,
10.173,159.4,0.238,49.9,0.14,0.238,189.4,49.9,,,,,157.1598547,,15.51863735,161.0862,,,176.6048374,,153.4,151.6048374,,,153.4,0.14,-1.170249444,,0.000136948,,
10.191,159.3,0.24,50.5,0.158,0.24,189.3,50.5,,,,,157.1603926,,15.6493302,161.036,,,176.6853302,,153.3,151.6853302,,,153.3,0.158,-1.053274491,,0.000110939,,
10.216,159.1,0.242,50.9,0.183,0.242,189.1,50.9,,,,,157.1586387,,15.72688071,160.9858,,,176.7126807,,153.1,151.7126807,,,153.1,0.183,-0.906152377,,8.21112E-05,,
10.237,158.9,0.246,51.1,0.204,0.246,188.9,51.1,,,,,157.1477952,,15.72578243,160.8854,,,176.6111824,,152.9,151.6111824,,,152.9,0.204,-0.84291535,,7.10506E-05,,
10.257,158.6,0.25,51,0.224,0.25,188.6,51,,,,,157.1326184,,15.64877187,160.785,,,176.4337719,,152.6,151.4337719,,,152.6,0.224,-0.764238615,,5.84061E-05,,
10.272,158.3,0.253,50.8,0.239,0.253,188.3,50.8,,,,,157.1190834,,15.56057704,160.7097,,,176.270277,,152.3,151.270277,,,152.3,0.239,-0.676114879,,4.57131E-05,,
10.294,158,0.258,50.6,0.261,0.258,188,50.6,,,,,157.0970158,,15.45029422,160.5842,,,176.0344942,,152,151.0344942,,,152,0.261,-0.635201173,,4.03481E-05,,
10.314,157.7,0.261,50.4,0.281,0.261,187.7,50.4,,,,,157.0819672,,15.36566941,160.5089,,,175.8745694,,151.7,150.8745694,,,151.7,0.281,-0.54412036,,2.96067E-05,,
10.33,157.5,0.263,50.2,0.297,0.263,187.5,50.2,,,,,157.0706761,,15.2933892,160.4587,,,175.7520892,,151.5,150.7520892,,,151.5,0.297,-0.493670498,,2.43711E-05,,
10.356,157.3,0.268,49.9,0.323,0.268,187.3,49.9,,,,,157.0439702,,15.16510765,160.3332,,,175.4983076,,151.3,150.4983076,,,151.3,0.323,-0.529869368,,2.80762E-05,,
10.376,157.1,0.273,50.1,0.343,0.273,187.1,50.1,,,,,157.0229919,,15.16249718,160.2077,,,175.3701972,,151.1,150.3701972,,,151.1,0.343,-0.482993263,,2.33282E-05,,
10.394,157,0.275,50.5,0.361,0.275,187,50.5,,,,,157.0191238,,15.23960839,160.1575,,,175.3971084,,151,150.3971084,,,151,0.361,-0.399265965,,1.59413E-05,,
10.417,156.8,0.279,50.8,0.384,0.279,186.8,50.8,,,,,157.0034205,,15.27168419,160.0571,,,175.3287842,,150.8,150.3287842,,,150.8,0.384,-0.312477329,,9.76421E-06,,
10.434,156.6,0.284,50.9,0.401,0.284,186.6,50.9,,,,,156.9783843,,15.24619847,159.9316,,,175.1777985,,150.6,150.1777985,,,150.6,0.401,-0.280346302,,7.8594E-06,,
10.452,156.4,0.289,51.1,0.419,0.289,186.4,51.1,,,,,156.9536304,,15.24576618,159.8061,,,175.0518662,,150.4,150.0518662,,,150.4,0.419,-0.231471958,,5.35793E-06,,
10.47,156.2,0.293,51.3,0.437,0.293,186.2,51.3,,,,,156.9335769,,15.25546312,159.7057,,,174.9611631,,150.2,149.9611631,,,150.2,0.437,-0.159012572,,2.5285E-06,,
10.491,155.9,0.297,51.5,0.458,0.297,185.9,51.5,,,,,156.9127042,,15.26558144,159.6053,,,174.8708814,,149.9,149.8708814,,,149.9,0.458,-0.019425326,,3.77343E-08,,
10.515,155.6,0.301,51.2,0.482,0.301,185.6,51.2,,,,,156.8817404,,15.16040232,159.5049,,,174.6653023,,149.6,149.6653023,,,149.6,0.482,0.04365128,,1.90543E-07,,
10.535,155.3,0.305,50.7,0.502,0.305,185.3,50.7,,,,,156.8455138,,15.01102808,159.4045,,,174.4155281,,149.3,149.4155281,,,149.3,0.502,0.077379827,,5.98764E-07,,
10.556,155.1,0.308,50.3,0.523,0.308,185.1,50.3,,,,,156.8167207,,14.89475116,159.3292,,,174.2239512,,149.1,149.2239512,,,149.1,0.523,0.083132905,,6.91108E-07,,
10.576,155,0.313,50.3,0.543,0.313,185,50.3,,,,,156.7801085,,14.85604155,159.2037,,,174.0597415,,149,149.0597415,,,149,0.543,0.040094999,,1.60761E-07,,
10.597,154.8,0.321,50.7,0.564,0.321,184.8,50.7,,,,,156.726391,,14.88716701,159.0029,,,173.890067,,148.8,148.890067,,,148.8,0.564,0.060528901,,3.66375E-07,,
10.614,154.7,0.324,50.8,0.581,0.324,184.7,50.8,,,,,156.7041633,,14.88798497,158.9276,,,173.815585,,148.7,148.815585,,,148.7,0.581,0.077730308,,6.042E-07,,
10.632,154.5,0.327,51.1,0.599,0.327,184.5,51.1,,,,,156.6858551,,14.93357677,158.8523,,,173.7858768,,148.5,148.7858768,,,148.5,0.599,0.192509611,,3.706E-06,,
10.651,154.3,0.333,51.2,0.618,0.333,184.3,51.2,,,,,156.6362511,,14.91418956,158.7017,,,173.6158896,,148.3,148.6158896,,,148.3,0.618,0.213007122,,4.5372E-06,,
10.674,154.1,0.338,51.2,0.641,0.338,184.1,51.2,,,,,156.5908557,,14.88100283,158.5762,,,173.4572028,,148.1,148.4572028,,,148.1,0.641,0.241190298,,5.81728E-06,,
10.696,153.9,0.341,51.4,0.663,0.341,183.9,51.4,,,,,156.5676241,,14.90522827,158.5009,,,173.4061283,,147.9,148.4061283,,,147.9,0.663,0.342209784,,1.17108E-05,,
10.716,153.8,0.348,51.4,0.683,0.348,183.8,51.4,,,,,156.4991504,,14.86160805,158.3252,,,173.186808,,147.8,148.186808,,,147.8,0.683,0.261710452,,6.84924E-06,,
10.729,153.6,0.352,51.4,0.696,0.352,183.6,51.4,,,,,156.458164,,14.83779006,158.2248,,,173.0625901,,147.6,148.0625901,,,147.6,0.696,0.3134079,,9.82245E-06,,
10.753,153.3,0.357,51.4,0.72,0.357,183.3,51.4,,,,,156.4049853,,14.80911871,158.0993,,,172.9084187,,147.3,147.9084187,,,147.3,0.72,0.413047324,,1.70608E-05,,
10.769,153.1,0.362,51.3,0.736,0.362,183.1,51.3,,,,,156.3467235,,14.76052457,157.9738,,,172.7343246,,147.1,147.7343246,,,147.1,0.736,0.431219968,,1.85951E-05,,
10.794,152.9,0.366,51,0.761,0.366,182.9,51,,,,,156.2918331,,14.67641243,157.8734,,,172.5498124,,146.9,147.5498124,,,146.9,0.761,0.442350191,,1.95674E-05,,
10.811,152.7,0.372,50.8,0.778,0.372,182.7,50.8,,,,,156.213527,,14.60494004,157.7228,,,172.32774,,146.7,147.32774,,,146.7,0.778,0.427907321,,1.83105E-05,,
10.834,152.6,0.377,50.7,0.801,0.377,182.6,50.7,,,,,156.1474313,,14.56089897,157.5973,,,172.158199,,146.6,147.158199,,,146.6,0.801,0.38076328,,1.44981E-05,,
10.848,152.5,0.382,50.9,0.815,0.382,182.5,50.9,,,,,156.0886257,,14.58010721,157.4718,,,172.0519072,,146.5,147.0519072,,,146.5,0.815,0.376728474,,1.41924E-05,,
10.875,152.4,0.387,51.1,0.842,0.387,182.4,51.1,,,,,156.0277855,,14.59978759,157.3463,,,171.9460876,,146.4,146.9460876,,,146.4,0.842,0.373010646,,1.39137E-05,,
10.888,152.3,0.391,51.5,0.855,0.391,182.3,51.5,,,,,155.9859735,,14.66467568,157.2459,,,171.9105757,,146.3,146.9105757,,,146.3,0.855,0.417344965,,1.74177E-05,,
10.916,152.1,0.396,51.7,0.883,0.396,182.1,51.7,,,,,155.9216337,,14.68482717,157.1204,,,171.8052272,,146.1,146.8052272,,,146.1,0.883,0.482701694,,2.33001E-05,,
10.932,152,0.402,51.8,0.899,0.402,182,51.8,,,,,155.8364211,,14.68160073,156.9698,,,171.6514007,,146,146.6514007,,,146,0.899,0.446164883,,1.99063E-05,,
10.953,151.8,0.406,51.8,0.92,0.406,181.8,51.8,,,,,155.7751399,,14.66678674,156.8694,,,171.5361867,,145.8,146.5361867,,,145.8,0.92,0.504929178,,2.54953E-05,,
10.974,151.6,0.411,51.5,0.941,0.411,181.6,51.5,,,,,155.6843688,,14.58966844,156.7439,,,171.3335684,,145.6,146.3335684,,,145.6,0.941,0.503824481,,2.53839E-05,,
10.994,151.4,0.417,51.1,0.961,0.417,181.4,51.1,,,,,155.5692459,,14.49122033,156.5933,,,171.0845203,,145.4,146.0845203,,,145.4,0.961,0.470784271,,2.21638E-05,,
11.014,151.3,0.422,50.9,0.981,0.422,181.3,50.9,,,,,155.4749603,,14.43707925,156.4678,,,170.9048792,,145.3,145.9048792,,,145.3,0.981,0.416296797,,1.73303E-05,,
11.035,151.2,0.427,51,1.002,0.427,181.2,51,,,,,155.3903872,,14.44289761,156.3423,,,170.7851976,,145.2,145.7851976,,,145.2,1.002,0.403028657,,1.62432E-05,,
11.055,151.1,0.432,51.1,1.022,0.432,181.1,51.1,,,,,155.303196,,14.44934729,156.2168,,,170.6661473,,145.1,145.6661473,,,145.1,1.022,0.390177318,,1.52238E-05,,
11.072,151.1,0.437,51.4,1.039,0.437,181.1,51.4,,,,,155.2225195,,14.49499818,156.0913,,,170.5862982,,145.1,145.5862982,,,145.1,1.039,0.335146918,,1.12323E-05,,
11.093,151,0.442,51.7,1.06,0.442,181,51.7,,,,,155.1396341,,14.54073697,155.9658,,,170.506537,,145,145.506537,,,145,1.06,0.34933584,,1.22036E-05,,
11.111,150.8,0.446,52,1.078,0.446,180.8,52,,,,,155.0745919,,14.58880147,155.8654,,,170.4542015,,144.8,145.4542015,,,144.8,1.078,0.451796598,,2.0412E-05,,
11.133,150.7,0.45,52,1.1,0.45,180.7,52,,,,,154.9935344,,14.58004763,155.765,,,170.3450476,,144.7,145.3450476,,,144.7,1.1,0.445782742,,1.98722E-05,,
