time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension
10.033,159.5,0.22,46.3,0.0,0.22,189.5,46.3,,,,,154.40838700186055,,14.966345973310128,161.538,,,176.50434597331014,,152.5,151.50434597331014,,,152.5,0.0,-0.6528878863540084,
10.054,159.5,0.223,46.6,0.0210000000000007,0.223,189.5,46.6,,,,,154.40672389176683,,15.0237375975242,161.4627,,,176.4864375975242,,152.5,151.4864375975242,,,152.5,0.0210000000000007,-0.6646310835906878,
10.077,159.5,0.224,47.0,0.0440000000000004,0.224,189.5,47.0,,,,,154.40939211887817,,15.131298196830471,161.4376,,,176.56889819683047,,152.5,151.56889819683047,,,152.5,0.0440000000000004,-0.6105585594554266,
10.097,159.5,0.227,47.4,0.064,0.227,189.5,47.4,,,,,154.40874353221866,,15.216391705241142,161.3623,,,176.57869170524114,,152.5,151.57869170524114,,,152.5,0.064,-0.6041365867271207,
10.117,159.5,0.229,48.0,0.0840000000000014,0.229,189.5,48.0,,,,,154.41204117152296,,15.369928970843429,161.31210000000002,,,176.68202897084345,,152.5,151.68202897084345,,,152.5,0.0840000000000014,-0.5363744453485592,
10.134,159.5,0.234,48.7,0.1010000000000008,0.234,189.5,48.7,,,,,154.4112376017224,,15.516407018209204,161.1866,,,176.7030070182092,,152.5,151.7030070182092,,,152.5,0.1010000000000008,-0.5226183487152747,
10.155,159.5,0.235,49.3,0.1219999999999998,0.235,189.5,49.3,,,,,154.41653827132131,,15.678120022403927,161.1615,,,176.83962002240392,,152.5,151.83962002240392,,,152.5,0.1219999999999998,-0.4330360508826751,
10.173,159.4,0.238,49.9,0.1400000000000005,0.238,189.4,49.9,,,,,154.4182719939133,,15.814711288466231,161.0862,,,176.90091128846623,,152.4,151.90091128846623,,,152.4,0.1400000000000005,-0.3274860311901396,
10.191,159.3,0.24,50.5,0.1580000000000012,0.24,189.3,50.5,,,,,154.42193945885614,,15.961788583484074,161.036,,,176.99778858348407,,152.3,151.99778858348407,,,152.3,0.1580000000000012,-0.19843165890738346,
10.216,159.1,0.242,50.9,0.1829999999999998,0.242,189.1,50.9,,,,,154.423171996117,,16.05067041274152,160.9858,,,177.03647041274152,,152.1,152.03647041274152,,,152.1,0.1829999999999998,-0.04176830194508351,
10.237,158.9,0.246,51.1,0.2040000000000006,0.246,188.9,51.1,,,,,154.41784388090002,,16.056712285413152,160.8854,,,176.94211228541317,,151.9,151.94211228541317,,,151.9,0.2040000000000006,0.027723690199584025,
