time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed
10.003,159.7,0.214,45.2,0.0,0.214,189.7,45.2,,,,,156.61536836664894,,16.00058271310504,161.6886,,,177.68918271310505,,153.7,152.68918271310505,,,153.7,0.0
10.019,159.7,0.216,45.3,0.016,0.216,189.7,45.3,,,,,156.6117746466149,,15.994650160873528,161.6384,,,177.63305016087352,,153.7,152.63305016087352,,,153.7,0.016
10.031,159.7,0.216,45.5,0.0280000000000004,0.216,189.7,45.5,,,,,156.6133639101056,,16.0534253723787,161.6384,,,177.6918253723787,,153.7,152.6918253723787,,,153.7,0.0280000000000004
10.04,159.7,0.217,45.6,0.036999999999999,0.217,189.7,45.6,,,,,156.61194033502488,,16.065038598291547,161.6133,,,177.67833859829156,,153.7,152.67833859829156,,,153.7,0.036999999999999
10.055,159.7,0.217,45.7,0.0519999999999996,0.217,189.7,45.7,,,,,156.61274268450742,,16.094329750027498,161.6133,,,177.7076297500275,,153.7,152.7076297500275,,,153.7,0.0519999999999996
10.067,159.7,0.218,45.9,0.064,0.218,189.7,45.9,,,,,156.61211492895916,,16.135036248454252,161.5882,,,177.72323624845424,,153.7,152.72323624845424,,,153.7,0.064
10.079,159.7,0.219,46.0,0.0760000000000005,0.219,189.7,46.0,,,,,156.6106635842748,,16.146440367205493,161.5631,,,177.70954036720548,,153.7,152.70954036720548,,,153.7,0.0760000000000005
10.093,159.7,0.22,46.2,0.0899999999999998,0.22,189.7,46.2,,,,,156.6100152797108,,16.186847262297235,161.538,,,177.72484726229726,,153.7,152.72484726229726,,,153.7,0.0899999999999998
10.106,159.7,0.223,46.5,0.1029999999999997,0.223,189.7,46.5,,,,,156.60549507858056,,16.22064909853608,161.4627,,,177.6833490985361,,153.7,152.6833490985361,,,153.7,0.1029999999999997
10.116,159.7,0.224,47.0,0.1129999999999995,0.224,189.7,47.0,,,,,156.60735508199738,,16.346545561311537,161.4376,,,177.78414556131153,,153.7,152.78414556131153,,,153.7,0.1129999999999995
10.127,159.7,0.227,47.5,0.1240000000000005,0.227,189.7,47.5,,,,,156.60441247821143,,16.435945387601855,161.3623,,,177.79824538760187,,153.7,152.79824538760187,,,153.7,0.1240000000000005
10.139,159.7,0.229,48.1,0.1359999999999992,0.229,189.7,48.1,,,,,156.60476902102437,,16.57012360325611,161.31210000000002,,,177.88222360325614,,153.7,152.88222360325614,,,153.7,0.1359999999999992
10.152,159.6,0.231,48.8,0.1489999999999991,0.231,189.6,48.8,,,,,156.6060737835018,,16.730832432758504,161.2619,,,177.9927324327585,,153.6,152.9927324327585,,,153.6,0.1489999999999991
10.163,159.6,0.234,49.4,0.1600000000000001,0.234,189.6,49.4,,,,,156.60395497050854,,16.843725859018107,161.1866,,,178.0303258590181,,153.6,153.0303258590181,,,153.6,0.1600000000000001
10.175,159.6,0.238,49.9,0.1720000000000006,0.238,189.6,49.9,,,,,156.59813672740884,,16.909615880361365,161.0862,,,177.99581588036136,,153.6,152.99581588036136,,,153.6,0.1720000000000006
10.194,159.4,0.24,50.4,0.1910000000000007,0.24,189.4,50.4,,,,,156.59756427805982,,17.010376124456492,161.036,,,178.0463761244565,,153.4,153.0463761244565,,,153.4,0.1910000000000007
10.212,159.3,0.244,50.8,0.2089999999999996,0.244,189.3,50.8,,,,,156.59035851658194,,17.047460545733625,160.9356,,,177.98306054573362,,153.3,152.98306054573362,,,153.3,0.2089999999999996
