time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed
10.003,159.7,0.214,45.2,0.0,0.214,189.7,45.2,,,,,156.61536836664894,,14.03888794710299,161.6886,,,175.727487947103,,153.7,150.727487947103,,,153.7,0.0
10.019,159.7,0.216,45.3,0.016,0.216,189.7,45.3,,,,,156.6117746466149,,14.055793485503981,161.6384,,,175.69419348550397,,153.7,150.69419348550397,,,153.7,0.016
10.031,159.7,0.216,45.5,0.0280000000000004,0.216,189.7,45.5,,,,,156.6133639101056,,14.11335891155392,161.6384,,,175.7517589115539,,153.7,150.7517589115539,,,153.7,0.0280000000000004
10.04,159.7,0.217,45.6,0.036999999999999,0.217,189.7,45.6,,,,,156.61194033502488,,14.136069174786106,161.6133,,,175.74936917478612,,153.7,150.74936917478612,,,153.7,0.036999999999999
10.055,159.7,0.217,45.7,0.0519999999999996,0.217,189.7,45.7,,,,,156.61274268450742,,14.164800834370508,161.6133,,,175.77810083437052,,153.7,150.77810083437052,,,153.7,0.0519999999999996
10.067,159.7,0.218,45.9,0.064,0.218,189.7,45.9,,,,,156.61211492895916,,14.216090426877434,161.5882,,,175.80429042687743,,153.7,150.80429042687743,,,153.7,0.064
10.079,159.7,0.219,46.0,0.0760000000000005,0.219,189.7,46.0,,,,,156.6106635842748,,14.238591837534159,161.5631,,,175.80169183753415,,153.7,150.80169183753415,,,153.7,0.0760000000000005
10.093,159.7,0.22,46.2,0.0899999999999998,0.22,189.7,46.2,,,,,156.6100152797108,,14.289623896549399,161.538,,,175.8276238965494,,153.7,150.8276238965494,,,153.7,0.0899999999999998
10.106,159.7,0.223,46.5,0.1029999999999997,0.223,189.7,46.5,,,,,156.60549507858056,,14.356435811721884,161.4627,,,175.8191358117219,,153.7,150.8191358117219,,,153.7,0.1029999999999997
10.116,159.7,0.224,47.0,0.1129999999999995,0.224,189.7,47.0,,,,,156.60735508199738,,14.492213955252865,161.4376,,,175.92981395525288,,153.7,150.92981395525288,,,153.7,0.1129999999999995
10.127,159.7,0.227,47.5,0.1240000000000005,0.227,189.7,47.5,,,,,156.60441247821143,,14.614281235890438,161.3623,,,175.97658123589045,,153.7,150.97658123589045,,,153.7,0.1240000000000005
10.139,159.7,0.229,48.1,0.1359999999999992,0.229,189.7,48.1,,,,,156.60476902102437,,14.770104052471693,161.31210000000002,,,176.0822040524717,,153.7,151.0822040524717,,,153.7,0.1359999999999992
10.152,159.6,0.231,48.8,0.1489999999999991,0.231,189.6,48.8,,,,,156.6060737835018,,14.95288930896637,161.2619,,,176.21478930896637,,153.6,151.21478930896637,,,153.6,0.1489999999999991
10.163,159.6,0.234,49.4,0.1600000000000001,0.234,189.6,49.4,,,,,156.60395497050854,,15.099304017925183,161.1866,,,176.2859040179252,,153.6,151.2859040179252,,,153.6,0.1600000000000001
10.175,159.6,0.238,49.9,0.1720000000000006,0.238,189.6,49.9,,,,,156.59813672740884,,15.209294118219029,161.0862,,,176.295494118219,,153.6,151.295494118219,,,153.6,0.1720000000000006
10.194,159.4,0.24,50.4,0.1910000000000007,0.24,189.4,50.4,,,,,156.59756427805982,,15.332717260903625,161.036,,,176.36871726090362,,153.4,151.36871726090362,,,153.4,0.1910000000000007
10.212,159.3,0.244,50.8,0.2089999999999996,0.244,189.3,50.8,,,,,156.59035851658194,,15.412800008044135,160.9356,,,176.34840000804414,,153.3,151.34840000804414,,,153.3,0.2089999999999996
10.236,159.0,0.246,51.1,0.2330000000000005,0.246,189.0,51.1,,,,,156.5876425142111,,15.47976051021016,160.8854,,,176.36516051021016,,153.0,151.36516051021016,,,153.0,0.2330000000000005
10.256,158.7,0.247,51.0,0.2530000000000001,0.247,188.7,51.0,,,,,156.58368126454033,,15.444948887906754,160.8603,,,176.30524888790674,,152.7,151.30524888790674,,,152.7,0.2530000000000001
10.276,158.4,0.252,50.6,0.2729999999999997,0.252,188.4,50.6,,,,,156.56416849861648,,15.299295517579408,160.7348,,,176.0340955175794,,152.4,151.0340955175794,,,152.4,0.2729999999999997
10.292,158.1,0.256,50.2,0.2889999999999997,0.256,188.1,50.2,,,,,156.546766298434,,15.162486174780287,160.6344,,,175.7968861747803,,152.1,150.7968861747803,,,152.1,0.2889999999999997
10.312,157.8,0.258,50.1,0.3089999999999993,0.258,187.8,50.1,,,,,156.53883277144837,,15.121518126095507,160.5842,,,175.70571812609552,,151.8,150.70571812609552,,,151.8,0.3089999999999993
10.334,157.6,0.262,49.9,0.3309999999999995,0.262,187.6,49.9,,,,,156.5223541756367,,15.040211768048259,160.4838,,,175.52401176804827,,151.6,150.52401176804827,,,151.6,0.3309999999999995
