time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed
10.015,155.2,0.428,46.5,0.0,0.428,182.2,46.5,,,,,156.13658553343143,,15.397845930955024,149.14608,,,164.54392593095503,,155.2,154.54392593095503,,,155.2,0.0
10.034,155.2,0.428,46.6,0.0190000000000001,0.428,182.2,46.6,,,,,156.14188661523403,,15.424923873499615,149.14608,,,164.57100387349962,,155.2,154.57100387349962,,,155.2,0.0190000000000001
10.059,155.2,0.432,46.6,0.0439999999999987,0.432,182.2,46.6,,,,,156.0638883089535,,15.384871004999159,148.99952,,,164.38439100499915,,155.2,154.38439100499915,,,155.2,0.0439999999999987
10.079,155.1,0.433,46.9,0.064,0.433,182.1,46.9,,,,,156.06041423153547,,15.455659477630357,148.96288,,,164.41853947763036,,155.1,154.41853947763036,,,155.1,0.064
10.099,155.1,0.435,47.5,0.0839999999999996,0.435,182.1,47.5,,,,,156.05349731589737,,15.596382200216075,148.8896,,,164.48598220021609,,155.1,154.48598220021609,,,155.1,0.0839999999999996
10.116,155.1,0.438,48.1,0.100999999999999,0.438,182.1,48.1,,,,,156.02665619753762,,15.725745344100735,148.77968,,,164.50542534410076,,155.1,154.50542534410076,,,155.1,0.100999999999999
10.137,155.1,0.44,48.6,0.1219999999999998,0.44,182.1,48.6,,,,,156.01420937224003,,15.837695716506119,148.7064,,,164.54409571650612,,155.1,154.54409571650612,,,155.1,0.1219999999999998
10.146,155.0,0.443,49.2,0.1310000000000002,0.443,182.0,49.2,,,,,155.9870849215977,,15.96471492436619,148.59648,,,164.5611949243662,,155.0,154.5611949243662,,,155.0,0.1310000000000002
10.176,154.8,0.445,49.6,0.1609999999999996,0.445,181.8,49.6,,,,,155.96888765549377,,16.048682597642816,148.5232,,,164.57188259764283,,154.8,154.57188259764283,,,154.8,0.1609999999999996
10.193,154.6,0.449,49.7,0.177999999999999,0.449,181.6,49.7,,,,,155.89187870110456,,16.033148699520975,148.37664,,,164.409788699521,,154.6,154.409788699521,,,154.6,0.177999999999999
10.218,154.4,0.45,49.8,0.2029999999999994,0.45,181.4,49.8,,,,,155.87670316932198,,16.048780719843755,148.34,,,164.38878071984377,,154.4,154.38878071984377,,,154.4,0.2029999999999994
10.232,154.2,0.456,49.5,0.2169999999999987,0.456,181.2,49.5,,,,,155.7302029775552,,15.909323628944554,148.12016,,,164.02948362894455,,154.2,154.02948362894455,,,154.2,0.2169999999999987
