time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,,
10.008,195.7,0.422,94.8,0,0.422,229.7,94.8,,,,,190.5124115,,23.91090362,190.62572,,,214.5366236,,195.7,195.5366236,,,195.7,0,-0.083483078,,6.96942E-07,0.008614124,1.717735191
10.02,195.7,0.422,95.1,0.012,0.422,229.7,95.1,,,,,190.519274,,23.96001994,190.62572,,,214.5857399,,195.7,195.5857399,,,195.7,0.012,-0.058385312,,3.40884E-07,,
10.034,195.7,0.422,95.2,0.026,0.422,229.7,95.2,,,,,190.5215608,,23.97637637,190.62572,,,214.6020964,,195.7,195.6020964,,,195.7,0.026,-0.050027404,,2.50274E-07,,
10.046,195.7,0.422,95.4,0.038,0.422,229.7,95.4,,,,,190.5261333,,24.00906577,190.62572,,,214.6347858,,195.7,195.6347858,,,195.7,0.038,-0.033323574,,1.11046E-07,,
10.058,195.6,0.423,95.6,0.05,0.423,229.6,95.6,,,,,190.5167406,,24.0117016,190.58598,,,214.5976816,,195.6,195.5976816,,,195.6,0.05,-0.001185274,,1.40488E-10,,
10.07,195.6,0.424,95.8,0.062,0.424,229.6,95.8,,,,,190.5073006,,24.01432943,190.54624,,,214.5605694,,195.6,195.5605694,,,195.6,0.062,-0.020158777,,4.06376E-08,,
10.073,195.6,0.427,96.1,0.065,0.427,229.6,96.1,,,,,190.4716711,,23.97349996,190.42702,,,214.40052,,195.6,195.40052,,,195.6,0.065,-0.10198366,,1.04007E-06,,
10.096,195.6,0.429,96.5,0.088,0.429,229.6,96.5,,,,,190.4522953,,23.97883499,190.34754,,,214.326375,,195.6,195.326375,,,195.6,0.088,-0.139890089,,1.95692E-06,,
10.104,195.6,0.428,97.4,0.096,0.428,229.6,97.4,,,,,190.4878703,,24.15400015,190.38728,,,214.5412801,,195.6,195.5412801,,,195.6,0.096,-0.030020375,,9.01223E-08,,
10.115,195.6,0.433,98.4,0.107,0.433,229.6,98.4,,,,,190.4394402,,24.16587524,190.18858,,,214.3544552,,195.6,195.3544552,,,195.6,0.107,-0.125534133,,1.57588E-06,,
10.126,195.6,0.434,99.1,0.118,0.434,229.6,99.1,,,,,190.4416893,,24.24802325,190.14884,,,214.3968633,,195.6,195.3968633,,,195.6,0.118,-0.103853142,,1.07855E-06,,
10.138,195.6,0.437,100.3,0.13,0.437,229.6,100.3,,,,,190.4267676,,24.34976054,190.02962,,,214.3793805,,195.6,195.3793805,,,195.6,0.13,-0.112791137,,1.27218E-06,,
10.151,195.5,0.439,101.2,0.143,0.439,229.5,101.2,,,,,190.4192716,,24.43267989,189.95014,,,214.3828199,,195.5,195.3828199,,,195.5,0.143,-0.059938676,,3.59264E-07,,
10.163,195.4,0.44,102.6,0.155,0.44,229.4,102.6,,,,,190.4391248,,24.62273458,189.9104,,,214.5331346,,195.4,195.5331346,,,195.4,0.155,0.068134379,,4.64229E-07,,
10.179,195.3,0.444,103.4,0.171,0.444,229.3,103.4,,,,,190.3994093,,24.62929865,189.75144,,,214.3807387,,195.3,195.3807387,,,195.3,0.171,0.041340837,,1.70906E-07,,
