time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,,
10.008,195.7,0.422,94.8,0,0.422,229.7,94.8,,,,,190.5124115,,24.03287896,190.62572,,,214.658599,,195.7,195.658599,,,195.7,0,-0.021155359,,4.47549E-08,0.006332509,1.12390335
10.02,195.7,0.422,95.1,0.012,0.422,229.7,95.1,,,,,190.519274,,24.07935734,190.62572,,,214.7050773,,195.7,195.7050773,,,195.7,0.012,0.002594451,,6.73117E-10,,
10.034,195.7,0.422,95.2,0.026,0.422,229.7,95.2,,,,,190.5215608,,24.09484082,190.62572,,,214.7205608,,195.7,195.7205608,,,195.7,0.026,0.010506298,,1.10382E-08,,
10.046,195.7,0.422,95.4,0.038,0.422,229.7,95.4,,,,,190.5261333,,24.12579389,190.62572,,,214.7515139,,195.7,195.7515139,,,195.7,0.038,0.026322888,,6.92894E-08,,
10.058,195.6,0.423,95.6,0.05,0.423,229.6,95.6,,,,,190.5167406,,24.10154565,190.58598,,,214.6875256,,195.6,195.6875256,,,195.6,0.05,0.044747264,,2.00232E-07,,
10.07,195.6,0.424,95.8,0.062,0.424,229.6,95.8,,,,,190.5073006,,24.0775636,190.54624,,,214.6238036,,195.6,195.6238036,,,195.6,0.062,0.012169529,,1.48097E-08,,
10.073,195.6,0.427,96.1,0.065,0.427,229.6,96.1,,,,,190.4716711,,23.96124741,190.42702,,,214.3882674,,195.6,195.3882674,,,195.6,0.065,-0.108247743,,1.17176E-06,,
10.096,195.6,0.429,96.5,0.088,0.429,229.6,96.5,,,,,190.4522953,,23.91581703,190.34754,,,214.263357,,195.6,195.263357,,,195.6,0.088,-0.172107858,,2.96211E-06,,
10.104,195.6,0.428,97.4,0.096,0.428,229.6,97.4,,,,,190.4878703,,24.1063175,190.38728,,,214.4935975,,195.6,195.4935975,,,195.6,0.096,-0.054398004,,2.95914E-07,,
10.115,195.6,0.433,98.4,0.107,0.433,229.6,98.4,,,,,190.4394402,,23.9941483,190.18858,,,214.1827283,,195.6,195.1827283,,,195.6,0.107,-0.21332909,,4.55093E-06,,
10.126,195.6,0.434,99.1,0.118,0.434,229.6,99.1,,,,,190.4416893,,24.04766566,190.14884,,,214.1965057,,195.6,195.1965057,,,195.6,0.118,-0.206285452,,4.25537E-06,,
10.138,195.6,0.437,100.3,0.13,0.437,229.6,100.3,,,,,190.4267676,,24.07316117,190.02962,,,214.1027812,,195.6,195.1027812,,,195.6,0.13,-0.254201854,,6.46186E-06,,
10.151,195.5,0.439,101.2,0.143,0.439,229.5,101.2,,,,,190.4192716,,24.10550763,189.95014,,,214.0556476,,195.5,195.0556476,,,195.5,0.143,-0.227290213,,5.16608E-06,,
10.163,195.4,0.44,102.6,0.155,0.44,229.4,102.6,,,,,190.4391248,,24.26210748,189.9104,,,214.1725075,,195.4,195.1725075,,,195.4,0.155,-0.116424013,,1.35546E-06,,
10.179,195.3,0.444,103.4,0.171,0.444,229.3,103.4,,,,,190.3994093,,24.18015033,189.75144,,,213.9315903,,195.3,194.9315903,,,195.3,0.171,-0.188637822,,3.55842E-06,,
10.2,195.1,0.448,103.8,0.192,0.448,229.1,103.8,,,,,190.348615,,24.04376827,189.59248,,,213.6362483,,195.1,194.6362483,,,195.1,0.192,-0.237699502,,5.65011E-06,,
10.221,194.9,0.451,104.9,0.213,0.451,228.9,104.9,,,,,190.3306297,,24.0599816,189.47326,,,213.5332416,,194.9,194.5332416,,,194.9,0.213,-0.188177733,,3.54109E-06,,
10.24,194.6,0.451,105.2,0.232,0.451,228.6,105.2,,,,,190.3384583,,24.10326527,189.47326,,,213.5765253,,194.6,194.5765253,,,194.6,0.232,-0.012063068,,1.45518E-08,,
10.258,194.2,0.455,104.9,0.25,0.455,228.2,104.9,,,,,190.2675527,,23.87309217,189.3143,,,213.1873922,,194.2,194.1873922,,,194.2,0.25,-0.00649219,,4.21485E-09,,
10.275,193.9,0.459,103.6,0.267,0.459,227.9,103.6,,,,,190.1677868,,23.50511781,189.15534,,,212.6604578,,193.9,193.6604578,,,193.9,0.267,-0.123539034,,1.52619E-06,,
10.298,193.5,0.465,102.5,0.29,0.465,227.5,102.5,,,,,190.0362287,,23.08569334,188.9169,,,212.0025933,,193.5,193.0025933,,,193.5,0.29,-0.257057705,,6.60787E-06,,
10.318,193.2,0.467,102.8,0.31,0.467,227.2,102.8,,,,,190.009922,,23.04344411,188.83742,,,211.8808641,,193.2,192.8808641,,,193.2,0.31,-0.165184207,,2.72858E-06,,
10.339,192.9,0.467,103.2,0.331,0.467,226.9,103.2,,,,,190.0211795,,23.1002792,188.83742,,,211.9376992,,192.9,192.9376992,,,192.9,0.331,0.019543392,,3.81944E-08,,
10.359,192.6,0.475,103,0.351,0.475,226.6,103,,,,,189.8728251,,22.74237025,188.5195,,,211.2618703,,192.6,192.2618703,,,192.6,0.351,-0.175560616,,3.08215E-06,,
10.379,192.3,0.478,103.4,0.371,0.478,226.3,103.4,,,,,189.8294025,,22.67920773,188.40028,,,211.0794877,,192.3,192.0794877,,,192.3,0.371,-0.11467097,,1.31494E-06,,
10.4,192,0.481,103.4,0.392,0.481,226,103.4,,,,,189.7732811,,22.56210205,188.28106,,,210.8431621,,192,191.8431621,,,192,0.392,-0.081686431,,6.67267E-07,,
10.416,191.8,0.486,102.8,0.408,0.486,225.8,102.8,,,,,189.6589158,,22.28860317,188.08236,,,210.3709632,,191.8,191.3709632,,,191.8,0.408,-0.22368969,,5.00371E-06,,
10.437,191.5,0.49,102.9,0.429,0.49,225.5,102.9,,,,,189.5830195,,22.15502921,187.9234,,,210.0784292,,191.5,191.0784292,,,191.5,0.429,-0.220141405,,4.84622E-06,,
10.457,191.3,0.493,103.9,0.449,0.493,225.3,103.9,,,,,189.5546365,,22.18454287,187.80418,,,209.9887229,,191.3,190.9887229,,,191.3,0.449,-0.162716746,,2.64767E-06,,
10.478,191,0.498,103.9,0.47,0.498,225,103.9,,,,,189.452338,,22.0081735,187.60548,,,209.6136535,,191,190.6136535,,,191,0.47,-0.202275653,,4.09154E-06,,
10.498,190.7,0.503,104,0.49,0.503,224.7,104,,,,,189.3504247,,21.85099894,187.40678,,,209.2577789,,190.7,190.2577789,,,190.7,0.49,-0.231893582,,5.37746E-06,,
10.509,190.4,0.509,104,0.501,0.509,224.4,104,,,,,189.2201622,,21.65313716,187.16834,,,208.8214772,,190.4,189.8214772,,,190.4,0.501,-0.303846029,,9.23224E-06,,
10.54,190.1,0.512,104.1,0.532,0.512,224.1,104.1,,,,,189.1568881,,21.57050955,187.04912,,,208.6196296,,190.1,189.6196296,,,190.1,0.532,-0.252693554,,6.3854E-06,,
10.559,189.7,0.516,104.3,0.551,0.516,223.7,104.3,,,,,189.0733314,,21.4720082,186.89016,,,208.3621682,,189.7,189.3621682,,,189.7,0.551,-0.1780874,,3.17151E-06,,
10.58,189.4,0.521,104.2,0.572,0.521,223.4,104.2,,,,,188.9534688,,21.30640137,186.69146,,,207.9978614,,189.4,188.9978614,,,189.4,0.572,-0.212322403,,4.50808E-06,,
10.597,189,0.523,103.8,0.589,0.523,223,103.8,,,,,188.8910437,,21.19360485,186.61198,,,207.8055849,,189,188.8055849,,,189,0.589,-0.102865157,,1.05812E-06,,
10.617,188.7,0.531,103.4,0.609,0.531,222.7,103.4,,,,,188.6796909,,20.91060303,186.29406,,,207.204663,,188.7,188.204663,,,188.7,0.609,-0.262499718,,6.89061E-06,,
10.637,188.4,0.537,103.3,0.629,0.537,222.4,103.3,,,,,188.5226789,,20.7329013,186.05562,,,206.7885213,,188.4,187.7885213,,,188.4,0.629,-0.324564067,,1.05342E-05,,
10.658,188.1,0.539,103.8,0.65,0.539,222.1,103.8,,,,,188.4911012,,20.74522708,185.97614,,,206.7213671,,188.1,187.7213671,,,188.1,0.65,-0.201293419,,4.0519E-06,,
10.679,187.8,0.543,103.8,0.671,0.543,221.8,103.8,,,,,188.3855954,,20.64029941,185.81718,,,206.4574794,,187.8,187.4574794,,,187.8,0.671,-0.182385828,,3.32646E-06,,
10.699,187.5,0.55,103.5,0.691,0.55,221.5,103.5,,,,,188.1823872,,20.42419209,185.539,,,205.9631921,,187.5,186.9631921,,,187.5,0.691,-0.286297551,,8.19663E-06,,
10.719,187.2,0.554,103.4,0.711,0.554,221.2,103.4,,,,,188.0658006,,20.31381441,185.38004,,,205.6938544,,187.2,186.6938544,,,187.2,0.711,-0.270376916,,7.31037E-06,,
10.74,187,0.558,103.8,0.732,0.558,221,103.8,,,,,187.9694553,,20.27076625,185.22108,,,205.4918462,,187,186.4918462,,,187,0.732,-0.271739973,,7.38426E-06,,
10.757,186.7,0.564,103.8,0.749,0.564,220.7,103.8,,,,,187.7936777,,20.13308482,184.98264,,,205.1157248,,186.7,186.1157248,,,186.7,0.749,-0.312948678,,9.79369E-06,,
10.777,186.4,0.569,103.9,0.769,0.569,220.4,103.9,,,,,187.6478365,,20.03538933,184.78394,,,204.8193293,,186.4,185.8193293,,,186.4,0.769,-0.311518602,,9.70438E-06,,
