time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,,
10.007,113,0.435,44.9,0,0.435,146,44.9,,,,,112.3943082,,11.93815533,117.4322,,,129.3703553,,113,113.3703553,,,113,0,0.327748081,,1.07419E-05,0.006824664,1.183930415
10.019,113,0.437,44.9,0.012,0.437,146,44.9,,,,,112.3693851,,11.91583687,117.38124,,,129.2970769,,113,113.2970769,,,113,0.012,0.262899884,,6.91163E-06,,
10.031,113,0.435,44.9,0.024,0.435,146,44.9,,,,,112.3943082,,11.93815533,117.4322,,,129.3703553,,113,113.3703553,,,113,0.024,0.327748081,,1.07419E-05,,
10.044,113,0.435,44.9,0.037,0.435,146,44.9,,,,,112.3943082,,11.93815533,117.4322,,,129.3703553,,113,113.3703553,,,113,0.037,0.327748081,,1.07419E-05,,
10.056,113,0.435,44.8,0.049,0.435,146,44.8,,,,,112.3906201,,11.91822806,117.4322,,,129.3504281,,113,113.3504281,,,113,0.049,0.310113326,,9.61703E-06,,
10.068,113.1,0.435,44.8,0.061,0.435,146.1,44.8,,,,,112.3906201,,11.91822806,117.4322,,,129.3504281,,113.1,113.3504281,,,113.1,0.061,0.221421802,,4.90276E-06,,
10.08,113.1,0.435,44.9,0.073,0.435,146.1,44.9,,,,,112.3943082,,11.93815533,117.4322,,,129.3703553,,113.1,113.3703553,,,113.1,0.073,0.239040965,,5.71406E-06,,
10.092,113.1,0.434,44.9,0.085,0.434,146.1,44.9,,,,,112.4066483,,11.94934902,117.45768,,,129.407029,,113.1,113.407029,,,113.1,0.085,0.27146686,,7.36943E-06,,
10.105,113.1,0.434,44.9,0.098,0.434,146.1,44.9,,,,,112.4066483,,11.94934902,117.45768,,,129.407029,,113.1,113.407029,,,113.1,0.098,0.27146686,,7.36943E-06,,
10.117,113.1,0.434,44.9,0.11,0.434,146.1,44.9,,,,,112.4066483,,11.94934902,117.45768,,,129.407029,,113.1,113.407029,,,113.1,0.11,0.27146686,,7.36943E-06,,
