time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,,
10.007,113,0.435,44.9,0,0.435,146,44.9,,,,,112.3943082,,12.31962184,117.4322,,,129.7518218,,113,113.7518218,,,113,0,0.665329059,,4.42663E-05,0.005481394,1.010843278
10.019,113,0.437,44.9,0.012,0.437,146,44.9,,,,,112.3693851,,12.27656583,117.38124,,,129.6578058,,113,113.6578058,,,113,0.012,0.582129049,,3.38874E-05,,
10.031,113,0.435,44.9,0.024,0.435,146,44.9,,,,,112.3943082,,12.31962184,117.4322,,,129.7518218,,113,113.7518218,,,113,0.024,0.665329059,,4.42663E-05,,
10.044,113,0.435,44.9,0.037,0.435,146,44.9,,,,,112.3943082,,12.31962184,117.4322,,,129.7518218,,113,113.7518218,,,113,0.037,0.665329059,,4.42663E-05,,
10.056,113,0.435,44.8,0.049,0.435,146,44.8,,,,,112.3906201,,12.30072861,117.4322,,,129.7329286,,113,113.7329286,,,113,0.049,0.64860939,,4.20694E-05,,
10.068,113.1,0.435,44.8,0.061,0.435,146.1,44.8,,,,,112.3906201,,12.30072861,117.4322,,,129.7329286,,113.1,113.7329286,,,113.1,0.061,0.559618577,,3.13173E-05,,
10.08,113.1,0.435,44.9,0.073,0.435,146.1,44.9,,,,,112.3943082,,12.31962184,117.4322,,,129.7518218,,113.1,113.7518218,,,113.1,0.073,0.576323463,,3.32149E-05,,
10.092,113.1,0.434,44.9,0.085,0.434,146.1,44.9,,,,,112.4066483,,12.34135822,117.45768,,,129.7990382,,113.1,113.7990382,,,113.1,0.085,0.61807093,,3.82012E-05,,
10.105,113.1,0.434,44.9,0.098,0.434,146.1,44.9,,,,,112.4066483,,12.34135822,117.45768,,,129.7990382,,113.1,113.7990382,,,113.1,0.098,0.61807093,,3.82012E-05,,
10.117,113.1,0.434,44.9,0.11,0.434,146.1,44.9,,,,,112.4066483,,12.34135822,117.45768,,,129.7990382,,113.1,113.7990382,,,113.1,0.11,0.61807093,,3.82012E-05,,
10.125,113.1,0.435,45,0.118,0.435,146.1,45,,,,,112.3979903,,12.33850123,117.4322,,,129.7707012,,113.1,113.7707012,,,113.1,0.118,0.593016117,,3.51668E-05,,
10.138,113.1,0.435,45.1,0.131,0.435,146.1,45.1,,,,,112.4016662,,12.35736683,117.4322,,,129.7895668,,113.1,113.7895668,,,113.1,0.131,0.609696582,,3.7173E-05,,
10.15,113.1,0.437,45.2,0.143,0.437,146.1,45.2,,,,,112.3805527,,12.33301117,117.38124,,,129.7142512,,113.1,113.7142512,,,113.1,0.143,0.543104486,,2.94962E-05,,
10.162,113.1,0.439,45.3,0.155,0.439,146.1,45.3,,,,,112.3592015,,12.30909213,117.33028,,,129.6393721,,113.1,113.6393721,,,113.1,0.155,0.476898437,,2.27432E-05,,
10.174,113.1,0.442,45.7,0.167,0.442,146.1,45.7,,,,,112.3362452,,12.32056902,117.25384,,,129.574409,,113.1,113.574409,,,113.1,0.167,0.419459791,,1.75947E-05,,
10.187,113.1,0.443,46.2,0.18,0.443,146.1,46.2,,,,,112.3424805,,12.39245307,117.22836,,,129.6208131,,113.1,113.6208131,,,113.1,0.18,0.460489008,,2.1205E-05,,
10.2,113.1,0.446,46.7,0.193,0.446,146.1,46.7,,,,,112.3231669,,12.42239127,117.15192,,,129.5743113,,113.1,113.5743113,,,113.1,0.193,0.419373357,,1.75874E-05,,
10.221,113.1,0.45,47.3,0.214,0.45,146.1,47.3,,,,,112.2945334,,12.4504007,117.05,,,129.5004007,,113.1,113.5004007,,,113.1,0.214,0.35402361,,1.25333E-05,,
10.237,113.1,0.453,48,0.23,0.453,146.1,48,,,,,112.2826115,,12.51688945,116.97356,,,129.4904494,,113.1,113.4904494,,,113.1,0.23,0.345224976,,1.1918E-05,,
10.258,113,0.454,48.7,0.251,0.454,146,48.7,,,,,112.2969112,,12.62281851,116.94808,,,129.5708985,,113,113.5708985,,,113,0.251,0.505219924,,2.55247E-05,,
10.278,112.9,0.457,49,0.271,0.457,145.9,49,,,,,112.2692879,,12.61678847,116.87164,,,129.4884285,,112.9,113.4884285,,,112.9,0.271,0.521194392,,2.71644E-05,,
10.299,112.8,0.461,49.2,0.292,0.461,145.8,49.2,,,,,112.2238011,,12.574268,116.76972,,,129.343988,,112.8,113.343988,,,112.8,0.292,0.482258867,,2.32574E-05,,
10.319,112.7,0.464,49.5,0.312,0.464,145.7,49.5,,,,,112.1951873,,12.56984981,116.69328,,,129.2631298,,112.7,113.2631298,,,112.7,0.312,0.499671523,,2.49672E-05,,
