time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed
10.033,159.5,0.22,46.3,0.0,0.22,189.5,46.3,,,,,157.17423979500347,,15.783523559197276,161.538,,,177.3215235591973,,153.5,152.3215235591973,,,153.5,0.0
10.054,159.5,0.223,46.6,0.0210000000000007,0.223,189.5,46.6,,,,,157.16904412514214,,15.821692679913184,161.4627,,,177.2843926799132,,153.5,152.2843926799132,,,153.5,0.0210000000000007
10.077,159.5,0.224,47.0,0.0440000000000004,0.224,189.5,47.0,,,,,157.17026180469855,,15.925049469761321,161.4376,,,177.36264946976132,,153.5,152.36264946976132,,,153.5,0.0440000000000004
10.097,159.5,0.227,47.4,0.064,0.227,189.5,47.4,,,,,157.16586703361682,,15.991871659918276,161.3623,,,177.35417165991828,,153.5,152.35417165991828,,,153.5,0.064
10.117,159.5,0.229,48.0,0.0840000000000014,0.229,189.5,48.0,,,,,157.16632132343403,,16.135319505707855,161.31210000000002,,,177.44741950570787,,153.5,152.44741950570787,,,153.5,0.0840000000000014
10.134,159.5,0.234,48.7,0.1010000000000008,0.234,189.5,48.7,,,,,157.15890937883935,,16.252101271730318,161.1866,,,177.4387012717303,,153.5,152.4387012717303,,,153.5,0.1010000000000008
10.155,159.5,0.235,49.3,0.1219999999999998,0.235,189.5,49.3,,,,,157.16243147798815,,16.41000845367993,161.1615,,,177.5715084536799,,153.5,152.5715084536799,,,153.5,0.1219999999999998
10.173,159.4,0.238,49.9,0.1400000000000005,0.238,189.4,49.9,,,,,157.15985471102252,,16.529685114009766,161.0862,,,177.61588511400976,,153.4,152.61588511400976,,,153.4,0.1400000000000005
10.191,159.3,0.24,50.5,0.1580000000000012,0.24,189.3,50.5,,,,,157.16039260096744,,16.66620421180788,161.036,,,177.7022042118079,,153.3,152.7022042118079,,,153.3,0.1580000000000012
10.216,159.1,0.242,50.9,0.1829999999999998,0.242,189.1,50.9,,,,,157.15863873020305,,16.743863372657778,160.9858,,,177.7296633726578,,153.1,152.7296633726578,,,153.1,0.1829999999999998
