time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,,
10.033,159.5,0.22,46.3,0,0.22,189.5,46.3,,,,,157.1742398,,16.97497313,161.538,,,178.5129731,,153.5,153.5129731,,,153.5,0,0.008451553,,7.14288E-09,0.004353163,0.755103343
10.054,159.5,0.223,46.6,0.021,0.223,189.5,46.6,,,,,157.1690441,,16.9056518,161.4627,,,178.3683518,,153.5,153.3683518,,,153.5,0.021,-0.085764299,,7.35552E-07,,
10.077,159.5,0.224,47,0.044,0.224,189.5,47,,,,,157.1702618,,16.96908353,161.4376,,,178.4066835,,153.5,153.4066835,,,153.5,0.044,-0.060792486,,3.69573E-07,,
10.097,159.5,0.227,47.4,0.064,0.227,189.5,47.4,,,,,157.165867,,16.93142101,161.3623,,,178.293721,,153.5,153.293721,,,153.5,0.064,-0.134383705,,1.8059E-06,,
10.117,159.5,0.229,48,0.084,0.229,189.5,48,,,,,157.1663213,,17.00104346,161.3121,,,178.3131435,,153.5,153.3131435,,,153.5,0.084,-0.121730647,,1.48184E-06,,
10.134,159.5,0.234,48.7,0.101,0.234,189.5,48.7,,,,,157.1589094,,16.95386765,161.1866,,,178.1404677,,153.5,153.1404677,,,153.5,0.101,-0.234223027,,5.48604E-06,,
10.155,159.5,0.235,49.3,0.122,0.235,189.5,49.3,,,,,157.1624315,,17.07080536,161.1615,,,178.2323054,,153.5,153.2323054,,,153.5,0.122,-0.174393901,,3.04132E-06,,
10.173,159.4,0.238,49.9,0.14,0.238,189.4,49.9,,,,,157.1598547,,17.09331493,161.0862,,,178.1795149,,153.4,153.1795149,,,153.4,0.14,-0.143732118,,2.06589E-06,,
10.191,159.3,0.24,50.5,0.158,0.24,189.3,50.5,,,,,157.1603926,,17.1623792,161.036,,,178.1983792,,153.3,153.1983792,,,153.3,0.158,-0.066288843,,4.39421E-07,,
10.216,159.1,0.242,50.9,0.183,0.242,189.1,50.9,,,,,157.1586387,,17.17799555,160.9858,,,178.1637955,,153.1,153.1637955,,,153.1,0.183,0.0416692,,1.73632E-07,,
10.237,158.9,0.246,51.1,0.204,0.246,188.9,51.1,,,,,157.1477952,,17.05370129,160.8854,,,177.9391013,,152.9,152.9391013,,,152.9,0.204,0.025573115,,6.53984E-08,,
10.257,158.6,0.25,51,0.224,0.25,188.6,51,,,,,157.1326184,,16.85796911,160.785,,,177.6429691,,152.6,152.6429691,,,152.6,0.224,0.028158002,,7.92873E-08,,
10.272,158.3,0.253,50.8,0.239,0.253,188.3,50.8,,,,,157.1190834,,16.68415328,160.7097,,,177.3938533,,152.3,152.3938533,,,152.3,0.239,0.061623952,,3.79751E-07,,
10.294,158,0.258,50.6,0.261,0.258,188,50.6,,,,,157.0970158,,16.43842574,160.5842,,,177.0226257,,152,152.0226257,,,152,0.261,0.014885356,,2.21574E-08,,
10.314,157.7,0.261,50.4,0.281,0.261,187.7,50.4,,,,,157.0819672,,16.27630566,160.5089,,,176.7852057,,151.7,151.7852057,,,151.7,0.281,0.056167209,,3.15476E-07,,
10.33,157.5,0.263,50.2,0.297,0.263,187.5,50.2,,,,,157.0706761,,16.15387804,160.4587,,,176.612578,,151.5,151.612578,,,151.5,0.297,0.074308938,,5.52182E-07,,
10.356,157.3,0.268,49.9,0.323,0.268,187.3,49.9,,,,,157.0439702,,15.90566414,160.3332,,,176.2388641,,151.3,151.2388641,,,151.3,0.323,-0.040407043,,1.63273E-07,,
