time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension
10.015,155.2,0.428,46.5,0,0.428,182.2,46.5,,,,,156.1365855,,17.37345929,149.14608,,,166.5195393,,155.2,156.5195393,,,155.2,0,0.850218613,
10.034,155.2,0.428,46.6,0.019,0.428,182.2,46.6,,,,,156.1418866,,17.41097652,149.14608,,,166.5570565,,155.2,156.5570565,,,155.2,0.019,0.874392085,
10.059,155.2,0.432,46.6,0.044,0.432,182.2,46.6,,,,,156.0638883,,17.40468212,148.99952,,,166.4042021,,155.2,156.4042021,,,155.2,0.044,0.775903429,
10.079,155.1,0.433,46.9,0.064,0.433,182.1,46.9,,,,,156.0604142,,17.51561218,148.96288,,,166.4784922,,155.1,156.4784922,,,155.1,0.064,0.888776388,
10.099,155.1,0.435,47.5,0.084,0.435,182.1,47.5,,,,,156.0534973,,17.7374193,148.8896,,,166.6270193,,155.1,156.6270193,,,155.1,0.084,0.984538555,
10.116,155.1,0.438,48.1,0.101,0.438,182.1,48.1,,,,,156.0266562,,17.95750995,148.77968,,,166.73719,,155.1,156.73719,,,155.1,0.101,1.055570568,
10.137,155.1,0.44,48.6,0.122,0.44,182.1,48.6,,,,,156.0142094,,18.1416586,148.7064,,,166.8480586,,155.1,156.8480586,,,155.1,0.122,1.127052611,
10.146,155,0.443,49.2,0.131,0.443,182,49.2,,,,,155.9870849,,18.36153363,148.59648,,,166.9580136,,155,156.9580136,,,155,0.131,1.263234601,
10.176,154.8,0.445,49.6,0.161,0.445,181.8,49.6,,,,,155.9688877,,18.50804659,148.5232,,,167.0312466,,154.8,157.0312466,,,154.8,0.161,1.441373765,
10.193,154.6,0.449,49.7,0.178,0.449,181.6,49.7,,,,,155.8918787,,18.53860603,148.37664,,,166.915246,,154.6,156.915246,,,154.6,0.178,1.497571816,
10.218,154.4,0.45,49.8,0.203,0.45,181.4,49.8,,,,,155.8767032,,18.57433183,148.34,,,166.9143318,,154.4,156.9143318,,,154.4,0.203,1.628453256,
10.232,154.2,0.456,49.5,0.217,0.456,181.2,49.5,,,,,155.730203,,18.45141539,148.12016,,,166.5715754,,154.2,156.5715754,,,154.2,0.217,1.537986637,
10.257,153.9,0.46,49.2,0.242,0.46,180.9,49.2,,,,,155.6230368,,18.33199654,147.9736,,,166.3055965,,153.9,156.3055965,,,153.9,0.242,1.563090667,
10.277,153.7,0.461,49.6,0.262,0.461,180.7,49.6,,,,,155.6252242,,18.47996514,147.93696,,,166.4169251,,153.7,156.4169251,,,153.7,0.262,1.767680641,
10.297,153.4,0.465,49.5,0.282,0.465,180.4,49.5,,,,,155.5276906,,18.43533628,147.7904,,,166.2257363,,153.4,156.2257363,,,153.4,0.282,1.842070588,
10.317,153.2,0.468,48.9,0.302,0.468,180.2,48.9,,,,,155.4190473,,18.20539657,147.68048,,,165.8858766,,153.2,155.8858766,,,153.2,0.302,1.753183137,
10.338,152.9,0.473,49.1,0.323,0.473,179.9,49.1,,,,,155.3119654,,18.27112606,147.49728,,,165.7684061,,152.9,155.7684061,,,152.9,0.323,1.876001345,
10.357,152.7,0.475,49.5,0.342,0.475,179.7,49.5,,,,,155.2897496,,18.41703993,147.424,,,165.8410399,,152.7,155.8410399,,,152.7,0.342,2.057000612,
10.378,152.5,0.478,49.3,0.363,0.478,179.5,49.3,,,,,155.2020686,,18.33668687,147.31408,,,165.6507669,,152.5,155.6507669,,,152.5,0.363,2.066076637,
10.394,152.3,0.483,49.1,0.379,0.483,179.3,49.1,,,,,155.0613937,,18.2525867,147.13088,,,165.3834667,,152.3,155.3834667,,,152.3,0.379,2.024600588,
10.407,152,0.489,49.3,0.392,0.489,179,49.3,,,,,154.918581,,18.31595791,146.91104,,,165.2269979,,152,155.2269979,,,152,0.392,2.123024939,
10.434,151.8,0.493,49.5,0.419,0.493,178.8,49.5,,,,,154.8258238,,18.3829719,146.76448,,,165.1474519,,151.8,155.1474519,,,151.8,0.419,2.205172532,
10.443,151.6,0.495,49.7,0.428,0.495,178.6,49.7,,,,,154.7861771,,18.45377186,146.6912,,,165.1449719,,151.6,155.1449719,,,151.6,0.428,2.338371943,
10.476,151.3,0.5,49.5,0.461,0.5,178.3,49.5,,,,,154.6325957,,18.3693319,146.508,,,164.8773319,,151.3,154.8773319,,,151.3,0.461,2.364396497,
10.498,151.1,0.506,49.5,0.483,0.506,178.1,49.5,,,,,154.4610871,,18.35746711,146.28816,,,164.6456271,,151.1,154.6456271,,,151.1,0.483,2.346543425,
10.518,150.8,0.508,49.8,0.503,0.508,177.8,49.8,,,,,154.4264249,,18.46536626,146.21488,,,164.6802463,,150.8,154.6802463,,,150.8,0.503,2.573107601,
10.539,150.6,0.511,49.6,0.524,0.511,177.6,49.6,,,,,154.3219826,,18.38474434,146.10496,,,164.4897043,,150.6,154.4897043,,,150.6,0.524,2.582805005,
10.554,150.3,0.517,49.2,0.539,0.517,177.3,49.2,,,,,154.1073153,,18.22350447,145.88512,,,164.1086245,,150.3,154.1086245,,,150.3,0.539,2.534014953,
10.573,150.1,0.521,49.3,0.558,0.521,177.1,49.3,,,,,153.9909892,,18.25260398,145.73856,,,163.991164,,150.1,153.991164,,,150.1,0.558,2.592381064,
10.589,149.9,0.526,49.8,0.574,0.526,176.9,49.8,,,,,153.874876,,18.42848072,145.55536,,,163.9838407,,149.9,153.9838407,,,149.9,0.574,2.724376728,
10.616,149.6,0.53,49.5,0.601,0.53,176.6,49.5,,,,,153.7188191,,18.30841992,145.4088,,,163.7172199,,149.6,153.7172199,,,149.6,0.601,2.752152355,
10.638,149.4,0.536,49.5,0.623,0.536,176.4,49.5,,,,,153.5187278,,18.29576414,145.18896,,,163.4847241,,149.4,153.4847241,,,149.4,0.623,2.734085767,
10.655,149.2,0.539,50,0.64,0.539,176.2,50,,,,,153.4624325,,18.47534022,145.07904,,,163.5543802,,149.2,153.5543802,,,149.2,0.64,2.918485403,
10.679,148.9,0.544,49.8,0.664,0.544,175.9,49.8,,,,,153.2708873,,18.39016943,144.89584,,,163.2860094,,148.9,153.2860094,,,148.9,0.664,2.945607409,
10.699,148.7,0.552,49.5,0.684,0.552,175.7,49.5,,,,,152.9555844,,18.26125267,144.60272,,,162.8639727,,148.7,152.8639727,,,148.7,0.684,2.800250618,
10.718,148.4,0.556,49.9,0.703,0.556,175.4,49.9,,,,,152.8478044,,18.40097689,144.45616,,,162.8571369,,148.4,152.8571369,,,148.4,0.703,3.003461515,
10.739,148.2,0.559,49.9,0.724,0.559,175.2,49.9,,,,,152.7357808,,18.39428746,144.34624,,,162.7405275,,148.2,152.7405275,,,148.2,0.724,3.063783714,
10.756,148,0.566,49.3,0.741,0.566,175,49.3,,,,,152.4055233,,18.15596875,144.08976,,,162.2457288,,148,152.2457288,,,148,0.741,2.868735643,
10.769,147.8,0.571,49.4,0.754,0.571,174.8,49.4,,,,,152.2183279,,18.1817697,143.90656,,,162.0883297,,147.8,152.0883297,,,147.8,0.754,2.901440931,
10.796,147.5,0.575,49.8,0.781,0.575,174.5,49.8,,,,,152.1004427,,18.32089654,143.76,,,162.0808965,,147.5,152.0808965,,,147.5,0.781,3.105692567,
10.812,147.3,0.581,49.5,0.797,0.581,174.3,49.5,,,,,151.8204868,,18.19590617,143.54016,,,161.7360662,,147.3,151.7360662,,,147.3,0.797,3.011585992,
10.831,147.1,0.586,49.2,0.816,0.586,174.1,49.2,,,,,151.5748967,,18.07323761,143.35696,,,161.4301976,,147.1,151.4301976,,,147.1,0.816,2.943710135,
10.857,146.9,0.591,49.4,0.842,0.591,173.9,49.4,,,,,151.3816476,,18.13555389,143.17376,,,161.3093139,,146.9,151.3093139,,,146.9,0.842,3.001575149,
10.879,146.7,0.594,49.7,0.864,0.594,173.7,49.7,,,,,151.2851668,,18.23942781,143.06384,,,161.3032678,,146.7,151.3032678,,,146.7,0.864,3.137878533,
10.898,146.5,0.599,49.5,0.883,0.599,173.5,49.5,,,,,151.0379495,,18.15356211,142.88064,,,161.0342021,,146.5,151.0342021,,,146.5,0.883,3.095018504,
10.915,146.3,0.604,49.3,0.9,0.604,173.3,49.3,,,,,150.7847972,,18.06767738,142.69744,,,160.7651174,,146.3,150.7651174,,,146.3,0.9,3.052028286,
10.936,146.1,0.608,49.3,0.921,0.608,173.1,49.3,,,,,150.5981288,,18.0580349,142.55088,,,160.6089149,,146.1,150.6089149,,,146.1,0.921,3.086184052,
10.957,145.9,0.614,49.2,0.942,0.614,172.9,49.2,,,,,150.2992531,,18.00654964,142.33104,,,160.3375896,,145.9,150.3375896,,,145.9,0.942,3.041528197,
10.977,145.7,0.62,49.3,0.962,0.62,172.7,49.3,,,,,150.0190176,,18.02871462,142.1112,,,160.1399146,,145.7,150.1399146,,,145.7,0.962,3.047298981,
10.998,145.5,0.622,49.6,0.983,0.622,172.5,49.6,,,,,149.9596776,,18.13436936,142.03792,,,160.1722894,,145.5,150.1722894,,,145.5,0.983,3.211195435,
11.005,145.3,0.626,49.3,0.99,0.626,172.3,49.3,,,,,149.7185441,,18.01383482,141.89136,,,159.9051948,,145.3,149.9051948,,,145.3,0.99,3.169438969,
11.038,145.2,0.633,48.9,1.023,0.633,172.2,48.9,,,,,149.3026288,,17.84903001,141.63488,,,159.48391,,145.2,149.48391,,,145.2,1.023,2.950351247,
11.059,145,0.637,49.3,1.044,0.637,172,49.3,,,,,149.148382,,17.98617793,141.48832,,,159.4744979,,145,149.4744979,,,145,1.044,3.085860642,
11.076,144.8,0.642,49.5,1.061,0.642,171.8,49.5,,,,,148.9097667,,18.04700233,141.30512,,,159.3521223,,144.8,149.3521223,,,144.8,1.061,3.143730888,
11.093,144.7,0.648,49.1,1.078,0.648,171.7,49.1,,,,,148.5230736,,17.88453828,141.08528,,,158.9698183,,144.7,148.9698183,,,144.7,1.078,2.950807378,
11.117,144.5,0.654,49.3,1.102,0.654,171.5,49.3,,,,,148.216947,,17.94248439,140.86544,,,158.8079244,,144.5,148.8079244,,,144.5,1.102,2.981262555,
11.136,144.3,0.658,49.5,1.121,0.658,171.3,49.5,,,,,148.0195236,,18.00544796,140.71888,,,158.724328,,144.3,148.724328,,,144.3,1.121,3.066062343,
11.156,144.2,0.663,49.4,1.141,0.663,171.2,49.4,,,,,147.7142065,,17.95557167,140.53568,,,158.4912517,,144.2,148.4912517,,,144.2,1.141,2.975902684,
11.178,144,0.669,49.3,1.163,0.669,171,49.3,,,,,147.342911,,17.90298421,140.31584,,,158.2188242,,144,148.2188242,,,144,1.163,2.929739038,
11.198,143.9,0.673,49.4,1.183,0.673,170.9,49.4,,,,,147.1176949,,17.92893712,140.16928,,,158.0982171,,143.9,148.0982171,,,143.9,1.183,2.917454566,
11.212,143.7,0.676,49.5,1.197,0.676,170.7,49.5,,,,,146.9508446,,17.95749219,140.05936,,,158.0168522,,143.7,148.0168522,,,143.7,1.197,3.004072502,
11.228,143.6,0.68,49.4,1.213,0.68,170.6,49.4,,,,,146.6867288,,17.91006158,139.9128,,,157.8228616,,143.6,147.8228616,,,143.6,1.213,2.940711407,
11.255,143.4,0.685,49.1,1.24,0.685,170.4,49.1,,,,,146.320784,,17.78673529,139.7296,,,157.5163353,,143.4,147.5163353,,,143.4,1.24,2.870526702,
11.276,143.3,0.69,49.2,1.261,0.69,170.3,49.2,,,,,146.0167913,,17.80966457,139.5464,,,157.3560646,,143.3,147.3560646,,,143.3,1.261,2.83047074,
11.294,143.2,0.693,49.4,1.279,0.693,170.2,49.4,,,,,145.8565079,,17.87450625,139.43648,,,157.3109863,,143.2,147.3109863,,,143.2,1.279,2.870800457,
11.308,143.1,0.699,49.5,1.293,0.699,170.1,49.5,,,,,145.47797,,17.89438767,139.21664,,,157.1110277,,143.1,147.1110277,,,143.1,1.293,2.802954348,
11.337,142.9,0.701,49.7,1.322,0.701,169.9,49.7,,,,,145.3801395,,17.9618067,139.14336,,,157.1051667,,142.9,147.1051667,,,142.9,1.322,2.942733868,
11.357,142.8,0.706,49.5,1.342,0.706,169.8,49.5,,,,,145.0050752,,17.87478111,138.96016,,,156.8349411,,142.8,146.8349411,,,142.8,1.342,2.825589012,
11.374,142.7,0.712,49.3,1.359,0.712,169.7,49.3,,,,,144.5527686,,17.7849415,138.74032,,,156.5252615,,142.7,146.5252615,,,142.7,1.359,2.680631746,
11.395,142.6,0.715,49.5,1.38,0.715,169.6,49.5,,,,,144.3797758,,17.84930131,138.6304,,,156.4797013,,142.6,146.4797013,,,142.6,1.38,2.720688153,
11.415,142.5,0.72,49.5,1.4,0.72,169.5,49.5,,,,,144.0238758,,17.83501487,138.4472,,,156.2822149,,142.5,146.2822149,,,142.5,1.4,2.654185875,
11.434,142.4,0.723,49.6,1.419,0.723,169.4,49.6,,,,,143.8269077,,17.8627871,138.33728,,,156.2000671,,142.4,146.2000671,,,142.4,1.419,2.668586444,
11.452,142.3,0.726,49.7,1.437,0.726,169.3,49.7,,,,,143.6281033,,17.89049602,138.22736,,,156.117856,,142.3,146.117856,,,142.3,1.437,2.682962767,
11.472,142.2,0.729,49.6,1.457,0.729,169.2,49.6,,,,,143.3876566,,17.84542291,138.11744,,,155.9628629,,142.2,145.9628629,,,142.2,1.457,2.646176451,
11.498,142.1,0.735,49.5,1.483,0.735,169.1,49.5,,,,,142.9190727,,17.79159972,137.8976,,,155.6891997,,142.1,145.6891997,,,142.1,1.483,2.525826688,
11.516,142,0.739,49.5,1.501,0.739,169,49.5,,,,,142.614928,,17.77988271,137.75104,,,155.5309227,,142,145.5309227,,,142,1.501,2.486565285,
11.532,141.9,0.741,49.7,1.517,0.741,168.9,49.7,,,,,142.5028402,,17.84659214,137.67776,,,155.5243521,,141.9,145.5243521,,,141.9,1.517,2.554159365,
11.556,141.8,0.745,49.7,1.541,0.745,168.8,49.7,,,,,142.1931511,,17.83474505,137.5312,,,155.365945,,141.8,145.365945,,,141.8,1.541,2.514770836,
11.575,141.7,0.748,49.6,1.56,0.748,168.7,49.6,,,,,141.9369549,,17.78956342,137.42128,,,155.2108434,,141.7,145.2108434,,,141.7,1.56,2.477659436,
11.595,141.6,0.751,49.6,1.58,0.751,168.6,49.6,,,,,141.6994633,,17.78062341,137.31136,,,155.0919834,,141.6,145.0919834,,,141.6,1.58,2.466089979,
11.615,141.6,0.753,49.7,1.6,0.753,168.6,49.7,,,,,141.5614363,,17.81087647,137.23808,,,155.0489565,,141.6,145.0489565,,,141.6,1.6,2.435703724,
11.636,141.5,0.757,49.6,1.621,0.757,168.5,49.6,,,,,141.2174711,,17.76264612,137.09152,,,154.8541661,,141.5,144.8541661,,,141.5,1.621,2.370435421,
11.656,141.4,0.761,49.6,1.641,0.761,168.4,49.6,,,,,140.8909138,,17.75058955,136.94496,,,154.6955496,,141.4,144.6955496,,,141.4,1.641,2.330657393,
11.676,141.3,0.763,49.7,1.661,0.763,168.3,49.7,,,,,140.748377,,17.78071639,136.87168,,,154.6523964,,141.3,144.6523964,,,141.3,1.661,2.372538139,
11.698,141.3,0.765,49.6,1.683,0.765,168.3,49.6,,,,,140.5601411,,17.73847592,136.7984,,,154.5368759,,141.3,144.5368759,,,141.3,1.683,2.290782673,
11.703,141.2,0.768,49.5,1.688,0.768,168.2,49.5,,,,,140.2865674,,17.69320572,136.68848,,,154.3816857,,141.2,144.3816857,,,141.2,1.688,2.2533185,
11.735,141.2,0.77,49.7,1.72,0.77,168.2,49.7,,,,,140.1635413,,17.75939186,136.6152,,,154.3745919,,141.2,144.3745919,,,141.2,1.72,2.248294517,
