time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension
10.008,195.7,0.422,94.8,0.0,0.422,229.7,94.8,,,,,190.5124115329045,,32.298289350061346,190.62572,,,222.9240093500613,,195.7,195.9240093500613,,,195.7,0.0,0.1144656873077786,
10.02,195.7,0.422,95.1,0.0120000000000004,0.422,229.7,95.1,,,,,190.5192740384697,,32.40015674533341,190.62572,,,223.02587674533345,,195.7,196.02587674533345,,,195.7,0.0120000000000004,0.16651852086533467,
10.034,195.7,0.422,95.2,0.0260000000000015,0.422,229.7,95.2,,,,,190.5215607854614,,32.43411129493722,190.62572,,,223.05983129493725,,195.7,196.05983129493725,,,195.7,0.0260000000000015,0.18386882725460682,
10.046,195.7,0.422,95.4,0.0380000000000002,0.422,229.7,95.4,,,,,190.52613325820195,,32.50201851384836,190.62572,,,223.1277385138484,,195.7,196.1277385138484,,,195.7,0.0380000000000002,0.21856847922760597,
10.058,195.6,0.423,95.6,0.0500000000000007,0.423,229.6,95.6,,,,,190.51674062303871,,32.567269085573145,190.58598,,,223.15324908557312,,195.6,196.15324908557312,,,195.6,0.0500000000000007,0.282847180763358,
10.07,195.6,0.424,95.8,0.0620000000000011,0.424,229.6,95.8,,,,,190.5073006210031,,32.632501351880514,190.54624,,,223.1787413518805,,195.6,196.1787413518805,,,195.6,0.0620000000000011,0.29588003674871954,
10.073,195.6,0.427,96.1,0.0650000000000012,0.427,229.6,96.1,,,,,190.47167113769288,,32.72627697632816,190.42702,,,223.1532969763281,,195.6,196.1532969763281,,,195.6,0.0650000000000012,0.2828716647894238,
10.096,195.6,0.429,96.5,0.0880000000000009,0.429,229.6,96.5,,,,,190.45229533501728,,32.85659633179085,190.34754,,,223.20413633179083,,195.6,196.20413633179083,,,195.6,0.0880000000000009,0.3088631553122907,
10.104,195.6,0.428,97.4,0.096,0.428,229.6,97.4,,,,,190.4878703090412,,33.164687413674066,190.38728,,,223.55196741367405,,195.6,196.55196741367405,,,195.6,0.096,0.48669090678632665,
10.115,195.6,0.433,98.4,0.1070000000000011,0.433,229.6,98.4,,,,,190.4394401649112,,33.490065792803136,190.18858,,,223.67864579280317,,195.6,196.67864579280317,,,195.6,0.1070000000000011,0.5514549042961003,
10.126,195.6,0.434,99.1,0.1180000000000003,0.434,229.6,99.1,,,,,190.4416893082631,,33.724611935323296,190.14884,,,223.8734519353233,,195.6,196.8734519353233,,,195.6,0.1180000000000003,0.6510490466888006,
10.138,195.6,0.437,100.3,0.1300000000000007,0.437,229.6,100.3,,,,,190.42676762245893,,34.12285403614759,190.02962,,,224.1524740361476,,195.6,197.1524740361476,,,195.6,0.1300000000000007,0.7936983824885484,
10.151,195.5,0.439,101.2,0.1430000000000006,0.439,229.5,101.2,,,,,190.4192716129444,,34.4220506640399,189.95014,,,224.37219066403983,,195.5,197.37219066403983,,,195.5,0.1430000000000006,0.9576422833963347,
10.163,195.4,0.44,102.6,0.1550000000000011,0.44,229.4,102.6,,,,,190.43912476276023,,34.89335815718063,189.9104,,,224.8037581571806,,195.4,197.8037581571806,,,195.4,0.1550000000000011,1.2301730589460542,
10.179,195.3,0.444,103.4,0.1710000000000011,0.444,229.3,103.4,,,,,190.39940931947285,,35.15240101974267,189.75144,,,224.90384101974263,,195.3,197.90384101974263,,,195.3,0.1710000000000011,1.333251930231755,
10.2,195.1,0.448,103.8,0.1920000000000001,0.448,229.1,103.8,,,,,190.3486149571748,,35.2757742566044,189.59248,,,224.8682542566044,,195.1,197.8682542566044,,,195.1,0.1920000000000001,1.4188899316270598,
10.221,194.9,0.451,104.9,0.2130000000000009,0.451,228.9,104.9,,,,,190.33062972712736,,35.638810799883046,189.47326,,,225.11207079988304,,194.9,198.11207079988304,,,194.9,0.2130000000000009,1.6480609542755449,
10.24,194.6,0.451,105.2,0.2320000000000011,0.451,228.6,105.2,,,,,190.338458279516,,35.7402902272716,189.47326,,,225.2135502272716,,194.6,198.2135502272716,,,194.6,0.2320000000000011,1.8569117303554044,
10.258,194.2,0.455,104.9,0.25,0.455,228.2,104.9,,,,,190.26755270431656,,35.6264590591909,189.3143,,,224.94075905919087,,194.2,197.94075905919087,,,194.2,0.25,1.9262405042177542,
10.275,193.9,0.459,103.6,0.2670000000000012,0.459,227.9,103.6,,,,,190.1677867974398,,35.174396967653706,189.15534,,,224.3297369676537,,193.9,197.3297369676537,,,193.9,0.2670000000000012,1.7688174149838556,
10.298,193.5,0.465,102.5,0.2900000000000009,0.465,227.5,102.5,,,,,190.03622869259323,,34.783729238774335,188.9169,,,223.70062923877435,,193.5,196.70062923877435,,,193.5,0.2900000000000009,1.6540719580229222,
10.318,193.2,0.467,102.8,0.3100000000000005,0.467,227.2,102.8,,,,,190.00992197272345,,34.87887830011283,188.83742,,,223.7162983001128,,193.2,196.7162983001128,,,193.2,0.3100000000000005,1.8200301760418338,
10.339,192.9,0.467,103.2,0.3310000000000013,0.467,226.9,103.2,,,,,190.02117948633665,,35.014094146745975,188.83742,,,223.851514146746,,192.9,196.851514146746,,,192.9,0.3310000000000013,2.048478043932611,
10.359,192.6,0.475,103.0,0.3510000000000008,0.475,226.6,103.0,,,,,189.87282514815388,,34.92100622373599,188.5195,,,223.440506223736,,192.6,196.440506223736,,,192.6,0.3510000000000008,1.9940323072357289,
10.379,192.3,0.478,103.4,0.3710000000000004,0.478,226.3,103.4,,,,,189.82940253021977,,35.046429150039486,188.40028,,,223.44670915003945,,192.3,196.44670915003945,,,192.3,0.3710000000000004,2.15637501302103,
10.4,192.0,0.481,103.4,0.3920000000000012,0.481,226.0,103.4,,,,,189.77328105554489,,35.036647982873774,188.28106,,,223.31770798287377,,192.0,196.31770798287377,,,192.0,0.3920000000000012,2.2488062410800884,
10.416,191.8,0.486,102.8,0.4080000000000012,0.486,225.8,102.8,,,,,189.65891576804603,,34.81764786359659,188.08236,,,222.90000786359656,,191.8,195.90000786359656,,,191.8,0.4080000000000012,2.1376474784132142,
10.437,191.5,0.49,102.9,0.4290000000000002,0.49,225.5,102.9,,,,,189.5830194885056,,34.838153635296855,187.9234,,,222.76155363529685,,191.5,195.76155363529685,,,191.5,0.4290000000000002,2.2253543787450907,
10.457,191.3,0.493,103.9,0.4490000000000016,0.493,225.3,103.9,,,,,189.5546365079215,,35.16551228103197,187.80418,,,222.96969228103197,,191.3,195.96969228103197,,,191.3,0.4490000000000016,2.4410309885164434,
10.478,191.0,0.498,103.9,0.4700000000000006,0.498,225.0,103.9,,,,,189.45233801275603,,35.14853189205347,187.60548,,,222.75401189205348,,191.0,195.75401189205348,,,191.0,0.4700000000000006,2.4890114618081065,
10.498,190.7,0.503,104.0,0.4900000000000002,0.503,224.7,104.0,,,,,189.35042472225905,,35.16506834110097,187.40678,,,222.57184834110095,,190.7,195.57184834110095,,,190.7,0.4900000000000002,2.554718584740932,
10.509,190.4,0.509,104.0,0.5010000000000012,0.509,224.4,104.0,,,,,189.2201621966284,,35.1441931927156,187.16834,,,222.3125331927156,,190.4,195.3125331927156,,,190.4,0.5010000000000012,2.580111970964068,
10.54,190.1,0.512,104.1,0.532,0.512,224.1,104.1,,,,,189.1568880616417,,35.16733682943005,187.04912,,,222.21645682943003,,190.1,195.21645682943003,,,190.1,0.532,2.6914554599842373,
