time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension
10.033,159.5,0.22,46.3,0.0,0.22,189.5,46.3,,,,,157.17423979500347,,15.531378835595389,161.538,,,177.0693788355954,,153.5,152.0693788355954,,,153.5,0.0,-0.9320007585697805,
10.054,159.5,0.223,46.6,0.0210000000000007,0.223,189.5,46.6,,,,,157.16904412514214,,15.629127961744873,161.4627,,,177.09182796174488,,153.5,152.09182796174488,,,153.5,0.0210000000000007,-0.9173759206873725,
10.077,159.5,0.224,47.0,0.0440000000000004,0.224,189.5,47.0,,,,,157.17026180469855,,15.76229570692782,161.4376,,,177.19989570692783,,153.5,152.19989570692783,,,153.5,0.0440000000000004,-0.8469734808287731,
10.097,159.5,0.227,47.4,0.064,0.227,189.5,47.4,,,,,157.16586703361682,,15.893453897127404,161.3623,,,177.25575389712742,,153.5,152.25575389712742,,,153.5,0.064,-0.8105837803730164,
10.117,159.5,0.229,48.0,0.0840000000000014,0.229,189.5,48.0,,,,,157.16632132343403,,16.09258577082714,161.31210000000002,,,177.40468577082714,,153.5,152.40468577082714,,,153.5,0.0840000000000014,-0.7135597584187992,
10.134,159.5,0.234,48.7,0.1010000000000008,0.234,189.5,48.7,,,,,157.15890937883935,,16.32201980951712,161.1866,,,177.5086198095171,,153.5,152.5086198095171,,,153.5,0.1010000000000008,-0.6458502869595347,
10.155,159.5,0.235,49.3,0.1219999999999998,0.235,189.5,49.3,,,,,157.16243147798815,,16.52201753778264,161.1615,,,177.68351753778262,,153.5,152.68351753778262,,,153.5,0.1219999999999998,-0.5319103988386839,
10.173,159.4,0.238,49.9,0.1400000000000005,0.238,189.4,49.9,,,,,157.15985471102252,,16.719794021852895,161.0862,,,177.80599402185288,,153.4,152.80599402185288,,,153.4,0.1400000000000005,-0.38722684364219256,
10.191,159.3,0.24,50.5,0.1580000000000012,0.24,189.3,50.5,,,,,157.16039260096744,,16.918576135079764,161.036,,,177.95457613507978,,153.3,152.95457613507978,,,153.3,0.1580000000000012,-0.22532541743002948,
10.216,159.1,0.242,50.9,0.1829999999999998,0.242,189.1,50.9,,,,,157.15863873020305,,17.050297075494495,160.9858,,,178.0360970754945,,153.1,153.0360970754945,,,153.1,0.1829999999999998,-0.04173933671162541,
10.237,158.9,0.246,51.1,0.2040000000000006,0.246,188.9,51.1,,,,,157.14779520030044,,17.1126716764579,160.8854,,,177.9980716764579,,152.9,152.9980716764579,,,152.9,0.2040000000000006,0.06414105719940581,
10.257,158.6,0.25,51.0,0.2240000000000002,0.25,188.6,51.0,,,,,157.1326183809183,,17.07454770602372,160.785,,,177.8595477060237,,152.6,152.8595477060237,,,152.6,0.2240000000000002,0.17008368677831595,
