time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension
10.015,155.2,0.428,46.5,0.0,0.428,182.2,46.5,,,,,156.13658553343143,,14.758767839447431,149.14608,,,163.90484783944746,,155.2,153.90484783944746,,,155.2,0.0,-0.8345052580879723,
10.034,155.2,0.428,46.6,0.0190000000000001,0.428,182.2,46.6,,,,,156.14188661523403,,14.783913853119468,149.14608,,,163.92999385311947,,155.2,153.92999385311947,,,155.2,0.0190000000000001,-0.818302929691056,
10.059,155.2,0.432,46.6,0.0439999999999987,0.432,182.2,46.6,,,,,156.0638883089535,,14.760608539814816,148.99952,,,163.7601285398148,,155.2,153.7601285398148,,,155.2,0.0439999999999987,-0.9277522295007745,
10.079,155.1,0.433,46.9,0.064,0.433,182.1,46.9,,,,,156.06041423153547,,14.829809034714785,148.96288,,,163.79268903471478,,155.1,153.79268903471478,,,155.1,0.064,-0.8428826339685437,
10.099,155.1,0.435,47.5,0.0839999999999996,0.435,182.1,47.5,,,,,156.05349731589737,,14.967483576005362,148.8896,,,163.85708357600535,,155.1,153.85708357600535,,,155.1,0.0839999999999996,-0.8013645544775261,
10.116,155.1,0.438,48.1,0.100999999999999,0.438,182.1,48.1,,,,,156.02665619753762,,15.098171264126236,148.77968,,,163.87785126412626,,155.1,153.87785126412626,,,155.1,0.100999999999999,-0.7879746846381243,
10.137,155.1,0.44,48.6,0.1219999999999998,0.44,182.1,48.6,,,,,156.01420937224003,,15.20925128200128,148.7064,,,163.91565128200128,,155.1,153.91565128200128,,,155.1,0.1219999999999998,-0.7636032998057488,
10.146,155.0,0.443,49.2,0.1310000000000002,0.443,182.0,49.2,,,,,155.9870849215977,,15.337904262316773,148.59648,,,163.9343842623168,,155.0,153.9343842623168,,,155.0,0.1310000000000002,-0.6874940243117437,
10.176,154.8,0.445,49.6,0.1609999999999996,0.445,181.8,49.6,,,,,155.96888765549377,,15.423052931619956,148.5232,,,163.94625293161997,,154.8,153.94625293161997,,,154.8,0.1609999999999996,-0.5515161940439567,
10.193,154.6,0.449,49.7,0.177999999999999,0.449,181.6,49.7,,,,,155.89187870110456,,15.422636562175176,148.37664,,,163.79927656217518,,154.6,153.79927656217518,,,154.6,0.177999999999999,-0.5179323659927648,
10.218,154.4,0.45,49.8,0.2029999999999994,0.45,181.4,49.8,,,,,155.87670316932198,,15.440705529716984,148.34,,,163.78070552971698,,154.4,153.78070552971698,,,154.4,0.2029999999999994,-0.40109745484651754,
10.232,154.2,0.456,49.5,0.2169999999999987,0.456,181.2,49.5,,,,,155.7302029775552,,15.332316000096348,148.12016,,,163.45247600009634,,154.2,153.45247600009634,,,154.2,0.2169999999999987,-0.48477561602052466,
10.257,153.9,0.46,49.2,0.2419999999999991,0.46,180.9,49.2,,,,,155.62303680249286,,15.237067655708602,147.9736,,,163.21066765570862,,153.9,153.21066765570862,,,153.9,0.2419999999999991,-0.447909255549959,
10.277,153.7,0.461,49.6,0.2619999999999987,0.461,180.7,49.6,,,,,155.6252242158224,,15.32715163638374,147.93696,,,163.26411163638377,,153.7,153.26411163638377,,,153.7,0.2619999999999987,-0.2835968533612328,
10.297,153.4,0.465,49.5,0.282,0.465,180.4,49.5,,,,,155.52769062576235,,15.280431203252434,147.7904,,,163.07083120325245,,153.4,153.07083120325245,,,153.4,0.282,-0.2145820057024462,
10.317,153.2,0.468,48.9,0.3019999999999996,0.468,180.2,48.9,,,,,155.41904731232543,,15.1208436845489,147.68048,,,162.8013236845489,,153.2,152.8013236845489,,,153.2,0.3019999999999996,-0.2602325818871398,
10.338,152.9,0.473,49.1,0.3229999999999986,0.473,179.9,49.1,,,,,155.3119654130055,,15.141440488729508,147.49728,,,162.6387204887295,,152.9,152.6387204887295,,,152.9,0.3229999999999986,-0.1708826103796702,
10.357,152.7,0.475,49.5,0.3419999999999987,0.475,179.7,49.5,,,,,155.28974957512185,,15.225253129654044,147.424,,,162.64925312965406,,152.7,152.64925312965406,,,152.7,0.3419999999999987,-0.03323305196197276,
10.378,152.5,0.478,49.3,0.3629999999999995,0.478,179.5,49.3,,,,,155.20206861967608,,15.16213198407916,147.31408,,,162.47621198407916,,152.5,152.47621198407916,,,152.5,0.3629999999999995,-0.015598698964487217,
10.394,152.3,0.483,49.1,0.3789999999999995,0.483,179.3,49.1,,,,,155.0613937135156,,15.089214924673614,147.13088,,,162.22009492467362,,152.3,152.22009492467362,,,152.3,0.3789999999999995,-0.05246557802126994,
10.407,152.0,0.489,49.3,0.3919999999999994,0.489,179.0,49.3,,,,,154.9185810220671,,15.105635332816952,146.91104,,,162.01667533281696,,152.0,152.01667533281696,,,152.0,0.3919999999999994,0.010970613695367828,
10.434,151.8,0.493,49.5,0.4189999999999987,0.493,178.8,49.5,,,,,154.8258237597024,,15.13217409181075,146.76448,,,161.89665409181077,,151.8,151.89665409181077,,,151.8,0.4189999999999987,0.06367199724029154,
10.443,151.6,0.495,49.7,0.427999999999999,0.495,178.6,49.7,,,,,154.78617711361787,,15.168539136042703,146.6912,,,161.85973913604272,,151.6,151.85973913604272,,,151.6,0.427999999999999,0.1713318839331961,
10.476,151.3,0.5,49.5,0.4610000000000003,0.5,178.3,49.5,,,,,154.63259568033547,,15.098047723553776,146.508,,,161.6060477235538,,151.3,151.6060477235538,,,151.3,0.4610000000000003,0.20227873334684376,
10.498,151.1,0.506,49.5,0.4829999999999987,0.506,178.1,49.5,,,,,154.46108708979855,,15.069684150050962,146.28816,,,161.35784415005097,,151.1,151.35784415005097,,,151.1,0.4829999999999987,0.17064470552678437,
10.518,150.8,0.508,49.8,0.5030000000000001,0.508,177.8,49.8,,,,,154.42642485767126,,15.128883684097326,146.21488,,,161.34376368409733,,150.8,151.34376368409733,,,150.8,0.5030000000000001,0.36058599741201197,
10.539,150.6,0.511,49.6,0.5239999999999991,0.511,177.6,49.6,,,,,154.32198257646905,,15.06943408835507,146.10496,,,161.1743940883551,,150.6,151.1743940883551,,,150.6,0.5239999999999991,0.38140377712821516,
10.554,150.3,0.517,49.2,0.5389999999999997,0.517,177.3,49.2,,,,,154.10731528755358,,14.951727523829003,145.88512,,,160.836847523829,,150.3,150.836847523829,,,150.3,0.5389999999999997,0.35718398125680756,
10.573,150.1,0.521,49.3,0.5579999999999998,0.521,177.1,49.3,,,,,153.99098921275225,,14.957068677066063,145.73856,,,160.69562867706608,,150.1,150.69562867706608,,,150.1,0.5579999999999998,0.39682123721924595,
10.589,149.9,0.526,49.8,0.5739999999999998,0.526,176.9,49.8,,,,,153.8748759598819,,15.048176714340846,145.55536,,,160.60353671434086,,149.9,150.60353671434086,,,149.9,0.5739999999999998,0.4693373678057748,
10.616,149.6,0.53,49.5,0.6009999999999991,0.53,176.6,49.5,,,,,153.7188190726922,,14.964064738870478,145.4088,,,160.3728647388705,,149.6,150.3728647388705,,,149.6,0.6009999999999991,0.5166208147530147,
10.638,149.4,0.536,49.5,0.6229999999999993,0.536,176.4,49.5,,,,,153.51872784735502,,14.9395370592539,145.18896,,,160.1284970592539,,149.4,150.1284970592539,,,149.4,0.6229999999999993,0.48761516683661105,
10.655,149.2,0.539,50.0,0.6399999999999988,0.539,176.2,50.0,,,,,153.4624324991471,,15.038444594568938,145.07904,,,160.11748459456894,,149.2,150.11748459456894,,,149.2,0.6399999999999988,0.6149360553411173,
10.679,148.9,0.544,49.8,0.6639999999999997,0.544,175.9,49.8,,,,,153.2708872771244,,14.974242207586842,144.89584,,,159.87008220758685,,148.9,149.87008220758685,,,148.9,0.6639999999999997,0.6514991320260857,
10.699,148.7,0.552,49.5,0.6839999999999993,0.552,175.7,49.5,,,,,152.95558438203895,,14.877612503596149,144.60272,,,159.48033250359614,,148.7,149.48033250359614,,,148.7,0.6839999999999993,0.5247696728958685,
10.718,148.4,0.556,49.9,0.7029999999999994,0.556,175.4,49.9,,,,,152.84780439699674,,14.950358363529276,144.45616,,,159.4065183635293,,148.4,149.4065183635293,,,148.4,0.7029999999999994,0.6782468756935952,
10.739,148.2,0.559,49.9,0.7240000000000002,0.559,175.2,49.9,,,,,152.7357807718944,,14.939300277635306,144.34624,,,159.2855402776353,,148.2,149.2855402776353,,,148.2,0.7240000000000002,0.7324833182424545,
10.756,148.0,0.566,49.3,0.7409999999999997,0.566,175.0,49.3,,,,,152.40552330734226,,14.783976215131297,144.08976,,,158.87373621513132,,148.0,148.87373621513132,,,148.0,0.7409999999999997,0.5903623075211597,
10.769,147.8,0.571,49.4,0.7539999999999996,0.571,174.8,49.4,,,,,152.21832794047086,,14.78874095542548,143.90656,,,158.6953009554255,,147.8,148.6953009554255,,,147.8,0.7539999999999996,0.6057516613162945,
10.796,147.5,0.575,49.8,0.7809999999999988,0.575,174.5,49.8,,,,,152.10044273364974,,14.861634790007887,143.76,,,158.62163479000787,,147.5,148.62163479000787,,,147.5,0.7809999999999988,0.7604303661070335,
10.812,147.3,0.581,49.5,0.7969999999999988,0.581,174.3,49.5,,,,,151.82048683184024,,14.777592215003397,143.54016,,,158.3177522150034,,147.3,148.3177522150034,,,147.3,0.7969999999999988,0.6909383672799618,
10.831,147.1,0.586,49.2,0.815999999999999,0.586,174.1,49.2,,,,,151.57489674131173,,14.697712646543236,143.35696000000002,,,158.05467264654325,,147.1,148.05467264654325,,,147.1,0.815999999999999,0.6489956808587753,
10.857,146.9,0.591,49.4,0.8419999999999987,0.591,173.9,49.4,,,,,151.3816475975169,,14.72526581886193,143.17376000000002,,,157.89902581886196,,146.9,147.89902581886196,,,146.9,0.8419999999999987,0.6800720346235207,
10.879,146.7,0.594,49.7,0.863999999999999,0.594,173.7,49.7,,,,,151.28516677520696,,14.779990146669126,143.06384,,,157.84383014666912,,146.7,147.84383014666912,,,146.7,0.863999999999999,0.7797069847778674,
10.898,146.5,0.599,49.5,0.8829999999999991,0.599,173.5,49.5,,,,,151.03794948846442,,14.722927728979087,142.88064,,,157.6035677289791,,146.5,147.6035677289791,,,146.5,0.8829999999999991,0.7532885522041646,
10.915,146.3,0.604,49.3,0.8999999999999986,0.604,173.3,49.3,,,,,150.7847971695301,,14.666547861836976,142.69744,,,157.36398786183696,,146.3,147.36398786183696,,,146.3,0.8999999999999986,0.72726443051056,
10.936,146.1,0.608,49.3,0.9209999999999994,0.608,173.1,49.3,,,,,150.59812878987742,,14.655586378172044,142.55088,,,157.20646637817205,,146.1,147.20646637817205,,,146.1,0.9209999999999994,0.7573349611033938,
10.957,145.9,0.614,49.2,0.9420000000000002,0.614,172.9,49.2,,,,,150.2992531182523,,14.6186835099258,142.33104,,,156.9497235099258,,145.9,146.9497235099258,,,145.9,0.9420000000000002,0.7194815009772432,
10.977,145.7,0.62,49.3,0.9619999999999996,0.62,172.7,49.3,,,,,150.01901764114422,,14.624220044398257,142.1112,,,156.73542004439827,,145.7,146.73542004439827,,,145.7,0.9619999999999996,0.7106520551806995,
10.998,145.5,0.622,49.6,0.9829999999999988,0.622,172.5,49.6,,,,,149.95967759497597,,14.681561968662,142.03792,,,156.71948196866202,,145.5,146.71948196866202,,,145.5,0.9829999999999988,0.8381319372247585,
11.005,145.3,0.626,49.3,0.9900000000000002,0.626,172.3,49.3,,,,,149.71854414026134,,14.6093736452533,141.89136,,,156.5007336452533,,145.3,146.5007336452533,,,145.3,0.9900000000000002,0.8263824124248311,
11.038,145.2,0.633,48.9,1.0229999999999997,0.633,172.2,48.9,,,,,149.30262878047662,,14.510074849498745,141.63488,,,156.14495484949876,,145.2,146.14495484949876,,,145.2,1.0229999999999997,0.6507953508944705,
11.059,145.0,0.637,49.3,1.0439999999999987,0.637,172.0,49.3,,,,,149.14838204163445,,14.583566530110668,141.48832,,,156.07188653011065,,145.0,146.07188653011065,,,145.0,1.0439999999999987,0.7392320897314801,
11.076,144.8,0.642,49.5,1.061,0.642,171.8,49.5,,,,,148.90976671493274,,14.613406182097942,141.30512,,,155.9185261820979,,144.8,145.9185261820979,,,144.8,1.061,0.7724628329405353,
11.093,144.7,0.648,49.1,1.0779999999999994,0.648,171.7,49.1,,,,,148.52307356923285,,14.518680345879291,141.08528,,,155.6039603458793,,144.7,145.6039603458793,,,144.7,1.0779999999999994,0.6247134387555718,
11.117,144.5,0.654,49.3,1.1020000000000003,0.654,171.5,49.3,,,,,148.2169470316957,,14.547169413027516,140.86544,,,155.41260941302752,,144.5,145.41260941302752,,,144.5,1.1020000000000003,0.6315636076315051,
11.136,144.3,0.658,49.5,1.1209999999999989,0.658,171.3,49.5,,,,,148.0195236016368,,14.579718799180345,140.71888,,,155.29859879918035,,144.3,145.29859879918035,,,144.3,1.1209999999999989,0.6920296598616373,
11.156,144.2,0.663,49.4,1.141,0.663,171.2,49.4,,,,,147.71420651958982,,14.54975486508767,140.53568,,,155.08543486508768,,144.2,145.08543486508768,,,144.2,1.141,0.6140325000608104,
11.178,144.0,0.669,49.3,1.1630000000000005,0.669,171.0,49.3,,,,,147.34291104323586,,14.51844331992187,140.31584,,,154.83428331992187,,144.0,144.83428331992187,,,144.0,1.1630000000000005,0.5793634166124069,
11.198,143.9,0.673,49.4,1.1829999999999998,0.673,170.9,49.4,,,,,147.1176948939772,,14.531358964740257,140.16928,,,154.70063896474028,,143.9,144.70063896474028,,,143.9,1.1829999999999998,0.5563856600001895,
11.212,143.7,0.676,49.5,1.1969999999999992,0.676,170.7,49.5,,,,,146.9508446104599,,14.546103930600696,140.05936,,,154.6054639306007,,143.7,144.6054639306007,,,143.7,1.1969999999999992,0.6301071194159482,
11.228,143.6,0.68,49.4,1.2129999999999992,0.68,170.6,49.4,,,,,146.68672880948253,,14.519285830590498,139.9128,,,154.4320858305905,,143.6,144.4320858305905,,,143.6,1.2129999999999992,0.5794469572357247,
11.255,143.4,0.685,49.1,1.2400000000000002,0.685,170.4,49.1,,,,,146.32078399709533,,14.45133838903887,139.7296,,,154.1809383890389,,143.4,144.1809383890389,,,143.4,1.2400000000000002,0.544587440055007,
