time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,,
10.008,195.7,0.422,94.8,0,0.422,229.7,94.8,,,,,190.5124115,,22.40718645,190.62572,,,213.0329064,,195.7,194.0329064,,,195.7,0,-0.851861806,,7.25669E-05,,0.005098294
10.02,195.7,0.422,95.1,0.012,0.422,229.7,95.1,,,,,190.519274,,22.45926755,190.62572,,,213.0849876,,195.7,194.0849876,,,195.7,0.012,-0.82524908,,6.81036E-05,,
10.034,195.7,0.422,95.2,0.026,0.422,229.7,95.2,,,,,190.5215608,,22.47661656,190.62572,,,213.1023366,,195.7,194.1023366,,,195.7,0.026,-0.816383975,,6.66483E-05,,
10.046,195.7,0.422,95.4,0.038,0.422,229.7,95.4,,,,,190.5261333,,22.51129759,190.62572,,,213.1370176,,195.7,194.1370176,,,195.7,0.038,-0.798662446,,6.37862E-05,,
10.058,195.6,0.423,95.6,0.05,0.423,229.6,95.6,,,,,190.5167406,,22.52497445,190.58598,,,213.1109545,,195.6,194.1109545,,,195.6,0.05,-0.761270729,,5.79533E-05,,
10.07,195.6,0.424,95.8,0.062,0.424,229.6,95.8,,,,,190.5073006,,22.5385958,190.54624,,,213.0848358,,195.6,194.0848358,,,195.6,0.062,-0.774623823,,6.00042E-05,,
10.073,195.6,0.427,96.1,0.065,0.427,229.6,96.1,,,,,190.4716711,,22.5276342,190.42702,,,212.9546542,,195.6,193.9546542,,,195.6,0.065,-0.841178834,,7.07582E-05,,
10.096,195.6,0.429,96.5,0.088,0.429,229.6,96.5,,,,,190.4522953,,22.5545958,190.34754,,,212.9021358,,195.6,193.9021358,,,195.6,0.088,-0.868028734,,7.53474E-05,,
10.104,195.6,0.428,97.4,0.096,0.428,229.6,97.4,,,,,190.4878703,,22.72932738,190.38728,,,213.1166074,,195.6,194.1166074,,,195.6,0.096,-0.758380683,,5.75141E-05,,
10.115,195.6,0.433,98.4,0.107,0.433,229.6,98.4,,,,,190.4394402,,22.79414196,190.18858,,,212.982722,,195.6,193.982722,,,195.6,0.107,-0.826829266,,6.83647E-05,,
10.126,195.6,0.434,99.1,0.118,0.434,229.6,99.1,,,,,190.4416893,,22.89122778,190.14884,,,213.0400678,,195.6,194.0400678,,,195.6,0.118,-0.797511361,,6.36024E-05,,
10.138,195.6,0.437,100.3,0.13,0.437,229.6,100.3,,,,,190.4267676,,23.02917528,190.02962,,,213.0587953,,195.6,194.0587953,,,195.6,0.13,-0.787936973,,6.20845E-05,,
10.151,195.5,0.439,101.2,0.143,0.439,229.5,101.2,,,,,190.4192716,,23.13672795,189.95014,,,213.086868,,195.5,194.086868,,,195.5,0.143,-0.722829692,,5.22483E-05,,
10.163,195.4,0.44,102.6,0.155,0.44,229.4,102.6,,,,,190.4391248,,23.34729747,189.9104,,,213.2576975,,195.4,194.2576975,,,195.4,0.155,-0.584596997,,3.41754E-05,,
10.179,195.3,0.444,103.4,0.171,0.444,229.3,103.4,,,,,190.3994093,,23.39309982,189.75144,,,213.1445398,,195.3,194.1445398,,,195.3,0.171,-0.591633477,,3.5003E-05,,
10.2,195.1,0.448,103.8,0.192,0.448,229.1,103.8,,,,,190.348615,,23.37310526,189.59248,,,212.9655853,,195.1,193.9655853,,,195.1,0.192,-0.581452965,,3.38088E-05,,
10.221,194.9,0.451,104.9,0.213,0.451,228.9,104.9,,,,,190.3306297,,23.48767223,189.47326,,,212.9609322,,194.9,193.9609322,,,194.9,0.213,-0.481820303,,2.32151E-05,,
10.24,194.6,0.451,105.2,0.232,0.451,228.6,105.2,,,,,190.3384583,,23.53611816,189.47326,,,213.0093782,,194.6,194.0093782,,,194.6,0.232,-0.30350557,,9.21156E-06,,
10.258,194.2,0.455,104.9,0.25,0.455,228.2,104.9,,,,,190.2675527,,23.40299232,189.3143,,,212.7172923,,194.2,193.7172923,,,194.2,0.25,-0.248562141,,6.17831E-06,,
