time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,,
10.007,113,0.435,44.9,0,0.435,146,44.9,,,,,112.3943082,,11.26812759,117.4322,,,128.7003276,,113,112.7003276,,,113,0,-0.265196821,,7.03294E-06,,0.005804247
10.019,113,0.437,44.9,0.012,0.437,146,44.9,,,,,112.3693851,,11.25521795,117.38124,,,128.6364579,,113,112.6364579,,,113,0.012,-0.321718631,,1.03503E-05,,
10.031,113,0.435,44.9,0.024,0.435,146,44.9,,,,,112.3943082,,11.26812759,117.4322,,,128.7003276,,113,112.7003276,,,113,0.024,-0.265196821,,7.03294E-06,,
10.044,113,0.435,44.9,0.037,0.435,146,44.9,,,,,112.3943082,,11.26812759,117.4322,,,128.7003276,,113,112.7003276,,,113,0.037,-0.265196821,,7.03294E-06,,
10.056,113,0.435,44.8,0.049,0.435,146,44.8,,,,,112.3906201,,11.24849255,117.4322,,,128.6806926,,113,112.6806926,,,113,0.049,-0.282572962,,7.98475E-06,,
10.068,113.1,0.435,44.8,0.061,0.435,146.1,44.8,,,,,112.3906201,,11.24849255,117.4322,,,128.6806926,,113.1,112.6806926,,,113.1,0.061,-0.370740448,,1.37448E-05,,
10.08,113.1,0.435,44.9,0.073,0.435,146.1,44.9,,,,,112.3943082,,11.26812759,117.4322,,,128.7003276,,113.1,112.7003276,,,113.1,0.073,-0.353379671,,1.24877E-05,,
10.092,113.1,0.434,44.9,0.085,0.434,146.1,44.9,,,,,112.4066483,,11.27460791,117.45768,,,128.7322879,,113.1,112.7322879,,,113.1,0.085,-0.325121216,,1.05704E-05,,
10.105,113.1,0.434,44.9,0.098,0.434,146.1,44.9,,,,,112.4066483,,11.27460791,117.45768,,,128.7322879,,113.1,112.7322879,,,113.1,0.098,-0.325121216,,1.05704E-05,,
10.117,113.1,0.434,44.9,0.11,0.434,146.1,44.9,,,,,112.4066483,,11.27460791,117.45768,,,128.7322879,,113.1,112.7322879,,,113.1,0.11,-0.325121216,,1.05704E-05,,
