time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,,
10.033,159.5,0.22,46.3,0,0.22,189.5,46.3,,,,,157.1742398,,14.82531942,161.538,,,176.3633194,,153.5,151.3633194,,,153.5,0,-1.39197432,,0.000193759,,0.004751023
10.054,159.5,0.223,46.6,0.021,0.223,189.5,46.6,,,,,157.1690441,,14.86914779,161.4627,,,176.3318478,,153.5,151.3318478,,,153.5,0.021,-1.412477012,,0.000199509,,
10.077,159.5,0.224,47,0.044,0.224,189.5,47,,,,,157.1702618,,14.96552926,161.4376,,,176.4031293,,153.5,151.4031293,,,153.5,0.044,-1.366039568,,0.000186606,,
10.097,159.5,0.227,47.4,0.064,0.227,189.5,47.4,,,,,157.165867,,15.0354867,161.3623,,,176.3977867,,153.5,151.3977867,,,153.5,0.064,-1.369520063,,0.000187559,,
10.117,159.5,0.229,48,0.084,0.229,189.5,48,,,,,157.1663213,,15.17151239,161.3121,,,176.4836124,,153.5,151.4836124,,,153.5,0.084,-1.313607564,,0.000172556,,
10.134,159.5,0.234,48.7,0.101,0.234,189.5,48.7,,,,,157.1589094,,15.2937361,161.1866,,,176.4803361,,153.5,151.4803361,,,153.5,0.101,-1.315741952,,0.000173118,,
10.155,159.5,0.235,49.3,0.122,0.235,189.5,49.3,,,,,157.1624315,,15.4398594,161.1615,,,176.6013594,,153.5,151.6013594,,,153.5,0.122,-1.236899415,,0.000152992,,
10.173,159.4,0.238,49.9,0.14,0.238,189.4,49.9,,,,,157.1598547,,15.55845049,161.0862,,,176.6446505,,153.4,151.6446505,,,153.4,0.14,-1.144295639,,0.000130941,,
10.191,159.3,0.24,50.5,0.158,0.24,189.3,50.5,,,,,157.1603926,,15.68901564,161.036,,,176.7250156,,153.3,151.7250156,,,153.3,0.158,-1.027387059,,0.000105552,,
10.216,159.1,0.242,50.9,0.183,0.242,189.1,50.9,,,,,157.1586387,,15.76641831,160.9858,,,176.7522183,,153.1,151.7522183,,,153.1,0.183,-0.880327685,,7.74977E-05,,
10.237,158.9,0.246,51.1,0.204,0.246,188.9,51.1,,,,,157.1477952,,15.76497348,160.8854,,,176.6503735,,152.9,151.6503735,,,152.9,0.204,-0.817283535,,6.67952E-05,,
10.257,158.6,0.25,51,0.224,0.25,188.6,51,,,,,157.1326184,,15.68757626,160.785,,,176.4725763,,152.6,151.4725763,,,152.6,0.224,-0.738809789,,5.4584E-05,,
10.272,158.3,0.253,50.8,0.239,0.253,188.3,50.8,,,,,157.1190834,,15.59906371,160.7097,,,176.3087637,,152.3,151.3087637,,,152.3,0.239,-0.650844576,,4.23599E-05,,
10.294,158,0.258,50.6,0.261,0.258,188,50.6,,,,,157.0970158,,15.48824006,160.5842,,,176.0724401,,152,151.0724401,,,152,0.261,-0.610236804,,3.72389E-05,,
10.314,157.7,0.261,50.4,0.281,0.261,187.7,50.4,,,,,157.0819672,,15.40326336,160.5089,,,175.9121634,,151.7,150.9121634,,,151.7,0.281,-0.519338589,,2.69713E-05,,
10.33,157.5,0.263,50.2,0.297,0.263,187.5,50.2,,,,,157.0706761,,15.33072983,160.4587,,,175.7894298,,151.5,150.7894298,,,151.5,0.297,-0.469023217,,2.19983E-05,,
10.356,157.3,0.268,49.9,0.323,0.268,187.3,49.9,,,,,157.0439702,,15.20182656,160.3332,,,175.5350266,,151.3,150.5350266,,,151.3,0.323,-0.505600425,,2.55632E-05,,
10.376,157.1,0.273,50.1,0.343,0.273,187.1,50.1,,,,,157.0229919,,15.19867356,160.2077,,,175.4063736,,151.1,150.4063736,,,151.1,0.343,-0.459051248,,2.10728E-05,,
10.394,157,0.275,50.5,0.361,0.275,187,50.5,,,,,157.0191238,,15.27563073,160.1575,,,175.4331307,,151,150.4331307,,,151,0.361,-0.37541011,,1.40933E-05,,
10.417,156.8,0.279,50.8,0.384,0.279,186.8,50.8,,,,,157.0034205,,15.30729019,160.0571,,,175.3643902,,150.8,150.3643902,,,150.8,0.384,-0.288865922,,8.34435E-06,,
10.434,156.6,0.284,50.9,0.401,0.284,186.6,50.9,,,,,156.9783843,,15.28121582,159.9316,,,175.2128158,,150.6,150.2128158,,,150.6,0.401,-0.257094411,,6.60975E-06,,
10.452,156.4,0.289,51.1,0.419,0.289,186.4,51.1,,,,,156.9536304,,15.28020337,159.8061,,,175.0863034,,150.4,150.0863034,,,150.4,0.419,-0.20857489,,4.35035E-06,,
10.47,156.2,0.293,51.3,0.437,0.293,186.2,51.3,,,,,156.9335769,,15.28943668,159.7057,,,174.9951367,,150.2,149.9951367,,,150.2,0.437,-0.136393686,,1.86032E-06,,
10.491,155.9,0.297,51.5,0.458,0.297,185.9,51.5,,,,,156.9127042,,15.29908427,159.6053,,,174.9043843,,149.9,149.9043843,,,149.9,0.458,0.002924794,,8.55442E-10,,
10.515,155.6,0.301,51.2,0.482,0.301,185.6,51.2,,,,,156.8817404,,15.19330747,159.5049,,,174.6982075,,149.6,149.6982075,,,149.6,0.482,0.065646706,,4.30949E-07,,
10.535,155.3,0.305,50.7,0.502,0.305,185.3,50.7,,,,,156.8455138,,15.04326791,159.4045,,,174.4477679,,149.3,149.4477679,,,149.3,0.502,0.098973818,,9.79582E-07,,
10.556,155.1,0.308,50.3,0.523,0.308,185.1,50.3,,,,,156.8167207,,14.92647159,159.3292,,,174.2556716,,149.1,149.2556716,,,149.1,0.523,0.104407506,,1.09009E-06,,
10.576,155,0.313,50.3,0.543,0.313,185,50.3,,,,,156.7801085,,14.88706458,159.2037,,,174.0907646,,149,149.0907646,,,149,0.543,0.060915823,,3.71074E-07,,
10.597,154.8,0.321,50.7,0.564,0.321,184.8,50.7,,,,,156.726391,,14.91716555,159.0029,,,173.9200656,,148.8,148.9200656,,,148.8,0.564,0.080689214,,6.51075E-07,,
10.614,154.7,0.324,50.8,0.581,0.324,184.7,50.8,,,,,156.7041633,,14.91757858,158.9276,,,173.8451786,,148.7,148.8451786,,,148.7,0.581,0.097631863,,9.53198E-07,,
10.632,154.5,0.327,51.1,0.599,0.327,184.5,51.1,,,,,156.6858551,,14.96281985,158.8523,,,173.8151198,,148.5,148.8151198,,,148.5,0.599,0.212201918,,4.50297E-06,,
10.651,154.3,0.333,51.2,0.618,0.333,184.3,51.2,,,,,156.6362511,,14.94257672,158.7017,,,173.6442767,,148.3,148.6442767,,,148.3,0.618,0.232148836,,5.38931E-06,,
10.674,154.1,0.338,51.2,0.641,0.338,184.1,51.2,,,,,156.5908557,,14.90864066,158.5762,,,173.4848407,,148.1,148.4848407,,,148.1,0.641,0.259851896,,6.7523E-06,,
10.696,153.9,0.341,51.4,0.663,0.341,183.9,51.4,,,,,156.5676241,,14.93247152,158.5009,,,173.4333715,,147.9,148.4333715,,,147.9,0.663,0.360629828,,1.30054E-05,,
10.716,153.8,0.348,51.4,0.683,0.348,183.8,51.4,,,,,156.4991504,,14.88777699,158.3252,,,173.212977,,147.8,148.212977,,,147.8,0.683,0.279416095,,7.80734E-06,,
10.729,153.6,0.352,51.4,0.696,0.352,183.6,51.4,,,,,156.458164,,14.86333608,158.2248,,,173.0881361,,147.6,148.0881361,,,147.6,0.696,0.330715502,,1.09373E-05,,
10.753,153.3,0.357,51.4,0.72,0.357,183.3,51.4,,,,,156.4049853,,14.83387709,158.0993,,,172.9331771,,147.3,147.9331771,,,147.3,0.72,0.429855461,,1.84776E-05,,
10.769,153.1,0.362,51.3,0.736,0.362,183.1,51.3,,,,,156.3467235,,14.78445358,157.9738,,,172.7582536,,147.1,147.7582536,,,147.1,0.736,0.447487138,,2.00245E-05,,
10.794,152.9,0.366,51,0.761,0.366,182.9,51,,,,,156.2918331,,14.69959862,157.8734,,,172.5729986,,146.9,147.5729986,,,146.9,0.761,0.458133844,,2.09887E-05,,
10.811,152.7,0.372,50.8,0.778,0.372,182.7,50.8,,,,,156.213527,,14.62707934,157.7228,,,172.3498793,,146.7,147.3498793,,,146.7,0.778,0.442998871,,1.96248E-05,,
10.834,152.6,0.377,50.7,0.801,0.377,182.6,50.7,,,,,156.1474313,,14.58217689,157.5973,,,172.1794769,,146.6,147.1794769,,,146.6,0.801,0.395277552,,1.56244E-05,,
10.848,152.5,0.382,50.9,0.815,0.382,182.5,50.9,,,,,156.0886257,,14.6006166,157.4718,,,172.0724166,,146.5,147.0724166,,,146.5,0.815,0.390728051,,1.52668E-05,,
10.875,152.4,0.387,51.1,0.842,0.387,182.4,51.1,,,,,156.0277855,,14.61952037,157.3463,,,171.9658204,,146.4,146.9658204,,,146.4,0.842,0.386489325,,1.49374E-05,,
10.888,152.3,0.391,51.5,0.855,0.391,182.3,51.5,,,,,155.9859735,,14.68386288,157.2459,,,171.9297629,,146.3,146.9297629,,,146.3,0.855,0.43045993,,1.85296E-05,,
10.916,152.1,0.396,51.7,0.883,0.396,182.1,51.7,,,,,155.9216337,,14.7032236,157.1204,,,171.8236236,,146.1,146.8236236,,,146.1,0.883,0.495293359,,2.45316E-05,,
10.932,152,0.402,51.8,0.899,0.402,182,51.8,,,,,155.8364211,,14.69899027,156.9698,,,171.6687903,,146,146.6687903,,,146,0.899,0.458075528,,2.09833E-05,,
10.953,151.8,0.406,51.8,0.92,0.406,181.8,51.8,,,,,155.7751399,,14.68347575,156.8694,,,171.5528757,,145.8,146.5528757,,,145.8,0.92,0.516375684,,2.66644E-05,,
10.974,151.6,0.411,51.5,0.941,0.411,181.6,51.5,,,,,155.6843688,,14.60537016,156.7439,,,171.3492702,,145.6,146.3492702,,,145.6,0.941,0.514608627,,2.64822E-05,,
10.994,151.4,0.417,51.1,0.961,0.417,181.4,51.1,,,,,155.5692459,,14.50570906,156.5933,,,171.0990091,,145.4,146.0990091,,,145.4,0.961,0.480749012,,2.3112E-05,,
11.014,151.3,0.422,50.9,0.981,0.422,181.3,50.9,,,,,155.4749603,,14.45059341,156.4678,,,170.9183934,,145.3,145.9183934,,,145.3,0.981,0.425597668,,1.81133E-05,,
11.035,151.2,0.427,51,1.002,0.427,181.2,51,,,,,155.3903872,,14.45553665,156.3423,,,170.7978367,,145.2,145.7978367,,,145.2,1.002,0.411733233,,1.69524E-05,,
11.055,151.1,0.432,51.1,1.022,0.432,181.1,51.1,,,,,155.303196,,14.46110358,156.2168,,,170.6779036,,145.1,145.6779036,,,145.1,1.022,0.398279515,,1.58627E-05,,
11.072,151.1,0.437,51.4,1.039,0.437,181.1,51.4,,,,,155.2225195,,14.50593653,156.0913,,,170.5972365,,145.1,145.5972365,,,145.1,1.039,0.342685412,,1.17433E-05,,
11.093,151,0.442,51.7,1.06,0.442,181,51.7,,,,,155.1396341,,14.55084991,155.9658,,,170.5166499,,145,145.5166499,,,145,1.06,0.356310285,,1.26957E-05,,
11.111,150.8,0.446,52,1.078,0.446,180.8,52,,,,,155.0745919,,14.59827033,155.8654,,,170.4636703,,144.8,145.4636703,,,144.8,1.078,0.458335862,,2.10072E-05,,
11.133,150.7,0.45,52,1.1,0.45,180.7,52,,,,,154.9935344,,14.58875967,155.765,,,170.3537597,,144.7,145.3537597,,,144.7,1.1,0.451803506,,2.04126E-05,,
11.15,150.5,0.456,51.8,1.117,0.456,180.5,51.8,,,,,154.8581321,,14.53773111,155.6144,,,170.1521311,,144.5,145.1521311,,,144.5,1.117,0.451301806,,2.03673E-05,,
11.174,150.4,0.461,51.5,1.141,0.461,180.4,51.5,,,,,154.7343848,,14.47131417,155.4889,,,169.9602142,,144.4,144.9602142,,,144.4,1.141,0.38795995,,1.50513E-05,,
11.194,150.3,0.465,51.3,1.161,0.465,180.3,51.3,,,,,154.6346085,,14.42657097,155.3885,,,169.815071,,144.3,144.815071,,,144.3,1.161,0.35694454,,1.27409E-05,,
11.215,150.2,0.471,51,1.182,0.471,180.2,51,,,,,154.4801849,,14.36082449,155.2379,,,169.5987245,,144.2,144.5987245,,,144.2,1.182,0.276507969,,7.64567E-06,,
11.227,150.1,0.476,51,1.194,0.476,180.1,51,,,,,154.3612915,,14.35380095,155.1124,,,169.4662009,,144.1,144.4662009,,,144.1,1.194,0.254129736,,6.45819E-06,,
11.253,150.1,0.479,51.2,1.22,0.479,180.1,51.2,,,,,154.2998993,,14.38699069,155.0371,,,169.4240907,,144.1,144.4240907,,,144.1,1.22,0.224906792,,5.05831E-06,,
11.272,150,0.483,51.5,1.239,0.483,180,51.5,,,,,154.2186455,,14.43735149,154.9367,,,169.3740515,,144,144.3740515,,,144,1.239,0.259757981,,6.74742E-06,,
11.293,149.9,0.488,51.7,1.26,0.488,179.9,51.7,,,,,154.1044791,,14.46817826,154.8112,,,169.2793783,,143.9,144.2793783,,,143.9,1.26,0.263640207,,6.95062E-06,,
11.314,149.8,0.495,51.8,1.281,0.495,179.8,51.8,,,,,153.9286989,,14.47917358,154.6355,,,169.1146736,,143.8,144.1146736,,,143.8,1.281,0.218827246,,4.78854E-06,,
11.333,149.7,0.499,51.8,1.3,0.499,179.7,51.8,,,,,153.8217657,,14.4756165,154.5351,,,169.0107165,,143.7,144.0107165,,,143.7,1.3,0.216225818,,4.67536E-06,,
11.354,149.6,0.501,51.6,1.321,0.501,179.6,51.6,,,,,153.754638,,14.43788564,154.4849,,,168.9227856,,143.6,143.9227856,,,143.6,1.321,0.224781083,,5.05265E-06,,
11.373,149.5,0.505,51.5,1.34,0.505,179.5,51.5,,,,,153.6375184,,14.41710437,154.3845,,,168.8016044,,143.5,143.8016044,,,143.5,1.34,0.210177259,,4.41745E-06,,
11.395,149.5,0.51,51.3,1.362,0.51,179.5,51.3,,,,,153.4824853,,14.37842964,154.259,,,168.6374296,,143.5,143.6374296,,,143.5,1.362,0.095769781,,9.17185E-07,,
11.413,149.4,0.514,51.3,1.38,0.514,179.4,51.3,,,,,153.3663304,,14.37680521,154.1586,,,168.5354052,,143.4,143.5354052,,,143.4,1.38,0.094424832,,8.91605E-07,,
11.432,149.3,0.519,51.2,1.399,0.519,179.3,51.2,,,,,153.2108116,,14.35753588,154.0331,,,168.3906359,,143.3,143.3906359,,,143.3,1.399,0.06324904,,4.00044E-07,,
11.453,149.3,0.522,51.3,1.42,0.522,179.3,51.3,,,,,153.1269489,,14.37478441,153.9578,,,168.3325844,,143.3,143.3325844,,,143.3,1.42,0.022738598,,5.17044E-08,,
11.474,149.2,0.527,51.4,1.441,0.527,179.2,51.4,,,,,152.9797593,,14.39201232,153.8323,,,168.2243123,,143.2,143.2243123,,,143.2,1.441,0.016977879,,2.88248E-08,,
11.494,149.1,0.531,51.3,1.461,0.531,179.1,51.3,,,,,152.8461744,,14.37443018,153.7319,,,168.1063302,,143.1,143.1063302,,,143.1,1.461,0.004423607,,1.95683E-09,,
11.515,149.1,0.534,51.3,1.482,0.534,179.1,51.3,,,,,152.7498393,,14.37475547,153.6566,,,168.0313555,,143.1,143.0313555,,,143.1,1.482,-0.047969626,,2.30109E-07,,
11.533,149,0.537,51.2,1.5,0.537,179,51.2,,,,,152.644485,,14.35777186,153.5813,,,167.9390719,,143,142.9390719,,,143,1.5,-0.042607089,,1.81536E-07,,
11.542,149,0.541,51.2,1.509,0.541,179,51.2,,,,,152.5118695,,14.35889679,153.4809,,,167.8397968,,143,142.8397968,,,143,1.509,-0.112030215,,1.25508E-06,,
11.571,148.9,0.543,51.3,1.538,0.543,178.9,51.3,,,,,152.4524623,,14.37703667,153.4307,,,167.8077367,,142.9,142.8077367,,,142.9,1.538,-0.06456496,,4.16863E-07,,
11.592,148.9,0.548,51.4,1.559,0.548,178.9,51.4,,,,,152.2897643,,14.39648138,153.3052,,,167.7016814,,142.9,142.7016814,,,142.9,1.559,-0.138781403,,1.92603E-06,,
11.612,148.8,0.552,51.4,1.579,0.552,178.8,51.4,,,,,152.1504714,,14.39852348,153.2048,,,167.6033235,,142.8,142.6033235,,,142.8,1.579,-0.137728658,,1.89692E-06,,
11.633,148.8,0.554,51.4,1.6,0.554,178.8,51.4,,,,,152.079861,,14.39968415,153.1546,,,167.5542841,,142.8,142.5542841,,,142.8,1.6,-0.172069925,,2.96081E-06,,
11.654,148.7,0.558,51.5,1.621,0.558,178.7,51.5,,,,,151.9450633,,14.41946158,153.0542,,,167.4736616,,142.7,142.4736616,,,142.7,1.621,-0.158611366,,2.51576E-06,,
11.674,148.7,0.56,51.5,1.641,0.56,178.7,51.5,,,,,151.8725774,,14.42086849,153.004,,,167.4248685,,142.7,142.4248685,,,142.7,1.641,-0.192804144,,3.71734E-06,,
11.691,148.6,0.563,51.4,1.658,0.563,178.6,51.4,,,,,151.7540689,,14.4060448,152.9287,,,167.3347448,,142.6,142.3347448,,,142.6,1.658,-0.186013467,,3.4601E-06,,
11.712,148.6,0.566,51.3,1.679,0.566,178.6,51.3,,,,,151.633846,,14.39149947,152.8534,,,167.2448995,,142.6,142.2448995,,,142.6,1.679,-0.249018606,,6.20103E-06,,
11.731,148.6,0.567,51.4,1.698,0.567,178.6,51.4,,,,,151.6049983,,14.40946201,152.8283,,,167.237762,,142.6,142.237762,,,142.6,1.698,-0.254023833,,6.45281E-06,,
11.752,148.6,0.571,51.5,1.719,0.571,178.6,51.5,,,,,151.4621126,,14.43022547,152.7279,,,167.1581255,,142.6,142.1581255,,,142.6,1.719,-0.309869935,,9.60194E-06,,
11.773,148.5,0.574,51.5,1.74,0.574,178.5,51.5,,,,,151.3466625,,14.43324684,152.6526,,,167.0858468,,142.5,142.0858468,,,142.5,1.74,-0.290633798,,8.4468E-06,,
11.79,148.5,0.576,51.5,1.757,0.576,178.5,51.5,,,,,151.2688512,,14.43537145,152.6024,,,167.0377715,,142.5,142.0377715,,,142.5,1.757,-0.32437091,,1.05216E-05,,
11.814,148.4,0.578,51.5,1.781,0.578,178.4,51.5,,,,,151.1903609,,14.43758389,152.5522,,,166.9897839,,142.4,141.9897839,,,142.4,1.781,-0.288073113,,8.29861E-06,,
11.831,148.4,0.58,51.4,1.798,0.58,178.4,51.4,,,,,151.1019967,,14.42302509,152.502,,,166.9250251,,142.4,141.9250251,,,142.4,1.798,-0.333549797,,1.11255E-05,,
11.852,148.4,0.582,51.3,1.819,0.582,178.4,51.3,,,,,151.0127855,,14.40859645,152.4518,,,166.8603965,,142.4,141.8603965,,,142.4,1.819,-0.378935076,,1.43592E-05,,
11.874,148.3,0.585,51.3,1.841,0.585,178.3,51.3,,,,,150.8914755,,14.41242381,152.3765,,,166.7889238,,142.3,141.7889238,,,142.3,1.841,-0.359154037,,1.28992E-05,,
11.891,148.3,0.586,51.3,1.858,0.586,178.3,51.3,,,,,150.8506927,,14.41374255,152.3514,,,166.7651426,,142.3,141.7651426,,,142.3,1.858,-0.37586609,,1.41275E-05,,
11.912,148.3,0.588,51.3,1.879,0.588,178.3,51.3,,,,,150.7686057,,14.41644421,152.3012,,,166.7176442,,142.3,141.7176442,,,142.3,1.879,-0.409245107,,1.67482E-05,,
11.924,148.3,0.589,51.4,1.891,0.589,178.3,51.4,,,,,150.7368505,,14.4345724,152.2761,,,166.7106724,,142.3,141.7106724,,,142.3,1.891,-0.41414448,,1.71516E-05,,
11.952,148.3,0.591,51.4,1.919,0.591,178.3,51.4,,,,,150.6537947,,14.43737387,152.2259,,,166.6632739,,142.3,141.6632739,,,142.3,1.919,-0.447453362,,2.00215E-05,,
11.972,148.2,0.593,51.4,1.939,0.593,178.2,51.4,,,,,150.5700371,,14.4402601,152.1757,,,166.6159601,,142.2,141.6159601,,,142.2,1.939,-0.410717228,,1.68689E-05,,
11.991,148.2,0.593,51.3,1.958,0.593,178.2,51.3,,,,,150.5603295,,14.42357041,152.1757,,,166.5992704,,142.2,141.5992704,,,142.2,1.958,-0.422454003,,1.78467E-05,,
12.012,148.2,0.594,51.3,1.979,0.594,178.2,51.3,,,,,150.5181469,,14.42505905,152.1506,,,166.5756591,,142.2,141.5756591,,,142.2,1.979,-0.439058331,,1.92772E-05,,
12.031,148.2,0.594,51.3,1.998,0.594,178.2,51.3,,,,,150.5181469,,14.42505905,152.1506,,,166.5756591,,142.2,141.5756591,,,142.2,1.998,-0.439058331,,1.92772E-05,,
12.05,148.2,0.596,51.2,2.017,0.596,178.2,51.2,,,,,150.4234164,,14.41143748,152.1004,,,166.5118375,,142.2,141.5118375,,,142.2,2.017,-0.483939887,,2.34198E-05,,
12.071,148.2,0.598,51.2,2.038,0.598,178.2,51.2,,,,,150.3377312,,14.41458908,152.0502,,,166.4647891,,142.2,141.4647891,,,142.2,2.038,-0.517025966,,2.67316E-05,,
12.092,148.1,0.599,51.2,2.059,0.599,178.1,51.2,,,,,150.2946215,,14.41619613,152.0251,,,166.4412961,,142.1,141.4412961,,,142.1,2.059,-0.463549525,,2.14878E-05,,
12.113,148.1,0.599,51.2,2.08,0.599,178.1,51.2,,,,,150.2946215,,14.41619613,152.0251,,,166.4412961,,142.1,141.4412961,,,142.1,2.08,-0.463549525,,2.14878E-05,,
12.133,148.1,0.6,51.2,2.1,0.6,178.1,51.2,,,,,150.2513331,,14.41782395,152,,,166.417824,,142.1,141.417824,,,142.1,2.1,-0.480067593,,2.30465E-05,,
12.148,148.1,0.599,51.2,,,,,2.115,0.599,178.1,51.2,,149.99466,,,14.41619613,152.0251,,166.4412961,,,142.1,141.4412961,142.1,2.115,,-0.463549525,2.14878E-05,,
12.174,148.1,0.599,51.1,,,,,2.141,0.599,178.1,51.1,,149.985038,,,14.39956175,152.0251,,166.4246618,,,142.1,141.4246618,142.1,2.141,,-0.475255629,2.25868E-05,,
12.191,148.1,0.599,51.1,,,,,2.158,0.599,178.1,51.1,,149.985038,,,14.39956175,152.0251,,166.4246618,,,142.1,141.4246618,142.1,2.158,,-0.475255629,2.25868E-05,,
12.21,148.1,0.6,51.1,,,,,2.177,0.6,178.1,51.1,,149.9436804,,,14.40120327,152,,166.4012033,,,142.1,141.4012033,142.1,2.177,,-0.491764058,2.41832E-05,,
