time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,Unnamed: 28,Unnamed: 29
10.015,155.2,0.428,46.5,0.0,0.428,182.2,46.5,,,,,156.1365855,,16.25055711,149.14608,,,165.3966371,,155.2,155.3966371,,,155.2,0.0,0.1266991623711365,,1.61e-06,0.003532635
10.034,155.2,0.428,46.6,0.019,0.428,182.2,46.6,,,,,156.1418866,,16.27589986,149.14608,,,165.4219799,,155.2,155.4219799,,,155.2,0.019,0.1430282860824794,,2.05e-06,
10.059,155.2,0.432,46.6,0.044,0.432,182.2,46.6,,,,,156.0638883,,16.15716238,148.99952,,,165.1566824,,155.2,155.1566824,,,155.2,0.044,-0.02791082474226458,,7.79e-08,
10.079,155.1,0.433,46.9,0.064,0.433,182.1,46.9,,,,,156.0604142,,16.20333176,148.96288,,,165.1662118,,155.1,155.1662118,,,155.1,0.064,0.04268974854933536,,1.82e-07,
10.099,155.1,0.435,47.5,0.084,0.435,182.1,47.5,,,,,156.0534973,,16.29519115,148.8896,,,165.1847912,,155.1,155.1847912,,,155.1,0.084,0.054668729851716426,,2.99e-07,
10.116,155.1,0.438,48.1,0.101,0.438,182.1,48.1,,,,,156.0266562,,16.3578315,148.77968,,,165.1375115,,155.1,155.1375115,,,155.1,0.101,0.024185364281104904,,5.85e-08,
10.137,155.1,0.44,48.6,0.122,0.44,182.1,48.6,,,,,156.0142094,,16.42413632,148.7064,,,165.1305363,,155.1,155.1305363,,,155.1,0.122,0.01968813668600535,,3.88e-08,
10.146,155.0,0.443,49.2,0.131,0.443,182.0,49.2,,,,,155.9870849,,16.4866041,148.59648,,,165.0830841,,155.0,155.0830841,,,155.0,0.131,0.05360264516129533,,2.87e-07,
10.176,154.8,0.445,49.6,0.161,0.445,181.8,49.6,,,,,155.9688877,,16.52826814,148.5232,,,165.0514681,,154.8,155.0514681,,,154.8,0.161,0.1624470930232445,,2.64e-06,
10.193,154.6,0.449,49.7,0.178,0.449,181.6,49.7,,,,,155.8918787,,16.44384053,148.37664,,,164.8204805,,154.6,154.8204805,,,154.6,0.178,0.14261351875809047,,2.03e-06,
10.218,154.4,0.45,49.8,0.203,0.45,181.4,49.8,,,,,155.8767032,,16.44119385,148.34,,,164.7811939,,154.4,154.7811939,,,154.4,0.203,0.24688724093264217,,6.1e-06,
10.232,154.2,0.456,49.5,0.217,0.456,181.2,49.5,,,,,155.730203,,16.21434638,148.12016,,,164.3345064,,154.2,154.3345064,,,154.2,0.217,0.08722853437096023,,7.61e-07,
10.257,153.9,0.46,49.2,0.242,0.46,180.9,49.2,,,,,155.6230368,,16.04416255,147.9736,,,164.0177626,,153.9,154.0177626,,,153.9,0.242,0.07651890838206098,,5.86e-07,
10.277,153.7,0.461,49.6,0.262,0.461,180.7,49.6,,,,,155.6252242,,16.11435788,147.93696,,,164.0513179,,153.7,154.0513179,,,153.7,0.262,0.22857378009108523,,5.22e-06,
10.297,153.4,0.465,49.5,0.282,0.465,180.4,49.5,,,,,155.5276906,,15.99538025,147.7904,,,163.7857803,,153.4,153.7857803,,,153.4,0.282,0.25148650586701,,6.32e-06,
10.317,153.2,0.468,48.9,0.302,0.468,180.2,48.9,,,,,155.4190473,,15.78549539,147.68048,,,163.4659754,,153.2,153.4659754,,,153.2,0.302,0.17361318537859144,,3.01e-06,
10.338,152.9,0.473,49.1,0.323,0.473,179.9,49.1,,,,,155.3119654,,15.7206246,147.49728,,,163.2179046,,152.9,153.2179046,,,152.9,0.323,0.20791667756703164,,4.32e-06,
10.357,152.7,0.475,49.5,0.342,0.475,179.7,49.5,,,,,155.2897496,,15.76971894,147.424,,,163.1937189,,152.7,153.1937189,,,152.7,0.342,0.3233260641781301,,1.05e-05,
10.378,152.5,0.478,49.3,0.363,0.478,179.5,49.3,,,,,155.2020686,,15.65939287,147.31408,,,162.9734729,,152.5,152.9734729,,,152.5,0.363,0.3104740327868788,,9.64e-06,
10.394,152.3,0.483,49.1,0.379,0.483,179.3,49.1,,,,,155.0613937,,15.51015078,147.13088,,,162.6410308,,152.3,152.6410308,,,152.3,0.379,0.22392042022324268,,5.01e-06,
10.407,152.0,0.489,49.3,0.392,0.489,179.0,49.3,,,,,154.918581,,15.43714885,146.91104,,,162.3481888,,152.0,152.3481888,,,152.0,0.392,0.22907157894737018,,5.25e-06,
10.434,151.8,0.493,49.5,0.419,0.493,178.8,49.5,,,,,154.8258238,,15.4062279,146.76448,,,162.1707079,,151.8,152.1707079,,,151.8,0.419,0.2442081027667886,,5.96e-06,
10.443,151.6,0.495,49.7,0.428,0.495,178.6,49.7,,,,,154.7861771,,15.41397182,146.6912,,,162.1051718,,151.6,152.1051718,,,151.6,0.428,0.33322678100263814,,1.11e-05,
10.476,151.3,0.5,49.5,0.461,0.5,178.3,49.5,,,,,154.6325957,,15.27852672,146.508,,,161.7865267,,151.3,151.7865267,,,151.3,0.461,0.32156424322536986,,1.03e-05,
10.498,151.1,0.506,49.5,0.483,0.506,178.1,49.5,,,,,154.4610871,,15.17474753,146.28816,,,161.4629075,,151.1,151.4629075,,,151.1,0.483,0.24017703507611235,,5.77e-06,
10.518,150.8,0.508,49.8,0.503,0.508,177.8,49.8,,,,,154.4264249,,15.20766835,146.21488,,,161.4225483,,150.8,151.4225483,,,150.8,0.503,0.4128304376657672,,1.7e-05,
10.539,150.6,0.511,49.6,0.524,0.511,177.6,49.6,,,,,154.3219826,,15.11418388,146.10496,,,161.2191439,,150.6,151.2191439,,,150.6,0.524,0.4111181274900476,,1.69e-05,
10.554,150.3,0.517,49.2,0.539,0.517,177.3,49.2,,,,,154.1073153,,14.93160648,145.88512,,,160.8167265,,150.3,150.8167265,,,150.3,0.539,0.34379673985361003,,1.18e-05,
10.573,150.1,0.521,49.3,0.558,0.521,177.1,49.3,,,,,153.9909892,,14.89325651,145.73856,,,160.6318165,,150.1,150.6318165,,,150.1,0.558,0.35430812791473637,,1.26e-05,
10.589,149.9,0.526,49.8,0.574,0.526,176.9,49.8,,,,,153.874876,,14.92924751,145.55536,,,160.4846075,,149.9,150.4846075,,,149.9,0.574,0.3899983322214837,,1.52e-05,
10.616,149.6,0.53,49.5,0.601,0.53,176.6,49.5,,,,,153.7188191,,14.80822122,145.4088,,,160.2170212,,149.6,150.2170212,,,149.6,0.601,0.41244732620321567,,1.7e-05,
10.638,149.4,0.536,49.5,0.623,0.536,176.4,49.5,,,,,153.5187278,,14.72791265,145.18896,,,159.9168727,,149.4,149.9168727,,,149.4,0.623,0.3459656626505979,,1.2e-05,
10.655,149.2,0.539,50.0,0.64,0.539,176.2,50.0,,,,,153.4624325,,14.79629778,145.07904,,,159.8753378,,149.2,149.8753378,,,149.2,0.64,0.4526392761394253,,2.05e-05,
10.679,148.9,0.544,49.8,0.664,0.544,175.9,49.8,,,,,153.2708873,,14.69129478,144.89584,,,159.5871348,,148.9,149.5871348,,,148.9,0.664,0.46147400940228034,,2.13e-05,
