time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,
10.015,155.2,0.428,46.5,0,0.428,182.2,46.5,,,,,156.1365855,,14.08531052,149.14608,,,163.2313905,,155.2,153.2313905,,,155.2,0,-1.268433943,,0.000160892,0.004856053
10.034,155.2,0.428,46.6,0.019,0.428,182.2,46.6,,,,,156.1418866,,14.11189046,149.14608,,,163.2579705,,155.2,153.2579705,,,155.2,0.019,-1.251307694,,0.000156577,
10.059,155.2,0.432,46.6,0.044,0.432,182.2,46.6,,,,,156.0638883,,14.10084587,148.99952,,,163.1003659,,155.2,153.1003659,,,155.2,0.044,-1.352857045,,0.000183022,
10.079,155.1,0.433,46.9,0.064,0.433,182.1,46.9,,,,,156.0604142,,14.17750756,148.96288,,,163.1403876,,155.1,153.1403876,,,155.1,0.064,-1.263450963,,0.000159631,
10.099,155.1,0.435,47.5,0.084,0.435,182.1,47.5,,,,,156.0534973,,14.33016657,148.8896,,,163.2197666,,155.1,153.2197666,,,155.1,0.084,-1.212271713,,0.00014696,
10.116,155.1,0.438,48.1,0.101,0.438,182.1,48.1,,,,,156.0266562,,14.47897826,148.77968,,,163.2586583,,155.1,153.2586583,,,155.1,0.101,-1.187196477,,0.000140944,
10.137,155.1,0.44,48.6,0.122,0.44,182.1,48.6,,,,,156.0142094,,14.60369471,148.7064,,,163.3100947,,155.1,153.3100947,,,155.1,0.122,-1.154033069,,0.000133179,
10.146,155,0.443,49.2,0.131,0.443,182,49.2,,,,,155.9870849,,14.75061005,148.59648,,,163.3470901,,155,153.3470901,,,155,0.131,-1.066393516,,0.00011372,
10.176,154.8,0.445,49.6,0.161,0.445,181.8,49.6,,,,,155.9688877,,14.84796549,148.5232,,,163.3711655,,154.8,153.3711655,,,154.8,0.161,-0.923019707,,8.52E-05,
10.193,154.6,0.449,49.7,0.178,0.449,181.6,49.7,,,,,155.8918787,,14.86116376,148.37664,,,163.2378038,,154.6,153.2378038,,,154.6,0.178,-0.881110117,,7.76E-05,
10.218,154.4,0.45,49.8,0.203,0.45,181.4,49.8,,,,,155.8767032,,14.88377262,148.34,,,163.2237726,,154.4,153.2237726,,,154.4,0.203,-0.761805295,,5.80E-05,
10.232,154.2,0.456,49.5,0.217,0.456,181.2,49.5,,,,,155.730203,,14.78796081,148.12016,,,162.9081208,,154.2,152.9081208,,,154.2,0.217,-0.837794549,,7.02E-05,
10.257,153.9,0.46,49.2,0.242,0.46,180.9,49.2,,,,,155.6230368,,14.69884021,147.9736,,,162.6724402,,153.9,152.6724402,,,153.9,0.242,-0.79763469,,6.36E-05,
10.277,153.7,0.461,49.6,0.262,0.461,180.7,49.6,,,,,155.6252242,,14.79833928,147.93696,,,162.7352993,,153.7,152.7352993,,,153.7,0.262,-0.627651734,,3.94E-05,
10.297,153.4,0.465,49.5,0.282,0.465,180.4,49.5,,,,,155.5276906,,14.76069916,147.7904,,,162.5510992,,153.4,152.5510992,,,153.4,0.282,-0.55339038,,3.06E-05,
10.317,153.2,0.468,48.9,0.302,0.468,180.2,48.9,,,,,155.4190473,,14.59853344,147.68048,,,162.2790134,,153.2,152.2790134,,,153.2,0.302,-0.601166161,,3.61E-05,
10.338,152.9,0.473,49.1,0.323,0.473,179.9,49.1,,,,,155.3119654,,14.63520671,147.49728,,,162.1324867,,152.9,152.1324867,,,152.9,0.323,-0.501970757,,2.52E-05,
10.357,152.7,0.475,49.5,0.342,0.475,179.7,49.5,,,,,155.2897496,,14.7311024,147.424,,,162.1551024,,152.7,152.1551024,,,152.7,0.342,-0.356841912,,1.27E-05,
10.378,152.5,0.478,49.3,0.363,0.478,179.5,49.3,,,,,155.2020686,,14.67167601,147.31408,,,161.985756,,152.5,151.985756,,,152.5,0.363,-0.337209171,,1.14E-05,
10.394,152.3,0.483,49.1,0.379,0.483,179.3,49.1,,,,,155.0613937,,14.60682061,147.13088,,,161.7377006,,152.3,151.7377006,,,152.3,0.379,-0.369205116,,1.36E-05,
10.407,152,0.489,49.3,0.392,0.489,179,49.3,,,,,154.918581,,14.64053009,146.91104,,,161.5515701,,152,151.5515701,,,152,0.392,-0.295019675,,8.70E-06,
10.434,151.8,0.493,49.5,0.419,0.493,178.8,49.5,,,,,154.8258238,,14.67963347,146.76448,,,161.4441135,,151.8,151.4441135,,,151.8,0.419,-0.234444357,,5.50E-06,
10.443,151.6,0.495,49.7,0.428,0.495,178.6,49.7,,,,,154.7861771,,14.72414972,146.6912,,,161.4153497,,151.6,151.4153497,,,151.6,0.428,-0.121800978,,1.48E-06,
10.476,151.3,0.5,49.5,0.461,0.5,178.3,49.5,,,,,154.6325957,,14.66023351,146.508,,,161.1682335,,151.3,151.1682335,,,151.3,0.461,-0.087089552,,7.58E-07,
10.498,151.1,0.506,49.5,0.483,0.506,178.1,49.5,,,,,154.4610871,,14.64387525,146.28816,,,160.9320353,,151.1,150.9320353,,,151.1,0.483,-0.111161314,,1.24E-06,
10.518,150.8,0.508,49.8,0.503,0.508,177.8,49.8,,,,,154.4264249,,14.71300317,146.21488,,,160.9278832,,150.8,150.9278832,,,150.8,0.503,0.084803162,,7.19E-07,
10.539,150.6,0.511,49.6,0.524,0.511,177.6,49.6,,,,,154.3219826,,14.65524601,146.10496,,,160.760206,,150.6,150.760206,,,150.6,0.524,0.106378493,,1.13E-06,
10.554,150.3,0.517,49.2,0.539,0.517,177.3,49.2,,,,,154.1073153,,14.54024927,145.88512,,,160.4253693,,150.3,150.4253693,,,150.3,0.539,0.083412689,,6.96E-07,
10.573,150.1,0.521,49.3,0.558,0.521,177.1,49.3,,,,,153.9909892,,14.55467206,145.73856,,,160.2932321,,150.1,150.2932321,,,150.1,0.558,0.128735547,,1.66E-06,
10.589,149.9,0.526,49.8,0.574,0.526,176.9,49.8,,,,,153.874876,,14.66485595,145.55536,,,160.2202159,,149.9,150.2202159,,,149.9,0.574,0.213619713,,4.56E-06,
10.616,149.6,0.53,49.5,0.601,0.53,176.6,49.5,,,,,153.7188191,,14.5808943,145.4088,,,159.9896943,,149.6,149.9896943,,,149.6,0.601,0.260490842,,6.79E-06,
10.638,149.4,0.536,49.5,0.623,0.536,176.4,49.5,,,,,153.5187278,,14.56575217,145.18896,,,159.7547122,,149.4,149.7547122,,,149.4,0.623,0.237424481,,5.64E-06,
10.655,149.2,0.539,50,0.64,0.539,176.2,50,,,,,153.4624325,,14.68015218,145.07904,,,159.7591922,,149.2,149.7591922,,,149.2,0.64,0.374793684,,1.40E-05,
10.679,148.9,0.544,49.8,0.664,0.544,175.9,49.8,,,,,153.2708873,,14.61890401,144.89584,,,159.514744,,148.9,149.514744,,,148.9,0.664,0.412856959,,1.70E-05,
10.699,148.7,0.552,49.5,0.684,0.552,175.7,49.5,,,,,152.9555844,,14.52652935,144.60272,,,159.1292493,,148.7,149.1292493,,,148.7,0.684,0.288668023,,8.33E-06,
10.718,148.4,0.556,49.9,0.703,0.556,175.4,49.9,,,,,152.8478044,,14.61358803,144.45616,,,159.069748,,148.4,149.069748,,,148.4,0.703,0.451312688,,2.04E-05,
10.739,148.2,0.559,49.9,0.724,0.559,175.2,49.9,,,,,152.7357808,,14.60633457,144.34624,,,158.9525746,,148.2,148.9525746,,,148.2,0.724,0.5078101,,2.58E-05,
