time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension
10.015,155.2,0.428,46.5,0,0.428,182.2,46.5,,,,,156.1365855,,14.00638979,149.14608,,,163.1524698,,155.2,153.1524698,,,155.2,0,-1.319284932,
10.034,155.2,0.428,46.6,0.019,0.428,182.2,46.6,,,,,156.1418866,,14.03280917,149.14608,,,163.1788892,,155.2,153.1788892,,,155.2,0.019,-1.302262133,
10.059,155.2,0.432,46.6,0.044,0.432,182.2,46.6,,,,,156.0638883,,14.02131512,148.99952,,,163.0208351,,155.2,153.0208351,,,155.2,0.044,-1.404101083,
10.079,155.1,0.433,46.9,0.064,0.433,182.1,46.9,,,,,156.0604142,,14.09734779,148.96288,,,163.0602278,,155.1,153.0602278,,,155.1,0.064,-1.315133597,
10.099,155.1,0.435,47.5,0.084,0.435,182.1,47.5,,,,,156.0534973,,14.24877384,148.8896,,,163.1383738,,155.1,153.1383738,,,155.1,0.084,-1.264749298,
10.116,155.1,0.438,48.1,0.101,0.438,182.1,48.1,,,,,156.0266562,,14.3962469,148.77968,,,163.1759269,,155.1,153.1759269,,,155.1,0.101,-1.240537141,
10.137,155.1,0.44,48.6,0.122,0.44,182.1,48.6,,,,,156.0142094,,14.51992547,148.7064,,,163.2263255,,155.1,153.2263255,,,155.1,0.122,-1.208042897,
10.146,155,0.443,49.2,0.131,0.443,182,49.2,,,,,155.9870849,,14.66551814,148.59648,,,163.2619981,,155,153.2619981,,,155,0.131,-1.121291523,
10.176,154.8,0.445,49.6,0.161,0.445,181.8,49.6,,,,,155.9688877,,14.76199483,148.5232,,,163.2851948,,154.8,153.2851948,,,154.8,0.161,-0.978556312,
10.193,154.6,0.449,49.7,0.178,0.449,181.6,49.7,,,,,155.8918787,,14.77442671,148.37664,,,163.1510667,,154.6,153.1510667,,,154.6,0.178,-0.937214286,
10.218,154.4,0.45,49.8,0.203,0.45,181.4,49.8,,,,,155.8767032,,14.79673746,148.34,,,163.1367375,,154.4,153.1367375,,,154.4,0.203,-0.818175223,
10.232,154.2,0.456,49.5,0.217,0.456,181.2,49.5,,,,,155.730203,,14.70073823,148.12016,,,162.8208982,,154.2,152.8208982,,,154.2,0.217,-0.894359126,
10.257,153.9,0.46,49.2,0.242,0.46,180.9,49.2,,,,,155.6230368,,14.61196084,147.9736,,,162.5855608,,153.9,152.5855608,,,153.9,0.242,-0.854086525,
10.277,153.7,0.461,49.6,0.262,0.461,180.7,49.6,,,,,155.6252242,,14.71052632,147.93696,,,162.6474863,,153.7,152.6474863,,,153.7,0.262,-0.68478444,
10.297,153.4,0.465,49.5,0.282,0.465,180.4,49.5,,,,,155.5276906,,14.67292591,147.7904,,,162.4633259,,153.4,152.4633259,,,153.4,0.282,-0.610608925,
10.317,153.2,0.468,48.9,0.302,0.468,180.2,48.9,,,,,155.4190473,,14.512288,147.68048,,,162.192768,,153.2,152.192768,,,153.2,0.302,-0.657462142,
10.338,152.9,0.473,49.1,0.323,0.473,179.9,49.1,,,,,155.3119654,,14.54856618,147.49728,,,162.0458462,,152.9,152.0458462,,,152.9,0.323,-0.558635589,
10.357,152.7,0.475,49.5,0.342,0.475,179.7,49.5,,,,,155.2897496,,14.64338331,147.424,,,162.0673833,,152.7,152.0673833,,,152.7,0.342,-0.414287288,
10.378,152.5,0.478,49.3,0.363,0.478,179.5,49.3,,,,,155.2020686,,14.58473572,147.31408,,,161.8988157,,152.5,151.8988157,,,152.5,0.363,-0.394219202,
10.394,152.3,0.483,49.1,0.379,0.483,179.3,49.1,,,,,155.0613937,,14.52103882,147.13088,,,161.6519188,,152.3,151.6519188,,,152.3,0.379,-0.425529337,
10.407,152,0.489,49.3,0.392,0.489,179,49.3,,,,,154.918581,,14.55488635,146.91104,,,161.4659264,,152,151.4659264,,,152,0.392,-0.351364241,
10.434,151.8,0.493,49.5,0.419,0.493,178.8,49.5,,,,,154.8258238,,14.59392006,146.76448,,,161.3584001,,151.8,151.3584001,,,151.8,0.419,-0.290909053,
10.443,151.6,0.495,49.7,0.428,0.495,178.6,49.7,,,,,154.7861771,,14.63803117,146.6912,,,161.3292312,,151.6,151.3292312,,,151.6,0.428,-0.178607406,
10.476,151.3,0.5,49.5,0.461,0.5,178.3,49.5,,,,,154.6325957,,14.57600618,146.508,,,161.0840062,,151.3,151.0840062,,,151.3,0.461,-0.142758638,
10.498,151.1,0.506,49.5,0.483,0.506,178.1,49.5,,,,,154.4610871,,14.56125259,146.28816,,,160.8494126,,151.1,150.8494126,,,151.1,0.483,-0.165842097,
10.518,150.8,0.508,49.8,0.503,0.508,177.8,49.8,,,,,154.4264249,,14.62959128,146.21488,,,160.8444713,,150.8,150.8444713,,,150.8,0.503,0.029490239,
10.539,150.6,0.511,49.6,0.524,0.511,177.6,49.6,,,,,154.3219826,,14.57371498,146.10496,,,160.678675,,150.6,150.678675,,,150.6,0.524,0.052241021,
10.554,150.3,0.517,49.2,0.539,0.517,177.3,49.2,,,,,154.1073153,,14.46297047,145.88512,,,160.3480905,,150.3,150.3480905,,,150.3,0.539,0.031996322,
10.573,150.1,0.521,49.3,0.558,0.521,177.1,49.3,,,,,153.9909892,,14.47854827,145.73856,,,160.2171083,,150.1,150.2171083,,,150.1,0.558,0.078020165,
10.589,149.9,0.526,49.8,0.574,0.526,176.9,49.8,,,,,153.874876,,14.58819212,145.55536,,,160.1435521,,149.9,150.1435521,,,149.9,0.574,0.162476397,
10.616,149.6,0.53,49.5,0.601,0.53,176.6,49.5,,,,,153.7188191,,14.50790876,145.4088,,,159.9167088,,149.6,149.9167088,,,149.6,0.601,0.211703714,
10.638,149.4,0.536,49.5,0.623,0.536,176.4,49.5,,,,,153.5187278,,14.49601801,145.18896,,,159.684978,,149.4,149.684978,,,149.4,0.623,0.190748335,
10.655,149.2,0.539,50,0.64,0.539,176.2,50,,,,,153.4624325,,14.60897651,145.07904,,,159.6880165,,149.2,149.6880165,,,149.2,0.64,0.327088817,
10.679,148.9,0.544,49.8,0.664,0.544,175.9,49.8,,,,,153.2708873,,14.55203284,144.89584,,,159.4478728,,148.9,149.4478728,,,148.9,0.664,0.367946836,
10.699,148.7,0.552,49.5,0.684,0.552,175.7,49.5,,,,,152.9555844,,14.46719911,144.60272,,,159.0699191,,148.7,149.0699191,,,148.7,0.684,0.248768734,
10.718,148.4,0.556,49.9,0.703,0.556,175.4,49.9,,,,,152.8478044,,14.55429162,144.45616,,,159.0104516,,148.4,149.0104516,,,148.4,0.703,0.411355538,
