time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,
10.015,155.2,0.428,46.5,0,0.428,182.2,46.5,,,,,156.1365855,,14.2169784,149.14608,,,163.3630584,,155.2,153.3630584,,,155.2,0,-1.183596391,,0.00014009,0.005156345
10.034,155.2,0.428,46.6,0.019,0.428,182.2,46.6,,,,,156.1418866,,14.24388854,149.14608,,,163.3899685,,155.2,153.3899685,,,155.2,0.019,-1.166257386,,0.000136016,
10.059,155.2,0.432,46.6,0.044,0.432,182.2,46.6,,,,,156.0638883,,14.23020085,148.99952,,,163.2297209,,155.2,153.2297209,,,155.2,0.044,-1.269509761,,0.000161166,
10.079,155.1,0.433,46.9,0.064,0.433,182.1,46.9,,,,,156.0604142,,14.3071779,148.96288,,,163.2700579,,155.1,153.2700579,,,155.1,0.064,-1.179846613,,0.000139204,
10.099,155.1,0.435,47.5,0.084,0.435,182.1,47.5,,,,,156.0534973,,14.46044683,148.8896,,,163.3500468,,155.1,153.3500468,,,155.1,0.084,-1.128274123,,0.0001273,
10.116,155.1,0.438,48.1,0.101,0.438,182.1,48.1,,,,,156.0266562,,14.60915297,148.77968,,,163.388833,,155.1,153.388833,,,155.1,0.101,-1.103266947,,0.00012172,
10.137,155.1,0.44,48.6,0.122,0.44,182.1,48.6,,,,,156.0142094,,14.73409477,148.7064,,,163.4404948,,155.1,153.4404948,,,155.1,0.122,-1.06995824,,0.000114481,
10.146,155,0.443,49.2,0.131,0.443,182,49.2,,,,,155.9870849,,14.8808252,148.59648,,,163.4773052,,155,153.4773052,,,155,0.131,-0.982383739,,9.65E-05,
10.176,154.8,0.445,49.6,0.161,0.445,181.8,49.6,,,,,155.9688877,,14.97803188,148.5232,,,163.5012319,,154.8,153.5012319,,,154.8,0.161,-0.838997495,,7.04E-05,
10.193,154.6,0.449,49.7,0.178,0.449,181.6,49.7,,,,,155.8918787,,14.98866536,148.37664,,,163.3653054,,154.6,153.3653054,,,154.6,0.178,-0.798638188,,6.38E-05,
10.218,154.4,0.45,49.8,0.203,0.45,181.4,49.8,,,,,155.8767032,,15.010862,148.34,,,163.350862,,154.4,153.350862,,,154.4,0.203,-0.679493526,,4.62E-05,
