time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,
10.015,155.2,0.428,46.5,0,0.428,182.2,46.5,,,,,156.1365855,,13.99507963,149.14608,,,163.1411596,,155.2,153.1411596,,,155.2,0,-1.326572404,,0.000175979,0.005554442
10.034,155.2,0.428,46.6,0.019,0.428,182.2,46.6,,,,,156.1418866,,14.01473475,149.14608,,,163.1608148,,155.2,153.1608148,,,155.2,0.019,-1.313908019,,0.000172635,
10.059,155.2,0.432,46.6,0.044,0.432,182.2,46.6,,,,,156.0638883,,14.01473475,148.99952,,,163.0142548,,155.2,153.0142548,,,155.2,0.044,-1.408341009,,0.000198342,
10.079,155.1,0.433,46.9,0.064,0.433,182.1,46.9,,,,,156.0604142,,14.0736521,148.96288,,,163.0365321,,155.1,153.0365321,,,155.1,0.064,-1.33041128,,0.000176999,
10.099,155.1,0.435,47.5,0.084,0.435,182.1,47.5,,,,,156.0534973,,14.19127436,148.8896,,,163.0808744,,155.1,153.0808744,,,155.1,0.084,-1.30182182,,0.000169474,
10.116,155.1,0.438,48.1,0.101,0.438,182.1,48.1,,,,,156.0266562,,14.30862052,148.77968,,,163.0883005,,155.1,153.0883005,,,155.1,0.101,-1.297033834,,0.00016823,
10.137,155.1,0.44,48.6,0.122,0.44,182.1,48.6,,,,,156.0142094,,14.40620414,148.7064,,,163.1126041,,155.1,153.1126041,,,155.1,0.122,-1.281364188,,0.000164189,
10.146,155,0.443,49.2,0.131,0.443,182,49.2,,,,,155.9870849,,14.5230657,148.59648,,,163.1195457,,155,153.1195457,,,155,0.131,-1.213196325,,0.000147185,
10.176,154.8,0.445,49.6,0.161,0.445,181.8,49.6,,,,,155.9688877,,14.60083232,148.5232,,,163.1240323,,154.8,153.1240323,,,154.8,0.161,-1.082666457,,0.000117217,
10.193,154.6,0.449,49.7,0.178,0.449,181.6,49.7,,,,,155.8918787,,14.62025668,148.37664,,,162.9968967,,154.6,152.9968967,,,154.6,0.178,-1.036936174,,0.000107524,
10.218,154.4,0.45,49.8,0.203,0.45,181.4,49.8,,,,,155.8767032,,14.63967417,148.34,,,162.9796742,,154.4,152.9796742,,,154.4,0.203,-0.919900147,,8.46E-05,
10.232,154.2,0.456,49.5,0.217,0.456,181.2,49.5,,,,,155.730203,,14.58140109,148.12016,,,162.7015611,,154.2,152.7015611,,,154.2,0.217,-0.971750268,,9.44E-05,
