time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension
10.008,195.7,0.422,94.8,0.0,0.422,229.7,94.8,,,,,190.5124115329045,,19.276957104611014,190.62572,,,209.90267710461103,,195.7,190.90267710461103,,,195.7,0.0,-2.451365812666816,
10.02,195.7,0.422,95.1,0.0120000000000004,0.422,229.7,95.1,,,,,190.5192740384697,,19.316465500862147,190.62572,,,209.9421855008621,,195.7,190.9421855008621,,,195.7,0.0120000000000004,-2.4311775672651406,
10.034,195.7,0.422,95.2,0.0260000000000015,0.422,229.7,95.2,,,,,190.5215607854614,,19.32962973288698,190.62572,,,209.955349732887,,195.7,190.955349732887,,,195.7,0.0260000000000015,-2.424450826322434,
10.046,195.7,0.422,95.4,0.0380000000000002,0.422,229.7,95.4,,,,,190.52613325820195,,19.355950381168864,190.62572,,,209.98167038116887,,195.7,190.98167038116887,,,195.7,0.0380000000000002,-2.4110013381865714,
10.058,195.6,0.423,95.6,0.0500000000000007,0.423,229.6,95.6,,,,,190.51674062303871,,19.382260646307525,190.58598,,,209.9682406463075,,195.6,190.9682406463075,,,195.6,0.0500000000000007,-2.367975129699643,
10.07,195.6,0.424,95.8,0.0620000000000011,0.424,229.6,95.8,,,,,190.5073006210031,,19.408560573495024,190.54624,,,209.954800573495,,195.6,190.954800573495,,,195.6,0.0620000000000011,-2.3748463325690192,
10.073,195.6,0.427,96.1,0.0650000000000012,0.427,229.6,96.1,,,,,190.47167113769288,,19.4479911787362,190.42702,,,209.87501117873617,,195.6,190.87501117873617,,,195.6,0.0650000000000012,-2.4156384566788454,
10.096,195.6,0.429,96.5,0.0880000000000009,0.429,229.6,96.5,,,,,190.45229533501728,,19.500529552716003,190.34754,,,209.848069552716,,195.6,190.848069552716,,,195.6,0.0880000000000009,-2.4294122941124723,
10.104,195.6,0.428,97.4,0.096,0.428,229.6,97.4,,,,,190.4878703090412,,19.61859314946158,190.38728,,,210.0058731494616,,195.6,191.0058731494616,,,195.6,0.096,-2.3487356086597146,
10.115,195.6,0.433,98.4,0.1070000000000011,0.433,229.6,98.4,,,,,190.4394401649112,,19.7495388967158,190.18858,,,209.9381188967158,,195.6,190.9381188967158,,,195.6,0.1070000000000011,-2.3833747971800623,
10.126,195.6,0.434,99.1,0.1180000000000003,0.434,229.6,99.1,,,,,190.4416893082631,,19.8410557853841,190.14884,,,209.98989578538408,,195.6,190.98989578538408,,,195.6,0.1180000000000003,-2.356903995202411,
10.138,195.6,0.437,100.3,0.1300000000000007,0.437,229.6,100.3,,,,,190.42676762245893,,19.99766938162432,190.02962,,,210.0272893816243,,195.6,191.0272893816243,,,195.6,0.1300000000000007,-2.337786614711493,
10.151,195.5,0.439,101.2,0.1430000000000006,0.439,229.5,101.2,,,,,190.4192716129444,,20.11490801217056,189.95014,,,210.0650480121705,,195.5,191.0650480121705,,,195.5,0.1430000000000006,-2.2685176408335,
10.163,195.4,0.44,102.6,0.1550000000000011,0.44,229.4,102.6,,,,,190.43912476276023,,20.296910610404087,189.9104,,,210.20731061040408,,195.4,191.20731061040408,,,195.4,0.1550000000000011,-2.1456956958013955,
10.179,195.3,0.444,103.4,0.1710000000000011,0.444,229.3,103.4,,,,,190.39940931947285,,20.400714765152014,189.75144,,,210.152154765152,,195.3,191.152154765152,,,195.3,0.1710000000000011,-2.1238326855340532,
10.2,195.1,0.448,103.8,0.1920000000000001,0.448,229.1,103.8,,,,,190.3486149571748,,20.452563944933555,189.59248,,,210.04504394493355,,195.1,191.04504394493355,,,195.1,0.1920000000000001,-2.0783987980863357,
10.221,194.9,0.451,104.9,0.2130000000000009,0.451,228.9,104.9,,,,,190.33062972712736,,20.594970062337705,189.47326,,,210.06823006233768,,194.9,191.06823006233768,,,194.9,0.2130000000000009,-1.9660184390263364,
10.24,194.6,0.451,105.2,0.2320000000000011,0.451,228.6,105.2,,,,,190.338458279516,,20.633763025879684,189.47326,,,210.10702302587967,,194.6,191.10702302587967,,,194.6,0.2320000000000011,-1.7949521963619344,
10.258,194.2,0.455,104.9,0.25,0.455,228.2,104.9,,,,,190.26755270431656,,20.594970062337705,189.3143,,,209.90927006233767,,194.2,190.90927006233767,,,194.2,0.25,-1.6945056321639136,
10.275,193.9,0.459,103.6,0.2670000000000012,0.459,227.9,103.6,,,,,190.1677867974398,,20.42664373430557,189.15534,,,209.5819837343056,,193.9,190.5819837343056,,,193.9,0.2670000000000012,-1.711199724442708,
10.298,193.5,0.465,102.5,0.2900000000000009,0.465,227.5,102.5,,,,,190.03622869259323,,20.283925087510035,188.9169,,,209.20082508751003,,193.5,190.20082508751003,,,193.5,0.2900000000000009,-1.7049999547751806,
10.318,193.2,0.467,102.8,0.3100000000000005,0.467,227.2,102.8,,,,,190.00992197272345,,20.322874960700247,188.83742,,,209.16029496070024,,193.2,190.16029496070024,,,193.2,0.3100000000000005,-1.5733462936334097,
10.339,192.9,0.467,103.2,0.3310000000000013,0.467,226.9,103.2,,,,,190.02117948633665,,20.374777003008997,188.83742,,,209.21219700300895,,192.9,190.21219700300895,,,192.9,0.3310000000000013,-1.3933659911825054,
10.359,192.6,0.475,103.0,0.3510000000000008,0.475,226.6,103.0,,,,,189.87282514815388,,20.348830413173125,188.5195,,,208.8683304131731,,192.6,189.8683304131731,,,192.6,0.3510000000000008,-1.4183123503774053,
10.379,192.3,0.478,103.4,0.3710000000000004,0.478,226.3,103.4,,,,,189.82940253021977,,20.400714765152014,188.40028,,,208.800994765152,,192.3,189.800994765152,,,192.3,0.3710000000000004,-1.2995347035090998,
10.4,192.0,0.481,103.4,0.3920000000000012,0.481,226.0,103.4,,,,,189.77328105554489,,20.400714765152014,188.28106,,,208.681774765152,,192.0,189.681774765152,,,192.0,0.3920000000000012,-1.2074089764833338,
10.416,191.8,0.486,102.8,0.4080000000000012,0.486,225.8,102.8,,,,,189.65891576804603,,20.322874960700247,188.08236,,,208.40523496070023,,191.8,189.40523496070023,,,191.8,0.4080000000000012,-1.2485740559435787,
10.437,191.5,0.49,102.9,0.4290000000000002,0.49,225.5,102.9,,,,,189.5830194885056,,20.335853796959764,187.9234,,,208.2592537969597,,191.5,189.2592537969597,,,191.5,0.4290000000000002,-1.1701024558957118,
10.457,191.3,0.493,103.9,0.4490000000000016,0.493,225.3,103.9,,,,,189.5546365079215,,20.46552077650526,187.80418,,,208.26970077650523,,191.3,189.26970077650523,,,191.3,0.4490000000000016,-1.061316896756288,
10.478,191.0,0.498,103.9,0.4700000000000006,0.498,225.0,103.9,,,,,189.45233801275603,,20.46552077650526,187.60548,,,208.0710007765053,,191.0,189.0710007765053,,,191.0,0.4700000000000006,-1.0099472374317873,
10.498,190.7,0.503,104.0,0.4900000000000002,0.503,224.7,104.0,,,,,189.35042472225905,,20.47847543126167,187.40678,,,207.88525543126167,,190.7,188.88525543126167,,,190.7,0.4900000000000002,-0.9516227418659253,
