Time,Length,Pressure,Force,Estimated Unstretched Length,Estimated Stretched Length,Real Stretched Length
1778,0.0,0.596,0.0,183.71096,183.71096,165.47
3372,2.0,0.597,8.9,183.67122,185.67122,167.47
5487,4.9,0.6,22.8,183.552,188.452,170.37
7288,7.7,0.6,39.5,183.552,191.25199999999998,173.17
9261,9.9,0.599,53.2,183.59174,193.49174,175.37
11019,12.7,0.599,72.8,183.59174,196.29173999999998,178.17
12775,14.8,0.6,88.7,183.552,198.352,180.27
14494,17.4,0.599,107.7,183.59174,200.99174,182.87
16147,19.6,0.599,124.6,183.59174,203.19173999999998,185.07
18006,22.1,0.599,144.1,183.59174,205.69173999999998,187.57
19804,24.9,0.599,166.7,183.59174,208.49174,190.37
21452,27.7,0.6,190.3,183.552,211.25199999999998,193.17
23316,29.4,0.599,203.6,183.59174,212.99174,194.87
24992,31.5,0.599,222.2,183.59174,215.09174,196.97
26890,34.4,0.599,248.3,183.59174,217.99174,199.87
28607,37.3,0.6,275.7,183.552,220.85199999999998,202.76999999999998
30481,39.3,0.6,293.7,183.552,222.85199999999998,204.76999999999998
32899,42.1,0.599,320.8,183.59174,225.69173999999998,207.57
36075,44.1,0.598,340.8,183.63147999999998,227.73147999999998,209.57
38027,41.8,0.577,296.3,184.46602,226.26601999999997,207.26999999999998
40158,39.3,0.561,260.0,185.10186,224.40186,204.76999999999998
41959,36.8,0.559,235.2,185.18134,221.98134,202.26999999999998
43917,34.5,0.559,215.3,185.18134,219.68134,199.97
45653,31.8,0.558,191.3,185.22108,217.02108,197.27
47764,29.6,0.56,174.3,185.14159999999998,214.74159999999998,195.07
49285,27.1,0.556,152.3,185.30056,212.40055999999998,192.57
51247,24.6,0.558,133.6,185.22108,209.82108,190.07
52980,21.9,0.558,113.4,185.22108,207.12108,187.37
54897,19.5,0.559,95.4,185.18134,204.68134,184.97
56630,16.9,0.559,76.7,185.18134,202.08134,182.37
58483,14.7,0.559,61.6,185.18134,199.88134,180.17
60144,12.0,0.558,43.4,185.22108,197.22108,177.47
62180,9.8,0.558,30.0,185.22108,195.02108,175.27
63799,7.2,0.558,15.2,185.22108,192.42108,172.67
65550,4.9,0.559,6.1,185.18134,190.08134,170.37
72502,0.1,0.559,3.1,185.18134,185.28134,165.57
