Time,Length,Pressure,Force,Estimated Unstretched Length,Estimated Stretched Length,Real Stretched Length
1751,0.0,0.405,0.0,165.79570000000004,165.79570000000004,157.3
3687,2.1,0.402,10.4,165.89428000000004,167.99428000000003,159.4
5466,4.5,0.402,20.8,165.89428000000004,170.39428000000004,161.8
7582,6.6,0.402,30.9,165.89428000000004,172.49428000000003,163.9
9534,9.2,0.404,43.9,165.82856000000004,175.02856000000003,166.5
11687,11.6,0.404,56.2,165.82856000000004,177.42856000000003,168.9
13608,14.5,0.405,71.9,165.79570000000004,180.29570000000004,171.8
15625,16.6,0.404,83.0,165.82856000000004,182.42856000000003,173.9
17842,19.2,0.406,97.7,165.76284000000004,184.96284000000003,176.5
20078,21.5,0.406,110.8,165.76284000000004,187.26284000000004,178.8
22152,23.9,0.407,125.3,165.72998000000004,189.62998000000005,181.20000000000002
24167,26.3,0.41,140.7,165.63140000000004,191.93140000000005,183.60000000000002
26104,29.0,0.413,158.6,165.53282000000004,194.53282000000004,186.3
28243,31.3,0.416,174.4,165.43424000000005,196.73424000000006,188.60000000000002
30097,33.6,0.42,191.0,165.30280000000005,198.90280000000004,190.9
32235,36.2,0.424,210.2,165.17136000000002,201.37136000000004,193.5
35286,39.3,0.429,233.5,165.00706000000002,204.30706000000004,196.60000000000002
37523,36.1,0.412,200.5,165.56568000000004,201.66568000000004,193.4
39573,33.4,0.402,177.8,165.89428000000004,199.29428000000004,190.70000000000002
41496,31.2,0.402,163.3,165.89428000000004,197.09428000000003,188.5
43529,28.7,0.402,147.9,165.89428000000004,194.59428000000003,186.0
45607,26.4,0.402,133.7,165.89428000000004,192.29428000000004,183.70000000000002
47705,23.7,0.402,117.4,165.89428000000004,189.59428000000003,181.0
49741,21.4,0.402,104.1,165.89428000000004,187.29428000000004,178.70000000000002
51977,18.2,0.402,85.7,165.89428000000004,184.09428000000003,175.5
54151,16.3,0.402,75.2,165.89428000000004,182.19428000000005,173.60000000000002
56259,13.8,0.402,61.5,165.89428000000004,179.69428000000005,171.10000000000002
58438,11.5,0.402,49.2,165.89428000000004,177.39428000000004,168.8
60399,9.0,0.402,36.6,165.89428000000004,174.89428000000004,166.3
62614,6.5,0.402,24.3,165.89428000000004,172.39428000000004,163.8
64326,4.1,0.402,13.2,165.89428000000004,169.99428000000003,161.4
66900,1.5,0.402,3.5,165.89428000000004,167.39428000000004,158.8
71219,-0.6,0.404,2.5,165.82856000000004,165.22856000000004,156.70000000000002
