time(s),p1(kPa),p2(kPa),flow(L/min),Voltage(V)
time(s),p1(kPa),p2(kPa),flow(L/min),Voltage(V)
5.01,2.08,-0.03,34.07,-2.12
5.03,1.19,-0.04,15,-2.19
5.04,0.71,-0.04,7.43,-2.32
5.05,0.25,-0.06,1.08,-2.44
5.07,0.16,-0.03,0.83,-2.58
5.08,0.07,-0.03,-0.15,-2.64
5.09,0.2,-0.04,2.3,-2.77
5.11,0.14,-0.04,1.08,-2.9
5.12,-0.04,-0.06,-1.37,-3.02
5.13,-0.01,-0.06,-0.39,-3.15
5.15,-0.01,-0.04,-0.39,-3.27
5.16,0.16,-0.03,1.81,-3.36
5.17,0,-0.04,-0.64,-3.44
5.19,-0.08,-0.06,-1.61,-3.59
5.2,-0.04,-0.04,-0.88,-3.73
5.21,-0.01,-0.06,-0.15,-3.81
5.22,0.13,-0.02,1.56,-3.95
5.24,-0.07,-0.06,-1.61,-3.98
5.25,-0.06,-0.04,-1.12,-4.17
5.26,-0.06,-0.04,-0.88,-4.26
5.28,0.04,-0.03,0.59,-4.37
5.29,0.09,-0.06,0.83,-4.45
5.3,-0.11,-0.04,-1.86,-4.62
5.32,-0.06,-0.06,-0.88,-4.69
5.33,-0.06,-0.06,-0.88,-4.82
5.34,0.09,-0.06,1.32,-4.92
5.36,0.05,-0.06,0.34,-5.04
5.37,-0.12,-0.03,-1.86,-5.14
5.38,-0.06,-0.03,-0.88,-5.19
5.4,-0.04,-0.03,-0.64,-5.3
5.41,0.13,-0.04,1.56,-5.4
5.42,-0.02,-0.06,-0.88,-5.52
5.44,-0.09,-0.06,-1.61,-5.65
5.45,-0.07,-0.06,-0.88,-5.75
5.46,-0.03,-0.06,-0.39,-5.85
5.47,0.1,-0.04,1.56,-5.95
5.49,-0.08,-0.06,-1.61,-6.02
5.5,-0.08,-0.03,-1.12,-6.13
5.51,-0.07,-0.06,-1.12,-6.18
5.53,0.02,-0.06,0.34,-6.33
5.54,0.07,-0.06,0.83,-6.42
5.55,-0.13,-0.06,-2.35,-6.51
5.57,-0.07,-0.04,-0.88,-6.59
5.58,-0.08,-0.04,-1.12,-6.66
5.59,0.07,-0.04,1.08,-6.74
5.61,0.03,-0.06,0.1,-6.83
5.62,-0.13,-0.06,-2.1,-6.94
5.63,-0.07,-0.04,-1.12,-7.02
5.65,-0.06,-0.04,-0.88,-7.09
5.66,0.11,-0.06,1.56,-7.16
5.67,-0.03,-0.04,-0.88,-7.26
5.69,-0.12,-0.04,-1.86,-7.32
5.7,-0.07,-0.03,-0.88,-7.4
5.71,-0.04,-0.04,-0.39,-7.45
5.73,0.1,-0.04,1.56,-7.54
5.74,-0.08,-0.04,-1.61,-7.62
5.75,-0.09,-0.03,-1.61,-7.68
5.76,-0.08,-0.06,-1.37,-7.73
5.78,0,-0.07,0.1,-7.85
5.79,0.08,-0.02,1.08,-7.94
5.8,-0.13,-0.07,-2.1,-7.9
5.82,-0.08,-0.04,-1.12,-8.07
5.83,-0.08,-0.06,-1.12,-8.08
5.84,0.07,-0.06,1.08,-8.16
5.86,0.04,-0.06,0.34,-8.21
5.87,-0.13,-0.06,-2.1,-8.27
5.88,-0.08,-0.06,-1.12,-8.33
5.9,-0.07,-0.06,-0.88,-8.38
5.91,0.11,-0.06,1.81,-8.43
5.92,-0.02,-0.04,-0.64,-8.48
5.94,-0.12,-0.06,-1.86,-8.5
5.95,-0.08,-0.04,-1.12,-8.57
5.96,-0.06,-0.06,-0.88,-8.59
5.98,0.09,-0.03,1.08,-8.66
5.99,-0.09,-0.04,-1.61,-8.65
6,-0.08,-0.03,-1.37,-8.71
6.01,-0.08,-0.03,-1.12,-8.72
6.03,-0.01,-0.04,0.1,-8.76
6.04,0.07,-0.06,1.08,-8.81
6.05,-0.12,-0.03,-2.1,-8.87
6.07,-0.08,-0.03,-1.37,-8.85
6.08,-0.11,-0.03,-1.61,-8.88
6.09,0.05,-0.06,0.83,-8.9
6.11,0.04,-0.06,0.59,-8.97
6.12,-0.14,-0.03,-2.35,-9
6.13,-0.08,-0.06,-1.37,-8.97
6.15,-0.08,-0.06,-0.88,-9.04
6.16,0.09,-0.03,1.32,-9.05
6.17,-0.03,-0.03,-1.12,-9.02
