time(s),p2(kPa),Voltage(V)
5.01,0.00,-15.03
5.03,0.00,-15.33
5.04,0.00,-15.65
5.05,0.00,-16.00
5.07,0.00,-16.31
5.08,0.00,-16.63
5.09,0.00,-16.98
5.10,0.00,-17.28
5.12,0.00,-17.61
5.13,0.00,-17.91
5.14,0.00,-18.25
5.16,0.00,-18.57
5.17,0.00,-18.87
5.18,0.00,-19.22
5.19,0.00,-19.53
5.21,0.00,-19.83
5.22,0.00,-20.17
5.23,0.00,-20.48
5.25,0.00,-20.77
5.26,0.00,-21.08
5.27,0.00,-21.42
5.28,0.00,-21.70
5.30,0.00,-22.01
5.31,0.00,-22.32
5.32,0.00,-22.62
5.34,0.00,-22.92
5.35,0.00,-23.22
5.36,0.00,-23.52
5.38,0.00,-23.81
5.39,0.00,-24.10
5.40,0.00,-24.39
5.41,0.00,-24.68
5.43,0.00,-24.94
5.44,0.00,-25.25
5.45,0.00,-25.50
5.47,0.00,-25.78
5.48,0.00,-26.07
5.49,0.00,-26.32
5.51,0.00,-26.59
5.52,0.00,-26.88
5.53,0.00,-27.12
5.54,0.00,-27.38
5.56,0.00,-27.63
5.57,0.00,-27.88
5.58,0.00,-28.13
5.60,0.00,-28.36
5.61,0.00,-28.62
5.62,0.00,-28.85
5.64,0.00,-29.07
5.65,0.00,-29.32
5.66,0.00,-29.54
5.67,0.00,-29.75
5.69,0.00,-29.97
5.70,0.00,-30.20
5.71,0.00,-30.39
5.73,0.00,-30.60
5.74,0.00,-30.80
5.75,0.00,-31.00
5.76,0.00,-31.20
5.78,0.00,-31.38
5.79,0.00,-31.57
5.80,0.00,-31.75
5.82,0.00,-31.93
5.83,0.00,-32.10
5.84,0.00,-32.27
5.86,0.00,-32.42
5.87,0.00,-32.59
5.88,0.00,-32.73
5.89,0.00,-32.88
5.91,0.00,-33.03
5.92,0.00,-33.16
5.93,0.00,-33.29
5.95,0.00,-33.43
5.96,0.00,-33.55
5.97,0.00,-33.67
5.98,0.00,-33.78
6.00,0.00,-33.89
6.01,0.00,-34.00
6.02,0.00,-34.09
6.04,0.00,-34.19
6.05,0.00,-34.28
6.06,0.00,-34.36
6.07,0.00,-34.44
6.09,0.00,-34.52
6.10,0.00,-34.58
6.11,0.00,-34.65
6.13,0.00,-34.71
6.14,0.00,-34.76
6.15,0.00,-34.81
6.17,0.00,-34.85
6.18,0.00,-34.89
6.19,0.00,-34.92
6.20,0.00,-34.95
6.22,0.00,-34.97
6.23,0.00,-34.98
6.24,0.00,-34.99
6.26,0.00,-35.00
6.27,0.00,-35.00
6.28,0.00,-34.99
6.30,0.00,-34.98
6.31,0.00,-34.97
6.32,0.00,-34.95
6.33,0.00,-34.92
6.35,0.00,-34.89
6.36,0.00,-34.85
6.37,0.00,-34.81
6.39,0.00,-34.77
6.40,0.00,-34.71
6.41,0.00,-34.66
6.42,0.00,-34.59
6.44,0.00,-34.52
6.45,0.00,-34.45
6.46,0.00,-34.37
6.48,0.00,-34.29
6.49,0.00,-34.20
6.50,0.00,-34.10
6.51,0.00,-34.01
6.53,0.00,-33.90
6.54,0.00,-33.79
6.55,0.00,-33.68
6.57,0.00,-33.57
6.58,0.00,-33.44
6.59,0.00,-33.30
6.61,0.00,-33.18
6.62,0.00,-33.04
