time(s),p(kPa),Voltage(V)
5.01,0.00,-15.22
5.03,0.00,-15.52
5.04,0.00,-15.85
5.05,0.00,-16.20
5.07,0.00,-16.53
5.08,0.00,-16.83
5.09,0.00,-17.18
5.11,0.00,-17.62
5.12,0.00,-17.83
5.13,0.00,-18.25
5.14,0.00,-18.47
5.16,0.00,-18.92
5.17,0.00,-19.21
5.18,0.00,-19.44
5.20,0.00,-19.88
5.21,0.00,-20.07
5.22,0.00,-20.39
5.24,0.00,-20.70
5.25,0.00,-21.02
5.26,0.00,-21.33
5.27,0.00,-21.64
5.29,0.00,-21.95
5.30,0.00,-22.25
5.31,0.00,-22.68
5.33,0.00,-22.98
5.34,0.00,-23.16
5.35,0.00,-23.48
5.36,0.00,-23.88
5.38,0.00,-24.05
5.39,0.00,-24.49
5.40,0.00,-24.63
5.42,0.00,-24.92
5.43,0.00,-25.32
5.44,0.00,-25.63
5.46,0.00,-25.76
5.47,0.00,-26.16
5.48,0.00,-26.33
5.50,0.00,-26.70
5.51,0.00,-26.97
5.52,0.00,-27.13
5.53,0.00,-27.39
5.55,0.00,-27.63
5.56,0.00,-27.91
5.57,0.00,-28.16
5.59,0.00,-28.40
5.60,0.00,-28.75
5.61,0.00,-29.01
5.63,0.00,-29.12
5.64,0.00,-29.34
5.65,0.00,-29.58
5.67,0.00,-29.81
5.68,0.00,-30.03
5.69,0.00,-30.25
5.70,0.00,-30.46
5.72,0.00,-30.67
5.73,0.00,-31.01
5.74,0.00,-31.08
5.76,0.00,-31.27
5.77,0.00,-31.46
5.78,0.00,-31.77
5.80,0.00,-31.84
5.81,0.00,-32.01
5.82,0.00,-32.20
5.83,0.00,-32.36
5.85,0.00,-32.52
5.86,0.00,-32.70
5.87,0.00,-32.96
5.89,0.00,-32.99
5.90,0.00,-33.14
5.91,0.00,-33.29
5.93,0.00,-33.54
5.94,0.00,-33.55
5.95,0.00,-33.69
5.96,0.00,-33.81
5.98,0.00,-33.92
5.99,0.00,-34.16
6.00,0.00,-34.15
6.02,0.00,-34.36
6.03,0.00,-34.34
6.04,0.00,-34.56
6.05,0.00,-34.52
6.07,0.00,-34.60
6.08,0.00,-34.80
6.09,0.00,-34.75
6.11,0.00,-34.82
6.12,0.00,-34.88
6.13,0.00,-34.93
6.15,0.00,-34.98
6.16,0.00,-35.03
6.17,0.00,-35.19
6.19,0.00,-35.22
6.20,0.00,-35.13
6.21,0.00,-35.15
6.23,0.00,-35.29
6.24,0.00,-35.19
6.25,0.00,-35.19
6.26,0.00,-35.32
6.28,0.00,-35.31
6.29,0.00,-35.31
6.30,0.00,-35.17
6.32,0.00,-35.27
6.33,0.00,-35.12
6.34,0.00,-35.09
6.36,0.00,-35.06
6.37,0.00,-35.02
6.38,0.00,-34.97
6.39,0.00,-34.92
6.41,0.00,-34.87
6.42,0.00,-34.80
6.43,0.00,-34.74
6.45,0.00,-34.79
6.46,0.00,-34.71
6.47,0.00,-34.50
6.49,0.00,-34.42
6.50,0.00,-34.44
6.51,0.00,-34.22
6.53,0.00,-34.24
6.54,0.00,-34.14
6.55,0.00,-34.02
6.56,0.00,-33.90
6.58,0.00,-33.66
6.59,0.00,-33.52
6.60,0.00,-33.52
6.62,0.00,-33.38
6.63,0.00,-33.23
6.64,0.00,-32.97
6.66,0.00,-32.82
6.67,0.00,-32.77
6.68,0.00,-32.61
6.69,0.00,-32.46
6.71,0.00,-32.16
6.72,0.00,-32.10
6.73,0.00,-31.79
6.75,0.00,-31.75
6.76,0.00,-31.42
6.77,0.00,-31.23
6.79,0.00,-31.03
6.80,0.00,-30.83
6.81,0.00,-30.62
6.82,0.00,-30.41
6.84,0.00,-30.21
6.85,0.00,-30.10
6.86,0.00,-29.76
6.88,0.00,-29.53
6.89,0.00,-29.30
6.90,0.00,-29.07
6.92,0.00,-28.83
6.93,0.00,-28.57
6.94,0.00,-28.47
6.96,0.00,-28.10
6.97,0.00,-27.83
6.98,0.00,-27.71
6.99,0.00,-27.33
7.01,0.00,-27.20
7.02,0.00,-26.79
7.03,0.00,-26.54
7.05,0.00,-26.39
7.06,0.00,-25.98
7.07,0.00,-25.70
7.09,0.00,-25.44
7.10,0.00,-25.14
7.11,0.00,-24.85
7.12,0.00,-24.69
7.14,0.00,-24.30
7.15,0.00,-23.98
7.16,0.00,-23.81
7.18,0.00,-23.41
7.19,0.00,-23.21
7.20,0.00,-22.79
7.22,0.00,-22.61
7.23,0.00,-22.18
7.24,0.00,-21.88
7.26,0.00,-21.57
7.27,0.00,-21.35
7.28,0.00,-21.07
