time(s),p(kPa),Voltage(V)
5.01,-0.03,-4.06
5.02,-0.02,-4.23
5.04,-0.03,-4.33
5.05,-0.02,-4.51
5.06,-0.02,-4.60
5.07,-0.02,-4.74
5.09,-0.02,-4.87
5.10,-0.02,-5.02
5.11,-0.03,-5.15
5.12,-0.03,-5.31
5.13,-0.02,-5.46
5.15,-0.03,-5.56
5.16,-0.02,-5.73
5.17,-0.02,-5.81
5.18,-0.02,-5.96
5.19,-0.03,-6.09
5.20,-0.02,-6.26
5.22,-0.03,-6.34
5.23,-0.03,-6.52
5.24,-0.03,-6.65
5.25,-0.03,-6.78
5.26,-0.02,-6.91
5.28,-0.02,-7.00
5.29,-0.02,-7.13
5.30,-0.03,-7.26
5.31,-0.02,-7.42
5.32,-0.03,-7.51
5.34,-0.03,-7.67
5.35,-0.02,-7.80
5.36,-0.03,-7.88
5.37,-0.02,-8.04
5.39,-0.03,-8.12
5.40,-0.02,-8.29
5.41,-0.02,-8.36
5.42,-0.03,-8.48
5.43,-0.02,-8.65
5.45,-0.03,-8.73
5.46,-0.03,-8.87
5.47,-0.03,-8.98
5.48,-0.02,-9.11
5.49,-0.02,-9.18
5.51,-0.03,-9.28
5.52,-0.02,-9.44
5.53,-0.02,-9.51
5.54,-0.02,-9.62
5.55,-0.02,-9.72
5.57,-0.02,-9.83
5.58,-0.02,-9.93
5.59,-0.02,-10.04
5.60,-0.03,-10.14
5.61,-0.02,-10.27
5.63,-0.02,-10.33
5.64,-0.02,-10.43
5.65,-0.03,-10.53
5.66,-0.03,-10.66
5.68,-0.02,-10.75
5.69,-0.03,-10.81
5.70,-0.03,-10.94
5.71,-0.02,-11.02
5.72,-0.03,-11.07
5.74,-0.03,-11.19
5.75,-0.02,-11.28
5.76,-0.03,-11.32
5.77,-0.03,-11.44
5.78,-0.02,-11.52
5.80,-0.03,-11.56
5.81,-0.02,-11.66
5.82,-0.03,-11.71
5.83,-0.02,-11.81
5.84,-0.03,-11.85
5.86,-0.03,-11.95
5.87,-0.03,-12.01
5.88,-0.02,-12.08
5.89,-0.02,-12.10
5.91,-0.02,-12.17
5.92,-0.03,-12.23
5.93,-0.02,-12.31
5.94,-0.02,-12.33
5.95,-0.03,-12.39
5.97,-0.03,-12.48
5.98,-0.02,-12.52
5.99,-0.03,-12.53
6.00,-0.03,-12.62
6.01,-0.03,-12.66
6.03,-0.02,-12.70
6.04,-0.03,-12.70
6.05,-0.02,-12.78
6.06,-0.03,-12.77
6.07,-0.03,-12.85
6.09,-0.03,-12.88
6.10,-0.02,-12.90
6.11,-0.02,-12.89
6.12,-0.02,-12.92
6.13,-0.02,-12.94
6.15,-0.02,-12.96
6.16,-0.02,-12.98
6.17,-0.03,-13.00
6.18,-0.02,-13.05
6.20,-0.03,-13.03
6.21,-0.03,-13.07
6.22,-0.03,-13.08
6.23,-0.03,-13.09
6.24,-0.03,-13.09
6.26,-0.03,-13.09
6.27,-0.02,-13.10
6.28,-0.02,-13.06
6.29,-0.03,-13.05
6.30,-0.02,-13.08
6.32,-0.02,-13.04
6.33,-0.02,-13.03
6.34,-0.02,-13.02
6.35,-0.02,-13.00
6.36,-0.03,-12.98
6.38,-0.02,-13.00
6.39,-0.02,-12.95
6.40,-0.03,-12.92
6.41,-0.03,-12.93
6.42,-0.02,-12.91
6.44,-0.02,-12.84
6.45,-0.03,-12.81
6.46,-0.03,-12.82
6.47,-0.03,-12.78
6.49,-0.02,-12.74
6.50,-0.02,-12.67
6.51,-0.03,-12.63
6.52,-0.02,-12.62
6.53,-0.03,-12.54
6.55,-0.02,-12.53
6.56,-0.03,-12.44
6.57,-0.02,-12.43
6.58,-0.02,-12.35
6.59,-0.03,-12.29
6.61,-0.02,-12.27
6.62,-0.02,-12.17
6.63,-0.03,-12.11
6.64,-0.03,-12.09
6.65,-0.02,-12.03
6.67,-0.02,-11.92
6.68,-0.02,-11.85
6.69,-0.02,-11.78
6.70,-0.03,-11.72
6.72,-0.02,-11.68
6.73,-0.03,-11.57
6.74,-0.03,-11.53
6.75,-0.02,-11.45
6.76,-0.03,-11.33
6.78,-0.03,-11.29
6.79,-0.02,-11.21
6.80,-0.02,-11.08
6.81,-0.03,-10.99
6.82,-0.03,-10.94
6.84,-0.03,-10.86
6.85,-0.03,-10.76
6.86,-0.02,-10.67
6.87,-0.02,-10.54
6.88,-0.02,-10.44
6.90,-0.02,-10.35
