time(s),p(kPa),Voltage(V)
3.01,-0.04,4.81
3.02,-0.03,4.73
3.04,0.02,4.8
3.05,0.05,5.07
3.06,0.07,5.27
3.07,0.07,5.32
3.09,0.08,5.28
3.1,0.08,5.31
3.11,0.09,5.26
3.12,0.09,5.28
3.13,0.1,5.22
3.14,0.11,5.22
3.16,0.11,5.23
3.17,0.14,5.15
3.18,0.14,5.21
3.19,0.15,5.11
3.21,0.18,5.1
3.22,0.18,5.13
3.23,0.19,5.02
3.24,0.19,4.98
3.25,0.2,4.87
3.27,0.22,4.8
3.28,0.25,4.81
3.29,0.26,4.82
3.3,0.3,4.75
3.31,0.31,4.81
3.33,0.36,4.73
3.34,0.38,4.86
3.35,0.4,4.84
3.36,0.42,4.74
3.37,0.44,4.7
3.39,0.48,4.65
3.4,0.53,4.7
3.41,0.57,4.79
3.42,0.6,4.81
3.43,0.6,4.81
3.45,0.63,4.62
3.46,0.66,4.55
3.47,0.73,4.53
3.48,0.79,4.67
3.49,0.82,4.82
3.51,0.82,4.81
3.52,0.84,4.55
3.53,0.91,4.38
3.54,0.98,4.59
3.55,1.02,4.76
3.57,1.02,4.72
3.58,1.04,4.46
3.59,1.12,4.36
3.6,1.17,4.51
3.61,1.21,4.53
3.63,1.26,4.54
3.64,1.3,4.58
3.65,1.31,4.49
3.66,1.35,4.28
3.68,1.42,4.21
3.69,1.48,4.33
3.7,1.54,4.42
3.71,1.58,4.49
3.72,1.61,4.41
3.73,1.63,4.22
3.75,1.69,4.08
3.76,1.78,4.14
3.77,1.84,4.31
3.78,1.86,4.36
3.79,1.9,4.22
3.81,1.94,4.12
3.82,2,3.99
3.83,2.08,4.03
3.84,2.16,4.24
3.86,2.19,4.33
3.87,2.22,4.22
3.88,2.27,4.03
3.89,2.35,4.02
3.9,2.4,4.17
3.92,2.45,4.13
3.93,2.5,4.09
3.94,2.56,4.04
3.95,2.62,4.07
3.96,2.68,4.1
3.98,2.74,4.13
3.99,2.79,4.16
4,2.85,4.11
4.01,2.89,4.14
4.02,2.95,3.99
4.03,3.02,4.05
4.05,3.08,4.15
4.06,3.15,4.18
4.07,3.18,4.18
4.08,3.24,4.06
4.1,3.29,4.12
4.11,3.35,4.05
4.12,3.41,4.08
4.13,3.49,4.11
4.14,3.55,4.25
4.16,3.59,4.25
4.17,3.62,4.14
4.18,3.68,4.04
4.19,3.76,4.1
4.2,3.79,4.19
