time,p,voltage
3.01,-0.04,4.81
3.02,-0.02,4.73
3.04,0.03,4.87
3.05,0.04,5.15
3.06,0.04,5.20
3.07,0.07,5.17
3.09,0.08,5.28
3.10,0.08,5.31
3.11,0.09,5.26
3.12,0.10,5.28
3.13,0.10,5.29
3.14,0.10,5.22
3.16,0.11,5.16
3.17,0.14,5.15
3.18,0.15,5.21
3.19,0.14,5.19
3.21,0.16,5.02
3.22,0.16,5.06
3.23,0.18,4.95
3.24,0.18,4.90
3.25,0.21,4.79
3.27,0.24,4.87
3.28,0.26,4.89
3.29,0.26,4.89
3.30,0.29,4.75
3.31,0.31,4.74
3.33,0.35,4.73
3.34,0.38,4.79
3.35,0.41,4.84
3.36,0.43,4.81
3.37,0.43,4.78
3.39,0.47,4.58
3.40,0.54,4.62
3.41,0.58,4.87
3.42,0.59,4.89
3.43,0.60,4.74
3.45,0.63,4.62
3.46,0.69,4.55
3.47,0.74,4.67
3.48,0.77,4.74
3.49,0.80,4.75
3.51,0.82,4.66
3.52,0.85,4.55
3.53,0.90,4.45
3.54,0.97,4.52
3.55,1.02,4.68
3.57,1.04,4.72
3.58,1.06,4.60
3.59,1.09,4.43
3.60,1.17,4.36
3.61,1.21,4.53
3.63,1.25,4.54
3.64,1.29,4.51
3.65,1.32,4.42
3.66,1.39,4.35
3.68,1.43,4.43
3.69,1.47,4.40
3.70,1.52,4.35
3.71,1.56,4.34
3.72,1.62,4.26
3.73,1.67,4.29
3.75,1.72,4.30
3.76,1.76,4.29
3.77,1.80,4.24
3.78,1.85,4.14
3.79,1.91,4.14
3.81,1.96,4.19
3.82,2.03,4.13
3.83,2.08,4.25
3.84,2.12,4.24
3.86,2.16,4.11
3.87,2.23,4.00
3.88,2.29,4.11
3.89,2.35,4.17
3.90,2.40,4.17
3.92,2.45,4.13
3.93,2.50,4.09
3.94,2.56,4.04
3.95,2.62,4.07
3.96,2.68,4.10
3.98,2.74,4.13
3.99,2.79,4.16
4.00,2.84,4.11
4.01,2.90,4.07
4.02,2.96,4.07
4.03,3.02,4.12
4.05,3.07,4.15
4.06,3.13,4.10
4.07,3.18,4.10
4.08,3.26,4.06
4.10,3.32,4.19
4.11,3.35,4.19
4.12,3.40,4.08
4.13,3.46,4.04
4.14,3.54,4.10
4.16,3.60,4.18
4.17,3.63,4.22
4.18,3.68,4.11
4.19,3.74,4.10
4.20,3.80,4.12
4.22,3.87,4.16
4.23,3.91,4.21
4.24,3.95,4.18
4.25,4.00,4.08
4.26,4.06,4.06
4.28,4.12,4.12
4.29,4.17,4.17
4.30,4.23,4.16
4.31,4.27,4.22
4.32,4.31,4.12
4.34,4.37,4.07
4.35,4.42,4.14
4.36,4.46,4.14
4.37,4.53,4.12
4.38,4.56,4.23
4.40,4.60,4.16
4.41,4.64,4.08
4.42,4.68,4.03
4.43,4.76,4.08
4.45,4.81,4.25
4.46,4.83,4.26
4.47,4.86,4.15
4.48,4.90,4.06
4.49,4.95,4.09
4.51,5.00,4.13
4.52,5.04,4.19
4.53,5.06,4.19
4.54,5.11,4.09
4.55,5.15,4.15
4.56,5.19,4.15
4.58,5.22,4.17
4.59,5.27,4.16
4.60,5.30,4.25
4.61,5.32,4.20
4.63,5.34,4.15
4.64,5.37,4.10
4.65,5.42,4.06
4.66,5.45,4.17
4.67,5.49,4.22
4.69,5.50,4.27
4.70,5.53,4.18
4.71,5.55,4.15
4.72,5.58,4.15
4.73,5.60,4.16
4.75,5.64,4.17
4.76,5.66,4.24
4.77,5.67,4.26
4.78,5.70,4.22
4.79,5.72,4.24
4.81,5.75,4.27
4.82,5.76,4.32
4.83,5.77,4.30
4.84,5.78,4.27
4.85,5.80,4.26
4.87,5.82,4.25
4.88,5.83,4.32
4.89,5.85,4.33
4.90,5.86,4.34
4.91,5.88,4.36
4.93,5.88,4.46
4.94,5.88,4.41
4.95,5.88,4.38
4.96,5.91,4.35
4.97,5.92,4.47
4.99,5.92,4.53
5.00,5.93,4.52
5.01,5.93,4.59
5.02,5.92,4.59
5.03,5.94,4.52
5.05,5.92,4.69
5.06,5.94,4.56
5.07,5.93,4.73
5.08,5.93,4.70
5.09,5.93,4.74
5.11,5.93,4.79
5.12,5.92,4.84
5.13,5.92,4.82
5.14,5.91,4.89
5.16,5.89,4.89
5.17,5.89,4.90
5.18,5.89,4.98
5.19,5.89,5.07
5.20,5.88,5.17
5.22,5.87,5.20
5.23,5.86,5.24
5.24,5.86,5.28
5.25,5.85,5.40
5.26,5.85,5.47
5.28,5.83,5.59
5.29,5.81,5.65
5.30,5.78,5.65
5.31,5.76,5.67
5.32,5.75,5.67
5.34,5.71,5.75
5.35,5.67,5.72
5.36,5.65,5.67
5.37,5.63,5.70
5.38,5.60,5.72
5.40,5.59,5.78
5.41,5.55,5.91
5.42,5.50,5.89
5.43,5.45,5.80
5.44,5.42,5.71
5.46,5.41,5.71
5.47,5.41,5.86
5.48,5.36,6.08
5.49,5.27,6.02
