time,p,voltage
9.11,0.036,5.34
9.13,0.037,5.29
9.14,0.038,5.26
9.15,0.041999999999999996,5.19
9.16,0.041999999999999996,5.28
9.18,0.043,5.15
9.19,0.043,5.09
9.2,0.044,4.95
9.21,0.046,4.88
9.22,0.048,4.81
9.23,0.051000000000000004,4.80
9.25,0.053000000000000005,4.79
9.26,0.05500000000000001,4.78
9.27,0.057999999999999996,4.76
9.28,0.063,4.75
9.3,0.063,4.88
9.31,0.064,4.71
9.32,0.06899999999999999,4.59
9.33,0.074,4.73
9.34,0.076,4.84
9.36,0.077,4.79
9.37,0.08,4.68
9.38,0.08499999999999999,4.65
9.39,0.086,4.75
9.4,0.088,4.61
9.42,0.092,4.56
9.43,0.097,4.60
9.44,0.10300000000000001,4.69
9.45,0.10300000000000001,4.83
9.46,0.10300000000000001,4.63
9.48,0.10800000000000001,4.43
9.49,0.11499999999999999,4.50
9.5,0.12,4.72
9.51,0.121,4.79
9.52,0.123,4.67
9.54,0.124,4.50
9.55,0.129,4.34
9.56,0.136,4.41
9.57,0.142,4.60
9.58,0.142,4.75
9.6,0.143,4.52
9.61,0.147,4.36
9.62,0.152,4.32
9.63,0.159,4.39
9.65,0.16499999999999998,4.59
9.66,0.16399999999999998,4.69
9.67,0.16699999999999998,4.37
9.68,0.173,4.29
9.69,0.178,4.41
9.71,0.181,4.43
9.72,0.185,4.40
9.73,0.19,4.39
9.74,0.194,4.41
9.75,0.195,4.37
9.76,0.197,4.18
9.78,0.20800000000000002,4.09
9.79,0.213,4.47
9.8,0.21200000000000002,4.50
9.81,0.21400000000000002,4.17
9.82,0.219,4.07
9.84,0.227,4.08
9.85,0.231,4.25
9.86,0.23399999999999999,4.28
9.87,0.23900000000000002,4.16
9.89,0.24500000000000002,4.19
9.9,0.246,4.28
9.91,0.24900000000000003,4.09
9.92,0.255,3.97
9.93,0.262,4.06
9.95,0.268,4.23
9.96,0.267,4.31
9.97,0.271,3.96
9.98,0.27799999999999997,3.93
9.99,0.284,4.10
10.01,0.288,4.17
10.02,0.29,4.12
10.03,0.296,4.02
10.04,0.3,4.09
10.05,0.304,4.04
10.07,0.308,3.99
10.08,0.316,4.01
10.09,0.321,4.18
10.1,0.323,4.21
10.11,0.32599999999999996,4.08
10.13,0.329,3.94
10.14,0.337,3.89
10.15,0.343,4.06
10.16,0.34900000000000003,4.18
10.18,0.35,4.26
10.19,0.352,4.07
10.2,0.356,3.95
10.21,0.362,3.89
10.22,0.368,4.01
10.23,0.373,4.12
10.25,0.377,4.15
10.26,0.38,4.09
10.27,0.385,4.05
10.28,0.39,4.11
10.3,0.394,4.13
10.31,0.399,4.09
10.32,0.40099999999999997,4.14
10.33,0.40599999999999997,4.03
10.34,0.41100000000000003,4.08
10.36,0.41600000000000004,4.12
10.37,0.42000000000000004,4.17
10.38,0.422,4.13
10.39,0.426,4.03
10.4,0.43099999999999994,4.01
10.42,0.43499999999999994,4.09
10.43,0.43899999999999995,4.12
10.44,0.44299999999999995,4.11
10.45,0.446,4.10
10.47,0.449,4.07
10.48,0.454,4.01
10.49,0.457,4.07
10.5,0.46399999999999997,4.07
10.51,0.46699999999999997,4.20
10.53,0.47000000000000003,4.20
10.54,0.47300000000000003,4.13
10.55,0.476,4.16
10.56,0.479,4.07
10.57,0.484,4.09
10.59,0.488,4.17
10.6,0.49000000000000005,4.18
10.61,0.49400000000000005,4.14
10.62,0.497,4.16
10.64,0.499,4.11
10.65,0.503,4.05
10.66,0.506,4.09
10.67,0.51,4.14
10.68,0.514,4.16
10.69,0.516,4.20
10.71,0.52,4.17
10.72,0.521,4.22
10.73,0.523,4.12
10.74,0.5269999999999999,4.10
10.76,0.5309999999999999,4.16
10.77,0.532,4.21
10.78,0.536,4.12
10.79,0.538,4.19
10.8,0.5389999999999999,4.20
10.82,0.5429999999999999,4.11
10.83,0.5469999999999999,4.19
10.84,0.548,4.27
10.85,0.548,4.20
10.86,0.553,4.08
10.88,0.554,4.24
10.89,0.5549999999999999,4.19
10.9,0.5589999999999999,4.13
10.91,0.5599999999999999,4.24
10.93,0.563,4.20
10.94,0.5650000000000001,4.23
10.95,0.5660000000000001,4.27
10.96,0.567,4.25
10.97,0.5690000000000001,4.22
10.98,0.571,4.19
11.0,0.5740000000000001,4.26
11.01,0.576,4.32
11.02,0.577,4.37
11.03,0.577,4.37
11.05,0.5780000000000001,4.29
11.06,0.58,4.30
11.07,0.581,4.30
11.08,0.5820000000000001,4.31
11.1,0.583,4.33
11.11,0.587,4.34
11.12,0.5860000000000001,4.51
11.13,0.585,4.39
11.14,0.588,4.28
11.15,0.588,4.46
11.17,0.588,4.42
11.18,0.589,4.39
11.19,0.589,4.44
11.2,0.589,4.42
11.22,0.589,4.40
11.23,0.592,4.38
11.24,0.592,4.52
11.25,0.592,4.51
11.26,0.593,4.51
11.28,0.592,4.59
11.29,0.592,4.52
11.3,0.593,4.53
11.31,0.591,4.62
11.32,0.592,4.49
11.34,0.592,4.59
11.35,0.591,4.62
11.36,0.592,4.58
11.37,0.592,4.69
11.38,0.591,4.72
11.4,0.589,4.69
11.41,0.591,4.67
11.42,0.589,4.80
11.43,0.588,4.78
11.44,0.587,4.77
11.46,0.5860000000000001,4.76
11.47,0.585,4.75
11.48,0.583,4.75
11.49,0.5820000000000001,4.76
11.51,0.583,4.77
11.52,0.581,4.92
11.53,0.58,4.86
11.54,0.58,4.88
11.55,0.5780000000000001,4.98
11.57,0.577,5.00
11.58,0.575,5.04
11.59,0.5740000000000001,4.99
11.6,0.5740000000000001,5.03
11.61,0.572,5.15
11.63,0.572,5.20
11.64,0.5700000000000001,5.32
11.65,0.5690000000000001,5.30
11.66,0.5700000000000001,5.36
11.68,0.5660000000000001,5.56
11.69,0.564,5.48
11.7,0.564,5.47
11.71,0.561,5.63
11.72,0.5589999999999999,5.62
11.74,0.5589999999999999,5.62
11.75,0.554,5.79
11.76,0.549,5.65
11.77,0.55,5.52
11.78,0.548,5.76
11.8,0.5429999999999999,5.78
11.81,0.542,5.65
11.82,0.5389999999999999,5.75
11.83,0.537,5.80
11.84,0.533,5.83
11.86,0.53,5.78
11.87,0.528,5.75
11.88,0.525,5.88
11.89,0.521,5.85
11.91,0.519,5.82
11.92,0.515,5.89
11.93,0.511,5.86
11.94,0.509,5.84
11.95,0.505,5.90
11.97,0.501,5.90
11.98,0.499,5.90
11.99,0.495,5.94
12.0,0.49000000000000005,5.96
12.01,0.487,5.88
12.03,0.484,5.89
12.04,0.481,5.96
12.05,0.47800000000000004,5.99
12.06,0.47300000000000003,6.05
12.07,0.46799999999999997,5.99
12.09,0.466,5.95
12.1,0.46399999999999997,6.03
12.11,0.45899999999999996,6.12
12.12,0.454,6.05
12.14,0.45099999999999996,6.02
12.15,0.44800000000000006,6.11
12.16,0.44400000000000006,6.14
12.17,0.44000000000000006,6.18
12.18,0.437,6.19
12.19,0.43099999999999994,6.22
12.21,0.42800000000000005,6.10
12.22,0.42300000000000004,6.23
12.23,0.417,6.19
12.24,0.41500000000000004,6.08
12.26,0.41200000000000003,6.17
12.27,0.409,6.30
12.28,0.40199999999999997,6.34
12.29,0.398,6.24
12.3,0.394,6.23
12.32,0.39,6.25
12.33,0.387,6.29
12.34,0.383,6.34
12.35,0.378,6.40
12.36,0.372,6.38
12.38,0.368,6.28
12.39,0.366,6.33
12.4,0.362,6.45
12.41,0.357,6.50
12.43,0.351,6.47
