time,p,voltage
9.11,0.036,5.34
9.13,0.038,5.29
9.14,0.038,5.33
9.15,0.040999999999999995,5.19
9.16,0.04,5.21
9.18,0.041999999999999996,5.01
9.19,0.043,5.02
9.2,0.043,4.95
9.21,0.046,4.81
9.22,0.048,4.81
9.23,0.052000000000000005,4.80
9.25,0.052000000000000005,4.87
9.26,0.053000000000000005,4.71
9.27,0.059,4.61
9.28,0.064,4.81
9.3,0.064,4.95
9.31,0.065,4.78
9.32,0.068,4.67
9.33,0.071,4.64
9.34,0.075,4.69
9.36,0.08,4.72
9.37,0.08399999999999999,4.82
9.38,0.08199999999999999,4.85
9.39,0.08399999999999999,4.61
9.4,0.088,4.47
9.42,0.095,4.56
9.43,0.101,4.73
9.44,0.101,4.91
9.45,0.101,4.69
9.46,0.10300000000000001,4.48
9.48,0.10900000000000001,4.42
9.49,0.11499999999999999,4.57
9.5,0.119,4.72
9.51,0.12,4.72
9.52,0.121,4.57
9.54,0.126,4.42
9.55,0.132,4.49
9.56,0.136,4.63
9.57,0.137,4.60
9.58,0.141,4.46
9.6,0.145,4.45
9.61,0.15,4.43
9.62,0.154,4.47
9.63,0.157,4.52
9.65,0.161,4.44
9.66,0.16399999999999998,4.40
9.67,0.16699999999999998,4.37
9.68,0.172,4.27
9.69,0.179,4.34
9.71,0.184,4.51
9.72,0.183,4.55
9.73,0.185,4.22
9.74,0.192,4.11
9.75,0.2,4.30
9.77,0.205,4.48
9.78,0.202,4.51
9.79,0.20600000000000002,4.10
9.8,0.21400000000000002,4.06
9.81,0.219,4.31
9.82,0.223,4.32
9.84,0.225,4.30
9.85,0.229,4.18
9.86,0.23399999999999999,4.13
9.87,0.238,4.14
9.89,0.242,4.11
9.9,0.24700000000000003,4.14
9.91,0.252,4.16
9.92,0.256,4.16
9.93,0.258,4.11
9.95,0.262,4.01
9.96,0.268,3.94
9.97,0.275,4.03
9.98,0.279,4.20
9.99,0.27999999999999997,4.17
10.01,0.284,3.95
10.02,0.29100000000000004,3.90
10.03,0.29700000000000004,4.07
10.04,0.3,4.17
10.05,0.305,4.04
10.07,0.308,4.06
10.08,0.313,4.01
10.09,0.318,4.01
10.1,0.323,4.04
10.11,0.32799999999999996,4.08
10.13,0.33399999999999996,4.09
10.14,0.337,4.18
10.15,0.339,4.06
10.16,0.34500000000000003,3.94
10.18,0.35,4.04
10.19,0.354,4.07
10.2,0.359,4.03
10.21,0.363,4.03
10.22,0.367,4.06
10.23,0.372,4.05
10.25,0.377,4.08
10.26,0.38,4.09
10.27,0.384,4.05
10.28,0.388,4.02
10.3,0.393,3.98
10.31,0.399,4.02
