time,length,pressure,force
3.908,-21.60,-0.4,5.30
3.919,-21.60,-0.4,5.30
3.931,-21.60,-0.4,5.30
3.943,-21.60,-0.4,5.30
3.952,-21.60,-0.4,5.30
3.965,-21.60,-0.4,5.30
3.977,-21.60,-0.4,5.30
3.99,-21.60,-0.4,5.30
4.0,-21.60,-0.4,5.30
4.011,-21.60,-0.4,5.30
4.025,-21.60,-0.4,5.30
4.036,-21.60,-0.4,5.30
4.049,-21.60,-0.4,5.30
4.062,-21.60,-0.4,5.30
4.074,-21.60,-0.4,5.30
4.086,-21.60,-0.4,5.30
4.099,-21.60,-0.4,5.30
4.114,-21.60,-0.4,5.30
4.122,-21.60,-0.4,5.30
4.131,-21.60,-0.6,5.30
4.144,-21.60,-0.4,5.30
4.155,-21.60,-0.4,5.30
4.169,-21.60,-0.4,5.30
4.181,-21.60,-0.4,5.30
4.193,-21.60,-0.4,5.30
4.206,-21.60,-0.4,5.30
4.218,-21.60,-0.4,5.30
4.23,-21.60,-0.4,5.30
4.243,-21.60,-0.4,5.30
4.255,-21.60,-0.4,5.30
4.268,-21.60,-0.4,5.30
4.278,-21.60,-0.4,5.30
4.29,-21.60,-0.4,5.30
4.302,-21.60,-0.4,5.30
4.314,-21.60,-0.4,5.30
4.323,-21.60,-0.4,5.30
4.335,-21.60,-0.4,5.30
4.347,-21.60,-0.4,5.30
4.359,-21.60,-0.4,5.30
4.372,-21.60,-0.4,5.30
4.384,-21.60,-0.4,5.30
4.397,-21.60,-0.4,5.30
4.41,-21.60,-0.4,5.30
4.422,-21.60,-0.4,5.30
4.435,-21.60,-0.4,5.30
4.447,-21.60,-0.4,5.30
4.459,-21.60,-0.4,5.30
4.471,-21.60,-0.4,5.30
4.484,-21.60,-0.3,5.30
4.495,-21.60,-0.4,5.30
4.508,-21.60,-0.4,5.30
4.517,-21.60,-0.4,5.30
4.53,-21.60,-0.4,5.30
4.541,-21.60,-0.4,5.30
4.555,-21.60,-0.4,5.30
4.565,-21.60,-0.4,5.30
4.576,-21.60,-0.4,5.30
4.589,-21.60,-0.4,5.30
4.601,-21.60,-0.4,5.30
4.614,-21.60,-0.3,5.30
4.625,-21.60,-0.4,5.30
4.639,-21.60,-0.4,5.30
4.651,-21.60,-0.4,5.30
4.663,-21.60,-0.4,5.30
4.675,-21.60,-0.4,5.30
4.688,-21.60,-0.4,5.30
4.7,-21.60,-0.3,5.30
4.709,-21.60,-0.4,5.30
4.72,-21.60,-0.4,5.30
4.736,-21.60,-0.4,5.30
4.744,-21.60,-0.4,5.30
4.757,-21.60,-0.4,5.30
4.769,-21.60,-0.3,5.30
4.781,-21.60,-0.4,5.30
4.794,-21.60,-0.4,5.30
4.806,-21.60,-0.4,5.30
4.818,-21.60,-0.4,5.30
4.83,-21.60,-0.4,5.30
4.843,-21.60,-0.4,5.30
4.855,-21.60,-0.4,5.30
4.868,-21.60,-0.4,5.30
4.879,-21.60,-0.6,5.30
4.892,-21.60,-0.6,5.30
4.905,-21.60,-0.4,5.30
4.914,-21.60,-0.3,5.30
4.927,-21.60,-0.4,5.30
4.939,-21.60,-0.4,5.30
4.951,-21.60,-0.4,5.30
4.964,-21.60,-0.4,5.30
4.976,-21.60,-0.4,5.30
4.988,-21.60,-0.4,5.30
4.999,-21.60,-0.4,5.30
5.011,-21.60,-0.4,5.30
5.023,-21.60,-0.4,5.30
5.035,-21.60,-0.4,5.30
5.047,-21.60,-0.3,5.30
5.06,-21.60,-0.4,5.30
5.072,-21.60,-0.4,5.30
5.084,-21.60,-0.4,5.30
5.097,-21.60,-0.4,5.30
5.106,-21.60,-0.4,5.30
5.118,-21.60,-0.4,5.30
5.13,-21.60,-0.4,5.30
5.142,-21.60,-0.4,5.30
5.154,-21.60,-0.4,5.30
5.167,-21.60,-0.4,5.30
5.179,-21.60,-0.4,5.30
5.191,-21.60,-0.4,5.30
5.204,-21.60,-0.4,5.30
5.216,-21.60,-0.4,5.30
5.228,-21.60,-0.6,5.30
5.24,-21.60,-0.4,5.30
5.253,-21.60,-0.4,5.30
5.265,-21.60,-0.4,5.30
5.277,-21.60,-0.6,5.30
5.289,-21.60,-0.4,5.30
5.298,-21.60,-0.4,5.30
5.309,-21.60,-0.4,5.30
5.322,-21.60,-0.4,5.30
5.334,-21.60,-0.4,5.30
5.346,-21.60,-0.4,5.30
5.359,-21.60,-0.4,5.30
5.371,-21.60,-0.4,5.30
5.383,-21.60,-0.4,5.30
5.397,-21.60,-0.4,5.30
5.408,-21.60,-0.4,5.30
5.421,-21.60,-0.6,5.30
5.432,-21.60,-0.4,5.30
5.446,-21.60,-0.4,5.30
5.457,-21.60,-0.4,5.30
5.469,-21.60,-0.4,5.30
5.482,-21.60,-0.3,5.30
5.494,-21.60,-0.4,5.30
5.502,-21.60,-0.4,5.30
5.515,-21.60,-0.4,5.30
5.527,-21.60,-0.4,5.30
5.539,-21.60,-0.4,5.30
5.551,-21.60,-0.4,5.30
5.564,-21.60,-0.4,5.30
5.575,-21.60,-0.4,5.30
5.589,-21.60,-0.4,5.30
5.6,-21.60,-0.4,5.30
5.614,-21.60,-0.3,5.30
5.626,-21.60,-0.4,5.30
5.638,-21.60,-0.4,5.30
5.65,-21.60,-0.4,5.30
5.662,-21.60,-0.3,5.30
5.674,-21.60,-0.4,5.30
5.686,-21.60,-0.4,5.30
