time,length,pressure,force
10.004,-21.60,-0.4,5.30
10.016,-21.60,-0.3,5.30
10.028,-21.60,-0.4,5.30
10.04,-21.60,-0.4,5.30
10.052,-21.60,-0.4,5.30
10.065,-21.60,-0.3,5.30
10.078,-21.60,-0.4,5.30
10.091,-21.60,-0.4,5.30
10.102,-21.60,-0.4,5.30
10.115,-21.60,-0.4,5.30
10.127,-21.60,-0.4,5.30
10.14,-21.60,-0.3,5.30
10.152,-21.60,-0.4,5.30
10.17,-21.60,-0.4,5.30
10.19,-21.60,-0.4,5.30
10.21,-21.60,-0.4,5.30
10.23,-21.60,-0.4,5.30
10.251,-21.60,-0.4,5.30
10.271,-21.60,-0.4,5.30
10.292,-21.60,-0.4,5.30
10.312,-21.60,-0.4,5.30
10.329,-21.60,-0.4,5.30
10.35,-21.60,-0.4,5.30
10.371,-21.60,-0.4,5.30
10.39,-21.60,-0.4,5.30
10.412,-21.60,-0.4,5.30
10.431,-21.60,-0.4,5.30
10.451,-21.60,-0.4,5.30
10.468,-21.60,-0.4,5.30
10.488,-21.60,-0.4,5.30
10.509,-21.60,-0.4,5.30
10.529,-21.60,-0.4,5.30
10.55,-21.60,-0.6,5.30
10.57,-21.60,-0.4,5.30
10.591,-21.60,-0.4,5.30
10.611,-21.60,-0.4,5.30
10.632,-21.60,-0.4,5.30
10.648,-21.60,-0.4,5.30
10.669,-21.60,-0.4,5.30
10.69,-21.60,-0.4,5.30
10.711,-21.60,-0.4,5.30
10.73,-21.60,-0.3,5.30
10.751,-21.60,-0.4,5.30
10.771,-21.60,-0.4,5.30
10.788,-21.60,-0.4,5.30
10.809,-21.60,-0.4,5.30
10.83,-21.60,-0.4,5.30
10.85,-21.60,-0.4,5.30
10.869,-21.60,-0.4,5.30
10.889,-21.60,-0.4,5.30
10.911,-21.60,-0.3,5.30
10.93,-21.60,-0.4,5.30
10.951,-21.60,-0.4,5.30
10.969,-21.60,-0.4,5.30
10.989,-21.60,-0.4,5.30
11.01,-21.60,-0.4,5.30
11.03,-21.60,-0.4,5.30
11.05,-21.60,-0.4,5.30
11.07,-21.60,-0.4,5.30
11.09,-21.60,-0.4,5.30
11.11,-21.60,-0.4,5.30
11.127,-21.60,-0.4,5.30
11.148,-21.60,-0.4,5.30
11.169,-21.60,-0.4,5.30
11.189,-21.60,-0.4,5.30
11.209,-21.60,-0.4,5.30
11.23,-21.60,-0.4,5.30
11.25,-21.60,-0.4,5.30
11.268,-21.60,-0.4,5.30
11.287,-21.60,-0.4,5.30
11.308,-21.60,-0.4,5.30
11.328,-21.60,-0.4,5.30
11.349,-21.60,-0.4,5.30
11.369,-21.60,-0.4,5.30
11.39,-21.60,-0.4,5.30
11.41,-21.60,-0.4,5.30
11.427,-21.60,-0.4,5.30
11.447,-21.60,-0.4,5.30
11.468,-21.60,-0.4,5.30
11.488,-21.60,-0.4,5.30
11.509,-21.60,-0.4,5.30
11.529,-21.60,-0.4,5.30
11.549,-21.60,-0.4,5.30
11.57,-21.60,-0.4,5.30
11.586,-21.60,-0.4,5.30
11.607,-21.60,-0.4,5.30
