time,p,voltage
3.0,-0.002,10.00
3.01,0.0,-2.54
3.02,-0.001,-2.17
3.04,-0.001,-2.03
3.05,-0.001,-1.82
3.06,-0.001,-1.61
3.07,-0.001,-1.40
3.09,-0.002,-1.17
3.1,-0.001,-1.04
3.11,-0.001,-0.79
3.12,-0.001,-0.59
3.13,-0.001,-0.38
3.14,-0.001,-0.19
3.16,-0.002,-0.02
3.17,-0.002,0.10
3.18,0.007000000000000001,0.29
3.19,0.018,0.99
3.21,0.013000000000000001,1.81
3.22,-0.001,1.70
3.23,-0.002,1.07
3.24,-0.001,1.16
3.25,0.007000000000000001,1.38
3.27,0.011,2.00
3.28,0.007000000000000001,2.45
3.29,-0.001,2.31
3.3,-0.001,2.02
3.31,-0.001,2.17
3.33,-0.001,2.31
3.34,-0.001,2.45
3.35,0.0,2.59
3.36,-0.001,2.79
3.37,-0.001,2.85
3.39,-0.001,2.98
3.4,-0.002,3.10
3.41,-0.002,3.14
3.42,-0.001,3.26
3.43,-0.001,3.45
3.45,-0.001,3.55
3.46,0.0,3.65
3.47,-0.001,3.83
3.48,-0.001,3.85
3.49,-0.001,3.94
3.51,-0.001,4.03
3.52,-0.002,4.12
3.53,-0.001,4.12
3.54,-0.002,4.27
3.55,-0.002,4.27
3.57,-0.002,4.34
3.58,-0.002,4.40
3.59,-0.001,4.46
3.6,-0.001,4.59
3.61,0.0,4.65
3.63,0.0,4.77
3.64,0.0,4.81
3.65,-0.001,4.85
3.66,-0.001,4.81
3.67,-0.002,4.85
3.69,0.0,4.80
3.7,-0.001,4.97
3.71,-0.001,4.92
3.72,-0.001,4.93
3.73,-0.001,4.94
3.75,-0.002,4.95
3.76,-0.001,4.88
3.77,-0.001,4.95
3.78,-0.001,4.95
3.79,-0.001,4.94
3.81,0.0,4.93
3.82,-0.001,4.98
3.83,-0.001,4.89
3.84,-0.001,4.87
3.86,0.0,4.83
3.87,-0.001,4.87
3.88,-0.001,4.76
3.89,-0.001,4.72
3.9,-0.002,4.67
3.92,0.0,4.55
3.93,-0.001,4.64
3.94,-0.001,4.51
3.95,-0.001,4.45
3.96,-0.001,4.38
3.98,-0.001,4.32
3.99,-0.001,4.24
4.0,-0.001,4.16
4.01,-0.001,4.08
4.02,-0.002,3.99
4.03,-0.001,3.83
4.05,-0.001,3.81
4.06,-0.002,3.72
4.07,-0.001,3.53
4.08,-0.001,3.51
4.1,-0.001,3.40
4.11,0.0,3.28
4.12,-0.001,3.24
4.13,0.0,3.06
4.14,-0.001,3.01
4.16,-0.002,2.79
4.17,-0.001,2.59
4.18,-0.001,2.53
4.19,-0.002,2.40
4.2,-0.001,2.18
4.22,-0.001,2.11
4.23,-0.002,1.96
4.24,-0.001,1.73
4.25,-0.001,1.65
4.26,-0.001,1.49
4.28,-0.002,1.33
4.29,-0.002,1.09
4.3,-0.001,0.92
4.31,-0.001,0.83
4.32,-0.001,0.64
4.34,-0.002,0.47
4.35,-0.001,0.22
4.36,-0.001,0.11
4.37,0.007000000000000001,-0.09
4.38,-0.001,0.17
4.4,0.008,-0.46
4.41,-0.001,-0.16
4.42,0.0,-0.87
4.43,-0.001,-0.98
4.45,-0.002,-1.26
4.46,-0.001,-1.56
4.47,-0.001,-1.69
4.48,0.0,-1.90
4.49,-0.001,-2.05
4.51,-0.001,-2.34
4.52,0.0,-2.56
4.53,-0.002,-2.70
4.54,-0.002,-3.07
4.55,-0.001,-3.30
4.57,-0.001,-3.46
4.58,0.0,-3.71
4.59,-0.001,-3.85
4.6,-0.002,-4.16
4.61,-0.002,-4.47
4.63,-0.001,-4.72
4.64,-0.001,-4.87
4.65,0.0,-5.11
4.66,-0.002,-5.29
4.67,-0.001,-5.70
4.69,-0.001,-5.85
4.7,-0.002,-6.10
4.71,-0.002,-6.45
4.72,-0.001,-6.70
4.73,0.0,-6.86
4.75,0.0,-7.04
4.76,-0.001,-7.32
4.77,-0.001,-7.65
4.78,-0.001,-7.89
4.79,0.0,-8.17
4.81,-0.001,-8.36
4.82,-0.002,-8.70
4.83,0.002,-9.01
4.84,0.0,-9.08
4.85,-0.002,-9.42
4.87,0.0,-9.83
4.88,0.0,-9.95
4.89,0.0,-10.22
4.9,-0.001,-10.49
4.91,-0.002,-10.83
4.93,0.0,-11.18
4.94,-0.001,-11.30
4.95,0.0,-11.64
4.96,-0.001,-11.86
4.97,-0.001,-12.21
4.99,-0.001,-12.46
5.0,-0.002,-12.73
5.01,-0.001,-13.09
5.02,-0.001,-13.29
5.04,0.0,-13.56
5.05,-0.002,-13.78
5.06,-0.001,-14.18
5.07,-0.001,-14.38
5.08,-0.001,-14.65
5.1,0.0,-14.94
5.11,-0.001,-15.14
5.12,-0.001,-15.46
5.13,0.0,-15.75
5.14,-0.001,-15.94
5.16,-0.002,-16.28
5.17,-0.002,-16.62
5.18,0.0,-16.89
5.19,-0.001,-17.01
5.2,-0.002,-17.34
5.22,-0.001,-17.68
5.23,-0.001,-17.89
5.24,-0.001,-18.13
5.25,-0.001,-18.39
5.26,-0.001,-18.67
5.28,-0.001,-18.93
5.29,-0.001,-19.18
5.3,-0.001,-19.42
5.31,-0.001,-19.69
5.32,-0.001,-19.94
5.34,-0.001,-20.19
5.35,-0.001,-20.46
5.36,0.0,-20.71
5.37,0.0,-20.86
5.39,-0.001,-21.10
5.4,-0.001,-21.44
5.41,-0.002,-21.68
5.42,-0.001,-21.97
5.43,-0.002,-22.15
5.45,-0.002,-22.45
5.46,0.0,-22.69
5.47,-0.002,-22.77
5.48,0.0,-23.14
5.49,-0.002,-23.22
5.51,-0.001,-23.59
5.52,-0.001,-23.75
5.53,-0.001,-23.97
5.54,-0.001,-24.18
5.55,-0.002,-24.38
5.57,0.0,-24.68
5.58,-0.001,-24.74
5.59,-0.001,-25.02
5.6,-0.001,-25.23
5.61,-0.001,-25.42
5.63,-0.001,-25.61
5.64,-0.001,-25.80
5.65,-0.001,-26.01
5.66,-0.001,-26.20
5.68,-0.001,-26.36
5.69,-0.001,-26.56
5.7,-0.001,-26.74
5.71,-0.001,-26.91
5.72,0.0,-27.08
5.74,-0.002,-27.18
5.75,0.0,-27.49
5.76,0.0,-27.51
5.77,-0.001,-27.68
5.78,-0.001,-27.91
5.8,0.0,-28.04
5.81,-0.001,-28.12
5.82,-0.001,-28.35
5.83,0.0,-28.49
5.84,-0.002,-28.56
5.86,-0.002,-28.82
5.87,-0.001,-28.97
5.88,-0.001,-29.02
5.89,-0.001,-29.14
5.91,0.0,-29.27
5.92,-0.001,-29.31
5.93,-0.001,-29.49
5.94,0.0,-29.60
5.95,-0.002,-29.64
5.97,-0.001,-29.89
5.98,-0.001,-29.90
5.99,-0.001,-30.00
6.0,-0.001,-30.09
6.01,-0.001,-30.18
6.03,-0.001,-30.26
6.04,-0.002,-30.34
6.05,-0.001,-30.48
6.06,-0.001,-30.48
6.07,-0.001,-30.55
6.09,-0.001,-30.61
6.1,-0.001,-30.67
6.11,-0.001,-30.72
6.12,0.0,-30.77
6.14,-0.001,-30.74
6.15,-0.001,-30.86
6.16,-0.001,-30.90
6.17,0.0,-30.93
6.18,-0.002,-30.88
6.2,0.0,-31.05
6.21,0.0,-30.93
6.22,-0.001,-30.94
6.23,-0.001,-31.03
6.24,-0.001,-31.04
6.26,-0.001,-31.04
6.27,-0.002,-31.04
6.28,-0.002,-31.11
6.29,-0.001,-31.10
6.3,-0.001,-31.02
6.32,-0.001,-31.00
6.33,-0.002,-30.98
6.34,-0.002,-31.03
6.35,-0.001,-31.00
6.36,-0.001,-30.90
6.38,-0.002,-30.86
6.39,-0.001,-30.89
6.4,-0.001,-30.77
6.41,-0.001,-30.72
6.43,-0.001,-30.67
6.44,-0.001,-30.61
6.45,-0.001,-30.55
6.46,-0.001,-30.48
6.47,-0.001,-30.41
6.49,-0.001,-30.34
6.5,0.0,-30.26
6.51,-0.001,-30.10
6.52,-0.001,-30.09
6.53,-0.001,-30.00
6.55,-0.002,-29.91
6.56,-0.001,-29.89
6.57,0.0,-29.71
6.58,-0.001,-29.53
6.59,-0.001,-29.49
6.61,-0.001,-29.39
6.62,-0.002,-29.27
6.63,0.0,-29.22
6.64,-0.002,-28.95
6.66,-0.001,-28.97
6.67,-0.002,-28.75
6.68,-0.002,-28.70
6.69,-0.001,-28.56
6.7,-0.002,-28.35
6.72,0.0,-28.27
6.73,-0.002,-27.97
6.74,-0.001,-27.98
6.75,-0.002,-27.75
6.76,-0.001,-27.65
6.78,-0.001,-27.42
6.79,-0.001,-27.25
6.8,-0.002,-27.08
6.81,-0.001,-26.99
6.82,-0.001,-26.74
6.84,0.0,-26.56
6.85,-0.001,-26.29
6.86,-0.001,-26.18
6.87,-0.001,-26.01
6.89,-0.002,-25.80
6.9,-0.001,-25.68
6.91,-0.002,-25.42
6.92,-0.002,-25.29
6.93,-0.002,-25.09
6.95,-0.001,-24.88
6.96,0.0,-24.60
6.97,-0.001,-24.30
6.98,-0.001,-24.17
6.99,-0.001,-23.97
7.01,-0.001,-23.75
7.02,-0.001,-23.51
7.03,-0.001,-23.29
7.04,-0.001,-23.07
7.05,0.0,-22.82
7.07,0.0,-22.54
7.08,-0.001,-22.31
7.09,-0.001,-22.15
7.1,-0.001,-21.89
7.11,-0.002,-21.66
7.13,-0.001,-21.51
7.14,-0.002,-21.18
7.15,-0.001,-21.01
7.16,-0.001,-20.69
7.18,-0.001,-20.44
7.19,0.0,-20.19
7.2,-0.001,-19.87
7.21,0.0,-19.69
7.22,-0.001,-19.34
7.24,0.0,-19.16
7.25,-0.001,-18.85
7.26,-0.001,-18.67
7.27,-0.001,-18.39
7.28,-0.001,-18.13
