time,p,voltage
3.0,-0.002,10.00
3.01,0.0,-2.54
3.02,-0.001,-2.17
3.04,-0.001,-2.03
3.05,-0.002,-1.82
3.06,-0.002,-1.68
3.07,-0.001,-1.47
3.09,-0.002,-1.17
3.1,0.0,-1.04
3.11,0.0,-0.71
3.12,-0.001,-0.52
3.13,-0.001,-0.38
3.14,-0.001,-0.19
3.16,0.0,-0.02
3.17,-0.001,0.24
3.18,-0.001,0.37
3.19,0.007000000000000001,0.55
3.21,0.016,1.15
3.22,0.013000000000000001,1.92
3.23,-0.001,1.87
3.24,-0.001,1.23
3.25,-0.001,1.38
3.27,-0.001,1.56
3.28,0.0,1.72
3.29,0.003,1.94
3.3,0.007000000000000001,2.24
3.31,0.007000000000000001,2.61
3.33,-0.001,2.75
3.34,-0.001,2.45
3.35,-0.001,2.59
3.36,-0.001,2.72
3.37,-0.001,2.85
3.39,-0.001,2.98
3.4,-0.002,3.10
3.41,-0.001,3.14
3.42,-0.002,3.33
3.43,-0.001,3.38
3.45,-0.001,3.55
3.46,-0.001,3.65
3.47,0.0,3.76
3.48,-0.002,3.93
3.49,-0.001,3.86
3.51,-0.001,4.03
3.52,-0.002,4.12
3.53,-0.001,4.12
3.54,-0.001,4.27
3.55,-0.001,4.34
3.57,-0.001,4.41
3.58,-0.001,4.48
3.59,-0.002,4.53
3.6,0.0,4.52
3.61,-0.001,4.72
3.63,-0.001,4.69
3.64,-0.001,4.73
3.65,-0.001,4.78
3.66,-0.002,4.81
3.67,0.0,4.77
3.69,-0.001,4.95
3.7,0.0,4.90
3.71,-0.001,4.99
3.72,0.0,4.93
3.73,-0.001,5.02
3.75,-0.002,4.95
3.76,0.0,4.88
3.77,-0.001,5.03
3.78,-0.002,4.95
3.79,-0.001,4.87
3.81,-0.001,4.93
3.82,-0.002,4.91
3.83,-0.001,4.82
3.84,-0.001,4.87
3.86,-0.002,4.83
3.87,-0.001,4.73
3.88,-0.001,4.76
3.89,-0.001,4.72
3.9,-0.001,4.67
3.92,-0.002,4.62
3.93,-0.002,4.50
3.94,-0.001,4.44
3.95,-0.001,4.45
3.96,-0.001,4.38
3.98,-0.001,4.32
3.99,-0.002,4.24
4.0,-0.002,4.09
4.01,-0.001,4.01
4.02,-0.002,3.99
4.03,-0.001,3.83
4.05,-0.001,3.81
4.06,-0.001,3.72
4.07,-0.002,3.61
4.08,-0.001,3.43
4.1,0.0,3.40
4.11,0.0,3.35
4.12,-0.002,3.24
4.13,-0.001,2.97
4.14,-0.001,2.93
4.16,-0.001,2.79
4.17,0.002,2.66
4.18,-0.001,2.68
4.19,-0.001,2.40
4.2,-0.002,2.25
4.22,-0.001,2.03
4.23,-0.002,1.96
4.24,0.0,1.73
4.25,-0.002,1.72
4.26,-0.002,1.42
4.28,-0.002,1.26
4.29,-0.001,1.09
4.3,-0.001,1.00
4.31,-0.002,0.83
4.32,-0.002,0.56
4.34,-0.001,0.40
4.35,-0.002,0.29
4.36,-0.001,0.04
4.37,0.007000000000000001,-0.09
4.38,-0.002,0.17
4.4,0.007000000000000001,-0.53
4.41,0.0,-0.23
4.42,-0.001,-0.80
4.43,-0.001,-1.06
4.45,-0.001,-1.26
4.46,-0.001,-1.48
4.47,-0.002,-1.69
4.48,-0.002,-1.96
4.49,-0.001,-2.19
4.51,0.0,-2.34
4.52,0.0,-2.48
4.53,0.0,-2.69
4.54,-0.001,-2.93
4.55,-0.001,-3.23
4.56,-0.001,-3.46
4.58,0.0,-3.67
4.59,0.0,-3.85
4.6,0.0,-4.08
4.61,-0.002,-4.32
4.63,-0.001,-4.70
4.64,-0.002,-4.87
4.65,-0.001,-5.19
4.66,-0.002,-5.36
4.67,-0.001,-5.68
4.69,0.0,-5.85
4.7,-0.001,-6.03
4.71,0.002,-6.38
4.72,-0.001,-6.48
4.73,0.0,-6.86
4.75,-0.002,-7.04
4.76,-0.001,-7.47
4.77,-0.002,-7.65
4.78,-0.002,-7.97
4.79,-0.001,-8.25
4.81,-0.001,-8.44
4.82,-0.001,-8.70
4.83,0.0,-8.94
4.84,-0.001,-9.15
4.85,-0.001,-9.49
4.87,-0.001,-9.76
4.88,-0.001,-10.03
4.89,0.0,-10.30
4.9,-0.002,-10.49
4.92,-0.002,-10.91
4.93,-0.002,-11.20
4.94,-0.001,-11.45
4.95,-0.002,-11.64
4.96,0.0,-12.01
4.98,-0.001,-12.13
4.99,-0.001,-12.48
5.0,-0.001,-12.73
5.01,-0.001,-13.02
5.02,-0.001,-13.29
5.04,-0.002,-13.56
5.05,0.0,-13.93
5.06,-0.001,-14.06
5.07,0.0,-14.38
5.08,-0.001,-14.57
5.1,-0.002,-14.94
5.11,-0.002,-15.28
5.12,-0.001,-15.55
5.13,-0.001,-15.75
5.14,-0.001,-16.02
5.16,-0.002,-16.28
5.17,-0.002,-16.62
5.18,-0.001,-16.91
5.19,-0.001,-17.08
5.2,-0.001,-17.34
5.22,-0.001,-17.61
5.23,-0.001,-17.89
5.24,-0.001,-18.15
5.25,-0.002,-18.39
5.26,-0.001,-18.74
5.28,-0.001,-18.93
5.29,-0.001,-19.18
5.3,0.0,-19.44
5.31,0.0,-19.64
5.32,-0.001,-19.87
5.34,-0.001,-20.19
5.35,-0.002,-20.46
5.36,-0.002,-20.78
5.37,-0.001,-21.03
5.39,0.0,-21.18
5.4,-0.001,-21.36
5.41,0.0,-21.68
5.42,-0.001,-21.84
5.43,-0.001,-22.15
5.45,-0.001,-22.38
5.46,-0.002,-22.61
5.47,-0.001,-22.91
5.48,-0.001,-23.09
5.49,-0.001,-23.31
5.51,0.0,-23.51
5.52,-0.001,-23.68
5.53,0.0,-23.97
5.54,-0.002,-24.11
5.55,-0.001,-24.47
5.57,-0.001,-24.60
5.58,0.0,-24.81
5.59,-0.001,-24.94
5.6,-0.001,-25.23
5.61,-0.001,-25.43
5.63,-0.001,-25.61
5.64,-0.001,-25.80
5.65,-0.001,-26.01
5.66,0.0,-26.20
5.68,0.0,-26.31
5.69,-0.001,-26.49
5.7,-0.001,-26.74
5.71,-0.001,-26.91
5.73,-0.001,-27.08
5.74,0.0,-27.27
5.75,-0.002,-27.34
5.76,-0.002,-27.65
5.77,-0.001,-27.82
5.78,-0.001,-27.91
5.8,-0.001,-28.06
5.81,-0.001,-28.19
5.82,-0.002,-28.35
5.83,-0.001,-28.56
5.85,-0.001,-28.63
5.86,-0.001,-28.77
5.87,-0.002,-28.89
5.88,-0.002,-29.09
5.89,-0.001,-29.22
5.91,-0.001,-29.27
5.92,-0.001,-29.39
5.93,-0.001,-29.50
5.94,0.0,-29.60
5.95,-0.001,-29.64
5.97,-0.001,-29.81
5.98,-0.001,-29.91
5.99,-0.002,-30.01
6.0,-0.001,-30.17
6.01,0.0,-30.18
6.03,-0.001,-30.18
6.04,0.0,-30.34
6.05,-0.001,-30.34
6.06,-0.001,-30.48
6.07,-0.002,-30.55
6.09,-0.002,-30.68
6.1,-0.002,-30.74
6.11,-0.001,-30.79
6.12,0.0,-30.77
6.14,-0.002,-30.74
6.15,-0.001,-30.93
6.16,-0.002,-30.90
6.17,0.0,-31.00
6.18,-0.001,-30.88
6.2,-0.001,-30.98
6.21,-0.001,-31.00
6.22,-0.002,-31.02
6.23,-0.001,-31.10
6.24,-0.002,-31.04
6.26,-0.002,-31.12
6.27,0.0,-31.12
6.28,-0.002,-30.97
6.29,-0.001,-31.10
6.3,-0.001,-31.02
6.32,-0.001,-31.00
6.33,0.0,-30.98
6.34,-0.001,-30.88
6.35,0.0,-30.93
6.36,-0.002,-30.82
6.38,0.0,-30.93
6.39,0.0,-30.74
6.4,-0.002,-30.70
6.41,0.0,-30.79
6.43,-0.002,-30.59
6.44,-0.002,-30.68
6.45,-0.002,-30.62
6.46,0.0,-30.55
6.47,-0.001,-30.34
6.49,-0.002,-30.34
6.5,-0.002,-30.33
6.51,-0.002,-30.25
6.52,-0.002,-30.17
6.53,0.0,-30.08
6.55,-0.001,-29.83
6.56,-0.002,-29.81
6.57,-0.001,-29.79
6.58,-0.001,-29.60
6.59,-0.001,-29.49
6.61,-0.001,-29.38
6.62,-0.002,-29.27
6.63,-0.001,-29.22
6.64,-0.003,-29.02
6.66,0.0,-29.04
6.67,-0.001,-28.68
6.68,-0.001,-28.63
6.69,-0.001,-28.49
6.7,0.0,-28.35
6.72,-0.002,-28.12
6.73,-0.001,-28.12
6.74,-0.001,-27.89
6.75,-0.001,-27.75
6.76,-0.002,-27.58
6.78,-0.002,-27.49
6.79,-0.001,-27.33
6.8,-0.001,-27.07
6.81,-0.002,-26.91
6.82,-0.001,-26.81
6.84,-0.001,-26.56
6.85,-0.001,-26.36
6.86,-0.001,-26.18
6.87,-0.001,-26.01
6.89,-0.001,-25.80
6.9,-0.001,-25.61
6.91,0.0,-25.42
6.92,-0.001,-25.14
6.93,0.0,-25.00
6.95,-0.001,-24.74
6.96,-0.001,-24.60
6.97,-0.002,-24.38
6.98,-0.001,-24.24
6.99,-0.001,-23.95
7.01,-0.001,-23.75
7.02,-0.002,-23.51
7.03,-0.002,-23.37
7.04,-0.001,-23.14
7.05,-0.001,-22.82
7.07,0.0,-22.61
7.08,-0.001,-22.31
7.09,-0.002,-22.15
7.1,-0.001,-21.97
7.11,-0.001,-21.66
7.13,-0.001,-21.42
7.14,-0.001,-21.18
7.15,-0.001,-20.93
7.16,-0.002,-20.69
7.18,-0.002,-20.51
7.19,-0.001,-20.25
7.2,-0.001,-19.94
7.21,0.0,-19.69
7.22,0.0,-19.34
7.24,-0.002,-19.09
7.25,-0.002,-18.98
7.26,-0.002,-18.74
7.27,-0.001,-18.46
7.28,-0.002,-18.13
