time,p,voltage
9.11,-0.002,3.14
9.13,-0.002,3.02
9.14,0.0,2.90
9.15,0.0,2.91
9.16,-0.001,2.79
9.18,-0.002,2.59
9.19,-0.002,2.36
9.2,-0.001,2.22
9.21,-0.002,2.15
9.22,-0.001,1.95
9.24,0.0,1.86
9.25,-0.001,1.78
9.26,-0.001,1.54
9.27,-0.001,1.38
9.28,-0.001,1.22
9.3,-0.001,1.05
9.31,-0.002,0.88
9.32,-0.002,0.64
9.33,-0.001,0.46
9.35,-0.001,0.35
9.36,-0.001,0.15
9.37,0.008,-0.02
9.38,-0.002,0.31
9.39,0.005,-0.47
9.4,0.0,-0.24
9.42,-0.001,-0.71
9.43,-0.002,-0.99
9.44,-0.002,-1.26
9.45,-0.001,-1.49
9.46,-0.002,-1.61
9.48,-0.002,-1.89
9.49,-0.001,-2.12
9.5,-0.001,-2.26
9.51,-0.002,-2.46
9.52,-0.001,-2.76
9.54,-0.001,-2.93
9.55,0.0,-3.15
9.56,-0.002,-3.31
9.57,0.0,-3.68
9.59,-0.002,-3.77
9.6,0.0,-4.15
9.61,-0.001,-4.24
9.62,0.0,-4.55
9.63,-0.001,-4.72
9.65,-0.001,-5.03
9.66,-0.001,-5.30
9.67,-0.001,-5.52
9.68,-0.001,-5.77
9.69,-0.002,-6.02
9.71,-0.001,-6.37
9.72,-0.001,-6.52
9.73,-0.001,-6.78
9.74,0.0,-7.05
9.75,-0.002,-7.24
9.77,-0.002,-7.62
9.78,-0.001,-7.88
9.79,-0.001,-8.09
9.8,-0.001,-8.35
9.81,-0.001,-8.59
9.83,-0.001,-8.87
9.84,-0.002,-9.14
9.85,-0.001,-9.48
9.86,-0.002,-9.65
9.87,0.0,-10.01
9.89,-0.002,-10.13
9.9,-0.001,-10.55
9.91,-0.001,-10.77
9.92,0.0,-11.01
9.93,-0.002,-11.21
9.95,-0.002,-11.63
9.96,-0.002,-11.92
9.97,0.0,-12.19
9.98,-0.001,-12.29
10.0,-0.002,-12.64
10.01,-0.001,-13.00
10.02,-0.001,-13.20
10.03,-0.001,-13.47
10.04,0.0,-13.77
10.06,0.0,-13.97
10.07,-0.001,-14.21
