Time(s),Pressure(MPa),voltage(V)
,-0.001,-17.37
Time(s),Pressure(MPa),voltage(V)
12.12,-0.002,-17.11
Time(s),Pressure(MPa),voltage(V)
Time(s),Pressure(MPa),voltage(V)
12.06,-0.002,-18.17
Time(s),Pressure(MPa),voltage(V)
12.07,-0.002,-17.98
Time(s),Pressure(MPa),voltage(V)
12.09,-0.002,-17.78
Time(s),Pressure(MPa),voltage(V)
12.10,-0.002,-17.57
Time(s),Pressure(MPa),voltage(V)
12.11,-0.001,-17.37
Time(s),Pressure(MPa),voltage(V)
12.12,-0.002,-17.11
Time(s),Pressure(MPa),voltage(V)
3.00,-0.003,10.00
Time(s),Pressure(MPa),voltage(V)
3.01,-0.002,-1.34
Time(s),Pressure(MPa),voltage(V)
3.02,-0.001,-1.10
Time(s),Pressure(MPa),voltage(V)
3.04,-0.004,-0.86
Time(s),Pressure(MPa),voltage(V)
3.05,-0.002,-0.85
Time(s),Pressure(MPa),voltage(V)
3.06,-0.003,-0.57
Time(s),Pressure(MPa),voltage(V)
3.07,-0.002,-0.45
Time(s),Pressure(MPa),voltage(V)
3.09,-0.003,-0.21
Time(s),Pressure(MPa),voltage(V)
3.10,-0.001,-0.10
Time(s),Pressure(MPa),voltage(V)
3.11,-0.002,0.18
Time(s),Pressure(MPa),voltage(V)
3.12,-0.003,0.28
Time(s),Pressure(MPa),voltage(V)
3.13,-0.003,0.39
Time(s),Pressure(MPa),voltage(V)
3.14,-0.002,0.55
Time(s),Pressure(MPa),voltage(V)
3.16,0.004,0.76
Time(s),Pressure(MPa),voltage(V)
3.17,0.005,1.22
Time(s),Pressure(MPa),voltage(V)
3.18,0.005,1.45
Time(s),Pressure(MPa),voltage(V)
3.19,-0.002,1.58
Time(s),Pressure(MPa),voltage(V)
3.21,-0.002,1.36
Time(s),Pressure(MPa),voltage(V)
3.22,-0.002,1.52
Time(s),Pressure(MPa),voltage(V)
3.23,-0.002,1.66
Time(s),Pressure(MPa),voltage(V)
3.24,-0.002,1.80
Time(s),Pressure(MPa),voltage(V)
3.25,-0.001,1.93
Time(s),Pressure(MPa),voltage(V)
3.27,-0.002,2.13
Time(s),Pressure(MPa),voltage(V)
3.28,-0.003,2.20
Time(s),Pressure(MPa),voltage(V)
3.29,-0.002,2.27
Time(s),Pressure(MPa),voltage(V)
3.30,-0.003,2.45
Time(s),Pressure(MPa),voltage(V)
3.31,-0.001,2.52
Time(s),Pressure(MPa),voltage(V)
3.33,-0.002,2.76
Time(s),Pressure(MPa),voltage(V)
3.34,-0.002,2.81
Time(s),Pressure(MPa),voltage(V)
3.35,-0.003,2.93
Time(s),Pressure(MPa),voltage(V)
3.36,-0.003,2.98
