time,p,voltage
6,-0.4,0.00
28,-0.4,0.00
48,-0.4,0.00
69,-0.4,0.00
90,-0.6,0.00
106,-0.4,0.00
126,-0.4,0.00
147,-0.4,0.00
168,-0.6,0.00
189,-0.4,0.00
208,-0.4,0.00
228,-0.4,0.00
249,-0.4,0.00
270,-0.4,0.00
287,-0.4,0.00
308,-0.6,0.00
328,-0.4,0.00
348,-0.4,0.00
368,-0.4,0.00
388,-0.4,0.00
409,-0.4,0.00
429,-0.4,0.00
445,-0.4,0.00
466,-0.4,0.00
487,-0.4,0.00
507,-0.4,0.00
528,-0.4,0.00
548,-0.4,0.00
568,-0.4,0.00
586,-0.4,0.00
606,-0.4,0.00
626,-0.4,0.00
647,-0.4,0.00
667,-0.4,0.00
688,-0.4,0.00
708,-0.4,0.00
728,-0.4,0.00
749,-0.4,0.00
766,-0.4,0.00
787,-0.4,0.00
807,-0.4,0.00
828,-0.4,0.00
848,-0.4,0.00
867,-0.4,0.00
887,-0.4,0.00
904,-0.4,0.00
925,-0.4,0.00
945,-0.6,0.00
965,-0.4,0.00
986,-0.4,0.00
1007,-0.4,0.00
1027,-0.4,0.00
1047,-0.4,0.00
1064,-0.4,0.00
1084,-0.4,0.00
1105,-0.4,0.00
1126,-0.4,0.00
1147,-0.4,0.00
1167,-0.4,0.00
1187,-0.4,0.00
1208,-0.4,0.00
1227,-0.4,0.00
1245,-0.6,0.00
1266,-0.4,0.00
1288,-0.4,0.00
1307,-0.6,0.00
1326,-0.4,0.00
1346,-0.4,0.00
1367,-0.4,0.00
1384,-0.4,0.00
1404,-0.4,0.00
1425,-0.4,0.00
1445,-0.4,0.00
1465,-0.4,0.00
1486,-0.4,0.00
1506,-0.4,0.00
1526,-0.6,0.00
1543,-0.4,0.00
1564,-0.4,0.00
1584,-0.4,0.00
1605,-0.4,0.00
1625,-0.4,0.00
1646,-0.4,0.00
1666,-0.4,0.00
1687,-0.4,0.00
1703,-0.4,0.00
1724,-0.4,0.00
1745,-0.4,0.00
1764,-0.4,0.00
1785,-0.4,0.00
1805,-0.4,0.00
1826,-0.6,0.00
1846,-0.6,0.00
1863,-0.4,0.00
1884,-0.4,0.00
1904,-0.4,0.00
1925,-0.4,0.00
1945,-0.4,0.00
1965,-0.4,0.00
1985,-0.4,0.00
2006,-0.3,0.00
2023,-0.4,0.00
2043,-0.4,0.00
2064,-0.6,0.00
2084,-0.4,0.00
2104,-0.4,0.00
2126,-0.4,0.00
2145,-0.4,0.00
2162,-0.4,0.00
2182,-0.4,0.00
2203,-0.6,0.00
2223,-0.4,0.00
2244,-0.4,0.00
2264,-0.4,0.00
2285,-0.4,0.00
2305,-0.4,0.00
2322,-0.6,0.00
2342,-0.4,0.00
2363,-0.4,0.00
2383,-0.4,0.00
2403,-0.4,0.00
2424,-0.4,0.00
2444,-0.4,0.00
2464,-0.4,0.00
2482,-0.4,0.00
2502,-0.4,0.00
2523,-0.4,0.00
2544,-0.4,0.00
2564,-0.4,0.00
2585,-0.4,0.00
2604,-0.4,0.00
2624,-0.4,0.00
2641,-0.4,0.00
2661,-0.4,0.00
2682,-0.4,0.00
2703,-0.4,0.00
2725,-0.4,0.00
2745,-0.4,0.00
2765,-0.4,0.00
2784,-0.4,0.00
2802,-0.4,0.00
2821,-0.4,0.00
2841,-0.4,0.00
2862,-0.4,0.00
2882,-0.4,0.00
2904,-0.4,0.00
2925,-0.4,0.00
2944,-0.4,0.00
2962,-0.4,0.00
2982,-0.4,0.00
3001,-0.4,0.00
3023,-0.4,0.00
3043,-0.4,0.00
3063,-0.4,0.00
3083,-0.4,0.00
3104,-0.4,0.00
3120,-0.4,0.00
3141,-0.4,0.00
3161,-0.4,0.00
3183,-0.4,0.00
3203,-0.4,0.00
3223,-0.4,0.00
3244,-0.4,0.00
3264,-0.3,0.00
3280,-0.4,0.00
3301,-0.4,0.00
3321,-0.4,0.00
3342,-0.4,0.00
3363,-0.4,0.00
3383,-0.4,0.00
3403,-0.6,0.00
3420,-0.4,0.00
3440,-0.4,0.00
3461,-0.4,0.00
3482,-0.4,0.00
3502,-0.4,0.00
3522,-0.4,0.00
3542,-0.4,0.00
3562,-0.4,0.00
3583,-0.4,0.00
3600,-0.4,0.00
3621,-0.4,0.00
3642,-0.4,0.00
3662,-0.4,0.00
3682,-0.4,0.00
3703,-0.4,0.00
3722,-0.4,0.00
3739,-0.4,0.00
3759,-0.4,0.00
3780,-0.4,0.00
3801,-0.4,0.00
3821,-0.4,0.00
3842,-0.4,0.00
3862,-0.4,0.00
3882,-0.3,0.00
3900,-0.6,0.00
3920,-0.4,0.00
3940,-0.4,0.00
3960,-0.4,0.00
3980,-0.4,0.00
4002,-0.4,0.00
4022,-0.4,0.00
4041,-0.4,0.00
4059,-0.4,0.00
4080,-0.4,0.00
4100,-0.4,0.00
4121,-0.4,0.00
4141,-0.4,0.00
4160,-0.4,0.00
4180,-0.4,0.00
4202,-0.4,0.00
4218,-0.4,0.00
4238,-0.4,0.00
4260,-0.4,0.00
4280,-0.6,0.00
4301,-0.4,0.00
4321,-0.4,0.00
4342,-0.4,0.00
4362,-0.4,0.00
4378,-0.3,0.00
4398,-0.4,0.00
4419,-0.4,0.00
4439,-0.4,0.00
4460,-0.4,0.00
4481,-0.4,0.00
4501,-0.4,0.00
4518,-0.4,0.00
4538,-0.4,0.00
4559,-0.4,0.00
4578,-0.4,0.00
4598,-0.4,0.00
4620,-0.4,0.00
4641,-0.4,0.00
4660,-0.4,0.00
4681,-0.4,0.00
4698,-0.4,0.00
4718,-0.6,0.00
4739,-0.4,0.00
4760,-0.4,0.00
4780,-0.4,0.00
4800,-0.4,0.00
4821,-0.4,0.00
4840,-0.6,0.00
4857,-0.4,0.00
4877,-0.4,0.00
4898,-0.4,0.00
4918,-0.4,0.00
4938,-0.4,0.00
4959,-0.4,0.00
4979,-0.4,0.00
5000,-0.4,0.00
5016,-0.4,0.00
5037,-0.4,0.00
5058,-0.4,0.00
5078,-0.4,0.00
5099,-0.4,0.00
5119,-0.4,0.00
5140,-0.6,0.00
5160,-0.6,0.00
5177,-0.4,0.00
5198,-0.4,0.00
5219,-0.4,0.00
5238,-0.4,0.00
5258,-0.6,0.00
