time,p,voltage
3.904770612716675,-0.001,10.00
3.9167776107788086,-0.002,-1.22
3.92925763130188,-0.002,-1.10
3.941312789916992,-0.001,-0.92
3.9536640644073486,-0.002,-0.67
3.9632503986358643,-0.002,-0.57
3.9745702743530273,-0.002,-0.39
3.9875364303588867,-0.002,-0.21
4.000089168548584,-0.002,-0.04
4.0120766162872314,-0.003,0.12
4.0244059562683105,-0.002,0.22
4.03645133972168,0.005,0.46
4.048619985580444,0.008,0.98
4.06133246421814,0.007000000000000001,1.25
4.073567152023315,-0.002,1.34
4.084897041320801,-0.002,1.08
4.09702467918396,-0.002,1.23
4.109216928482056,-0.001,1.36
4.121223211288452,0.005,1.58
4.1334686279296875,0.007000000000000001,2.03
4.142211437225342,-0.001,2.23
4.154236316680908,-0.002,1.99
4.166808843612671,-0.002,2.07
4.179171800613403,-0.002,2.20
4.19118595123291,-0.002,2.33
4.203184127807617,-0.003,2.45
4.215663194656372,-0.002,2.52
4.228281021118164,-0.002,2.70
4.240760564804077,-0.001,2.81
4.2528791427612305,-0.001,2.99
4.265284538269043,-0.001,3.10
4.278359651565552,-0.001,3.21
4.2906410694122314,-0.001,3.32
4.30257511138916,-0.002,3.41
4.313775062561035,-0.002,3.45
4.326410531997681,-0.002,3.55
4.3354620933532715,-0.002,3.65
4.347399473190308,-0.003,3.73
4.3593621253967285,-0.001,3.75
4.371343612670898,-0.001,3.96
4.383654832839966,-0.002,4.04
4.39726996421814,-0.002,4.05
4.409442901611328,-0.002,4.13
4.422537326812744,-0.001,4.20
4.43466591835022,-0.001,4.33
4.446366786956787,-0.002,4.39
4.458693265914917,-0.001,4.39
4.47096586227417,-0.002,4.51
4.483118534088135,0.0,4.50
4.49451756477356,-0.001,4.67
4.506764888763428,-0.002,4.66
4.518864870071411,-0.002,4.64
4.528090715408325,-0.002,4.68
4.540798187255859,-0.002,4.72
4.5531182289123535,-0.002,4.75
4.563683032989502,-0.001,4.78
4.576307773590088,-0.001,4.87
4.588445663452148,-0.002,4.89
4.6008172035217285,-0.001,4.85
4.613198757171631,-0.003,4.93
4.625411510467529,-0.002,4.82
4.637782573699951,-0.001,4.89
4.65049934387207,-0.002,4.96
4.662515163421631,-0.002,4.90
4.674283504486084,-0.002,4.90
4.6867687702178955,-0.001,4.90
4.699047088623047,-0.001,4.95
4.711107492446899,-0.001,4.94
4.720197439193726,-0.001,4.92
4.733028411865234,-0.001,4.91
4.744511365890503,-0.002,4.89
4.757731676101685,-0.002,4.80
4.769769668579102,-0.001,4.77
4.781440734863281,-0.002,4.80
4.793390512466431,-0.001,4.71
4.805366039276123,0.0,4.73
4.817978620529175,-0.001,4.75
4.830134153366089,-0.002,4.64
4.842089653015137,-0.001,4.53
4.855249881744385,-0.002,4.54
4.867219686508179,-0.001,4.43
4.879427909851074,-0.001,4.43
4.891430139541626,-0.001,4.37
4.903557777404785,-0.001,4.30
4.916200399398804,-0.001,4.24
4.9242846965789795,0.0,4.16
4.93656849861145,-0.001,4.15
4.948774814605713,-0.002,4.01
4.961382627487183,-0.002,3.87
4.973337411880493,-0.001,3.78
4.985460519790649,-0.002,3.75
4.9982359409332275,-0.002,3.61
5.010248899459839,-0.002,3.51
5.022854804992676,-0.002,3.41
5.035260438919067,-0.002,3.31
5.047327756881714,-0.002,3.22
5.059661626815796,-0.002,3.10
5.071580410003662,-0.003,2.99
5.084553956985474,-0.001,2.82
5.096304655075073,-0.002,2.84
5.10861873626709,-0.002,2.65
5.117160797119141,-0.002,2.53
5.129243612289429,-0.001,2.40
5.1413867473602295,-0.002,2.34
5.153494596481323,-0.002,2.15
5.165585994720459,-0.003,2.02
5.178359031677246,-0.002,1.82
5.190410375595093,-0.002,1.74
5.203327894210815,-0.002,1.60
5.215404033660889,-0.001,1.46
5.228107690811157,-0.001,1.36
5.239618539810181,-0.002,1.22
5.251992225646973,-0.002,1.02
5.264280080795288,-0.002,0.86
5.2764573097229,-0.002,0.69
5.288944482803345,-0.002,0.54
5.301003932952881,-0.002,0.39
5.3133766651153564,-0.001,0.21
5.321851968765259,-0.002,0.11
5.335230350494385,0.005,-0.12
5.34717869758606,-0.001,0.09
5.359161138534546,0.005,-0.40
5.37208366394043,-0.002,-0.27
5.38404107093811,-0.001,-0.82
5.397158861160278,-0.001,-0.93
5.408147811889648,-0.002,-1.11
5.420132160186768,-0.002,-1.36
5.433104991912842,-0.001,-1.54
5.445041656494141,-0.001,-1.67
5.457971811294556,-0.002,-1.86
5.46993350982666,-0.002,-2.11
5.481398582458496,-0.002,-2.32
5.493833541870117,-0.001,-2.49
5.505672216415405,-0.002,-2.63
5.515661001205444,-0.002,-2.89
5.52665901184082,-0.002,-3.10
5.538913011550903,-0.002,-3.29
5.552120208740234,-0.002,-3.49
5.564472675323486,0.0,-3.69
5.577003717422485,-0.002,-3.79
5.588950872421265,-0.002,-4.12
5.601149320602417,-0.001,-4.31
5.612663745880127,-0.001,-4.48
5.624524116516113,-0.002,-4.69
5.636928558349609,0.0,-4.96
5.649341106414795,-0.002,-5.04
5.661609411239624,-0.002,-5.39
5.674098491668701,-0.003,-5.61
5.685682535171509,-0.001,-5.88
5.698705434799194,-0.002,-5.98
5.707432508468628,-0.002,-6.26
5.71920919418335,-0.003,-6.48
5.7314183712005615,-0.003,-6.76
5.744264364242554,-0.001,-6.98
5.757037401199341,-0.001,-7.08
5.769317865371704,-0.002,-7.30
5.781562805175781,-0.002,-7.60
5.7937915325164795,-0.002,-7.81
5.806087017059326,-0.001,-8.03
5.817667722702026,-0.001,-8.19
5.830612897872925,-0.002,-8.44
5.84160041809082,-0.001,-8.70
5.85364294052124,-0.002,-8.87
5.86660099029541,-0.002,-9.17
5.878051042556763,-0.001,-9.40
5.89103364944458,-0.001,-9.57
5.903037786483765,-0.002,-9.77
5.9116291999816895,-0.002,-10.08
5.924666166305542,-0.002,-10.31
5.937283754348755,-0.001,-10.53
5.949513912200928,-0.001,-10.70
5.961823225021362,-0.002,-10.92
5.973389625549316,-0.002,-11.21
5.9866626262664795,-0.001,-11.43
5.998622894287109,-0.001,-11.62
6.0111083984375,-0.001,-11.84
6.023132562637329,-0.001,-12.05
6.035885572433472,-0.002,-12.29
6.047338008880615,0.0,-12.57
6.059335708618164,-0.002,-12.68
6.070336103439331,-0.002,-13.02
6.083474636077881,-0.002,-13.24
6.095682382583618,-0.002,-13.46
6.107808351516724,-0.003,-13.68
6.1198179721832275,-0.002,-13.96
6.132647752761841,-0.003,-14.14
6.144903182983398,-0.001,-14.40
6.156929016113281,-0.001,-14.49
6.166369199752808,-0.003,-14.73
6.178786516189575,-0.001,-15.06
6.19109034538269,-0.002,-15.15
6.203142166137695,-0.002,-15.41
6.215674161911011,-0.001,-15.64
6.226592302322388,-0.002,-15.79
6.2391581535339355,-0.002,-16.05
6.25158166885376,-0.002,-16.28
6.263577699661255,-0.002,-16.48
6.275841474533081,-0.002,-16.67
6.288262844085693,-0.002,-16.87
6.300374507904053,-0.002,-17.09
6.313120603561401,-0.002,-17.29
6.325184106826782,-0.002,-17.49
6.337654113769531,-0.001,-17.68
6.3495872020721436,-0.002,-17.82
6.361581087112427,-0.002,-18.07
6.374407768249512,-0.003,-18.26
6.386573314666748,-0.002,-18.53
6.399277925491333,-0.002,-18.64
6.408281564712524,-0.002,-18.82
6.420379400253296,-0.001,-19.02
6.4327476024627686,-0.001,-19.14
6.445143699645996,-0.001,-19.32
6.457928657531738,-0.003,-19.48
6.469445466995239,-0.002,-19.79
6.481402158737183,-0.001,-19.90
6.4933929443359375,-0.002,-20.01
6.505390405654907,-0.002,-20.26
6.5178608894348145,-0.002,-20.41
6.530158996582031,0.0,-20.57
6.54261589050293,-0.002,-20.61
6.554671764373779,-0.002,-20.90
6.5671210289001465,-0.003,-21.06
6.57991623878479,-0.002,-21.26
6.591298341751099,0.0,-21.36
6.603663206100464,-0.001,-21.39
6.616058826446533,-0.002,-21.59
6.628266096115112,-0.002,-21.80
6.637629508972168,0.0,-21.94
6.649925947189331,-0.002,-21.95
6.662335157394409,-0.002,-22.21
6.674454927444458,-0.002,-22.35
6.685441017150879,-0.001,-22.48
6.697484493255615,-0.002,-22.54
6.710439443588257,-0.001,-22.72
6.722697734832764,-0.002,-22.79
6.734938859939575,-0.001,-22.97
6.747138738632202,-0.001,-23.02
6.759305477142334,-0.002,-23.13
6.771308422088623,-0.002,-23.31
6.784001350402832,-0.002,-23.41
