time,p,voltage
3.905,-0.001,10.00
3.913,-0.002,-1.22
3.925,-0.001,-1.10
3.937,-0.002,-0.86
3.95,-0.002,-0.73
3.963,-0.002,-0.57
3.974,-0.001,-0.39
3.988,-0.002,-0.15
4.0,-0.001,-0.04
4.011,-0.002,0.18
4.023,-0.001,0.28
4.036,0.005,0.52
4.048,0.007000000000000001,0.98
4.06,0.004,1.19
4.072,-0.002,1.22
4.085,-0.001,1.08
4.094,0.005,1.29
4.106,0.005,1.73
4.122,-0.002,1.89
4.131,-0.002,1.66
4.143,-0.002,1.80
4.154,-0.002,1.93
4.166,-0.002,2.07
4.179,-0.001,2.20
4.192,-0.002,2.39
4.204,-0.002,2.45
4.216,-0.002,2.58
4.229,-0.001,2.70
4.241,-0.002,2.87
4.253,-0.002,2.93
4.265,-0.002,3.04
4.277,-0.002,3.15
4.289,-0.001,3.26
4.299,-0.002,3.41
4.311,-0.002,3.45
4.324,-0.002,3.55
4.336,-0.001,3.65
4.348,-0.002,3.79
4.36,-0.001,3.81
4.372,-0.002,3.96
4.384,-0.002,3.98
4.395,-0.002,4.05
4.408,-0.002,4.13
4.421,-0.001,4.20
4.433,-0.001,4.33
4.445,-0.002,4.39
4.457,-0.002,4.39
4.47,-0.001,4.45
4.482,-0.002,4.56
4.491,-0.002,4.55
4.504,-0.001,4.60
4.516,-0.002,4.70
4.527,-0.002,4.68
4.54,-0.002,4.72
4.553,-0.002,4.75
4.564,-0.002,4.78
4.576,0.0,4.81
4.588,-0.002,4.96
4.601,-0.001,4.85
4.613,-0.001,4.93
4.625,-0.002,4.94
4.638,-0.002,4.89
4.65,-0.001,4.90
4.662,-0.001,4.96
4.674,-0.002,4.96
4.684,-0.001,4.90
4.696,-0.002,4.95
4.708,-0.002,4.88
4.72,-0.001,4.86
4.732,-0.002,4.91
4.744,-0.003,4.83
4.757,-0.001,4.74
4.769,-0.002,4.83
4.781,-0.002,4.74
4.793,-0.002,4.71
4.805,-0.001,4.67
4.818,-0.001,4.69
4.83,-0.002,4.64
4.842,-0.002,4.53
4.854,-0.002,4.48
4.867,-0.002,4.43
4.875,-0.001,4.37
4.887,-0.001,4.37
4.9,-0.002,4.30
4.911,-0.002,4.17
4.924,-0.002,4.10
4.937,-0.001,4.03
4.949,-0.001,4.01
4.961,-0.001,3.93
4.974,-0.001,3.84
4.986,0.0,3.75
4.997,-0.002,3.73
5.01,-0.002,3.51
5.023,-0.002,3.41
5.034,-0.001,3.31
5.047,-0.001,3.28
5.059,-0.001,3.16
5.068,-0.003,3.05
5.08,-0.002,2.82
5.092,-0.002,2.77
5.105,-0.002,2.65
5.117,-0.003,2.53
5.129,-0.002,2.34
5.142,-0.002,2.28
5.154,-0.003,2.15
5.167,-0.002,1.95
5.18,-0.001,1.88
5.192,0.0,1.80
5.204,-0.002,1.72
5.216,-0.002,1.46
5.228,-0.002,1.30
5.24,-0.002,1.17
5.252,-0.002,1.02
5.264,-0.002,0.86
5.272,-0.002,0.69
5.284,-0.002,0.54
5.297,-0.002,0.39
5.31,-0.003,0.21
5.322,0.007000000000000001,-0.01
5.334,-0.001,0.31
5.346,0.005,-0.22
5.358,-0.001,-0.10
5.371,-0.002,-0.58
5.383,-0.002,-0.82
5.395,-0.002,-0.99
5.408,-0.001,-1.17
5.42,-0.002,-1.30
5.432,-0.001,-1.54
5.444,-0.002,-1.67
5.456,-0.002,-1.92
5.465,-0.001,-2.11
5.478,-0.003,-2.26
5.49,-0.001,-2.56
5.502,-0.002,-2.63
5.514,-0.002,-2.89
5.526,-0.002,-3.10
5.54,-0.002,-3.29
5.553,-0.002,-3.49
5.565,-0.003,-3.69
5.577,-0.002,-3.98
5.589,-0.001,-4.11
5.602,-0.002,-4.25
5.612,-0.002,-4.54
5.625,-0.002,-4.75
5.637,-0.002,-4.96
5.648,-0.002,-5.16
5.661,-0.002,-5.39
5.67,-0.002,-5.61
5.682,-0.002,-5.82
5.694,-0.002,-6.04
5.707,-0.002,-6.26
5.719,-0.002,-6.48
5.731,-0.001,-6.70
5.744,-0.002,-6.86
5.756,-0.001,-7.14
5.768,-0.001,-7.30
5.781,-0.001,-7.54
5.793,-0.002,-7.75
5.805,-0.002,-8.03
5.817,-0.001,-8.26
5.83,-0.002,-8.44
5.842,-0.001,-8.72
5.854,-0.002,-8.87
5.862,-0.002,-9.17
5.874,-0.002,-9.40
5.886,-0.001,-9.63
5.899,-0.002,-9.77
5.912,-0.002,-10.08
5.924,-0.002,-10.31
5.936,-0.002,-10.53
5.948,-0.001,-10.78
