time,length,pressure,force
3.905,-264.20,-0.4,0.00
3.913,-264.20,-0.4,0.00
3.925,-264.20,-0.4,0.00
3.938,-264.20,-0.4,0.00
3.951,-264.20,-0.4,0.00
3.963,-264.20,-0.4,0.00
3.975,-264.20,-0.4,0.00
4.001,-264.20,-0.4,0.00
4.011,-264.20,-0.4,0.00
4.023,-264.20,-0.4,0.00
4.038,-264.20,-0.4,0.00
4.049,-264.20,-0.4,0.00
4.062,-264.20,-0.4,0.00
4.073,-264.20,-0.4,0.00
4.086,264.2,-0.4,0.00
4.095,-264.20,-0.6,0.00
4.108,-264.20,-0.4,0.00
4.124,-264.20,-0.4,0.00
4.132,-264.20,-0.4,0.00
4.144,-264.20,-0.4,0.00
4.155,-264.20,-0.4,0.00
4.167,-264.20,-0.4,0.00
4.179,-264.20,-0.3,0.00
4.192,-264.20,-0.4,0.00
4.205,-264.20,-0.4,0.00
4.217,-264.20,-0.4,0.00
4.23,-264.20,-0.4,0.00
4.242,-264.20,-0.6,0.00
4.255,-264.20,-0.4,0.00
4.267,-264.20,-0.6,0.00
4.278,-264.20,-0.4,0.00
4.291,-264.20,-0.4,0.00
4.3,-264.20,-0.4,0.00
4.312,-264.20,-0.3,0.00
4.325,-264.20,-0.4,0.00
4.337,-264.20,-0.4,0.00
4.35,-264.20,-0.4,0.00
4.36,-264.20,-0.4,0.00
4.373,-264.20,-0.4,0.00
4.384,-264.20,-0.4,0.00
4.396,-264.20,-0.6,0.00
4.409,-264.20,-0.4,0.00
4.422,-264.20,-0.4,0.00
4.434,-264.20,-0.6,0.00
4.447,-264.20,-0.4,0.00
4.457,-264.20,-0.4,0.00
4.471,-264.20,-0.6,0.00
4.482,-264.20,-0.4,0.00
4.492,-264.20,-0.4,0.00
4.505,-264.20,-0.4,0.00
4.517,-264.20,-0.4,0.00
4.529,-264.20,-0.4,0.00
4.542,-264.20,-0.4,0.00
4.556,-264.20,-0.4,0.00
4.565,-264.20,-0.4,0.00
4.576,-264.20,-0.6,0.00
4.588,-264.20,-0.4,0.00
4.601,-264.20,-0.4,0.00
4.613,-264.20,-0.4,0.00
4.626,-264.20,-0.4,0.00
4.639,-264.20,-0.4,0.00
4.651,-264.20,-0.4,0.00
4.664,-264.20,-0.4,0.00
4.676,-264.20,-0.4,0.00
4.685,-264.20,-0.4,0.00
4.697,-264.20,-0.4,0.00
4.709,-264.20,-0.6,0.00
4.722,-264.20,-0.4,0.00
4.734,-264.20,-0.4,0.00
4.744,-264.20,-0.4,0.00
4.757,-264.20,-0.4,0.00
4.769,-264.20,-0.4,0.00
4.782,-264.20,-0.4,0.00
4.793,-264.20,-0.4,0.00
4.805,-264.20,-0.4,0.00
4.818,-264.20,-0.6,0.00
4.83,-264.20,-0.4,0.00
4.842,-264.20,-0.4,0.00
4.855,-264.20,-0.4,0.00
4.867,-264.20,-0.4,0.00
4.875,-264.20,-0.4,0.00
4.888,-264.20,-0.6,0.00
4.9,-264.20,-0.4,0.00
4.912,-264.20,-0.4,0.00
4.924,-264.20,-0.4,0.00
4.937,-264.20,-0.4,0.00
4.949,-264.20,-0.4,0.00
4.961,-264.20,-0.4,0.00
4.974,-264.20,-0.4,0.00
4.986,-264.20,-0.4,0.00
4.998,-264.20,-0.4,0.00
5.011,-264.20,-0.6,0.00
5.023,-264.20,-0.6,0.00
5.035,-264.20,-0.4,0.00
5.047,-264.20,-0.6,0.00
5.059,-264.20,-0.4,0.00
5.069,-264.20,-0.4,0.00
5.08,-264.20,-0.4,0.00
5.093,-264.20,-0.4,0.00
5.105,-264.20,-0.4,0.00
5.117,-264.20,-0.4,0.00
5.13,-264.20,-0.4,0.00
5.143,-264.20,-0.4,0.00
5.155,-264.20,-0.4,0.00
5.168,-264.20,-0.4,0.00
5.182,-264.20,-0.4,0.00
5.193,-264.20,-0.4,0.00
5.205,-264.20,-0.4,0.00
5.218,-264.20,-0.4,0.00
5.229,-264.20,-0.4,0.00
5.24,-264.20,-0.4,0.00
5.252,-264.20,-0.4,0.00
5.264,-264.20,-0.4,0.00
5.272,-264.20,-0.4,0.00
5.284,-264.20,-0.4,0.00
5.299,-264.20,-0.4,0.00
5.312,-264.20,-0.4,0.00
5.324,-264.20,-0.4,0.00
5.334,-264.20,-0.4,0.00
5.346,-264.20,-0.4,0.00
5.359,-264.20,-0.4,0.00
5.371,-264.20,-0.4,0.00
5.383,-264.20,-0.4,0.00
5.397,-264.20,-0.4,0.00
5.409,-264.20,-0.4,0.00
5.421,-264.20,-0.4,0.00
5.434,-264.20,-0.4,0.00
5.445,-264.20,-0.4,0.00
5.456,-264.20,-0.4,0.00
5.466,-264.20,-0.4,0.00
5.479,-264.20,-0.4,0.00
5.49,-264.20,-0.4,0.00
5.503,-264.20,-0.4,0.00
5.515,-264.20,-0.6,0.00
5.527,-264.20,-0.4,0.00
5.54,-264.20,-0.4,0.00
5.555,-264.20,-0.4,0.00
5.566,-264.20,-0.4,0.00
5.578,-264.20,-0.4,0.00
5.591,-264.20,-0.4,0.00
5.603,-264.20,-0.6,0.00
5.612,-264.20,-0.6,0.00
5.625,-264.20,-0.3,0.00
5.638,-264.20,-0.4,0.00
5.65,-264.20,-0.4,0.00
5.661,-264.20,-0.4,0.00
5.67,-264.20,-0.4,0.00
5.683,-264.20,-0.4,0.00
5.694,-264.20,-0.4,0.00
5.707,-264.20,-0.4,0.00
5.719,-264.20,-0.4,0.00
5.731,-264.20,-0.4,0.00
5.744,-264.20,-0.4,0.00
5.756,-264.20,-0.4,0.00
5.769,-264.20,-0.4,0.00
5.781,-264.20,-0.4,0.00
5.793,-264.20,-0.4,0.00
5.805,-264.20,-0.4,0.00
5.818,-264.20,-0.4,0.00
5.83,-264.20,-0.4,0.00
5.842,-264.20,-0.4,0.00
5.854,-264.20,-0.4,0.00
5.862,-264.20,-0.4,0.00
5.875,-264.20,-0.4,0.00
5.886,-264.20,-0.4,0.00
5.9,-264.20,-0.6,0.00
5.912,-264.20,-0.4,0.00
5.924,-264.20,-0.4,0.00
5.936,-264.20,-0.4,0.00
5.949,-264.20,-0.4,0.00
5.962,-264.20,-0.4,0.00
5.974,-264.20,-0.4,0.00
5.986,-264.20,-0.4,0.00
5.999,-264.20,-0.4,0.00
6.011,-264.20,-0.4,0.00
6.024,-264.20,-0.4,0.00
6.037,-264.20,-0.4,0.00
6.048,-264.20,-0.4,0.00
6.061,-264.20,-0.4,0.00
6.073,-264.20,-0.4,0.00
6.085,-264.20,-0.4,0.00
6.097,-264.20,-0.4,0.00
6.108,-264.20,-0.4,0.00
6.116,-264.20,-0.4,0.00
6.129,-264.20,-0.4,0.00
6.141,-264.20,-0.4,0.00
6.154,-264.20,-0.4,0.00
6.166,-264.20,-0.4,0.00
6.179,-264.20,-0.4,0.00
6.191,-264.20,-0.4,0.00
6.203,-264.20,-0.4,0.00
6.215,-264.20,-0.4,0.00
6.229,-264.20,-0.4,0.00
6.241,-264.20,-0.3,0.00
6.253,-264.20,-0.4,0.00
6.265,-264.20,-0.6,0.00
