time,p,voltage
3.01,-0.001,4.96
3.02,0.004,4.95
3.04,0.004,5.24
3.05,0.007000000000000001,5.22
3.06,0.01,5.34
3.07,0.01,5.54
3.09,0.011,5.50
3.1,0.014000000000000002,5.53
3.11,0.016,5.63
3.12,0.015,5.72
3.13,0.016,5.58
3.14,0.018,5.59
3.16,0.02,5.60
3.17,0.02,5.66
3.18,0.022,5.57
3.19,0.024,5.63
3.21,0.025,5.61
3.22,0.026000000000000002,5.57
3.23,0.026000000000000002,5.53
3.24,0.027000000000000003,5.42
3.25,0.03,5.38
3.27,0.03,5.39
3.28,0.032,5.25
3.29,0.034999999999999996,5.26
3.3,0.034999999999999996,5.26
3.31,0.036,5.11
3.33,0.038,5.02
3.34,0.04,5.01
3.35,0.040999999999999995,4.91
3.36,0.043,4.81
3.37,0.047,4.78
3.39,0.048,4.80
3.4,0.053000000000000005,4.70
3.41,0.05500000000000001,4.79
3.42,0.057999999999999996,4.74
3.43,0.062,4.66
3.45,0.065,4.69
3.46,0.071,4.69
3.47,0.074,4.82
3.48,0.075,4.74
3.49,0.077,4.60
3.51,0.08199999999999999,4.52
3.52,0.088,4.55
3.53,0.095,4.67
3.54,0.097,4.81
3.55,0.099,4.68
3.57,0.10200000000000001,4.57
3.58,0.10700000000000001,4.46
3.59,0.11499999999999999,4.51
3.6,0.119,4.73
3.61,0.12,4.68
3.63,0.123,4.47
3.64,0.129,4.31
3.65,0.137,4.42
3.66,0.142,4.65
3.68,0.143,4.65
3.69,0.146,4.40
3.7,0.151,4.28
3.71,0.158,4.27
3.72,0.16499999999999998,4.41
3.73,0.16999999999999998,4.51
3.75,0.172,4.52
3.76,0.174,4.29
3.77,0.181,4.09
3.78,0.191,4.22
3.79,0.196,4.51
3.81,0.196,4.48
3.82,0.198,4.13
3.83,0.20800000000000002,3.96
3.84,0.21800000000000003,4.24
3.86,0.219,4.47
3.87,0.21800000000000003,4.22
3.88,0.225,3.81
3.89,0.236,3.95
3.9,0.24500000000000002,4.25
3.92,0.244,4.42
3.93,0.244,4.01
3.94,0.252,3.68
3.95,0.264,3.85
3.96,0.272,4.25
3.98,0.271,4.35
3.99,0.272,3.91
4.0,0.27999999999999997,3.67
4.01,0.29300000000000004,3.85
4.02,0.29900000000000004,4.21
4.03,0.29900000000000004,4.24
4.05,0.302,3.93
4.06,0.308,3.81
4.07,0.317,3.81
4.08,0.323,3.99
4.1,0.32799999999999996,4.04
4.11,0.333,3.97
4.12,0.33799999999999997,3.93
4.13,0.344,3.89
4.14,0.35,3.95
4.16,0.356,3.96
4.17,0.361,4.00
4.18,0.366,3.96
4.19,0.372,3.96
4.2,0.377,3.97
4.22,0.383,3.94
4.23,0.39,3.99
4.24,0.395,4.11
4.25,0.398,4.08
4.26,0.40199999999999997,3.92
4.28,0.41200000000000003,3.90
4.29,0.417,4.17
4.3,0.417,4.16
4.31,0.42400000000000004,3.86
4.32,0.43200000000000005,3.97
4.34,0.437,4.14
4.35,0.43899999999999995,4.14
4.36,0.44400000000000006,3.99
4.37,0.45099999999999996,3.97
4.38,0.45499999999999996,4.15
4.4,0.45599999999999996,4.09
4.41,0.46399999999999997,3.86
4.42,0.47000000000000003,4.03
4.43,0.472,4.15
4.45,0.477,4.03
4.46,0.48200000000000004,4.04
4.47,0.48600000000000004,4.08
4.48,0.49000000000000005,4.06
4.49,0.495,4.09
4.51,0.499,4.13
4.52,0.501,4.11
4.53,0.508,4.04
4.54,0.511,4.16
4.55,0.514,4.15
