time,p,voltage
10.015724182128906,-0.002,3.50
10.02755880355835,-0.002,3.35
10.039892435073853,0.0,3.25
10.05211091041565,-0.002,3.26
10.064682960510254,-0.002,3.03
10.076905250549316,-0.002,2.93
10.089138984680176,-0.002,2.80
10.101507902145386,-0.002,2.69
10.112828969955444,-0.003,2.57
10.125882863998413,-0.001,2.39
10.138100385665894,-0.002,2.38
10.146702766418457,-0.002,2.19
10.158766984939575,-0.001,2.06
10.170660018920898,-0.002,1.99
10.182701110839844,-0.002,1.79
10.20268726348877,-0.003,1.65
10.22306489944458,-0.003,1.45
10.243389129638672,-0.002,1.30
10.264642000198364,-0.002,1.22
10.28487491607666,-0.001,1.07
10.305889129638672,-0.002,0.96
10.322676181793213,-0.001,0.76
10.34335732460022,-0.002,0.66
10.363346338272095,-0.002,0.44
10.383265256881714,-0.002,0.27
10.402265071868896,-0.001,0.12
10.423197031021118,-0.003,0.01
10.443211078643799,0.007000000000000001,-0.28
10.464207172393799,-0.002,0.02
10.481466293334961,0.005,-0.57
10.501538276672363,-0.002,-0.37
10.522056102752686,-0.002,-0.93
10.54286503791809,-0.002,-1.11
10.563574075698853,-0.001,-1.28
10.583905696868896,-0.001,-1.40
10.603907346725464,-0.002,-1.61
10.623962640762329,-0.002,-1.85
10.64053988456726,-0.002,-2.04
10.662028551101685,-0.003,-2.24
10.683252811431885,-0.002,-2.49
10.703348398208618,-0.002,-2.62
10.723583936691284,-0.001,-2.82
10.744821310043335,-0.001,-2.96
10.765301704406738,0.0,-3.16
10.784584045410156,-0.002,-3.30
10.801445007324219,-0.001,-3.64
10.823394298553467,-0.002,-3.77
10.841370820999146,-0.001,-4.04
10.861330270767212,-0.002,-4.18
10.881518840789795,-0.002,-4.47
10.903101205825806,-0.002,-4.66
10.923405885696411,-0.002,-4.88
10.943351030349731,-0.001,-5.11
10.960243225097656,-0.002,-5.26
10.981025695800781,-0.001,-5.53
11.001714706420898,-0.002,-5.67
11.023480653762817,-0.002,-5.97
11.04453444480896,-0.002,-6.19
11.063033819198608,-0.002,-6.40
11.083469867706299,-0.001,-6.62
11.09929871559143,-0.001,-6.78
11.119464874267578,-0.002,-7.00
11.140708446502686,-0.002,-7.29
11.161303997039795,-0.001,-7.51
11.183397054672241,-0.001,-7.67
11.203061580657959,-0.001,-7.90
11.224305391311646,-0.002,-8.14
11.243496894836426,-0.002,-8.40
11.26544189453125,-0.002,-8.63
11.279444217681885,-0.002,-8.86
11.299926996231079,-0.001,-9.10
11.320443630218506,-0.002,-9.26
11.341232776641846,-0.002,-9.53
11.361323595046997,-0.002,-9.76
11.382149934768677,-0.002,-10.00
11.402073621749878,-0.001,-10.23
11.422532320022583,-0.002,-10.39
11.439479351043701,-0.002,-10.68
11.459855079650879,-0.001,-10.91
11.480468034744263,-0.002,-11.07
11.500560998916626,-0.001,-11.36
11.520656824111938,-0.002,-11.54
11.541772603988647,-0.002,-11.83
11.56205940246582,-0.001,-12.05
11.582534074783325,-0.001,-12.22
11.599529266357422,-0.002,-12.44
11.620980262756348,-0.001,-12.72
11.64111590385437,-0.001,-12.88
11.662420272827148,-0.002,-13.12
11.682757377624512,-0.002,-13.41
11.703858613967896,-0.001,-13.63
11.721824645996094,-0.001,-13.80
11.737786531448364,-0.002,-14.00
11.758781909942627,-0.003,-14.28
11.778844356536865,-0.002,-14.56
11.800253629684448,-0.002,-14.73
11.821338653564453,-0.002,-14.95
11.842522621154785,-0.002,-15.16
11.862892627716064,-0.002,-15.39
11.883542537689209,-0.003,-15.58
11.901923894882202,-0.002,-15.86
11.918965578079224,-0.002,-16.00
11.938612461090088,-0.001,-16.23
11.95893931388855,-0.002,-16.37
11.980000972747803,-0.003,-16.64
12.000537157058716,-0.002,-16.92
12.02058458328247,-0.002,-17.04
12.04097867012024,-0.001,-17.24
12.058106422424316,-0.001,-17.38
12.079067468643188,-0.001,-17.59
12.099390268325806,-0.002,-17.79
12.119571924209595,-0.002,-18.04
12.13997769355774,-0.002,-18.25
12.159647226333618,-0.003,-18.44
12.18043041229248,-0.002,-18.67
12.200706243515015,-0.002,-18.79
12.220625877380371,-0.002,-18.99
12.238670825958252,-0.002,-19.17
12.258315086364746,-0.002,-19.35
12.2783522605896,-0.002,-19.54
12.300453901290894,-0.001,-19.72
12.320178031921387,-0.002,-19.81
12.340229988098145,-0.001,-20.05
12.361043930053711,-0.002,-20.17
12.38033413887024,-0.001,-20.39
12.397279024124146,-0.002,-20.50
12.417709589004517,-0.002,-20.73
12.438627481460571,-0.001,-20.89
12.45918869972229,-0.002,-20.97
12.47990345954895,-0.002,-21.19
12.501139163970947,-0.001,-21.35
12.520820379257202,-0.003,-21.44
12.537092924118042,-0.001,-21.70
