time,p,voltage
time,p,voltage
10.014,0.041999999999999996,5.47
10.026,0.044,5.55
10.038,0.043,5.57
10.051,0.044,5.41
10.063,0.046,5.36
10.075,0.048,5.31
10.088,0.049,5.31
10.1,0.051000000000000004,5.26
10.112,0.053000000000000005,5.20
10.124,0.053000000000000005,5.20
10.137,0.054000000000000006,5.07
10.149,0.054000000000000006,5.01
10.161,0.056999999999999995,4.88
10.174,0.057999999999999996,4.86
10.182,0.063,4.78
10.194,0.065,4.90
10.206,0.066,4.88
10.218,0.068,4.78
10.231,0.06999999999999999,4.70
10.243,0.075,4.67
10.255,0.079,4.76
10.275,0.081,4.79
10.296,0.08399999999999999,4.76
10.314,0.087,4.72
10.334,0.088,4.74
10.355,0.092,4.64
10.376,0.098,4.65
10.394,0.101,4.79
10.414,0.10300000000000001,4.74
10.435,0.10600000000000001,4.69
10.452,0.10800000000000001,4.64
10.472,0.11200000000000002,4.56
10.493,0.11699999999999999,4.58
10.513,0.121,4.65
10.534,0.124,4.71
10.556,0.126,4.63
10.576,0.13,4.58
10.594,0.135,4.57
10.611,0.13999999999999999,4.61
10.632,0.141,4.66
10.652,0.145,4.54
10.673,0.15,4.53
10.695,0.152,4.56
10.715,0.156,4.48
10.735,0.161,4.48
10.752,0.16499999999999998,4.50
10.773,0.16799999999999998,4.54
10.794,0.172,4.46
10.815,0.174,4.43
10.833,0.179,4.34
10.853,0.186,4.38
10.873,0.191,4.53
10.894,0.191,4.55
10.91,0.195,4.35
10.931,0.202,4.32
10.952,0.20299999999999999,4.47
10.973,0.20600000000000002,4.30
10.994,0.213,4.22
11.014,0.219,4.37
11.035,0.22200000000000003,4.43
11.053,0.22400000000000003,4.34
11.069,0.229,4.26
11.09,0.231,4.28
11.112,0.238,4.16
11.132,0.242,4.24
11.153,0.24700000000000003,4.28
11.174,0.251,4.30
11.194,0.253,4.24
11.215,0.257,4.14
11.231,0.263,4.12
11.252,0.269,4.18
11.27,0.275,4.26
11.291,0.27799999999999997,4.34
11.311,0.279,4.23
11.333,0.28300000000000003,4.07
11.353,0.29,4.02
11.374,0.296,4.16
11.391,0.302,4.23
11.412,0.305,4.30
11.433,0.306,4.22
11.453,0.311,4.06
11.474,0.318,4.06
11.492,0.324,4.20
11.512,0.32599999999999996,4.28
11.532,0.32999999999999996,4.12
11.549,0.335,4.14
