time,length,pressure,force
time,length,pressure,force
10.003,0.00,2.5,46.10
10.014,0.00,2.6,46.40
10.027,0.00,2.9,46.70
10.039,0.00,3.0,47.10
10.051,0.00,3.1,47.60
10.063,0.00,3.2,48.00
10.075,0.00,3.3,48.60
10.088,0.00,3.6,49.00
10.1,0.00,3.8,49.20
10.112,0.00,4.1,49.50
10.125,0.00,4.2,49.70
10.137,0.00,4.4,49.60
10.149,0.00,4.7,49.60
10.162,0.00,4.9,49.70
10.174,0.00,5.2,49.80
10.182,0.00,5.3,49.70
10.194,0.00,5.7,49.70
10.207,0.00,6.2,49.90
10.219,0.00,6.4,50.50
10.234,0.00,6.9,50.60
10.254,0.00,7.6,49.90
10.275,0.00,8.1,50.40
10.295,0.00,8.5,50.80
10.313,0.00,9.0,49.70
10.333,0.00,9.7,49.40
10.354,0.00,10.1,50.30
10.374,0.00,10.6,51.10
10.394,0.00,11.2,50.20
10.414,0.00,12.0,50.10
10.434,0.00,12.5,51.30
10.452,0.00,13.0,51.20
10.472,0.00,13.6,49.40
10.492,0.00,14.2,49.40
10.513,0.00,14.7,50.40
10.533,0.00,15.4,50.60
10.554,0.00,16.2,51.40
10.574,0.00,16.8,51.60
10.592,0.00,17.3,51.20
10.611,0.00,18.1,49.90
10.632,0.00,18.6,49.30
10.651,0.00,19.2,51.40
10.672,0.00,20.1,50.40
10.694,0.00,21.1,49.80
10.713,0.00,21.7,51.00
10.734,0.00,22.3,51.70
10.751,0.00,22.7,52.80
10.772,0.00,23.4,50.80
10.793,0.00,24.5,50.10
10.813,0.00,25.0,51.30
10.833,0.00,25.6,52.10
10.853,0.00,26.6,50.90
10.873,0.00,27.2,50.80
10.894,0.00,27.8,52.00
10.91,0.00,28.4,51.60
10.93,0.00,29.5,49.90
10.951,0.00,30.4,51.00
10.972,0.00,30.7,52.20
10.993,0.00,31.7,51.20
11.013,0.00,32.7,50.40
11.033,0.00,33.2,51.60
11.052,0.00,33.9,51.20
11.069,0.00,34.8,51.10
11.09,0.00,35.4,51.50
11.111,0.00,36.3,51.20
11.131,0.00,37.4,50.80
11.152,0.00,37.9,51.80
11.173,0.00,38.3,51.10
11.193,0.00,38.9,51.20
11.213,0.00,39.8,51.10
11.23,0.00,40.5,50.60
11.251,0.00,41.5,51.30
11.27,0.00,42.0,52.10
11.291,0.00,42.6,51.60
11.311,0.00,43.2,51.70
11.332,0.00,43.9,51.50
11.352,0.00,44.8,51.20
11.373,0.00,45.3,51.30
11.39,0.00,45.9,50.80
11.411,0.00,46.4,50.40
11.431,0.00,47.2,50.40
11.452,0.00,47.7,51.10
11.472,0.00,48.4,52.10
11.492,0.00,48.8,52.20
11.511,0.00,49.4,52.00
11.532,0.00,50.0,51.10
11.549,0.00,50.6,51.00
11.569,0.00,51.1,51.10
11.59,0.00,51.4,51.00
11.611,0.00,52.0,50.60
11.631,0.00,52.5,50.80
11.652,0.00,53.2,51.20
11.672,0.00,53.6,51.40
11.692,0.00,53.9,51.90
11.709,0.00,54.1,52.10
11.729,0.00,54.7,51.30
11.75,0.00,55.3,50.90
11.77,0.00,55.5,50.60
11.791,0.00,55.9,50.70
11.812,0.00,56.4,50.90
11.832,0.00,56.6,51.50
11.852,0.00,57.0,51.70
11.869,0.00,57.2,51.70
11.89,0.00,57.5,51.40
11.91,0.00,57.8,51.00
11.93,0.00,58.1,50.80
11.95,0.00,58.1,50.80
11.97,0.00,58.5,50.80
11.991,0.00,58.7,51.00
12.011,0.00,58.9,51.30
12.028,0.00,58.9,51.40
12.049,0.00,58.9,51.40
12.07,0.00,59.2,51.30
12.091,0.00,59.3,51.20
12.111,0.00,59.4,51.10
12.131,0.00,59.6,50.90
12.151,0.00,59.6,50.90
12.171,0.00,59.6,50.90
12.188,0.00,59.6,51.10
12.208,0.00,59.6,51.00
12.229,0.00,59.7,50.80
12.25,0.00,59.4,50.80
12.271,0.00,59.4,50.70
